Alignment  Sheet,Legal Location,Approximate KP,Tract No(s).,Environmental Issue(s),Observation(s) in 2010,Observation(s) in 2011,Enbridge Environmental Inspector Observation(s) in 2012,TERA Observation(s)  in 2012,"Repairs to Date  (2010, 2011, 2012)",Status,Recommended  Measure(s) to Resolve  Issue(s) and Schedule,VEC,GIS,Topic
16,SE 32-40-6,211.4,385,Vegetation – Weeds,Moderate density of perennial sow-thistle and Canada thistle on construction right-of-way.,Moderate density of perennial sow-thistle and Canada thistle observed on construction right-of-way during ground reconnaissance.,--,Weed density and composition equal to off right-of-way.,--,Resolved,None.,,W4M,
16,NW 27-40-6,213.2 to 214.2,389 390,Vegetation – Weeds,"High density of lamb's-quarters, perennial sow-thistle, foxtail barley and flixweed on construction right-of-way.",High density of foxtail barley observed on construction right-of-way during ground reconnaissance.,No foxtail barley noted but many other broadleaf weeds observed.,Weed density and composition equal to off right-of-way.,Reseeded in summer 2011.,Resolved,None.,,W4M,
16,S 1/2 19-40-5,218.8 to 220.4,399 400,Vegetation - Establishment,--,Moderate vegetation establishment observed on construction right-of-way by Environmental Inspector.,--,Vegetation composition and density equal to off right-of-way.,Reseeded in summer 2011.,Resolved,None.,,W4M,
16,N 1/2 17-40-5,220.5 to 222.0,402 403,Vegetation - Establishment,--,Moderate vegetation establishment observed on construction right-of-way by Environmental Inspector.,--,Vegetation composition and density equal to off right-of-way.,Reseeded in summer 2011.,Resolved,None.,,W4M,
17,SW 6-40-4,230.1 to 230.4,418,Vegetation – Weeds,Moderate density of Russian pigweed and kochia observed on construction right-of-way during ground reconnaissance.,Moderate density of absinthe and Canada thistle observed on construction right-of-way during ground reconnaissance.,No new growth of weeds observed.,Weed density and composition equal to off right-of-way.,--,Resolved,None.,,W4M,
17,SW 6-40-4,230.3,418,Vegetation - Establishment,--,--,Isolated area of poor growth.,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Reseed and monitor in 2013.,,W4M,
17,NE 31-39-4,231.0,420,Soils - Compaction,Increased bulk density identified by Mentiga Pedology Consultants Ltd.,Moderate compaction observed on construction right-of-way during ground reconnaissance.,"Soil structure is similar on and off right-of-way, appears resolved May 30, 2012.",No compaction issues observed during ground reconnaissance. Compaction issue located at integrity dig site.,--,Resolved,None.,,W4M,
17,NE 31-39-4,231.5 to 231.9,420,Vegetation – Weeds,--,--,Downy brome observed. Enbridge to reseed the right-of-way at landowner’s request. Seed supplied by landowner.,Weed density and composition equal to off right-of-way.,--,Resolved,None.,,W4M,
17,NW 32-39-4,231.9 to 232.2,421,Vegetation – Weeds,High density of Canada thistle and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,High density of downy brome observed on construction right-of-way during ground reconnaissance.,Downy brome observed. Enbridge to reseed the right-of-way at landowner’s request. Seed supplied by landowner.,Weed density and composition equal to off right-of-way.,Weeds baled and hauled away in summer 2011.,Resolved,None.,,W4M,
17,SW 32-39-4,232.2 to 232.9,422,Vegetation – Weeds,--,High density of downy brome observed on construction right-of-way during ground reconnaissance.,Downy brome observed. Enbridge to reseed the right-of-way at landowner’s request. Seed supplied by landowner.,Weed density and composition equal to off right-of-way.,Weeds baled and hauled away in summer 2011.,Resolved,None.,,W4M,
17,SE 32-39-4,232.9 to 233.8,423,Vegetation – Weeds,--,High density of downy brome observed on construction right-of-way during ground reconnaissance.,Downy brome observed. Enbridge to reseed the right-of-way at landowner’s request. Seed supplied by landowner.,Weed density and composition equal to off right-of-way. Environmental Inspector has requested additional observation in 2013 to ensure downy brome has not  re-established.,Weeds baled and hauled away in summer 2011.,Unresolved,Monitor in 2013.,,W4M,
17,NW 28-39-4,233.9,425,Vegetation – Weeds,Moderate density of Canada thistle and lamb's-quarters on construction right-of-way.,Moderate density of Canada thistle and annual sow-thistle observed on construction right-of-way during ground reconnaissance.,"No weed concerns observed May 30, 2012.",Weed density and composition equal to off right-of-way.,--,Resolved,None.,,W4M,
18,NE 23-39-4,238.9,434,Vegetation – Weeds,"Moderate density of kochia, flixweed, Canada thistle, perennial sow-thistle and stinkweed on construction right-of-way.","Moderate density of Canada thistle, perennial sow-thistle and annual sow-thistle observed on construction right-of-way during ground reconnaissance.","No weed concerns observed May 29, 2012. Excellent grass stand. Very high amount of plant litter. No weeds issues remain.",--,--,Resolved,None.,,W4M,
18,SW 24-39-4,239.4,435,Vegetation – Crop Growth,--,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,--,No crop growth issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W4M,
18,SW 24-39-4,240.0,435,Vegetation – Weeds,--,"High density of foxtail barley, round-leaved mallow, shepherd’s-purse, annual sow-thistle and stinkweed observed on construction right-of-way during ground reconnaissance.",--,Weed density and composition equal to off right-of-way.,--,Resolved,None.,,W4M,
18,NW 18-39-3,241.2 to 242.1,438,Vegetation – Weeds,Moderate density of kochia and spear-leaved goosefoot on construction right-of-way.,"Moderate density of lamb’s-quarters, shepherd’s-purse and kochia observed on construction right-of-way during ground reconnaissance.",Weeds observed on right-of-way. Landowner explained that the entire field will be worked and will grow annual crops; no concerns.,"Moderate densities of perennial sow-thistle, common goat’s-beard, and lamb’s-quarters observed on construction right-of-way during ground reconnaissance.",--,Resolved,None.,,W4M,
18,SE 18-39-3,242.95,440,Vegetation – Weeds,--,Moderate density of perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,--,Weed density and composition equal to off right-of-way.,--,Resolved,None.,,W4M,
18,SW 2-39-3,248.8 to 249.6,452,Vegetation – Weeds,"High density of foxtail barley, kochia and spear-leaved goosefoot observed on construction right-of-way during ground reconnaissance.",High density of kochia and narrow-leaved hawk’s-beard observed on construction right-of-way during ground reconnaissance.,"Weed densities are similar on and off right-of-way, appears resolved June 1, 2012.",Weed density and composition equal to off right-of-way.,--,Resolved,None.,,W4M,
18,SE 2-39-3,249.85 to 250.3,453,Vegetation – Weeds,"High density of lamb's-quarters, wild oats, flixweed and wild buckwheat observed on construction right-of-way during ground reconnaissance.","Moderate to high density of flixweed, foxtail barley and lamb’s-quarters observed on construction right-of-way during ground reconnaissance.",--,Weed density and composition equal to off right-of-way.,--,Resolved,None.,,W4M,
19,SE 23-38-2,259.1 to 260,472,Vegetation - Establishment,--,--,Some areas lacking alfalfa – landowner requested an increase.,Vegetation composition and density equal to off right-of-way.,Seeded in 2012.,Resolved,None.,,W4M,
19,SW 23-38-2,260.0,473,Vegetation – Establishment,--,--,Landowner concerns with present grass stand – cattle not consuming grasses.,Livestock not consuming vegetation.,Tract sprayed in summer 2012 in preparation to reseed.,Unresolved,Reseed and monitor in 2013.,,W4M,
19,SW 23-38-2,260.3,473,Vegetation – Weeds,"High density of flixweed, kochia, foxtail barley, wild buckwheat and lamb's-quarters on construction right-of-way.",Moderate density of kochia and flixweed observed on construction right-of-way during ground reconnaissance.,--,"Moderate densities of kochia, flixweed and lamb's-quarters observed on construction right-of-way during ground reconnaissance. Patch is creeping into hay field.",Tract sprayed in summer 2012 in preparation to reseed.,Unresolved,"Control weeds, if warranted, and monitor in 2013.",,W4M,
20,NW 35-37-1,271.2 to 271.55,493,Vegetation - Establishment,Issue reported by construction contractor.,Moderate vegetation establishment observed along construction right-of-way during ground reconnaissance.,Isolated area of poor growth.,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Reseeded in fall 2011.,Unresolved,Reseed and monitor in 2013.,,W4M,
20,NW 35-37-1,271.8 to 271.9,493,Vegetation – Weeds,--,--,Weeds observed on right-of-way.,Weed density and composition equal to off right-of-way.,--,Resolved,None.,,W4M,
20,SE 35-37-1,272.2,496,Vegetation – Weeds Eyehill Creek,--,High density of kochia observed on construction right-of-way on west approach during ground reconnaissance.,"Weed densities similar on and off right-of-way, appears resolved May 29, 2012.",Weed density and composition equal to off right-of-way.,Weeds sprayed in summer 2011.,Resolved,None.,,W4M,
20,SE 20-37-28,278.4 to 278.8,507,Vegetation - Weeds,"Moderate density of Russian thistle, gumweed and kochia observed on construction right-of-way during ground reconnaissance.",Moderate density of foxtail barley and gumweed observed on construction right-of-way during ground reconnaissance.,Weeds observed on right-of-way and poor vegetation establishment observed. Vegetation establishment looks good considering the land use and landscape.,Land access not granted at time of survey.  No weed issues observed after review of photos provided by Environmental Inspector. No vegetation establishment issues observed on construction right-of-way.,--,Resolved,None.,,W3M,
21,NE 16-37-28,280.0 to 280.1,510,Soils - Subsidence,Issue reported by construction contractor.,Moderate subsidence observed on construction right-of-way during ground reconnaissance.,--,"No subsidence issues observed on construction right-of-way during ground reconnaissance. Repeated standard farming practices (cultivating, discing, etc.) appear to have repaired the issue.",--,Resolved,None.,,W3M,
21,SE 15-37-28,281.8 to 282.2,513,Soils - Subsidence,Severe subsidence on construction right-of-way.,Minor subsidence observed on construction right-of-way during ground reconnaissance.,--,"No subsidence issues observed on construction right-of-way during ground reconnaissance. Repeated standard farming practices (cultivating, discing, etc.) appear to have repaired the issue.",--,Resolved,None.,,W3M,
21,SW 14-37-28,282.6,514,Vegetation – Weeds,--,Moderate density of Canada thistle observed on construction right-of-way during ground reconnaissance.,Landowner has controlled weeds as part of regular farming practices.,Weed density and composition equal to off right-of-way.,--,Resolved,None.,,W3M,
21,NE 11-37-28,284.0,516,Vegetation - Weeds,"Moderate density of perennial sow-thistle, kochia, Russian pigweed and clover species observed on construction right-of-way during ground reconnaissance.","Moderate density of kochia, lamb’s-quarters and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.",Weeds observed on right-of-way. Integrity digs in this area.,Patch of Canada thistle at the edge of some rig matting observed on construction right-of-way during ground reconnaissance.,Weeds sprayed in summer 2012.,Unresolved,"Control weeds, if warranted, and monitor in 2013.",,W3M,
21,SE 6-37-27,288.0 to 288.3,523,Vegetation - Weeds,"Moderate density of lamb's-quarters, flixweed, absinthe, stinkweed and round-leaved mallow observed on construction right-of-way during ground reconnaissance.","Moderate density of lamb's-quarters, absinthe, kochia and foxtail barley observed on construction right-of-way during ground reconnaissance.",Weeds observed on right-of-way.,Weed density and composition equal to off right-of-way.,--,Resolved,None.,,W3M,
21,SW 5-37-27,288.5,524 524.01,Water Quality and Quantity Vegetation - Establishment Unnamed drainage,Poor vegetation establishment within drainage observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment within drainage observed on construction right-of-way during ground reconnaissance.,Vegetation damage noted due to cattle.,Moderate vegetation establishment and damage due to livestock observed on construction right-of-way during ground reconnaissance. Minor erosion observed where cattle have trampled land. These issues are not construction-related.,--,Resolved,None.,,W3M,
21,NW 33-36-27,290.2 to 290.8,527,Soils - Subsidence,--,--,Trench line settlement reported by landowner. Environmental Inspector walked through tract in September 2012 and noted no trench settlement. Course of action to be determined by MGM Land Services and landowner in fall 2012.,--,--,Unresolved,Monitor in 2013.,,W3M,
21,SE 33-36-27,291.7,529,Vegetation - Weeds Unnamed drainage,"Moderate density of kochia, foxtail barley and perennial sow-thistle on construction right-of-way.","Moderate density of kochia, Canada thistle and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.","Weed densities similar on and off right-of-way, appears resolved May 27, 2012.",Weed density and composition equal to off right-of-way.,--,Resolved,None.,,W3M,
21,SW 34-36-27,293.0,530,Vegetation - Weeds,"High density of wild buckwheat, wild oats and spear-leaved goosefoot observed on construction right-of-way during ground reconnaissance.","Moderate density of wild buckwheat, kochia, wild oats and spear-leaved goosefoot observed on construction right-of-way during ground reconnaissance.","Weed densities similar on and off right-of-way, appears resolved May 27, 2012.",Weed density and composition equal to off right-of-way.,--,Resolved,None.,,W3M,
22,SE 26-36-27,294.75 to 294.8,535,Soils - Compaction,--,Moderate compaction observed on construction right-of-way during ground reconnaissance.,No compaction noted.,"Repeated standard farming practices (cultivating, discing, etc.) appear to have repaired the issue. No crop growth issues observed.",--,Resolved,None.,,W3M,
22,SE 26-36-27,294.75 to 294.8,535,Vegetation – Crop Growth,--,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,--,No crop growth issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W3M,
22,NE 17-36-26,301.2,544,Vegetation - Weeds,--,--,Scentless chamomile observed on right-of-way.,Weed density and composition equal to off right-of-way.,--,Resolved,None.,,W3M,
22,NE 17-36-26,300.9,544,Soils - Subsidence,Issue reported by construction contractor.,Moderate subsidence observed on construction right-of-way during ground reconnaissance.,--,"No subsidence issues observed on construction right-of-way during ground reconnaissance. Repeated standard farming practices (cultivating, discing, etc.) appear to have repaired the issue.",--,Resolved,None.,,W3M,
23,NE 27-35-25,315.6 to 315.9,569,Vegetation - Weeds,"High density of foxtail barley, gumweed and flixweed observed on construction right-of-way during ground reconnaissance.","Moderate density of Canada thistle, foxtail barley, gumweed and flixweed observed on construction right-of-way during ground reconnaissance.",Canada thistle observed on right-of-way.,Moderate density of Canada thistle observed on construction right-of-way during ground reconnaissance.,Weeds sprayed in fall 2011 and summer 2012.,Unresolved,"Control weeds, if warranted, and monitor in 2013.",,W3M,
23,SE 27-35-25,315.9 to 316.0,570,Vegetation - Weeds,"High density of foxtail barley, gumweed and flixweed observed on construction right-of-way during ground reconnaissance.","Moderate density of Canada thistle, foxtail barley, gumweed and flixweed observed on construction right-of-way during ground reconnaissance.",Canada thistle observed on right-of-way.,Moderate density of Canada thistle observed on construction right-of-way.,Weeds sprayed in fall 2011 and summer 2012.,Unresolved,"Control weeds, if warranted, and monitor in 2013.",,W3M,
23,NW 17-35-24,322.3,580,Vegetation – Crop Growth,--,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,--,Land fallow at time of survey. Unable to assess.,--,Unresolved,Reassess in 2013.,,W3M,
23,NW 17-35-24,322.3,580,Soils - Compaction,--,Moderate compaction observed on construction right-of-way during ground reconnaissance.,--,Land fallow at time of survey. Unable to assess.,--,Unresolved,Reassess in 2013.,,W3M,
24,NE 9-35-24,324.5 to 325.4,585,Vegetation - Weeds,--,"Moderate density of foxtail barley, absinthe, perennial sow-thistle, gumweed and kochia observed on construction right-of-way during ground reconnaissance.",--,High density of foxtail barley and moderate density of gumweed was observed on the construction right-of-way during ground reconnaissance.,Reseeded in fall 2011. Canada thistle spot sprayed in summer 2012.,Unresolved,Control weeds and monitor in 2013.,,W3M,
24,SE 9-35-24,325.4 to 325.5,586,Vegetation – Weeds,--,--,--,High density of foxtail barley and moderate density of gumweed was observed on the construction right-of-way during ground reconnaissance.,Canada thistle spot sprayed in summer 2012.,Unresolved,Control weeds and monitor in 2013.,,W3M,
24,SW 10-35-24,325.5 to 326.55,587,Vegetation - Weeds,--,"High density of foxtail barley, absinthe, perennial sow-thistle, gumweed and kochia observed on construction right-of-way during ground reconnaissance.",--,Moderate densities of foxtail barley and gumweed observed on construction right-of-way during ground reconnaissance.,Weeds sprayed in summer 2012.,Unresolved,"Control weeds, if warranted, and monitor in 2013.",,W3M,
24,SE 10-35-24,326.55 to 326.8,588,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance. Heavy cattle traffic on construction right-of-way.,--,Patches of poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Reseeded in fall 2011.,Unresolved,Monitor in 2013.,,W3M,
24,SE 10-35-24,326.55 to 326.8,588,Vegetation - Weeds,--,High density of foxtail barley and gumweed observed on construction right-of-way during ground reconnaissance.,--,Weed density and composition equal to off right-of-way.,--,Resolved,None.,,W3M,
24,NE 3-35-24,326.8 to 327.6,589,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,--,Poor vegetation establishment observed along construction right-of-way and within wetland/wet area during ground reconnaissance.,Reseeded in fall 2011.,Unresolved,Monitor in 2013.,,W3M,
24,NE 3-35-24,326.8 to 327.6,589,Vegetation - Weeds,High density of foxtail barley and kochia observed on construction right-of-way during ground reconnaissance.,"High density of foxtail barley, gumweed and kochia observed on construction right-of-way during ground reconnaissance.",--,Moderate densities of foxtail barley and gumweed observed on construction right-of-way during ground reconnaissance.,Weeds mowed in summer 2010.,Unresolved,"Control weeds, if warranted, and monitor in 2013.",,W3M,
24,NW 2-35-24,327.6 to 328.2,590,Vegetation - Weeds,--,"High density of foxtail barley, kochia, annual sow-thistle and gumweed observed on construction right-of-way during ground reconnaissance.",--,Moderate densities of foxtail barley and gumweed observed on construction right-of-way during ground reconnaissance.,Weeds sprayed in fall 2011.,Unresolved,"Control weeds, if warranted, and monitor in 2013.",,W3M,
24,NW 2-35-24,327.8 to 328.0,590,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Reseed and monitor in 2013.,,W3M,
24,SW 1-35-24,329.3 to 329.9,593,Vegetation - Weeds,--,"High density of foxtail barley, annual sow-thistle and gumweed observed on construction right-of-way during ground reconnaissance.",--,"Moderate densities of foxtail barley, perennial sow-thistle and gumweed observed on construction right-of-way during ground reconnaissance.",Canada thistle spot sprayed in summer 2012.,Unresolved,Control weeds and monitor in 2013.,,W3M,
24,NW 35-34-24,329.9 to 330.3,594,Vegetation - Weeds,--,"High density of foxtail barley, bull thistle and gumweed observed on construction right-of-way during ground reconnaissance.",--,"Moderate densities of foxtail barley, perennial sow-thistle and gumweed observed on construction right-of-way during ground reconnaissance.",Canada thistle spot sprayed in summer 2012.,Unresolved,Control weeds and monitor in 2013.,,W3M,
24,NW 35-34-24,329.9 to 331.0,594,Vegetation - Establishment,--,--,Poor vegetation establishment likely due to cattle.,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Reseed and monitor in 2013.,,W3M,
24,NW 35-34-24,330.3 to 330.45,593,Vegetation - Establishment,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,--,Poor vegetation observed on construction right-of-way during ground reconnaissance. Likely due to livestock disturbance.,--,Unresolved,Reseed and monitor in 2013.,,W3M,
24,NE 35-34-24,330.3 to 331.3,595,Vegetation - Weeds,--,"High density of foxtail barley, bull thistle and gumweed observed on construction right-of-way during ground reconnaissance.",--,Moderate density of foxtail barley observed on construction right-of-way during ground reconnaissance.,Canada thistle spot sprayed in summer 2012.,Unresolved,Control weeds and monitor in 2013.,,W3M,
24,NE 35-34-24,331.3,595,Vegetation – Weeds,--,--,---,Patch of perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,Canada thistle spot sprayed in summer 2012.,Unresolved,Control weeds and monitor in 2013.,,W3M,
24,NW 36-34-24,331.3 to 331.6,596,Vegetation - Weeds,"Moderate density of foxtail barley, gumweed, lamb's-quarters, kochia, knawel and common tansy observed on construction right-of-way during ground reconnaissance.",Moderate density of foxtail barley and gumweed observed on construction right-of-way during ground reconnaissance.,--,Moderate density of absinthe observed on construction right-of-way during ground reconnaissance.,Weeds mowed in summer 2010. Canada thistle spot sprayed in summer 2012.,Unresolved,Control  weeds  and  monitor  in 2013.,,W3M,
24,SW 36-34-24,331.5 to 332.2,597,Vegetation - Weeds,--,--,Absinthe observed sporadically on right-of-way.,Moderate densities of absinthe and foxtail barley observed on construction right-of-way during ground reconnaissance.,Canada thistle spot sprayed in summer 2012.,Unresolved,Control  weeds  and  monitor  in 2013.,,W3M,
24,SE 36-34-24,332.2 to 332.9,598,Vegetation - Weeds,"High density of lamb's-quarters, flixweed, knawel, Russian thistle, scentless chamomile and common peppergrass on construction right-of-way.","Moderate density of lamb's-quarters, narrow-leaved hawk's-beard and common peppergrass observed on construction right-of-way during ground reconnaissance.",--,Weed density and composition equal to off right-of-way.,Weeds mowed in summer 2010.,Resolved,None.,,W3M,
24,SW 29-34-23,335.1 to 336.2,603,Vegetation - Weeds,Moderate density of foxtail barley on construction right-of-way.,"Moderate density of foxtail barley, gumweed, Canada thistle and kochia observed on construction right-of-way during ground reconnaissance.",--,Patches of Canada thistle observed on construction right-of-way during ground reconnaissance.,Weeds mowed in summer 2010. Canada thistle spot sprayed in summer 2012.,Unresolved,"Control weeds, if warranted, and monitor in 2013.",,W3M,
24,SE 29-34-23,336.2 to 337.0,604,Vegetation - Weeds,--,Moderate density of Canada thistle and gumweed observed on construction right-of-way during ground reconnaissance.,--,Weed density and composition equal to off right-of-way.,Weeds sprayed in summer 2011.,Resolved,None.,,W3M,
24,SE 29-34-23,336.45,604,Vegetation - Weeds,--,Moderate density of Canada thistle and gumweed observed on construction right-of-way during ground reconnaissance.,--,Low density of Canada thistle observed on construction right-of-way during ground reconnaissance.,Weeds sprayed in summer 2011. Canada thistle spot sprayed in summer 2012.,Unresolved,"Control  weeds, if  warranted, and monitor in 2013.",,W3M,
25,SW 5-34-22,347.4,623,Vegetation - Weeds,Moderate density of foxtail barley and lamb's-quarters on construction right-of-way.,"Moderate density of foxtail barley, Canada thistle and narrow-leaved hawk's-beard observed on construction right-of-way during ground reconnaissance.",--,Perennial sow-thistle and Canada thistle observed on construction right-of-way during ground reconnaissance.,Weeds sprayed in summer 2011. Canada thistle spot sprayed in summer 2012.,Unresolved,Control  weeds  and  monitor  in 2013.,,W3M,
25,SE 5-34-22,347.7 to 348.3,625,Vegetation - Establishment,--,--,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Reseeded in 2011. Weeds sprayed in summer 2012.,Unresolved,Reseed and monitor in 2013.,,W3M,
25,SW 4-34-22,348.4 to 348.9,625,Vegetation - Weeds,Moderate density of foxtail barley and lamb's-quarters on construction right-of-way.,Moderate density of foxtail barley and gumweed observed on construction right-of-way during ground reconnaissance.,--,Moderate densities of perennial sow-thistle and Canada thistle observed on construction right-of-way during ground reconnaissance.,Canada thistle spot sprayed in summer 2012.,Unresolved,Control weeds and monitor in 2013.,,W3M,
26,NW 17-33-21,358.3 to 358.4,643,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,--,Vegetation composition and density equal to off right-of-way.,--,Resolved,None.,,W3M,
27,SE 1-33-21,366.9 to 367.0,657,Vegetation - Crop Growth,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,--,No crop growth issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W3M,
27,SW 26-32-20,374.4 to 375.3,670,Soils – Topsoil Loss,Issue reported by construction contractor.,Topsoil loss and reduced crop growth observed on construction right-of-way during ground reconnaissance.,--,"Repeated standard farming practices (plowing, discing, etc.) appear to have repaired the issue. No crop growth issues observed on the construction right-of-way during ground reconnaissance.",--,Resolved,None.,,W3M,
27,SE 26-32-20,375.3 to 376.2,671,Soils – Topsoil Loss,--,Topsoil loss and reduced crop growth observed on construction right-of-way during ground reconnaissance.,--,"Repeated standard farming practices (plowing, discing, etc.) appear to have repaired the issue. No crop growth issues observed on the construction right-of-way during ground reconnaissance.",--,Resolved,None.,,W3M,
28,NE 17-32-19,381.1 to 381.4,680,Soils - Subsidence,--,Moderate subsidence observed on construction right-of-way by Environmental Inspector.,--,"No subsidence issues observed on construction right-of-way during ground reconnaissance. Repeated standard farming practices (plowing, discing, etc.) appear to have repaired the issues. No crop growth issues observed.",--,Resolved,None.,,W3M,
28,SE 15-32-19,384.1 to 384.9,685,Vegetation – Weeds Unnamed Creek,--,Moderate density of annual sow-thistle observed on construction right-of-way on west bank during ground reconnaissance.,--,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,W3M,
28,SW 8-32-18,390.2,695,Vegetation – Establishment Unnamed Creek,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,"Vegetation re-establishment evident June 6, 2012.",Vegetation composition and density equal to off construction right-of-way.,Reseeded in summer 2011.,Resolved,None.,,W3M,
28,NW 4-32-18,392.3 to 392.7,698,Soils - Contouring,--,Poor contouring observed on construction right-of-way during by Environmental Inspector.,--,"No contouring issues observed on construction right-of-way during ground reconnaissance. Repeated standard farming practices (plowing, discing, etc.) appear to have repaired the issues. No crop growth issues observed.",--,Resolved,None.,,W3M,
