Alignment Sheet,Legal Location (W4M),Approximate KP,Tract Number,Environmental Issue(s),Mitigation Measures Implemented During Construction,Outstanding Issues(s) from As-Built Report,Issue Observed 2010,Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
E1,SW 21-52-23,E 3.63 to E 3.7,EL4-0025.11/.12,2Wetland - Class IV 008 Health: no baseline assessment completed,Vegetation walked down prior to geotextile and ramp installation. Topsoil stripped along trench line. Silt fence installed. Ramp removed and topsoil replaced. Wetland restored to previous contours.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: unhealthy (28%) Weeds: scentless chamomile Landowner has cultivated through large portion of wetland,Unresolved,Monitor in 2011.,,,EDMONTON LOOP
E1,SW 21-52-23,E 3.7,EL4-0025.09,Soils - Compaction,--,--,Area of moderate compaction observed on construction right-of-way during ground reconnaissance.,Unresolved,"Monitor crop growth in 2011. Alleviate compaction in 2011, if warranted.",,,EDMONTON LOOP
E1,SW 21-52-23,E 4.1,EL4-0025.09,Soils - Compaction,--,--,Area of moderate compaction observed on construction right-of-way during ground reconnaissance.,Unresolved,"Monitor crop growth in 2011. Alleviate compaction in 2011, if warranted.",,,EDMONTON LOOP
E1,SW 21-52-23,E 4.3,EL4-0023.13,Vegetation - Weeds and Clubroot Disease,Compressed air.,Weed introduction and spread.,No issues observed on construction right-of-way.,Resolved,None.,,,EDMONTON LOOP
E1,NW 16-52-23,E 4.7 to E 4.8,EL4-0025.14,2Wetland - Class III 008 Health: healthy with problems (67%),Vegetation walked down prior to geotextile and ramp installation. Topsoil stripped along trench line. Silt fence installed. Ramp removed and topsoil replaced. Wetland restored to previous contours.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: unhealthy (56%) Weeds: creeping thistle Landowner has cultivated through portion of wetland,Unresolved,Monitor in 2011.,,,EDMONTON LOOP
E1,NW 16-52-23,E 5.0,EL4-0025.14,Vegetation - Weeds and Clubroot Disease,Compressed air.,Weed introduction and spread.,No issues observed on construction right-of-way.,Resolved,None.,,,EDMONTON LOOP
E1,SW 16-52-23,E 5.0 to E 6.1,EL4-0025.15,Vegetation - Weeds,Mowed weeds.,Weed introduction and spread.,Moderate density of scentless chamomile and wild oats on construction right-of-way at crop edge.,Unresolved,Follow weed control plan and monitor in 2011.,,,EDMONTON LOOP
E1,SW 16-52-23,E 5.1,EL4-0025.15,Soils - Compaction,--,--,Area of moderate compaction observed on construction right-of-way during ground reconnaissance.,Unresolved,"Monitor crop growth in 2011. Alleviate compaction in 2011, if warranted.",,,EDMONTON LOOP
E1 (cont'd),SW 16-52-23,E 5.6,EL4-0025.15,DSoils - Erosion  rainage to dugout,Silt fence installed.,Potential for sedimentation until vegetation is established.,No issues observed on construction right-of-way.,Resolved,Remove silt fence.,,,EDMONTON LOOP
E1,NW 9-52-23,E 6.1,EL4-0025.16,Soils - Subsidence,Compacted area in accordance with EPP.,Potential subsidence.,Ponded water at road crossing due to poor contouring on construction right-of-way. Potential for subsidence.,Unresolved,Repair contouring and monitor in 2011.,,,EDMONTON LOOP
E1,NW 9-52-23,E 7.1,EL4-0025.17,Vegetation - Weeds and Clubroot Disease,Compressed air.,Weed introduction and spread.,Moderate density of cleavers and white cockle on construction right-of-way.,Unresolved,Follow weed control plan and monitor in 2011.,,,EDMONTON LOOP
E1 and E2,SW 9-52-23,E 7.1 to E 7.9,EL4-0025.18,Vegetation - Weeds and Clubroot Disease,Compressed air.,Weed introduction and spread.,"High density of white cockle, lamb's-quarters, stinkweed, flixweed, creeping thistle, and hemp-nettle on construction right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,EDMONTON LOOP
E1 and E2,SW 9-52-23,E 7.7,EL4-0025.18,FSoils - Erosion (Watercourse) Water Quality and Quantity ulton Creek,"Appropriate vehicle crossing installed. Open cut method used. Stabilized banks; seeded, planted willows and shrubs. Silt fence installed along creek.",Potential for sedimentation until vegetation is established.,No issues observed on construction right-of-way.,Resolved,Remove silt fence.,,,EDMONTON LOOP
E2,NW 4-52-23 SW 4-52-23,E 7.9 to E 9.5,EL4-0025.19 to EL4-0025.22,Topography Soils - Water Erosion,Restored slope to preconstruction profile.,Potential for erosion until vegetation is established.,No issues observed on construction right-of-way.,Resolved,None.,,,EDMONTON LOOP
E2,NW 4-52-23,E 8.7,EL4-0025.21,Vegetation - Weeds and Clubroot Disease,Compressed air.,Weed introduction and spread.,"Moderate density of white cockle, perennial sow-thistle, and creeping thistle.",Unresolved,Follow weed control plan and monitor in 2011.,,,EDMONTON LOOP
E2,SW 4-52-23,E 8.75 to E 8.8,EL4-0025.22,2Wetland - Class III 008 Health: healthy with problems (67%),Vegetation walked down prior to geotextile and ramp installation. Topsoil stripped along trench line. Silt fence installed. Ramp removed and topsoil replaced. Wetland restored to previous contours.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: unhealthy (32%) Weeds: creeping thistle; excessively weedy Landowner has cultivated through large portion of wetland Bare ground on construction right-of-way Approx. 20-30 cm crown,Unresolved,Follow weed control plan Monitor in 2011.,,,EDMONTON LOOP
E2,SW 4-52-23,E 8.9,EL4-0025.22,Soils - Contouring,--,--,Ponded water observed on construction right-of-way during ground reconnaissance.,Unresolved,Repair rutting and contouring in fall 2010. Continue to monitor in 2011.,,,EDMONTON LOOP
E2,SW 4-52-23,E 9.5,EL4-0025.22,Soils - Subsidence,Compacted area in accordance with EPP. Compressed air.,Potential subsidence.,Unable to traverse entire quarter-section due to crop stage.,Unresolved,Assess in 2011.,,,EDMONTON LOOP
E2,SW 4-52-23,E 9.5,EL4-0025.22,Soils - Stoniness,Additional stone picking required.,Stoniness.,Unable to traverse entire quarter-section due to crop stage.,Unresolved,Assess in 2011.,,,EDMONTON LOOP
E2,SW 4-52-23,E 9.5,EL4-0025.22,Vegetation - Weeds and Clubroot Disease,Compressed air.,Weed introduction and spread.,Unable to traverse entire quarter-section due to crop stage.,Unresolved,Assess in 2011.,,,EDMONTON LOOP
E2,SW 4-53-23 to  SW 36-51-23,E 9.5 to E 14.5,EL4-0025.22 to EL4-0040.00,Soils - Topsoil stripping under frozen conditions,Trench area stripping conducted. Environmental Alignment Sheets were used as a guide for topsoil depths. Area stripped wider during final clean-up.,Potential trench subsidence.,No issues observed on construction right-of-way.,Resolved,None.,,,EDMONTON LOOP
E2,NW 33-51-23,E 10.1,EL4-0025.23,Vegetation - Weeds and Clubroot Disease,Compressed air.,Weed introduction and spread.,No issues observed on construction right-of-way.,Resolved,None.,,,EDMONTON LOOP
E2,NE 33-51-23,E 10.16 to E 10.2,EL4-0025.25,2Wetland - Class IV 008 Health: unhealthy (46%),Vegetation walked down prior to geotextile and ramp installation. Topsoil stripped along trench line. Silt fence installed. Ramp removed and topsoil replaced. Wetland restored to previous contours.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Assessed as Class IV Health: unhealthy (35%),Resolved,None.,,,EDMONTON LOOP
E2,NE 33-51-23,E 10.2,EL4-0025.25,Soils - Stoniness,Additional stone picking required.,Stoniness.,No issues observed on construction right-of-way.,Resolved,None.,,,EDMONTON LOOP
E2,NE 33-51-23,E 10.7 to E 10.8,EL4-0025.25,Soils - Subsidence,Compacted area in accordance with EPP.,Potential subsidence.,No issues observed on construction right-of-way.,Resolved,None.,,,EDMONTON LOOP
E2,NE 33-51-23,E 10.8 to  E 10.83,EL4-0025.25,Soils - Stoniness,--,--,Increased stoniness on construction right-of-way compared to off construction right-of-way observed during ground reconnaissance.,Unresolved,Pick stones and monitor in 2011.,,,EDMONTON LOOP
E2,NW 34-51-23,E 10.9,EL4-0025.26,Vegetation - Weeds and Clubroot Disease,Shovel-sweep.,Weed introduction and spread.,No issues observed on construction right-of-way.,Resolved,None.,,,EDMONTON LOOP
E2,SW 34-51-23,E 11.4,EL4-0025.27,Soils - Subsidence,Compacted area in accordance with EPP.,Potential subsidence.,No issues observed on construction right-of-way.,Resolved,None.,,,EDMONTON LOOP
E2,SW 34-51-23,E 11.7,EL4-0025.27,Soils - Subsidence Soils - Stoniness,Compacted area in accordance with EPP. Additional stone picking required.,Potential subsidence. Stoniness.,No issues observed on construction right-of-way.,Resolved,None.,,,EDMONTON LOOP
E2,SW 34-51-23,E 12.0,EL4-0025.27,Vegetation - Weeds and Clubroot Disease,Compressed air.,Weed introduction and spread.,No issues observed on construction right-of-way.,Resolved,None.,,,EDMONTON LOOP
E2,SE 34-51-23,E 12.6,EL4-0025.28,Vegetation - Weeds and Clubroot Disease,Shovel-sweep.,Weed introduction and spread.,No issues observed on construction right-of-way.,Resolved,None.,,,EDMONTON LOOP
E2,SW 35-51-23,E 12.8 to  E 13.4,EL4-0025.29,Vegetation - Weeds,--,--,Moderate density of creeping thistle observed on construction right-of-way during ground reconnaissance.,Unresolved,Follow weed control plan and monitor in 2011.,,,EDMONTON LOOP
E2,SW 35-51-23,E 13.4 to E 13.5,EL4-0025.25,2Wetland - Class IV 008 Health: healthy (91%),Vegetation walked down prior to geotextile and ramp installation. Topsoil stripped along trench line. Silt fence installed. Ramp removed and topsoil replaced. Wetland restored to previous contours.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Assessed as Class IV off construction right-of-way Health: healthy (88%),Resolved,None.,,,EDMONTON LOOP
E2,SE 35-51-23,E 13.6 to  E 14.5,EL4-0025.30 EL4-0025.31 EL4-0025.32 EL4-0025.33,Vegetation - Establishment,--,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Unresolved,Reseed and monitor grass growth in 2011.,,,EDMONTON LOOP
E2,SE 35-51-23,E 14.2,EL4-0025.32,MWater Quality and Quantity ill Creek,No vehicle crossing installed. HDD method used.,--,No issues observed on construction right-of-way.,Resolved,None.,,,EDMONTON LOOP
E2,SW 36-51-23,E 14.5,EL4-0040.00,Vegetation - Weeds and Clubroot Disease,Compressed air.,Weed introduction and spread.,No issues observed on construction right-of-way.,Resolved,None.,,,EDMONTON LOOP
2,SE 36-51-23,E 15.3,EL4-0041.00,Vegetation - Weeds and Clubroot Disease,Compressed air.,Weed introduction and spread.,No issues observed on construction right-of-way.,Resolved,None.,,,EDMONTON LOOP
2,SE 36-51-23,E 15.4 to 13.0,EL4-0041.00 EL4-0041.01 EL4-0041.03,Vegetation - Weeds,Cultivated prior to seeding.,Weed introduction and spread.,Moderate density of creeping thistle on construction right-of-way.,Unresolved,Follow weed control plan and monitor in 2011.,,,EDMONTON LOOP
2,NE 25-51-23,13.3 to 13.85,EL4-0042.00,Vegetation - Weeds,Cultivated prior to seeding.,Weed introduction and spread.,No issues observed on construction right-of-way.,Resolved,None.,,,EDMONTON LOOP
2,NE 25-51-23,13.85,EL4-0042.00,Vegetation - Weeds,Cultivated prior to seeding.,Weed introduction and spread.,High density of creeping thistle on construction right-of-way.,Unresolved,Follow weed control plan and monitor in 2011.,,,EDMONTON LOOP
2,NE 25-51-23,13.85 to 14.3,EL4-0042.00,Vegetation - Weeds and Clubroot Disease,Cultivated prior to seeding. Shovel-sweep.,Weed introduction and spread.,No issues observed on construction right-of-way.,Resolved,None.,,,EDMONTON LOOP
2,SW 30-51-22,14.3 to 14.7,EL4-0044.00,Vegetation - Weeds,Mowed weeds.,Weed introduction and spread.,"High density of scentless chamomile, green smartweed and wild buckwheat on construction right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,EDMONTON LOOP
2,SW 30-51-22,14.6,EL4-0044.00,Soils - Subsidence,--,--,Severe subsidence observed on construction construction right-of-way during ground reconnaissance.,Unresolved,Repair subsidence and monitor in 2011.,,,EDMONTON LOOP
2,SW 30-51-22,14.7 to 15.2,EL4-0044.01,Vegetation - Weeds and Clubroot Disease,Cultivated prior to seeding and mowed weeds. Shovel-sweep.,Weed introduction and spread.,Moderate density of creeping thistle and low density scentless chamomile on construction right-of-way.,Unresolved,Follow weed control plan and monitor in 2011.,,,EDMONTON LOOP
2,NW 19-51-22,15.2 to 15.8,EL4-0045.00,Vegetation - Weeds,Cultivated prior to seeding.,Weed introduction and spread.,Moderate density of creeping thistle and white cockle on construction right-of-way.,Unresolved,Follow weed control plan and monitor in 2011.,,,EDMONTON LOOP
2,NE 19-51-22,15.8,EL4-0045.00,Vegetation - Weeds and Clubroot Disease,Shovel-sweep.,Weed introduction and spread.,Moderate density of creeping thistle and white cockle on construction right-of-way.,Unresolved,Follow weed control plan and monitor in 2011.,,,EDMONTON LOOP
2,SE 19-51-22,16.1 to 17.2,EL4-0048.00 EL4-0049.00,Vegetation - Weeds,Cultivated prior to seeding.,Weed introduction and spread.,High density of creeping thistle and low density white cockle on construction right-of-way.,Unresolved,Follow  weed control plan and monitor in 2011.,,,EDMONTON LOOP
2,SE 19-51-22,16.1 to 16.2,EL4-0048.00,2Wetland - Class V 008 Health: no baseline assessment completed,Vegetation walked down prior to geotextile and ramp installation. Topsoil stripped along trench line. Silt fence installed. Ramp removed and topsoil replaced. Wetland restored to previous contours.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: healthy with problems (67%) Weeds: creeping thistle; excessively weedy Bare ground on construction right-of-way Minor ponding on construction right-of-way.,Unresolved,Follow  weed control plan Monitor in 2011.,,,EDMONTON LOOP
2,NE 18-51-22,17.2,EL4-0050.00,Vegetation - Weeds and Clubroot Disease,Shovel-sweep.,Weed introduction and spread.,Moderate density of creeping thistle and low density white cockle on construction right-of-way.,Unresolved,Follow  weed control plan and monitor in 2011.,,,EDMONTON LOOP
2,NE 18-51-22,17.2 to 17.3,EL4-0050.00,Vegetation - Weeds,Cultivated prior to seeding; cultivated and reseeded; repaired topsoil.,Weed introduction and spread.,Moderate density of creeping thistle and low density of white cockle on construction right-of-way.,Unresolved,Follow  weed control plan and monitor in 2011.,,,EDMONTON LOOP
2,NW 17-51-22,17.3,EL4-0051.00,Soils - Subsidence,None.,Potential subsidence.,No issues observed on construction right-of-way.,Resolved,None.,,,EDMONTON LOOP
2,NW 17-51-22,17.3 to 18.2,EL4-0051.00 EL4-0051.01,Vegetation - Weeds,--,--,"Moderate density of white cockle, scentless chamomile and creeping thistle observed on construction right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,EDMONTON LOOP
2,SW 17-51-22,18.25,EL4-0052.00,Soils - Compaction,--,--,Area of moderate compaction observed on construction right-of-way during ground reconnaissance.,Unresolved,"Monitor grass growth in 2011. Alleviate compaction in 2011, if warranted.",,,EDMONTON LOOP
2,SW 17-51-22,18.5 to 18.9,EL4-0052.00,2Wetland - Class IV 008 Health: healthy with problems (74%),Vegetation walked down prior to geotextile and ramp installation. Topsoil stripped along trench line. Silt fence installed. Ramp removed and topsoil replaced. Wetland restored to previous contours.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: healthy with problems (62%),Resolved,None.,,,EDMONTON LOOP
2,SW 17-51-22,18.6 to 18.75,EL4-0052.00,Vegetation - Weeds,--,--,High density of hemp-nettle observed on construction right-of-way.,Unresolved,Follow weed control plan and monitor in 2011.,,,EDMONTON LOOP
2,SE 17-51-22,18.75 to 19.0,EL4-0053.01,Vegetation - Weeds,--,--,"High density of hemp-nettle, lamb's-quarters, creeping thistle and white cockle observed on construction right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,EDMONTON LOOP
2,NE 8-51-22,19.0,EL4-0054.00,Vegetation - Weeds and Clubroot Disease,Compressed air.,Weed introduction and spread.,Moderate density of wild buckwheat observed on construction right-of-way.,Unresolved,Follow weed control plan and monitor in 2011.,,,EDMONTON LOOP
2,SW 9-51-22,20.3,EL4-0056.00,Vegetation - Weeds and Clubroot Disease,Shovel-sweep.,Weed introduction and spread.,High density of creeping thistle and white cockle observed on construction right-of-way.,Unresolved,Follow weed control plan and monitor in 2011.,,,EDMONTON LOOP
2,SW 9-51-22 to NW 4-51-22,20.5 to 21.8,EL4-0056.00 to EL4-0058.01,Topography Soils - Water Erosion,Restored slope to preconstruction profile.,Potential for erosion until vegetation is established.,No issues observed on construction right-of-way.,Resolved,None.,,,EDMONTON LOOP
2,NW 4-51-22,21.0 to 21.8,EL4-0057.00 EL4-0057.01 EL4-0057.02,Vegetation - Weeds,--,--,"High density of stinkweed, hemp-nettle and Russian pigweed observed on construction right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,EDMONTON LOOP
2,NW 4-51-22,21.7,EL4-0057.02,Soils - Compaction,--,--,Moderate compaction and poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Unresolved,"Monitor grass growth in 2011.  Alleviate compaction in 2011, if warranted.",,,EDMONTON LOOP
2,NE 4-51-22,21.8 to 22.0,EL4-0058.00 EL4-0058.01,Topography Soils - Water Erosion,Restored slope to preconstruction profile.,Potential for erosion until vegetation is established.,No issues observed on construction right-of-way.,Resolved,None.,,,EDMONTON LOOP
2,NE 4-51-22,21.8,EL4-0058.01,Vegetation - Weeds and Clubroot Disease,Shovel-sweep.,Weed introduction and spread.,"Moderate density of white cockle, creeping thistle, hemp-nettle and stinkweed on construction right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,EDMONTON LOOP
2,SE 4-51-22,22.0 to 22.9,EL4-0059.00 EL4-0059.01 EL4-0060.00 EL4-0060.01,Vegetation - Weeds,--,--,"High weed density of white cockle, creeping thistle, hemp-nettle, lamb's-quarters and stinkweed observed on construction right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,EDMONTON LOOP
2,SE 4-51-22,22.0 to 22.9,EL4-0059.00 EL4-0059.01 EL4-0060.00 EL4-0060.01,Vegetation - Establishment,--,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Unresolved,Reseed and monitor grass growth in 2011.,,,EDMONTON LOOP
2,SE 4-51-22,22.0 to 22.9,EL4-0059.00 EL4-0059.01 EL4-0060.00 EL4-0060.01,Soils - Stoniness,--,--,Increased stoniness on construction right-of-way compared to off construction right-of-way observed on construction right-of-way during ground reconnaissance.,Unresolved,Pick stones and monitor in 2011.,,,EDMONTON LOOP
2,SE 4-51-22,22.5 to 22.7,EL4-0060.01,2Wetland - Class III 008 Health: healthy (81%),Vegetation walked down prior to geotextile and ramp installation. Topsoil stripped along trench line. Silt fence installed. Ramp removed and topsoil replaced. Wetland restored to previous contours.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,"Health: unhealthy (16%) Weeds: creeping thistle, bladder campion; excessively weedy Was potentially seeded (wheat growing in wetland) Approx. 15-30 cm crown",Unresolved,Follow weed control plan Monitor in 2011.,,,EDMONTON LOOP
2,NE 32-50-22,22.9,EL4-0061.00,Vegetation - Weeds and Clubroot Disease,Power wash/mist.,Weed introduction and spread.,No issues observed on construction right-of-way.,Resolved,None.,,,EDMONTON LOOP
2,NW 33-50-22,23.3,EL4-0062.02,Vegetation - Weeds and Clubroot Disease,Shovel-sweep.,Weed introduction and spread.,"High density of stinkweed, scentless chamomile and perennial sow-thistle on construction right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,EDMONTON LOOP
2,SW 33-50-22,23.9,EL4-0063.00,Vegetation - Weeds and Clubroot Disease,Shovel-sweep.,Weed introduction and spread.,Pipeline integrity testing taking place at time of ground reconnaissance. Unable to assess.,Unresolved,Monitor in 2011.,,,EDMONTON LOOP
2,NE 28-50-22,24.9,EL4-0065.00 EL4-0065.01,Vegetation - Weeds and Clubroot Disease,Shovel-sweep.,Weed introduction and spread.,Could not access due to fencing around Elk Farm.,Unresolved,Monitor in 2011.,,,EDMONTON LOOP
3,SW 27-50-22,26.1 to 26.9,EL4-0067.00,Vegetation - Weeds,--,--,"High density of creeping thistle, stinkweed, white cockle and hemp-nettle observed on construction right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,EDMONTON LOOP
3,NW 22-50-22,26.9 to 27.6,EL4-0068.00,Vegetation - Weeds and Clubroot Disease,Power wash/mist.,Weed introduction and spread.,"High density of stinkweed, lamb's-quarters, hemp-nettle and white cockle on construction right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,EDMONTON LOOP
3,NW 22-50-22,26.9,EL4-0068.00,Vegetation - Establishment,--,--,Poor grass growth on construction right-of-way at road crossing observed during ground reconnaissance.,Unresolved,Reseed and monitor grass growth in 2011.,,,EDMONTON LOOP
3,NE 22-50-22,27.5,EL4-0069.00,Vegetation - Weeds and Clubroot Disease,Shovel-sweep.,Weed introduction and spread.,High density of white cockle and lamb's-quarters on construction right-of-way.,Unresolved,Follow weed control plan and monitor in 2011.,,,EDMONTON LOOP
3,SE 22-50-22,27.8 to 28.8,EL4-0070.00,Vegetation - Weeds,--,--,Moderate density of white cockle and hemp-nettle observed on construction right-of-way during ground reconnaissance.,Unresolved,Follow weed control plan and monitor in 2011.,,,EDMONTON LOOP
