Legal Location,Sample Points,Lat/Long UTM,Land Use/Feature,Issue(s) Observed,Observations/Comments,Status,Recommendations,VEC,GIS,Topic
,KP 20.4 to KP 20.5,55 45’34” -119 54’2”,Forested,"Vegetation - Invasive Plants Category 1 (for Invasive Plants), Physical Environment - Erosion","Canada Thistle patch noted along RoW, Cleavers also noted within area, a swale with deep erosion channel was also noted in this area. Reclamation was carried out in fall 2018 to reclaim erosion channel.",Unresolved,2019 - Recommend that area be included in Pembina’s ongoing Weed Management Plan. Re-assess effectiveness of reclamation and weed issues.,,,
NE-14-078-13 Crown Land,KP 21.2,55 45’34” -119 53’54”,Forested,Vegetation Establishment Category 2,"Minimal vegetation coverage noted within a low, wet area.",Unresolved,2019 - Re-assess for vegetation establishment. Re-seed if required.,,,
SE-14-078-13 Crown Land,KP 21.3,55 45’33” -119 53’26”,Forested,Vegetation Establishment Category 2,Minimal vegetation coverage noted within area.,Unresolved,2019 - Re-assess for vegetation establishment. Re-seed if required.,,,
SW-13-078-13 Crown Land,,,Forested,No issues noted,"Soil, contour and vegetative cover was consistent with surrounding area.",Resolved,No further action required.,,,
SE-13-078-13 Crown Land,,,Forested,No issues noted,"Soil, contour and vegetative cover was consistent with surrounding area.",Resolved,No further action required.,,,
NE-13-078-13 Crown Land,,,Forested,No issues noted,"Soil, contour and vegetative cover was consistent with surrounding area.",Resolved,No further action required.,,,
NW-18-078-12 Crown Land,KP 23.5,55 45’56” -119 51’33”,Forested,Vegetation Establishment Category 2,Minimal vegetation coverage noted within area.,Unresolved,2019 - Re-assess for vegetation establishment. Re-seed if required.,,,
SW-19-078-12 Crown Land,,,Forested,No issues noted,"Soil, contour and vegetative cover was consistent with surrounding area.",Resolved,No further action required.,,,
SE-19-078-12 Crown Land,KP 26.2,,Forested,Other - Debris,Pieces of pipe noted within this area along with a wood pile on the RoW. Pipe and wood were removed fall 2018.,Resolved,No further action required.,,,
SW-20-078-12 Crown Land,KP 25.3,55 46’22” -119 49’54”,Forested,"Physical Environment - Erosion, Vegetation Establishment Category 1",Erosion within RoW noted in this area. Area was re?contoured fall 2018.,Unresolved,2019 - Re-assess area for reclamation effectiveness and vegetation establishment.,,,
SE-20-078-12 Crown Land,KP 26.2,55 46’22” -119 49’21”,Forested,Vegetation Establishment Category 2,Low vegetative cover noted within this area.,Unresolved,2019 - Re-assess for vegetation establishment. Re-seed if required.,,,
