KP Range,Issue(s),Note(s) from Year 4 PCEM Report,Recommendations,2016 Status,VEC,GIS,Topic
6.00 – 7.00,Vegetation Establishment/ Soil Admixing,"Low to no vegetation establishment in rare ecosystem from KP 6.00 to KP 6.17. Low to no vegetation establishment from KP 6.28 to KP 6.58, and from KP 6.84 to KP 7.00 likely due to soil admixing.",Reseed in spring 2015 and monitor vegetation establishment in 2016.,Resolved –  Good vegetation growth in the remaining identified areas.,,,
7.00 – 8.00,Vegetation Establishment/ Soil Admixing,MLow to no vegetation establishment from KP 7.00 to KP 7.10 due to soil admixing. oderate vegetation establishment from KP 7.22 to KP 7.54 due to soil admixing.,Reseed in spring 2015 and monitor vegetation establishment in fall 2015.,Resolved –  Good vegetation growth in the remaining identified areas.,,,
,Physical Environment – Erosion/ Infrastructure and Services – Refuse,ADrainage observed through ROW at KP 7.20 causing minor erosion. Remnant geotextile fabric observed within drainage.  large soil pile associated with a temporary work zone was identified as remaining at KP 7.80.,RMonitor erosion in 2016 and repair if unstable. Dispose of refuse appropriately. econtour soil pile and monitor in 2015.,Resolved – Geotextile removed,,,
8.00 – 9.00,Physical Environment – Erosion,Tributary to Brazion Creek identified at KP 8.14 with sloughing along the left bank.,Monitor erosion and repair if unstable.,Resolved –  No erosion present at this location.,,,
8.00 – 9.00,Infrastructure and Services – Temporary Work Structures,Corduroy remaining along east side of ROW from KP 8.56 to KP 8.73 limiting vegetation establishment.,Remove corduroy and monitor for vegetation establishment.,Resolved –Corduroy decaying,,,
8.00 – 9.00,Vegetation Establishment/ Soil Admixing,MLow vegetation establishment from KP 8.48 to KP 8.54 likely due to admixing. oderate vegetation establishment from KP 8.19 to KP 8.48 likely due to soil admixing.,Reseed in spring 2015 and monitor vegetation establishment.,Resolved –   Good vegetation growth in the remaining identified areas.,,,
9.00 – 10.00,Physical Environment – Trench Crown,Trench crown observed from KP 9.19 to KP 9.44; does not appear to affect drainage across the ROW.,Install breaks in trench crown and monitor in 2015.,Resolved – No environmental concerns.,,,
9.00 – 10.00,Vegetation Establishment/ Soil Admixing,Low to moderate vegetation establishment from KP 9.00 to KP 9.44 and from KP 9.76 to KP 9.85 due to admixing.,Monitor vegetation establishment in 2016.,Resolved –  Good vegetation growth in the remaining identified areas,,,
10.00 – 11.00,Physical Environment – Trench Crown,Trench crown observed from KP 10.66 to KP 10.85 affecting drainage across the ROW.,Install breaks in trench crown and monitor.,Resolved,,,
10.00 – 11.00,Vegetation Establishment/ Soil Admixing,Moderate vegetation establishment at KP 10.00 likely due to soil admixing.,Reseed in spring 2015 and monitor vegetation establishment.,Resolved –  Good vegetation growth in the remaining identified areas,,,
,Vegetation – Weeds,Low density of scentless chamomile observed along ROW shoo-fly access road at KP 10.22 during the Year 6 PCEM.,Spray and monitor weeds in 2017,Unresolved,,,
,Physical Environment – Erosion,Erosion channel observed along east side of trench crown KP 10.66 to KP 10.80.,Monitor erosion and repair if unstable.,Resolved –  No erosion present at this location.,,,
11.00 – 12.00,Infrastructure and Services – Culvert/ Physical Environment - Erosion,MCrushed culvert observed at KP 11.69.  inor erosion observed along drainage to culvert (Crossing #2) from KP 11.75 to KP 11.80.,Replace culvert and monitor in 2015 to ensure culvert is not affecting drainage along road through the ROW. Repair eroded area if unstable.,RResolved epaired.,,,
11.00 – 12.00,Vegetation – Weeds,Low density of scentless chamomile observed along access road that parallels the ROW at KP 11.62.,Spray and monitor weeds in 2017,Unresolved,,,
11.00 – 12.00,Vegetation – Weeds,"Low densities of dandelion, and narrow-leaved hawks beard associated with access road at KP 11.64.",Control weeds and monitor in 2016.,Resolved,,,
