Environmental Issue/ Concern,Location,Current Status,Recommendations/ Schedule,VEC,GIS,Topic
Conversion  Site contours,SE 19-17-23-W2 Belle Plain + 6.3km (MLV 15),"Re-contouring of subsoil and topsoil, cultivate","Re-contour subsoil and topsoil, cultivate - Spring thru Fall 2011.",,,
Conversion  Site contours,SE 2-17-21-W2 Dig 510,Topsoil not replaced evenly - requires re-grading to level out work area and even up topsoil depths,Re-grade topsoil to level out work area and even up topsoil depths - Spring thru Fall 2011.,,,
Conversion  Site contours,SE 2-17-20-W2 Steelman MS,Some soil re-contouring and seeding,Re-contour soil and seed - Spring thru Fall 2011,,,
Conversion  Site contours,NE 36-16-20-W2 Belle Plain+45.3km RV,One topsoil stockpile to be cleaned up,Cleanup topsoil stockpile - Spring thru Fall 2011,,,
Conversion  Site contours,NW 34-16-18-W2 Richardson Compressor / PS,Minor re-contouring to allow proper water drainage north into bar ditch,Re-contour to allow proper water drainage north into bar ditch - Spring thru Fall 2011,,,
Conversion  Site contours,NE 23-15-5-W2 MLV 22,Electrical Trench sinkage - requires re-contouring.,Re-contour soil - Spring thru Fall 2011,,,
Conversion  Site contours,NW 12-15-1-W2  Dig 657.1,Uniformly spread topsoil and re-seed to landowner mix,Uniformly spread topsoil and re-seed to landowner mix - Spring thru Fall 2011,,,
Conversion  Potential land levelling,SE 24-10-5-WP Carman Sales M/S,"Spots backfilled over line on new ROW has settled in some spots and water is pooling, topsoil may be require to be brought in to fill these spots, or re grading. Land owners drainage ditch was not contoured back to grade and water is not running through it but pooling in it instead.","Re-contour soil on new ROW, topsoil may be required to be brought in to fill these spots. Re-contour drainage ditch to allow water to move without pooling. - Spring thru Fall 2011",,,
Conversion  Potential soils mixing-monitor,SE 6-18-29-W2 Digs 288-294,Minor soils mixing during the topsoil stripping and site access components. Site cleanup in 2010 uniformly replaced topsoil across affected portions of the ROW.,"As additional cleanup to correct deficiencies was completed as various times in the growing season, seeding of crops and associated productivity could not be quantified.  Although early indications show no further concerns, assessments will be conducted at the appropriate time in 2011 to determine if additional remediation is required",,,
Conversion  Potential soils mixing-monitor,SW 5-18-29-W2 Digs 295-296,Minor soils mixing during the topsoil stripping and site access components. Site cleanup in 2010 uniformly replaced topsoil across affected portions of the ROW.,"As additional cleanup to correct deficiencies was completed as various times in the growing season, seeding of crops and associated productivity could not be quantified.  Although early indications show no further concerns, assessments will be conducted at the appropriate time in 2011 to determine if additional remediation is required",,,
Conversion  Potential soils mixing-monitor,"SE 5-18-29-W2 Digs 297, 298.1, 299",Minor soils mixing during the topsoil stripping and site access components. Site cleanup in 2010 uniformly replaced topsoil across affected portions of the ROW.,"As additional cleanup to correct deficiencies was completed as various times in the growing season, seeding of crops and associated productivity could not be quantified.  Although early indications show no further concerns, assessments will be conducted at the appropriate time in 2011 to determine if additional remediation is required",,,
Conversion  Potential soils mixing-monitor,SW 35-17-28-W2 Digs 405-406,Minor soils mixing during the topsoil stripping and site access components. Site cleanup in 2010 uniformly replaced topsoil across affected portions of the ROW.,"As additional cleanup to correct deficiencies was completed as various times in the growing season, seeding of crops and associated productivity could not be quantified.  Although early indications show no further concerns, assessments will be conducted at the appropriate time in 2011 to determine if additional remediation is required",,,
Conversion  Potential soils mixing-monitor,SE 33-17-27-W2 Dig 409,Minor soils mixing during the topsoil stripping and site access components. Site cleanup in 2010 uniformly replaced topsoil across affected portions of the ROW.,"As additional cleanup to correct deficiencies was completed as various times in the growing season, seeding of crops and associated productivity could not be quantified.  Although early indications show no further concerns, assessments will be conducted at the appropriate time in 2011 to determine if additional remediation is required",,,
Conversion  Re-seeding,NE 26-19-24-W3 Dig 20  MLV 3 (22+730.066),Dig site requires re-seeding.,Re-seed - Spring thru Fall 2011.,,,
Conversion  Re-seeding,SW 26-19-23-W3 Dig 21 MLV 4 (1+856.868),Dig site requires re-seeding.,Re-seed - Spring thru Fall 2011.,,,
Conversion  Re-seeding,SE 25-19-23-W3 Dig 21.1  MLV 4 (4+709),Dig site requires re-seeding.,Re-seed - Spring thru Fall 2011.,,,
