Legal Location,Approximate KP,Tract No(s).,Environmental Issue(s),Observation(s) in 2010,Observation(s) in 2011,TERA Observation(s) in 2012,TERA Observation(s) in 2013,TERA Observation(s) in 2014,Repairs to Date  (2010 to 2014),Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
SE 9-35-24,325.4 to 325.5,586,Vegetation – Weeds,--,--,High density of foxtail barley and moderate density of gumweed was observed on the construction right-of-way during ground reconnaissance.,Foxtail barley present in higher densities on the construction right-of-way than off.,Weeds are present at a higher density on the construction right-of-way than off.,Canada thistle spot sprayed in summer 2012.,Unresolved,This issue will be managed as directed within the AAFC CPP Management Plan. See Appendix B for details.,,W3M,Saskatchewan
SE 10-35-24,326.55 to 326.8,588,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance. Heavy cattle traffic on construction right-of-way.,Patches of poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Patches of low vegetation establishment observed on construction right-of-way during ground reconnaissance.,Issue assessed by EI in 2014.,Reseeded in fall 2011.,Unresolved,This issue will be managed as directed within the AAFC CPP Management Plan. See Appendix B for details.,,W3M,Saskatchewan
NE 3-35-24,326.8 to 327.6,589,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Poor vegetation establishment observed along construction right-of-way and within wetland/wet area during ground reconnaissance.,Vegetation establishment on construction right-of-way not equal to off.,Issue assessed by EI in 2014.,Reseeded in fall 2011.,Unresolved,This issue will be managed as directed within the AAFC CPP Management Plan. See Appendix B for details.,,W3M,Saskatchewan
NE 3-35-24,326.8 to 327.6,589,Vegetation - Weeds,High density of foxtail barley and kochia observed on construction right-of-way during ground reconnaissance.,"High density of foxtail barley, gumweed and kochia observed on construction right-of-way during ground reconnaissance.",Moderate densities of foxtail barley and gumweed observed on construction right-of-way during ground reconnaissance.,Weeds are present at a higher density on the construction right-of-way than off.,Weeds are present at a higher density on the construction right-of-way than off.,Weeds mowed in summer 2010.,Unresolved,This issue will be managed as directed within the AAFC CPP Management Plan. See Appendix B for details.,,W3M,Saskatchewan
NW 2-35-24,327.6 to 328.0,590,Vegetation - Weeds,--,"High density of foxtail barley, kochia, annual sow-thistle and gumweed observed on construction right-of-way during ground reconnaissance.",Moderate densities of foxtail barley and gumweed observed on construction right-of-way during ground reconnaissance.,Gumweed remains an issue from KP 327.6 to KP 328.0.,Weeds are present at a higher density on the construction right-of-way than off.,Weeds sprayed in fall 2011.,Unresolved,This issue will be managed as directed within the AAFC CPP Management Plan. See Appendix B for details.,,W3M,Saskatchewan
NW 2-35-24,327.6 to 328.0,590,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,"Grasses are establishing, however, densities on the construction right-of-way are not yet equal to off. Sparsely vegetated patches are present.",Issue assessed by EI in 2014.,--,Unresolved,This issue will be managed as directed within the AAFC CPP Management Plan. See Appendix B for details.,,W3M,Saskatchewan
SW 1-35-24,329.3 to 329.9,593,Vegetation - Weeds,--,"High density of foxtail barley, annual sow-thistle and gumweed observed on construction right-of-way during ground reconnaissance.","Moderate densities of foxtail barley, perennial sow-thistle and gumweed observed on construction right-of-way during ground reconnaissance.","Gumweed, perennial sow-thistle, foxtail barley and sweet clover remain as weed issues in this area.",Weeds are present at a higher density on the construction right-of-way than off.,Canada thistle spot sprayed in summer 2012.,Unresolved,This issue will be managed as directed within the AAFC CPP Management Plan. See Appendix B for details.,,W3M,Saskatchewan
NW 35-34-24,329.9 to 330.3,594,Vegetation - Weeds,--,"High density of foxtail barley, bull thistle and gumweed observed on construction right-of-way during ground reconnaissance.","Moderate densities of foxtail barley, perennial sow-thistle and gumweed observed on construction right-of-way during ground reconnaissance.",Gumweed remains an issue in this area. No perennial sow-thistle observed.,Weeds are present at a higher density on the construction right-of-way than off.,Canada thistle spot sprayed in summer 2012.,Unresolved,This issue will be managed as directed within the AAFC CPP Management Plan. See Appendix B for details.,,W3M,Saskatchewan
NW 35-34-24,330.0 to 330.3,593,Vegetation - Establishment,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Poor vegetation observed on construction right-of-way during ground reconnaissance. Likely due to livestock disturbance.,Vegetation parameters observed on construction right-of-way not equal to off.,Issue assessed by EI in 2014.,--,Unresolved,This issue will be managed as directed within the AAFC CPP Management Plan. See Appendix B for details.,,W3M,Saskatchewan
NE 35-34-24,330.3 to 331.3,595,Vegetation - Weeds,--,"High density of foxtail barley, bull thistle and gumweed observed on construction right-of-way during ground reconnaissance.",Moderate density of foxtail barley observed on construction right-of-way during ground reconnaissance.,Foxtail barley present at higher density on the construction right-of-way than off.,Weeds are present at a higher density on the construction right-of-way than off.,Canada thistle spot sprayed in summer 2012.,Unresolved,This issue will be managed as directed within the AAFC CPP Management Plan. See Appendix B for details.,,W3M,Saskatchewan
SW 29-34-23,335.15,603,Vegetation - Weeds,Moderate density of foxtail barley on construction right-of-way.,"Moderate density of foxtail barley, gumweed, Canada thistle and kochia observed on construction right-of-way during ground reconnaissance.",Patches of Canada thistle observed on construction right-of-way during ground reconnaissance.,Canada thistle issue now restricted to a single patch at KP 335.15. No weed issues observed within the remainder of this quarter-section.,No weed issues observed within this quarter-section. Spraying efforts have been successful.,Weeds mowed in summer 2010. Canada thistle spot sprayed in summer 2012.,Resolved,None.,,W3M,Saskatchewan
SE 29-34-23,336.45,604,Vegetation - Weeds,--,Moderate density of Canada thistle and gumweed observed on construction right-of-way during ground reconnaissance.,Low density of Canada thistle observed on construction right-of-way during ground reconnaissance.,Numerous sporadic Canada thistle plants observed along the construction right-of-way.,Canada thistle observed along the construction right-of-way.,Weeds sprayed in summer 2011. Canada thistle spot sprayed in summer 2012.,Unresolved,"Although this land is not part of the Progress Pasture, this issue will be managed as directed within the AAFC CPP Management Plan due to its proximity. See Appendix B for details.",,W3M,Saskatchewan
SE 5-34-22,347.7 to 348.3,625,Vegetation - Establishment,--,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,An area (approximately  8 m x 50 m) of bare ground exists on the construction  right-of-way near KP 348.21. Some foxtail barley growing in patches within this area.,Issue assessed by EI in 2014.,Reseeded in 2011. Weeds sprayed in summer 2012.,Unresolved,This issue will be managed as directed within the AAFC CPP Management Plan. See Appendix B for details.,,W3M,Saskatchewan
SE 5-34-22,347.4 to 348.07,625,Vegetation - Weeds,--,--,--,"Perennial sow-thistle, gumweed and kochia observed at moderate densities on the construction right-of-way.",Weeds are present at a higher density on the construction right-of-way than off.,--,Unresolved,This issue will be managed as directed within the AAFC CPP Management Plan. See Appendix B for details.,,W3M,Saskatchewan
SW 4-34-22,348.4 to 348.9,626,Vegetation - Weeds,Moderate density of foxtail barley and lamb's-quarters on construction right-of-way.,Moderate density of foxtail barley and gumweed observed on construction right-of-way during ground reconnaissance.,Moderate densities of perennial sow-thistle and Canada thistle observed on construction right-of-way during ground reconnaissance.,Weed densities remain higher on the construction right-of-way than off.,Weeds are present at a higher density on the construction right-of-way than off.,Canada thistle spot sprayed in summer 2012.,Unresolved,This issue will be managed as directed within the AAFC CPP Management Plan. See Appendix B for details.,,W3M,Saskatchewan
NW 35-29-13,449.6 to 449.85,788,Vegetation – Crop Growth,--,--,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,Field was not seeded at time of assessment. Could not assess crop height.,Access to land not granted at time of the 2014 assessment. Issue assessed by EI in fall 2014. EI indicated that the crop has recovered following the subsidence repair and that no issues were observed.,Subsidence repaired in 2011.,Resolved,None.,,W3M,Saskatchewan
NE 35-29-13,449.85 to 450.8,789,Vegetation – Crop Growth,--,--,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,Field was not seeded at time of assessment. Could not assess crop height.,Access to land not granted at time of the 2014 assessment. Issue assessed by EI in fall 2014. EI has indicated that the crop has recovered from the subsidence repair and that no issues were observed.,Subsidence repaired in 2011.,Resolved,None.,,W3M,Saskatchewan
SW 27-29-12,458.0,801,Soils - Subsidence,Issue reported by Construction Contractor.,Land access was not granted by the landowner at the time of ground reconnaissance.,Minor soil subsidence (approximately 20 m long) observed on construction right--of-way during ground reconnaissance. Reduced crop height observed over trench line.,No subsidence issues observed. Field was fallow at time of survey.  Status of issue has been amended to unresolved as a result of the NEB IR No. 1. Further monitoring will occur in 2014.,Access to land not granted at time of the 2014 assessment. Issue assessed by EI in fall 2014. EI indicated that there have not been any landowner complaints specific to the subsidence issue post-harvest in 2014.,Subsidence repaired in 2010 and in May 2013.,Unresolved,Enbridge will continue to work with landowner to address the issue if necessary. See Appendix B for details.,,W3M,Saskatchewan
SE 17-29-11,M 1.75 to M 1.8,814 814.01,Soils - Subsidence,Moderate subsidence observed on construction right-of-way during ground reconnaissance.,Land access was not granted by the landowner at the time of ground reconnaissance.,Land access was not granted by the landowner at the time of ground reconnaissance.,Land access was not granted by the landowner at the time of ground reconnaissance. EI reported that issue was repaired in fall 2013. Follow-up monitoring to occur in 2014.,Subsidence observed by landowner on construction right-of-way.,Subsidence repaired in 2010. Subsidence repaired in fall 2013.,Unresolved,Enbridge will work with the landowner to repair the issues when/as warranted. See Appendix B for details.,,W3M,Saskatchewan
NE 8-29-11,M 1.8 to M 2.6,815,Vegetation - Weeds Land and Resource Use - Certified/ Registered Seed Grower,"Moderate density of foxtail barley, flixweed and lamb's-quarters on construction right-of-way.",Moderate density of foxtail barley and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,Low to moderate densities of Canada thistle and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,Canada thistle observed at low to moderate densities along the construction right-of-way. This area was reseeded in the fall of 2013 following a repair to a subsidence issue and follow-up monitoring will occur in 2014.,No weed issues observed on construction right-of-way and landowner has no further concerns. Chemical control appears to have been successful.,Canada thistle spot sprayed in summer 2012. 2013: Chemical weed management of Canada thistle completed. Site reseeded in fall 2013 following subsidence repair.,Resolved,None.,,W3M,Saskatchewan
NE 8-29-11,M 2.0,815,Soils - Subsidence,--,Moderate subsidence observed on construction right-of-way during ground reconnaissance.,Moderate subsidence (approximately 1 m x 0.5 m x 12 m) observed on construction right-of-way during ground reconnaissance.,Moderate subsidence observed on construction right-of-way. This site was repaired in September 2013 and follow-up monitoring will occur in 2014.,Subsidence issue resolved and landowner has no further concerns.,Subsidence repaired in September 2013.,Resolved,None.,,W3M,Saskatchewan
NW 9-29-11,M 2.6 to 2.7,816,Vegetation – Weeds,--,--,"Low to moderate densities of perennial sow-thistle, Canada thistle, foxtail barley, curled dock, flixweed, wild buckwheat and common goat’s-beard observed on construction right-of-way during ground reconnaissance.",Perennial sow-thistle and Canada thistle observed at moderate to high densities on the construction right-of-way.,No weed issues observed on construction right-of-way. Weed densities equal on and off right-of-way. Chemical control appears to have been successful.,Canada thistle spot sprayed in summer 2012 and September 2013.,Resolved,None.,,W3M,Saskatchewan
SW 20-28-9-3,486.0 to 486.29,846,Soils – Subsidence,--,--,Minor subsidence observed on construction right-of-way during ground reconnaissance causing a drainage issue. Erosion occurring over trench line.,Issue not assessed in 2013. Follow-up monitoring to occur in 2014.,Access to land not granted at time of the 2014 assessment. Issue assessed by EI in fall 2014. EI indicated that subsidence repairs were successful and no issues were observed in 2014.,Subsidence repaired in spring 2013.,Resolved,None.,,W3M,Saskatchewan
SE 14-28-9-3,492.7 to 493.0,856,Soils - Subsidence,--,Subsidence observed on construction right-of-way during ground reconnaissance.,No subsidence issues observed on construction right-of-way during ground reconnaissance.,Issue not assessed in 2013. Follow-up monitoring to occur in 2014.,Access to land not granted at time of the 2014 assessment. Issue assessed by EI in fall 2014. EI indicated that subsidence repairs were successful and no issues were observed in 2014.,Subsidence repaired in 2011. Subsidence repaired in fall 2013.,Resolved,None.,,W3M,Saskatchewan
NE 36-27-8,504.1 to 504.38,875 876,Soils – Erosion,Rill erosion at KP 504.3 observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,No erosion observed on construction right-of-way during ground reconnaissance.,Land not assessed during 2013 survey. Status of issue amended to unresolved as a result of the 2012 NEB IR No. 1. Issue will be re-assessed in 2014.,No erosion issues observed on construction right-of-way. Grasses now well-established and area is stable.,"Erosion repaired in summer 2011, 2012 and 2013.",Resolved,None.,,W3M,Saskatchewan
SW 32-27-7,506.53 to 507.75,879,Vegetation - Weeds,"Moderate density of nodding thistle, lamb's-quarters and black medick observed on construction right-of-way during ground reconnaissance.","Moderate density of nodding thistle, annual sow-thistle and gumweed observed on construction right-of-way during ground reconnaissance.",Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Nodding thistle observed at a moderate density on the construction right-of-way.,No weed issues observed on construction right-of-way. Chemical control appears successful.,Weeds mowed in 2010 and 2011. Canada thistle and nodding thistle spot sprayed in summer 2012. Chemical application in fall 2013.,Resolved,None.,,W3M,Saskatchewan
SE 32-27-7,507.75 to 508.1,880 880.01 880.02 880.03,Vegetation - Weeds,"Moderate density of nodding thistle, lamb's-quarters and black medick observed on construction right-of-way during ground reconnaissance.",High density of nodding thistle and gumweed observed on construction right-of-way during ground reconnaissance.,Moderate densities of nodding thistle observed on construction right-of-way during ground reconnaissance.,Nodding thistle observed at moderate to high densities on the construction right-of-way.,Nodding thistle observed at higher densities on the construction right-of-way compared to off.,Weeds mowed in 2010 and 2011. Canada thistle and nodding thistle spot sprayed in summer 2012. Chemical application in fall 2013.,Unresolved,Enbridge will continue to control weeds as per the Nodding Thistle Management Plan. See Appendix B for details.,,W3M,Saskatchewan
NW 35-24-3  (Fish and Wildlife Development Funds Land),559.37 to 560.17,2464,Vegetation - Weeds,Moderate density of nodding thistle and lamb's-quarters on construction right-of-way.,High density of sweet clover and nodding thistle observed on construction right-of-way during ground reconnaissance.,Low to moderate densities of nodding thistle and gumweed observed on construction right-of-way during ground reconnaissance.,Nodding thistle observed at moderate densities concentrated on the construction right-of-way throughout the area.,Nodding thistle observed at higher densities on the construction right-of-way compared to off.,Weeds mowed in summer 2011.  Fall 2013: Chemical application completed.,Unresolved,Enbridge will continue to control weeds as per the Nodding Thistle Management Plan. See Appendix B for details.,,W3M,Saskatchewan
NW 35-24-3 to  NW 20-24-2 (Elbow AAFC CPP),560.17 to 566.3,2465,Vegetation - Weeds,Moderate density of nodding thistle and lamb's-quarters on construction right-of-way.,High density of sweet clover and nodding thistle observed on construction right-of-way during ground reconnaissance.,Low to moderate densities of nodding thistle and gumweed observed on construction right-of-way during ground reconnaissance.,Nodding thistle observed at moderate densities concentrated on the construction right-of-way throughout the area.,Nodding thistle observed at higher densities on the construction right-of-way compared to off.,Weeds mowed in summer 2011.  Fall 2013: Chemical application completed.,Unresolved,Enbridge will continue to control weeds as per the Nodding Thistle Management Plan. See Appendix B for details.,,W3M,Saskatchewan
SW 21-24-2,567.4,2468,Vegetation – Weeds,--,--,--,Moderate to high densities of foxtail barley and goosefoot species in low wetland area on the construction right-of-way.,No weed issues observed on construction right-of-way. Foxtail barley observed at very low densities. Vegetation well established.,--,Resolved,None.,,W3M,Saskatchewan
SW 6-24-1,575.9 to 576.2,2479,Vegetation - Weeds,Moderate density of nodding thistle on construction right-of-way.,High density of nodding thistle observed on construction right-of-way during ground reconnaissance.,"Low to moderate densities of nodding thistle, gumweed, Canada thistle and foxtail barley observed on construction right-of-way during ground reconnaissance.",Nodding thistle observed at higher densities on the construction right-of-way compared to off.,Nodding thistle observed at higher densities on the construction right-of-way compared to off.,Weeds mowed in summer 2011. Fall 2013: Chemical application completed. 2014: Manual trimming of mature plants and chemical application was completed.,Unresolved,Enbridge will continue to control weeds as per the Nodding Thistle Management Plan. See Appendix B for details.,,W3M,Saskatchewan
SE 6-24-1,576.2 to 576.5,2480,Vegetation - Weeds,Moderate density of nodding thistle on construction right-of-way.,High density of nodding thistle observed on construction right-of-way during ground reconnaissance.,"Low to moderate densities of nodding thistle, foxtail barley, Canada thistle and gumweed observed on construction right-of-way during ground reconnaissance.",Nodding thistle observed at higher densities on the construction right-of-way compared to off.,Nodding thistle observed at higher densities on the construction right-of-way compared to off.,Weeds mowed in summer 2011. Fall 2013: Chemical application completed. 2014: Manual trimming of mature plants and chemical application was completed.,Unresolved,Enbridge will continue to control weeds as per the Nodding Thistle Management Plan. See Appendix B for details.,,W3M,Saskatchewan
NE 31-23-1,576.5 to 577.2,2481,Vegetation - Weeds,Moderate density of nodding thistle on construction right-of-way.,High density of nodding thistle observed on construction right-of-way during ground reconnaissance.,"Low to moderate densities of nodding thistle, Canada thistle and gumweed observed on construction right-of-way during ground reconnaissance.",Several large patches of nodding thistle isolated to the construction right-of-way were observed.,Nodding thistle observed at higher densities on the construction right-of-way compared to off.,Weeds mowed in summer 2011. Fall 2013: Chemical application completed. 2014: Manual trimming of mature plants and chemical application was completed.,Unresolved,Enbridge will continue to control weeds as per the Nodding Thistle Management Plan. See Appendix B for details.,,W3M,Saskatchewan
SW 16-23-29,587.4 to 587.5,2494,Vegetation - Weeds,Issue reported by Construction Contractor.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Low to moderate densities of nodding thistle and Canada thistle observed on construction right-of-way during ground reconnaissance.,Nodding thistle observed at higher densities on the construction right-of-way compared to off.,Nodding thistle observed at higher densities on the construction right-of-way compared to off.,Weeds mowed in summer 2011. Fall 2013: Chemical application completed. 2014: Chemical application was completed.,Unresolved,Enbridge will continue to control weeds as per the Nodding Thistle Management Plan. See Appendix B for details.,,W3M,Saskatchewan
NE 9-23-29,588.0 to 589.0,2495.01,Vegetation - Weeds,Issue reported by Construction Contractor.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Nodding thistle observed at higher densities on the construction right-of-way compared to off.,Nodding thistle observed at higher densities on the construction right-of-way compared to off.,Weeds mowed summer 2011. Fall 2013: Chemical application completed. 2014: Chemical application was completed.,Unresolved,Enbridge will continue to control weeds as per the Nodding Thistle Management Plan. See Appendix B for details.,,W3M,Saskatchewan
NW 10-23-29,589.0 to 589.1,2496,Vegetation - Weeds,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Moderate densities of nodding thistle and foxtail barley observed on construction right-of-way during ground reconnaissance.,Nodding thistle observed at higher densities on the construction right-of-way compared to off.,Nodding thistle observed at higher densities on the construction right-of-way compared to off.,Weeds mowed in summer 2011. Fall 2013: Chemical application completed. 2014: Chemical application was completed.,Unresolved,Enbridge will continue to control weeds as per the Nodding Thistle Management Plan. See Appendix B for details.,,W3M,Saskatchewan
SW 10-23-29,589.1 to 589.8,2497,Vegetation - Weeds,Issue reported by Construction Contractor.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Moderate densities of nodding thistle and foxtail barley observed on construction right-of-way during ground reconnaissance.,Nodding thistle observed at higher densities on the construction right-of-way compared to off.,Nodding thistle observed at higher densities on the construction right-of-way compared to off.,Weeds mowed in summer 2011. Fall 2013: Chemical application completed. 2014: Chemical application was completed.,Unresolved,Enbridge will continue to control weeds as per the Nodding Thistle Management Plan. See Appendix B for details.,,W3M,Saskatchewan
SE 10-23-29,590.1 to 590.6,2498,Vegetation – Weeds,--,--,--,Nodding thistle and gumweed observed at higher densities on the construction right-of-way compared to off.,Nodding thistle observed at higher densities on the construction right-of-way compared to off.,2014: Chemical application was completed.,Unresolved,Enbridge will continue to control weeds as per the Nodding Thistle Management Plan. See Appendix B for details.,,W3M,Saskatchewan
NE 3-23-29,590.60 to 590.80,2498,Vegetation - Weeds,Issue reported by Construction Contractor.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Low density of nodding thistle observed on construction right-of-way. Low density of nodding thistle observed in preconstruction weed survey. Moderate to high densities of foxtail barley observed on construction right-of-way during ground reconnaissance.,Nodding thistle observed at moderate densities on the construction right-of-way.,Nodding thistle observed at higher densities on the construction right-of-way compared to off.,2014: Chemical application was completed.,Unresolved,Enbridge will continue to control weeds as per the Nodding Thistle Management Plan. See Appendix B for details.,,W3M,Saskatchewan
SW 33-21-27,613.88 to 614.1,2533,Vegetation - Weeds,"Moderate density of nodding thistle, kochia and lamb's-quarters on construction right-of-way.",Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Nodding thistle observed at moderate densities on the construction right-of-way.,Nodding thistle observed at higher densities on the construction right-of-way compared to off.,2014: Chemical application was completed.,Unresolved,Enbridge will continue to control weeds as per the Nodding Thistle Management Plan. See Appendix B for details.,,W3M,Saskatchewan
SE 33-21-27,614.1 to 614.2,2534,Vegetation - Weeds,"Moderate density of nodding thistle, kochia and lamb's-quarters observed on construction right-of-way during ground reconnaissance.",Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,Nodding thistle observed at moderate densities on the construction right-of-way.,Nodding thistle observed at higher densities on the construction right-of-way compared to off.,2014: Chemical application was completed.,Unresolved,Enbridge will continue to control weeds as per the Nodding Thistle Management Plan. See Appendix B for details.,,W3M,Saskatchewan
SW 27-21-27,615.38 to 616.16,2536.01,Vegetation - Weeds,--,High density of nodding thistle observed on construction right-of-way by EI.,Moderate density of nodding thistle observed on construction right-of-way during ground reconnaissance.,One large patch of nodding thistle observed on the construction right-of-way.,Nodding thistle and Canada thistle observed at higher densities on the construction right-of-way compared to off.,2014: Manual trimming of mature plants and chemical application was completed.,Unresolved,Enbridge will continue to control weeds as per the Nodding Thistle Management Plan. See Appendix B for details.,,W3M,Saskatchewan
