Environmental Issue/ Concern,Location,Current Status 2010,Current Status 2011,Current Status 2012,Recommendations/ Schedule for 2013,VEC,GIS,Topic
Site Erosion Control / Reclamation Measures,PS 6 Lakesend  NE-28-38-8-W4,"Perimeter slope grading and stabilization was conducted with the exception of a portion in the northeast corner of the site due to the planned installation of a second Static VAR Compensator. Complete re-grading of perimeter slope and stabilization when conditions permit in Spring 2011. Complete storm water drainage swale when conditions permit in Spring 2011.  Strip granular, re-construct swale and replace granular.",  Re-grading and stabilization completed in 2011   Site Storm water drainage completed in 2011,2012 assessment indicates no further issues.  No work required,Monitor in 2013,,,
Site Erosion Control / Reclamation Measures,PS 7 Monitor  SW-23-34-5-W4,Scope of work complete.,"  No issues, No work required",2012 assessment indicates no issues. No  work required,Monitor in 2013,,,
Site Erosion Control / Reclamation Measures,PS 8 Oyen  NE-20-28-4-W4,Containment ditch overflow requires modification. Modify containment ditch overflow to correct elevation when conditions permit in Spring 2011.,  Overflow modified in 2011,2012 assessment indicates no further issues.  No work required,Monitor in 2013,,,
Site Erosion Control / Reclamation Measures,PS 9 Bindloss  NW-10-22-3-W4,Scope of work complete.,"  No issues, No work required",2012 assessment indicates no issues. No  work required,Monitor in 2013,,,
Site Erosion Control / Reclamation Measures,PS 11 Cabri  (co-located) SW-16-19-23-W3,Scope of work complete.,"  No issues, No work required",2012 assessment indicates no issues. No  work required,Monitor in 2013,,,
Site Erosion Control / Reclamation Measures,PS 13  Herbert  (co-located) NW-22-18-10-W3,"Year one post-construction monitoring indicates lack of growth and the presence of some undesirable vegetation on the permanent topsoil stockpile and the reclaimed area south of the E-house/ substation. Seeding of the topsoil stockpile and area south of the E-house/substation to be completed in the Spring of 2011, subject to weather conditions.",  Vegetation on topsoil stockpile and grassy area south of the E house is excellent with little/no weeds   Minor drainage/ erosion issue within the station completed in Fall 2011,2012 assessment indicates no erosion issues  or vegetation issues. No work required,Monitor in 2013,,,
Site Erosion Control / Reclamation Measures,PS 15 Caron  (co-located) NE-36-17-29-W2,"Due to extremely wet conditions in Spring and Summer 2010, there were delays in the construction schedule. Therefore, some incorrect grading for site drainage could not be rectified by re-grading until the Fall of 2010.  Conduct assessment when conditions permit in Spring 2011 to confirm site drainage is working properly, and make adjustments as required.","  Site Drainage assessed, design corrections made, constructed and completed",2012 assessment indicates no further issues.  No work required,Monitor in 2013,,,
Site Erosion Control / Reclamation Measures,PS 17 Regina  (co-located) NE-34-16-18-W2,Scope of work complete.,  Pump site drainage containment berms were re-constructed and completed,2012 assessment indicates no further issues.  No work required,Monitor in 2013,,,
Site Erosion Control / Reclamation Measures,PS 18 Kendal  NW-10-16-13-W2,Scope of work complete.,"  No issues, No work required",2012 assessment indicates no issues. No  work required,Monitor in 2013,,,
Site Erosion Control / Reclamation Measures,PS 19 Grenfell  (co-located) SE-30-15-7-W2,"A planned clean storm water drainage ditch along east limit of site was not constructed due to the presence of a slurry pit temporarily located in the area for the planned ditch.  When conditions permit in Spring 2011, the slurry pit will be reclaimed and the surface drainage ditch will be constructed along the east side of the site.","  Slurry pit reclaimed   Site Drainage assessed, design corrections made, constructed and completed","  No issues, No work required",Monitor in 2013,,,
Site Erosion Control / Reclamation Measures,PS 21 Moosomin  (co-located) NW-23-14-30-W1,"Due to extreme wet conditions throughout 2010, there were delays in some construction activities including the following: Containment swale liner not secured into the top of bank; Laydown area south of pump station has not been fully reclaimed; Pond overflow elevation needs to be confirmed.   Liner to be excavated and re-secured when conditions permit in the Spring of 2011. Reclaim laydown area south of pump station.  Cleanup, replace topsoil and re-seed when conditions permit in the Spring of 2011. When conditions permit in Spring 2011, assess elevations and undertake necessary work to ensure overflow is at correct elevation.",  Site Drainage berms reconstructed and completed   Liner secured   Laydown area reclaimed and seeded,"  Topsoil pile had a variety of weeds, and was mowed, sprayed and re-seeded in 2012",Monitor in 2013,,,
Site Erosion Control / Reclamation Measures,PS 23 Rapid City  (co-located) NW-3-13-19-W1,Scope of work complete.,"  Stockpile is stable, however one slope is too steep to properly conduct vegetation management activities. TransCanada Operations assessing and may lower the profile of the topsoil stockpile.",  Topsoil stockpile was assessed and vegetation control was conducted in 2012.,Stockpile will be assessed again in 2013 to determine if contouring and subsequent seeding is required.,,,
Site Erosion Control / Reclamation Measures,PS 25 Portage La Prairie (co-located) NE-8-11-8-W1,Scope of work complete.,"  No issues, no work required",  2012 assessment indicates no issues. No work required,Monitor in 2013,,,
Site Erosion Control / Reclamation Measures,PS 26 Carman (MB) SE-1-8-5-W1,Scope of work complete.,"  No issues, no work required",  2012 assessment indicates no issues. No work required,Monitor in 2013,,,
Site Erosion Control / Reclamation Measures,PS 27 Haskett (MB) NE-24-1-5-W1,"Due to extreme wet conditions throughout 2010, some activities including the following, were not completed: Install culvert along access road; Site drainage to be assessed in Spring 2011; Containment swale extends beyond fenceline and drain control valve is also located outside the present fenceline; Unable to install rip rap and geotech at culvert outlet of the containment swale. When conditions permit in Spring 2011, the following will be completed: Install culvert at road approach; Assess elevations and undertake necessary work to ensure proper drainage. Extend chainlink fence to include containment swale and drain control valve. Install rip rap and geotech at culvert outlet of containment swale.",  Installed culvert at road approach;   Assessed elevations and completed necessary work to ensure proper drainage.   Extended chainlink fence to include containment swale and drain control valve.   Installed rip rap and geotech at culvert outlet of containment swale.   All work complete.,2012 assessment indicates no  further issues. No work required,Monitor in 2013,,,
Conversion  Site contours,SW 7-20-28-W3 Dig 7  MLV 2 (7+482.469),Some soil re-contouring and seeding  Re-contour soil and seed - Spring thru Fall 2011,Site completed - No further work required,"No issues, No work required ",Monitor in 2013,,,
Conversion  Site contours,NW 34-19-26-W3 MLV 3,Electrical Trench sinkage - requires re-contouring.  Re-contour soil and seed - Spring thru Fall 2011,Site completed - No further work required,"No issues, No work required ",Monitor in 2013,,,
Conversion  Site contours,SW 34-19-25-W3 Liebenthal MS 9+850,Electrical Trench sinkage - requires re-contouring.  Re-contour soil and seed - Spring thru Fall 2011,Site completed - No further work required,"No issues, No work required ",Monitor in 2013,,,
Conversion  Site contours,SW 27-19-23-W3 MLV 4,Electrical Trench sinkage - requires re-contouring.  Re-contour soil and seed - Spring thru Fall 2011,Site completed - No further work required,"No issues, No work required ",Monitor in 2013,,,
Conversion  Site contours,SW 1-19-18-W3 Dig 60  MLV 5 (23+786.377),Some soil re-contouring  Re-contour soil and seed - Spring thru Fall 2011,Site completed - No further work required,"No issues, No work required ",Monitor in 2013,,,
Conversion  Site contours,SE 1-19-18-W3 MLV 6,Ruts around site to be repaired - Top soil may be required for clean up.  Repair ruts around site – haul in top soil if required for clean up - Spring thru Fall 2011.,Site completed - No further work required,"No issues, No work required ",Monitor in 2013,,,
Conversion  Site contours,SE 19-17-23-W2 Belle Plain + 6.3km (MLV 15),"Re-contouring of subsoil and topsoil, cultivate  Re-contour subsoil and topsoil, cultivate - Spring thru Fall 2011.",Site completed - No further work required,Area between valve is un- farmable and was disked and re-seeded in 2012,Monitor in 2013,,,
Conversion  Site contours,SE 2-17-21-W2 Dig 510,Topsoil not replaced evenly - requires re-grading to level out work area and even up topsoil depths Re-grade topsoil to level out work area and even up topsoil depths - Spring thru Fall 2011.,Site completed - No further work required,"No issues, No work required ",Monitor in 2013,,,
Conversion  Site contours,SE 2-17-20-W2 Steelman MS,Some soil re-contouring and seeding  Re-contour soil and seed - Spring thru Fall 2011,Site completed - No further work required,Some small areas on the SW side  of the meter station were re-seeded,Monitor in 2013,,,
Conversion  Site contours,NE 36-16-20-W2 Belle Plain+45.3km RV,One topsoil stockpile to be cleaned up Cleanup topsoil stockpile - Spring thru Fall 2011,Topsoil salvaged and removed - No further work required,"No issues, No work required ",Monitor in 2013,,,
Conversion  Site contours,NW 34-16-18-W2 Richardson Compressor / PS,Minor re-contouring to allow proper water drainage north into bar ditch  Re-contour to allow proper water drainage north into bar ditch - Spring thru Fall 2011,Site completed - No further work required,"Re-seeded reclaimed slurry pit  area, north of station No issues, No work required ",Monitor in 2013,,,
Conversion  Site contours,NE 23-15-5-W2 MLV 22,Electrical Trench sinkage - requires re-contouring.  Re-contour soil - Spring thru Fall 2011,Site completed - No further work required,Minor erosion was observed on  the west side of the valve. Repair by discing in 2013.,Communicate with landowner to determine if they will be addressing as part of normal farming operations in 2013.,,,
Conversion  Site contours,NW 12-15-1-W2  Dig 657.1,Uniformly spread topsoil and re-seed to landowner mix Uniformly spread topsoil and re-seed to landowner mix - Spring thru Fall 2011,Site completed - No further work required,Site was mowed and re-seeded in  2012,Monitor in 2013,,,
Conversion  Site contours,Sites between  SW 9-20-29 W3M and NW 17-12-14 WPM,Not applicable,42 new sites with minor subsidence from 2011 assessments.,  See below for work completed and corresponding status from the 2012 program.,See below for 2013 recommendations,,,
Conversion  Site contours,Dig 9 SE 2-20-27 W3M,Not applicable,Subsidence on dig site observed during Fall Assessment.,  Topsoil was hauled into Dig site and filled in subsidence in Fall of 2012   No further issues,Monitor in 2013,,,
Conversion  Site contours,Dig 23.1  NE 18-19-20 W3M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"  Dig site was stripped, re-graded and reclaimed in Fall of 2012   No further issues",Monitor in 2013,,,
Conversion  Site contours,Dig 24 SW 15-19-20W3M,Not applicable,Subsidence on dig site observed during Fall Assessment.,  Topsoil was hauled into Dig site and filled in subsidence in Fall of 2012   No further issues,Monitor in 2013,,,
Conversion  Site contours,Dig 24.1 SE 15-19-20 W3M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"  Dig site was stripped, re-graded and reclaimed in Fall of 2012   No further issues",Monitor in 2013,,,
Conversion  Site contours,Dig 26  SW 18-19-19 W3M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"  Dig site was stripped, re-graded and reclaimed in Fall of 2012   No further issues",Monitor in 2013,,,
Conversion  Site contours,Dig 28 NE 9-19-19 W3M,Not applicable,Subsidence on dig site observed during Fall Assessment.,  Topsoil was hauled into Dig site and filled in subsidence in Fall of 2012   No further issues,Monitor in 2013,,,
Conversion  Site contours,Dig 31 NE 10-19-19 W3M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"  Dig site was stripped, re-graded and reclaimed in Fall of 2012   No further issues",Monitor in 2013,,,
Conversion  Site contours,Dig 31.1 NE 11-19-19 W3M,Not applicable,Subsidence on dig site observed during Fall Assessment.,  Topsoil was hauled into Dig site and filled in subsidence in Fall of 2012   No further issues,Monitor in 2013,,,
Conversion  Site contours,Dig 32 NW 11-19-19 W3M,Not applicable,Subsidence on dig site observed during Fall Assessment.,  Topsoil was hauled into Dig site and filled in subsidence in Fall of 2012   No further issues,Monitor in 2013,,,
Conversion  Site contours,"Dig 32.1, 33 and 33.1 NE 11-19-19- W3M",Not applicable,Subsidence on dig site observed during Fall Assessment.,"  Dig site was stripped, re-graded and reclaimed in Fall of 2012   No further issues",Monitor in 2013,,,
Conversion  Site contours,Dig 36 SE 12-19-19 W3M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"  Dig site was stripped, re-graded and reclaimed in Fall of 2012   No further issues",Monitor in 2013,,,
Conversion  Site contours,Dig 48-53 SE 7-19-18 W3M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"  Dig site was stripped, re-graded and reclaimed in Fall of 2012   No further issues",Monitor in 2013,,,
Conversion  Site contours,Dig 67 NE 31-18-17 W3M,Not applicable,Subsidence on dig site observed during Fall Assessment.,  Topsoil was hauled into Dig site and filled in subsidence in Fall of 2012   No further issues,Monitor in 2013,,,
Conversion  Site contours,Dig 71 SW 35-18-17 W3M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"  Dig site was stripped, re-graded and reclaimed in Fall of 2012   No further issues",Monitor in 2013,,,
Conversion  Site contours,Digs 257-258 SE 1-18-1 W3M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"  Dig site was stripped, re-graded and reclaimed in Fall of 2012   No further issues",Monitor in 2013,,,
Conversion  Site contours,Digs 276-278 SW 6-18 29 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"  Dig site was stripped, re-graded and reclaimed in Fall of 2012   No further issues",Monitor in 2013,,,
Conversion  Site contours,Dig 297 SE 5-18-29 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"  Dig site was stripped, re-graded and reclaimed in Fall of 2012   No further issues",Monitor in 2013,,,
Conversion  Site contours,Dig 404 NW 32-17-28 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"  Dig site was stripped, re-graded and reclaimed in Fall of 2012   No further issues",Monitor in 2013,,,
Conversion  Site contours,Caron drip Removal Site SE 36-17-28 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,  Topsoil was hauled into Dig site and filled in subsidence in Fall of 2012   No further issues,Monitor in 2013,,,
Conversion  Site contours,Dig 409 SE 33-17-27 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"  Dig site was stripped, re-graded and reclaimed in Fall of 2012   No further issues",Monitor in 2013,,,
Conversion  Site contours,Dig 414-417 NE 26-17-27 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"  Dig site was stripped, re-graded and reclaimed in Fall of 2012   No further issues",Monitor in 2013,,,
Conversion  Site contours,Digs 418-420 NW 25-17-25 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"  Dig site was stripped, re-graded and reclaimed in Fall of 2012   No further issues",Monitor in 2013,,,
Conversion  Site contours,Digs 423-428 NE 25-17-27 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.," Dig site was stripped, re-graded and reclaimed in Fall of 2012  No further issues",Monitor in 2013,,,
Conversion  Site contours,Digs 430-431 NW 30-17-26 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.," Dig site was stripped, re-graded and reclaimed in Fall of 2012  No further issues",Monitor in 2013,,,
Conversion  Site contours,Digs 432-433 NE 20-17-26 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.," Dig site was stripped, re-graded and reclaimed in Fall of 2012  No further issues",Monitor in 2013,,,
Conversion  Site contours,Digs 434-435 NW 29-17-26 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.," Dig site was stripped, re-graded and reclaimed in Fall of 2012  No further issues",Monitor in 2013,,,
Conversion  Site contours,Dig 445 NW 26-17-26 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.," Dig site was stripped, re-graded and reclaimed in Fall of 2012  No further issues",Monitor in 2013,,,
Conversion  Site contours,Digs 448-449 SW 25-17-26 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.," Dig site was stripped, re-graded and reclaimed in Fall of 2012  No further issues",Monitor in 2013,,,
Conversion  Site contours,Digs 453-455 SW 30-17-25 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.," Dig site was stripped, re-graded and reclaimed in Fall of 2012  No further issues",Monitor in 2013,,,
Conversion  Site contours,Dig 460 SW 28-17-25 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment., Subsidence was not repaired due to crossing agreement issue  Haul topsoil into site in 2013,Haul topsoil into site in 2013,,,
Conversion  Site contours,Dig 461  SW 27-17-25 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.," Dig site was stripped, re-graded and reclaimed in Fall of 2012  No further issues",Monitor in 2013,,,
Conversion  Site contours,Digs 464-466 NE 23-17-25 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.," Dig site was stripped, re-graded and reclaimed in Fall of 2012  No further issues",Monitor in 2013,,,
Conversion  Site contours,Dig 467 NW 24-17-25 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.," Dig site was stripped, re-graded and reclaimed in Fall of 2012  No further issues",Monitor in 2013,,,
Conversion  Site contours,Digs 475-477.1 NW 22-17-24 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.," Dig site was stripped, re-graded and reclaimed in Fall of 2012  No further issues",Monitor in 2013,,,
Conversion  Site contours,Dig 483 NW 23-17-24 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,  Topsoil was hauled into Dig site and filled in subsidence in Fall of 2012   No further issues,Monitor in 2013,,,
Conversion  Site contours,Digs 484-489 SW 23-17-24 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"  Dig site was stripped, re-graded and reclaimed in Fall of 2012   No further issues",Monitor in 2013,,,
Conversion  Site contours,Digs 490-492 SE 23-17-24 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"  Dig site was stripped, re-graded and reclaimed in Fall of 2012   No further issues",Monitor in 2013,,,
Conversion  Site contours,Dig 494 SE 19-17-23 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"  Dig site was stripped, re-graded and reclaimed in Fall of 2012   No further issues",Monitor in 2013,,,
Conversion  Site contours,Digs 495-497 SW 20-17-23 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"  Dig site was stripped, re-graded and reclaimed in Fall of 2012   No further issues",Monitor in 2013,,,
Conversion  Site contours,Digs 502-503 NE 14-17-23 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"  Dig site was stripped, re-graded and reclaimed in Fall of 2012   No further issues",Monitor in 2013,,,
Conversion  Site contours,Dig 507 SW 17-17-22 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"  Dig site was stripped, re-graded and reclaimed in Fall of 2012   No further issues",Monitor in 2013,,,
Conversion  Site contours,Dig 508 NW 10-17-22 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"  Dig site was stripped, re-graded and reclaimed in Fall of 2012   No further issues",Monitor in 2013,,,
Conversion  Site contours,Dig 509.1 SE 12-17-22 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"  Dig site was stripped, re-graded and reclaimed in Fall of 2012   No further issues",Monitor in 2013,,,
Conversion  Site contours,Dig 524 NE 34-16-18 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"  Dig site was stripped, re-graded and reclaimed in Fall of 2012   No further issues",Monitor in 2013,,,
Conversion  Site contours,Dig 525-530 NW 35-16-18 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"  Dig site was stripped, re-graded and reclaimed in Fall of 2012   No further issues",Monitor in 2013,,,
Conversion  Site contours,Dig 531  NE 35-16-18 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"  Dig site was stripped, re-graded and reclaimed in Fall of 2012   No further issues",Monitor in 2013,,,
Conversion  Site contours,Dig 534 SE 36-16-18 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,  Topsoil was hauled into Dig site and filled in subsidence in Fall of 2012   No further issues,Monitor in 2013,,,
Conversion  Site contours,Dig 535 SW 31-16-17 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,  Topsoil was hauled into dig site to fill in subsidence and reclaimed in Fall of 2012   No further issues,Monitor in 2013,,,
Conversion  Site contours,Digs 548 and 552 SE 32-16-17 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"  Dig site was stripped, re-graded and reclaimed in Fall of 2012   No further issues",Monitor in 2013,,,
Conversion  Site contours,Regina Drip Removal Site  SE 32-16-17 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,  Topsoil was hauled into dig site to fill in subsidence and reclaimed in Fall of 2012   No further issues,Monitor in 2013,,,
Conversion  Site contours,Digs 563-564 SE 30-16-16 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"  Dig site was stripped, re-graded and reclaimed in Fall of 2012   No further issues",Monitor in 2013,,,
Conversion  Site contours,Dig 579 NW 13-16-15 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,"  Dig site was stripped, re-graded and reclaimed in Fall of 2012   No further issues",Monitor in 2013,,,
Conversion  Site contours,Digs 621-626 NW 19-15-4 W2M,Not applicable,Subsidence on dig site observed during Fall Assessment.,  Topsoil was hauled into Dig site and filled in subsidence in Fall of 2012   No further issues,Monitor in 2013,,,
Conversion  Site contours,Dig 1044 SW 28-11-10 WPM,Not applicable,Subsidence on dig site observed during Fall Assessment.,  Work was not completed in 2012,Re-assess and reclaim in 2013,,,
Conversion  Land levelling,SE 24-10-5-WP Carman Sales M/S,"Spots backfilled over line on new ROW has settled in some spots and water is pooling, topsoil may be require to be brought in to fill these spots, or re grading. Land owners drainage ditch was not contoured back to grade and water is not running through it but pooling in it instead.  Re-contour soil on new ROW, topsoil may be required to be brought in to fill these spots. Re-contour drainage ditch to allow water to move without pooling. - Spring thru Fall 2011",Field was not land levelled in 2011 due to lack of specialized equipment availability.,"  Field was not land levelled in 2012.   Although work is required to address uneven contours, there are no known crop production issues at these locations.","Keystone to consult further with affected landowners in 2013 to address inconsistencies in contours/ drainage across the right-of-way. Continue with assessments in 2013, land-level as required.",,,
Conversion  Potential soils mixing-monitor,SE 6-18-29-W2 Digs 288-294,"Minor soils mixing during the topsoil stripping and site access components. Site cleanup in 2010 uniformly replaced topsoil across affected portions of the right-of-way. As additional cleanup to correct deficiencies was completed as various times in the growing season, seeding of crops and associated productivity could not be quantified.  Although early indications show no further concerns, assessments will be conducted at the appropriate time in 2011 to determine if additional remediation is required","SSites assessed prior to seeding, during growing season, before harvest and after harvest. Crop production same as off right-of-way in majority of site, with small locations of slightly more sparse crops.  ubsidence observed in 2011 assessments, with most completed.","  Sites were assessed in Spring/Summer 2012.    Soils were similar on and off right-of way, as well as on the right-of-way on non-disturbed areas.    Crop production was no different over these areas than off ROW and on ROW in other non-disturbed areas.   Subsidence areas were stripped and re-graded for repair   In other areas topsoil was uneven and was disked and levelled.   No further work required.",Monitor in 2013,,,
Conversion  Potential soils mixing-monitor,SW 5-18-29-W2 Digs 295-296,Same as above,Same as above,  Same as above,Monitor in 2013,,,
Conversion  Potential soils mixing-monitor,"SE 5-18-29-W2 Digs 297, 298.1, 299",Same as above,"Sites assessed prior to seeding, during growing season, before harvest and after harvest. Crop production same as off right-of-way in majority of site, with small locations of slightly more sparse crops.",  Same as above,Monitor in 2013,,,
Conversion  Potential soils mixing-monitor,SW 35-17-28-W2 Digs 405-406,Same as above,Same as above,  Same as above,Monitor in 2013,,,
