Quarter Section,Tract,Land Use,KHE Land ID,Year 1 Issues,Repaired Year 1,Year 2 Issues,Repaired Year 2,Year 3 Issues,Repaired Year 3,Year 3 Current Recommendations,Year 3 Rationales,Year 3 PCEM Status,VEC,GIS,Topic
NW 15-19-29 W3M,BESK-0018.0,Cultivated,LAND ID 022,--,--,--,--,Contouring_1,--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
NW 15-19-29 W3M,BESK-0018.0,Cultivated,LAND ID 022,--,--,Vegetation establishment_1,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,MONITOR,,,
NE 15-19-29 W3M,BESK-0019.0,Cultivated,LAND ID 023,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 15-19-29 W3M,BESK-0020.0,Cultivated,LAND ID 024,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 15-19-29 W3M,BESK-0020.0,Cultivated,LAND ID 024,Subsidence,Issue Repaired,--,--,Subsidence_1,--,No Further Action Recommended,Issue expected to improve with agricultural practices.,RESOLVED,,,
SW 14-19-29 W3M,BESK-0021.0,Cultivated,LAND ID 025,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 11-19-29 W3M,BESK-0022.0,Cultivated,LAND ID 026,Seed Catch,--,--,--,Vegetation establishment_1,--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
NW 11-19-29 W3M,BESK-0022.0,Cultivated,LAND ID 026,Subsidence,Issue Repaired,--,--,Subsidence_1,--,Monitor year 5,Confirm conditions are stable.,MONITOR,,,
NE 11-19-29 W3M,BESK-0023.0,Cultivated,LAND ID 027,Site visit,--,--,--,Site visit,--,Resolved,No issues.,RESOLVED,,,
SE 11-19-29 W3M,BESK-0024.0,Cultivated,LAND ID 028,--,--,--,--,Admixing_1,--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
SE 11-19-29 W3M,BESK-0024.0,Cultivated,LAND ID 028,"Erosion (wind, water)",Issue Repaired,--,--,"Erosion (wind, water)_1",--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,MONITOR,,,
SE 11-19-29 W3M,BESK-0024.0,Cultivated,LAND ID 028,Seed Catch,--,--,--,Vegetation establishment_1,--,Monitor Year 5 - Wetland,Wetland issue not recommended for repair (wt005).,MONITOR,,,
NE 02-19-29 W3M,BESK-0025.0,Cultivated,LAND ID 029,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 01-19-29 W3M,BESK-0026.0,Cultivated,LAND ID 030,Seed Catch,--,--,--,Vegetation establishment_1,--,No Further Action Recommended,Issue expected to improve with agricultural practices.,MONITOR,,,
NW 01-19-29 W3M,BESK-0026.0,Cultivated,LAND ID 030,Subsidence,Issue Repaired,--,--,Subsidence_1,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,MONITOR,,,
SW 01-19-29 W3M,BESK-0027.0,Native prairie,LAND ID 031,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,MONITOR,,,
SW 01-19-29 W3M,BESK-0027.0,Native prairie,LAND ID 031,Seed Catch,--,--,--,Vegetation establishment_1,--,Monitor Year 5,Issue expected to improve through natural processes.,MONITOR,,,
SW 01-19-29 W3M,BESK-0027.0,Native prairie,LAND ID 031,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,MONITOR,,,
SE 01-19-29 W3M,BESK-0028.0,Native prairie,LAND ID 032,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,MONITOR,,,
SE 01-19-29 W3M,BESK-0028.0,Native prairie,LAND ID 032,Seed Catch,--,--,--,Vegetation establishment_1,--,Monitor Year 5,Issue expected to improve through natural processes.,MONITOR,,,
SE 01-19-29 W3M,BESK-0028.0,Native prairie,LAND ID 032,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,MONITOR,,,
NE 35-18-29 W3M,BESK-0029.0,Native prairie,LAND ID 033,--,--,--,--,Vegetation establishment_1,--,Monitor Year 5,Issue expected to improve through natural processes.,MONITOR,,,
NE 35-18-29 W3M,BESK-0029.0,Native prairie,LAND ID 033,--,--,Subsidence_1,--,Subsidence_1,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,MONITOR,,,
NE 35-18-29 W3M,BESK-0029.0,Native prairie,LAND ID 033,--,--,Weed concern_1,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,MONITOR,,,
SE 35-18-29 W3M,BESK-0030.0,Native prairie,LAND ID 034,Seed Catch,--,--,--,Vegetation establishment_1,--,Monitor Year 5,Issue expected to improve through natural processes.,MONITOR,,,
SE 35-18-29 W3M,BESK-0030.0,Native prairie,LAND ID 034,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,MONITOR,,,
SW 36-18-29 W3M,BESK-0031.0,Native prairie,LAND ID 035,Seed Catch,--,--,--,Vegetation establishment_1,--,Monitor Year 5,Issue expected to improve through natural processes.,MONITOR,,,
SW 36-18-29 W3M,BESK-0031.0,Native prairie,LAND ID 035,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,MONITOR,,,
SW 36-18-29 W3M,BESK-0031.0,Cultivated,LAND ID 036,"Erosion (wind, water)",Issue Repaired,--,--,"Erosion (wind, water)_1",--,Monitor Year 5,Land under fallow during Year 3 PCEM.,MONITOR,,,
SW 36-18-29 W3M,BESK-0031.0,Cultivated,LAND ID 036,Incomplete PCEM assessment,--,--,--,Incomplete Year 3 PCEM assessment,--,Monitor Year 5,Land under fallow during Year 3 PCEM.,MONITOR,,,
NW 25-18-29 W3M,BESK-0032.0,Cultivated,LAND ID 037,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 25-18-29 W3M,BESK-0032.0,Cultivated,LAND ID 037,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 25-18-29 W3M,BESK-0033.0,Cultivated,LAND ID 038,--,--,Compaction,--,Compaction,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 25-18-29 W3M,BESK-0033.0,Cultivated,LAND ID 038,--,--,Contouring_1,--,Contouring_1,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
NE 25-18-29 W3M,BESK-0033.0,Cultivated,LAND ID 038,--,--,"Erosion (wind, water)_1",--,"Erosion (wind, water)_1",--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
,,,,Subsidence_1,Issue Repaired,Subsidence_1,--,Subsidence_1,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,,,,
SE 25-18-29 W3M,BESK-0034.0,Cultivated,LAND ID 039,Admixing,--,--,--,Admixing_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,MONITOR,,,
SE 25-18-29 W3M,BESK-0034.0,Cultivated,LAND ID 039,Contouring,--,--,--,Contouring_1,--,Monitor Year 5,Confirm conditions are stable.,MONITOR,,,
SE 25-18-29 W3M,BESK-0034.0,Cultivated,LAND ID 039,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,MONITOR,,,
SE 25-18-29 W3M,BESK-0034.0,Cultivated,LAND ID 039,Seed Catch,--,--,--,Vegetation establishment_1,--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
SW 30-18-28 W3M,BESK-0035.0,Cultivated,LAND ID 040,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 30-18-28 W3M,BESK-0035.0,Cultivated,LAND ID 040,Incomplete PCEM assessment,--,--,--,Incomplete Year 1 PCEM assessment,--,Resolved,Incomplete Year 1 assessment.,RESOLVED,,,
NW 19-18-28 W3M,BESK-0036.0,Cultivated,LAND ID 041,--,--,--,--,"Erosion (wind, water)_1",--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
NW 19-18-28 W3M,BESK-0036.0,Cultivated,LAND ID 041,Admixing,--,--,--,Admixing_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,MONITOR,,,
NW 19-18-28 W3M,BESK-0036.0,Cultivated,LAND ID 041,Contouring,--,--,--,Contouring_1,--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
NW 19-18-28 W3M,BESK-0036.0,Cultivated,LAND ID 041,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,MONITOR,,,
NE 19-18-28 W3M,BESK-0037.0,Cultivated,LAND ID 042,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
NE 19-18-28 W3M,BESK-0037.0,Cultivated,LAND ID 042,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,MONITOR,,,
SE 19-18-28 W3M,BESK-0038.0,Cultivated,LAND ID 043,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 20-18-28 W3M,BESK-0039.0,Cultivated,LAND ID 044,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 17-18-28 W3M,BESK-0040.0,Cultivated,LAND ID 045,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 17-18-28 W3M,BESK-0041.0,Cultivated,LAND ID 046,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 17-18-28 W3M,BESK-0042.0,Cultivated,LAND ID 047,--,--,--,--,Subsidence_1,--,No Further Action Recommended,Issue expected to improve with agricultural practices.,RESOLVED,,,
SE 17-18-28 W3M,BESK-0042.0,Cultivated,LAND ID 047,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 08-18-28 W3M,BESK-0043.0,Cultivated,LAND ID 048,"Erosion (wind, water)",Issue Repaired,--,--,"Erosion (wind, water)_1",--,Monitor Year 5,Land under fallow during Year 3 PCEM.,MONITOR,,,
NE 08-18-28 W3M,BESK-0043.0,Cultivated,LAND ID 048,Incomplete PCEM assessment,--,--,--,Incomplete Year 3 PCEM assessment,--,Monitor Year 5,Land under fallow during Year 3 PCEM.,MONITOR,,,
NW 09-18-28 W3M,BESK-0044.0,Cultivated,LAND ID 049,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 09-18-28 W3M,BESK-0045.0,Cultivated,LAND ID 050,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 09-18-28 W3M,BESK-0046.0,Cultivated,LAND ID 051,Admixing,--,--,--,Admixing_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 09-18-28 W3M,BESK-0046.0,Cultivated,LAND ID 051,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 10-18-28 W3M,BESK-0046.1,Cultivated,LAND ID 052,Site visit,--,--,--,Site visit,--,Resolved,No issues.,RESOLVED,,,
NW 03-18-28 W3M,BESK-0047.0,Cultivated,LAND ID 053,Admixing,--,--,--,Admixing_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,MONITOR,,,
NW 03-18-28 W3M,BESK-0047.0,Cultivated,LAND ID 053,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Monitor Year 5,Land under fallow during Year 3 PCEM.,MONITOR,,,
NW 03-18-28 W3M,BESK-0047.0,Cultivated,LAND ID 053,Incomplete PCEM assessment,--,--,--,Incomplete Year 3 PCEM assessment,--,Monitor Year 5,Land under fallow during Year 3 PCEM.,MONITOR,,,
NW 03-18-28 W3M,BESK-0047.0,Cultivated,LAND ID 053,Seed Catch,--,--,--,Vegetation establishment_1,--,Monitor Year 5,Land under fallow during Year 3 PCEM.,MONITOR,,,
SW 03-18-28 W3M,BESK-0048.0,Cultivated,LAND ID 054,--,--,--,--,Incomplete Year 3 PCEM assessment,--,Monitor Year 5,Land under fallow during Year 3 PCEM.,MONITOR,,,
SW 03-18-28 W3M,BESK-0048.0,Cultivated,LAND ID 054,Compaction,--,--,--,Compaction,--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
SW 03-18-28 W3M,BESK-0048.0,Cultivated,LAND ID 054,Seed Catch,--,--,--,Vegetation establishment_1,--,Monitor Year 5,Land under fallow during Year 3 PCEM.,MONITOR,,,
SE 03-18-28 W3M,BESK-0049.0,Cultivated,LAND ID 055,--,--,--,--,Subsidence_1,--,No Further Action Recommended,Issue expected to improve with agricultural practices.,MONITOR,,,
SE 03-18-28 W3M,BESK-0049.0,Cultivated,LAND ID 055,Compaction,--,--,--,Compaction,--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
SE 03-18-28 W3M,BESK-0049.0,Cultivated,LAND ID 055,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Monitor Year 5,Land under fallow during Year 3 PCEM.,MONITOR,,,
SE 03-18-28 W3M,BESK-0049.0,Cultivated,LAND ID 055,Incomplete PCEM assessment,--,--,--,Incomplete Year 3 PCEM assessment,--,Monitor Year 5,Land under fallow during Year 3 PCEM.,MONITOR,,,
NE 34-17-28 W3M,BESK-0050.0,Cultivated,LAND ID 056,Compaction,--,--,--,Compaction,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,MONITOR,,,
NE 34-17-28 W3M,BESK-0050.0,Cultivated,LAND ID 056,Seed Catch,--,--,--,Vegetation establishment_1,--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
NW 35-17-28 W3M,BESK-0051.0,Cultivated,LAND ID 057,Contouring,--,--,--,Contouring_1,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
NW 35-17-28 W3M,BESK-0051.0,Cultivated,LAND ID 057,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 35-17-28 W3M,BESK-0052.0,Cultivated,LAND ID 058,--,--,--,--,Admixing_1,--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
SW 35-17-28 W3M,BESK-0052.0,Cultivated,LAND ID 058,--,--,--,--,Admixing_2,--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
SW 35-17-28 W3M,BESK-0052.0,Cultivated,LAND ID 058,Compaction,--,--,--,Compaction,--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
SW 35-17-28 W3M,BESK-0052.0,Cultivated,LAND ID 058,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,MONITOR,,,
SE 35-17-28 W3M,BESK-0053.0,Cultivated,LAND ID 059,--,--,--,--,"Erosion (wind, water)_1",--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
SE 35-17-28 W3M,BESK-0053.0,Cultivated,LAND ID 059,Admixing,--,--,--,Admixing_1,--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
SE 35-17-28 W3M,BESK-0053.0,Cultivated,LAND ID 059,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,MONITOR,,,
NE 26-17-28 W3M,BESK-0054.0,Cultivated,LAND ID 060,Compaction,--,--,--,Compaction,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 26-17-28 W3M,BESK-0054.0,Cultivated,LAND ID 060,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 26-17-28 W3M,BESK-0054.0,Cultivated,LAND ID 060,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 25-17-28 W3M,BESK-0055.0,Hay,LAND ID 061,Contouring,--,--,--,Contouring_1,--,No Further Action Recommended,Issue not recommended for repair.,RESOLVED,,,
NW 25-17-28 W3M,BESK-0055.0,Hay,LAND ID 061,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 25-17-28 W3M,BESK-0055.0,Hay,LAND ID 061,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 25-17-28 W3M,BESK-0055.0,Hay,LAND ID 061,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 25-17-28 W3M,BESK-0056.0,Native prairie,LAND ID 062,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 25-17-28 W3M,BESK-0056.0,Native prairie,LAND ID 062,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 25-17-28 W3M,BESK-0056.0,Native prairie,LAND ID 062,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 25-17-28 W3M,BESK-0056.0,Cultivated,LAND ID 063,Incomplete PCEM assessment,--,--,--,Incomplete Year 3 PCEM assessment,--,Monitor Year 5,Land under fallow during Year 3 PCEM.,MONITOR,,,
SE 25-17-28 W3M,BESK-0057.0,Cultivated,LAND ID 064,Incomplete PCEM assessment,--,--,--,Incomplete Year 3 PCEM assessment,--,Monitor Year 5,Land under fallow during Year 3 PCEM.,MONITOR,,,
