Legal Land Description,1st Year (2013) Issue(s),2nd Year (2014) PCRM Assessment and Work Completed,3rd Year (2015) PCRM Assessment and Work Completed,4th Year (2016) PCRM Assessment and Work Completed,5th Year (2017) PCRM Assessment and Work Completed,VEC,GIS,Topic
SW 11-66-3 W6M,Moderate Vegetation Establishment,"July 8, 2014 - 65 - 75% vegetation cover on ROW compared to off ROW control. Several areas along ROW exhibiting lesser vegetation establishment. Willows and deciduous species’ establishing well within ROW. Vegetation consisting of clover, wild rose, aven species’, Indian paintbrush, common yarrow and native grasses. - Perennial sow thistle existing throughout tract from KP 3+970 to KP 4+050 across width of ROW. - Cross drains functioning well within tract with good vegetation establishment within. - No subsidence or erosion issues evident within tract. July 19, 2014 - KP 3+900 to 4+800 Herbicide application was conducted within intermittent sections of the ROW, to control perennial sow thistle and Canada thistle August 10, 2014 – Successful herbicide application observed. September 11, 2014 -. Herbicide application was conducted within areas of active Canada thistle identified.","June 22, 2015. – Vegetative coverage approximately 95%, compared to off ROW control. Previously noted moderate vegetation and areas of lesser vegetation are no longer present, issues resolved. - Subsidence and erosion was not observed. - Diversion berms/ditches are functioning and/or vegetating. - Perennial sow thistle was observed at KP 3+960 along the ditch line for about 20m. Recommend weed mitigation measures. July 12, 2015 – KP 3+000 to 3+900; Herbicide application conducted along intermittent sections within ROW to control perennial sow thistle and Canada thistle. Aug 23, 2015 – Previous herbicide application appears successful. Although, patches of unaffected perennial sow thistle were observed at KP 3+960, 4+000, 4+200, 4+400 South West side of Patterson Creek. Fall herbicide spot spray application is recommended. Sept. 24, 2015- Herbicide application conducted along intermittent sections within ROW to control perennial sow thistle and Canada thistle.","June 28, 2016- Vegetation is well established with desirable species throughout ROW. - KP 4+000 – Patch of Canada thistle, Recommend herbicide application. August 20, 2016 – intermittent herbicide application conducted to control perennial sow thistle and bull thistle.","June 25, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, willows and poplars throughout tract. - Trench crown present in tract is stable and well vegetated. Cross drains are functioning well. - Patch of perennial sow thistle observed at KP 4+080. Intermittent meadow hawkweed from KP 4+120 to 4+420. Recommend herbicide application. July 18, 2017 – Intermittent herbicide application conducted to control meadow hawkweed, oxeye daisy (KP 4+430), and perennial sow thistle, (KP 4+000 to 4+030). September 11, 2017 - No noxious weeds observed, issue resolved.",,,
SW 11-66-3 W6M,Treed Swamp,"July 8, 2014 - Wetland (treed swamp) KP 4+670 to KP 4+580 appears to be in dry condition at time of assessment. No standing water evident within wetland and soils appear to be well drained. Minimal sphagnum moss development and other wetland indicator species (sedge and rush). Native grasses proliferating well within wetland. Continue to monitor for enhancement of wetland conditions.","June 25, 2015 - early seral stage wetland vegetation of black spruce swamp present; no standing water; willows infilling from west portion of site;",,"June 25, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, broadleaf shrubs and willows throughout wetland. Tree species exceeding 1m in height. - Intermittent bull thistle observed from KP 4+600 to 4+670. Recommend implementation of control measures. - Trench crown present and stable through wetland with sufficient amount of cross drains for movement of hydrology. - Uniform growth of vegetation, mosses and organic layer indicates that substrate health has been maintained. - Soils within wetland are semi-saturated. Wetland likely to change moisture levels through seasonal succession. - Wetland is stable and at pre-construction functionality; coniferous spruce trees will emerge onto ROW over time to resemble off ROW species composition. Pre-construction contours have been achieved. - No subsidence or erosion observed in wetland. July 18, 2017 –bull thistle controlled (KP 4+600 to 4+670) September 11, 2017 - No bull thistle was observed. Issue resolved.",,,
,Treed Swamp,"July 8, 2014 - Wetland (treed swamp) at KP 4+690 to KP 4+730 appears to be in stable condition at time of assessment. Hydrology is maintained; standing water evident through trench breaks. No sedimentation issues evident. Good sphagnum moss, sedge and rush species’ development throughout wetland. Organic peat depth greater than 40cm. Willows starting to establish within wetland. Appropriate mulch thickness within wetland with vegetation emerging around mulch. Amphibians present within wetland. No net loss of wetland function.","June 22, 2015- Subsidence and erosion was not observed. June 25 - willows, common cattail, sedges, reed grasses, all present; Standing water on both sides of the roach with cross ditch in place; very thick (> 90% comparable to off ROW) vegetation throughout wetland area;",,"June 25, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, broadleaf shrubs and willows throughout wetland. Tree species exceeding 1m in height. - Canada thistle patch observed from KP 4+690. Recommend implementation of control measures. - Trench crown present and stable through wetland with sufficient amount of cross drains for movement of hydrology. - Uniform growth of vegetation, mosses and organic layer indicates that substrate health has been maintained. - Soils within wetland are semi-saturated. Wetland likely to change moisture levels through seasonal succession. - Wetland is stable and at pre-construction functionality; coniferous spruce trees will emerge onto ROW over time to resemble off ROW species composition. Pre-construction contours have been achieved. - No subsidence or erosion issues observed in wetland. July 18, 2017 – Canada thistle controlled (KP 4+690) September 11, 2017 - No Canada thistle was observed. Issue resolved.",,,
NE 10-66-3 W6M,Moderate Vegetation Establishment,"July 8, 2014 - 75 - 85% vegetation cover on ROW compared to off ROW control. KP 4+800 to KP 5+200 exhibits moderate vegetation establishment. Good willow and deciduous species’ establishment within ROW. Vegetation consisting of clover, aven species’, wild rose, Indian paintbrush, common yarrow and native grasses. - Perennial sow thistle evident throughout tract from KP 5+740 to KP 5+950. July 19, 2014 - KP 4+800 to 5+900 Herbicide application conducted within intermittent sections of the ROW, to control perennial sow thistle and Canada thistle. Trace amount of perennial sow thistle and bull thistle was hand-picked and bagged within wetland. August 10, 2014 – Positive results from spraying on July 19th. Native grass species appear to be mainly unaffected.","June 22, 2015 - Vegetative coverage approximately 80%, compared to off ROW control.  - Vegetation coverage reduced (30 – 40%) between KP 4+800 to 5+200, monitor. - Perennial sow thistle observed along ditch line at KP 5+400 and 5+830. Recommend weeds control measures. - Diversion berms/ditches are functioning and/or vegetating. July 12, 2015 – KP 4+800 to 5+900; Herbicide application conducted along intermittent sections within ROW to control perennial sow thistle and Canada thistle. Aug 23, 2015- Previous herbicide application appears successful. Although, patches of unaffected perennial sow thistle were observed at KP 5+200. Fall herbicide spot spray application is recommended. Sept. 24, 2015- Herbicide application conducted along intermittent sections along intermittent sections within ROW to control perennial sow thistle, Canada thistle and bull thistle.","June 28, 2016 - Vegetation is well established with desirable species throughout ROW. Good establishment of grasses, clover, sedge and poplar saplings. Previously noted areas of moderate vegetation are no longer present, issues resolved. - No erosion or subsidence issues. - Cross drainages are vegetated and functioning. - KP 5+400, 5+670, and 5+825 – Patch of perennial sow thistle observed. Recommend herbicide application. July 17, 2017 – Intermittent herbicide application (KP 4+800 to 5+900) conducted to control perennial sow thistle. August 20, 2016 – Intermittent herbicide application conducted to control meadow hawkweed (KP 5+180), perennial sow thistle, and bull thistle.","June 25, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, broadleaf shrubs willows and poplars throughout tract. - Trench crown present in tract is stable and well vegetated. Cross drains are functioning well. - Patch of meadow hawkweed observed from KP 4+810 to 4+840; Bull thistle observed (KP 5+630 and 5+760). Recommend herbicide application. - Drainage at KP 4+840 south of hill slope leading out of wetland area is stable with good vegetation establishing in bed and willows establishing on edges of drainage. No issues. - No subsidence or erosion observed in tract. July 18, 2017 – Intermittent herbicide application conducted to control meadow hawkweed and tall buttercup. September 11, 2017 – Herbicide application conducted to control bull thistle (KP 5+240 to 5+300 and KP 5+630 to 5+760). Issue resolved. - No other noxious weeds observed. Issues resolved.",,,
,Erosion,"July 8, 2014 - Erosion evident within drainage at KP 4+800. Continue to monitor. - Erosion at KP 4+850, repairs required. - Subsidence at KP 5+200, repairs required. July 23, 2014- Re-contoured and implemented straw waddle erosion control material within erosion on south facing hill slope at KP 4+850. Removed sediment fence material within erosion. - Removed steel pegs along diversion berm at KP 4+885 - Re-contoured and implemented straw waddle erosion control material within subsidence on north facing hill slope at KP 5+200.","June 22, 2015. - Vegetation not comparable to ROW. Vegetative coverage approximately 80%.  - Previously installed erosion controls are functioning. - Diversion berms/ditches are functioning and/or vegetating.","All previously noted erosion and subsidence are no longer evident, all issues resolved.",,,,
,Treed Fen,"July 8, 2014 - KP 5+210 to KP 5+450 Wetland is stable with exceptional sphagnum moss, rush and sedge species development throughout wetland. Hydrology is maintained throughout wetland as indicated by standing water present within trench breaks. Appropriate mulch thickness existing within wetland. Willows beginning to establish within wetland. Organic peat depth reaching greater than 40cm. No sedimentation issues evident. Water quality appears to be in good condition within wetland as indicated by water clarity and submergent vegetation establishment. Amphibians appear to be using wetland as effective habitat. No net loss of wetland function.","June 25, 2015 - willows, common cattail, sedges, reed grasses, all present; Standing water on east side of the roach with cross ditch in place; very thick (>95% comparable to off ROW) vegetation throughout wetland area;",,"June 25, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of herbaceous graminoids, shrubs and willows throughout wetland Conifer saplings emerging on ROW. Willows exceeding 1m in height. - Trench crown present and stable through wetland with sufficient amount of cross drains for movement of hydrology. - Uniform growth of vegetation and organic scent indicates that substrate health has been maintained. - Soils within wetland are fully saturated due to high water table. Wetland likely to change moisture levels through seasonal succession. - Wetland is stable and at pre-construction functionality; shrubs and deciduous species successfully emerged throughout wetland. Coniferous spruce trees emerging onto ROW resembling off ROW species composition. Pre-construction contours have been achieved. - No subsidence, erosion or weed issues observed in wetland.",,,
,Treed Fen,"July 8, 2014 - KP 5+490 to KP 5+630 Wetland is stable with exceptional sphagnum moss, rush and sedge species development throughout wetland. Appropriate mulch thickness evident within wetland. Hydrology is maintained throughout wetland as indicated by standing water present within trench breaks. Willows beginning to establish within wetland. Organic peat depth reaching greater than 40cm. No sedimentation issues evident. Water quality appears to be in good condition within wetland as indicated by water clarity and submergent vegetation establishment. Amphibians appear to be using wetland as effective habitat. No net loss of wetland function.","June 25, 2015 - willows, common cattail, sedges, reed grasses, all present; Standing water on both sides of the roach with cross ditch in place; very thick (>95% comparable to off ROW) vegetation throughout wetland area;",,"June 25, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of herbaceous graminoids, shrubs and willows throughout wetland Conifer saplings emerging on ROW. Willows exceeding 1m in height. - Trench crown present and stable through wetland with sufficient amount of cross drains for movement of hydrology. - Uniform growth of vegetation and organic scent indicates that substrate health has been maintained. - Soils within wetland are fully saturated due to high water table. Wetland likely to change moisture levels through seasonal succession. - Wetland is stable and at pre-construction functionality; shrubs and deciduous species successfully emerged throughout wetland. Coniferous spruce trees emerging onto ROW resembling off ROW species composition. Pre-construction contours have been achieved. - No subsidence, erosion or weed issues observed in wetland.",,,
,Treed Fen,"July 8, 2014 - KP 5+700 to KP 5+800 Wetland is stable with good sphagnum moss and emergent vegetation development throughout wetland. Appropriate mulch thickness evident within wetland. No standing water existing within wetland but soils appear to be semi-saturated indicated that hydrology is maintained. Willows beginning to establish within wetland. Organic peat depth reaching greater than 40cm. No sedimentation issues evident. Amphibians appear to be using wetland as effective habitat. No net loss of wetland function.","June 22, 2015 - One bull thistle was observed at KP 5+740. Picked and bagged. Monitor. June 25, 2015 - willows, common cattail, sedges, reed grasses, all present; Standing water on both sides of the roach with cross ditch in place; very thick (>95% comparable to off ROW) vegetation throughout wetland area;",,"June 25, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of herbaceous graminoids, shrubs and willows throughout wetland Conifer saplings emerging on ROW. Willows exceeding 1m in height. - Bull thistle (noted in 2015) is no longer present, issue resolved. - Trench crown present and stable through wetland with sufficient amount of cross drains for movement of hydrology. - Uniform growth of vegetation and organic scent indicates that substrate health has been maintained. - Soils within wetland are fully saturated due to high water table. Wetland likely to change moisture levels through seasonal succession. - Wetland is stable and at pre-construction functionality; shrubs and deciduous species successfully emerged throughout wetland. Coniferous spruce trees emerging onto ROW resembling off ROW species composition. Pre-construction contours have been achieved. - No subsidence or erosion issues observed in wetland.",,,
SE 15-66-3 W6M,High Vegetation Establishment,"July 8, 2014- ~ 90% vegetation establishment compared to off ROW control. – Native grasses, and native clover well established. Weeds comparable to off ROW adjacent pipeline. - Canada thistle KP 6+230. - Cross drains well vegetated and functioning. July 19, 2014 - KP 5+900 to 6+400 Herbicide application conducted within intermittent sections of the ROW, to control perennial sow thistle and Canada thistle. August 10, 2014 – Positive spray results observed from July 19th application. - Small patches of perennial sow thistle evident on east side of ditchline at KP 6+100 and on ditchline at KP 6+380 and 6+230, monitor and control as required.","June 23, 2015- >95% vegetation establishment on ROW compared to off ROW control.  KP 6+040 patch of Sow thistle on ditchline and East side of ditchline. KP 6+200 patch of Canada thistle on ditchline.  - Cross drains well vegetated and functioning. July 12, 2015 - KP 5+900 to 6+400 -Herbicide application conducted along intermittent sections within ROW to control perennial sow thistle and Canada thistle. Aug 23, 2015 - Previous herbicide application appears successful. Although, patches of unaffected perennial sow thistle were observed at KP 6+000 to KP 6+150. Fall herbicide spot spray application is recommended. Sept. 24, 2015- Herbicide application conducted along intermittent sections within ROW to control perennial sow thistle, Canada thistle and bull thistle.","June 28, 2016 - Vegetation is well established with desirable species throughout ROW. - Good establishment of wild flowers, grasses, clover, vetch and sedges.  - Good establishment of willows, wild rose and poplar saplings.  - No erosion or subsidence issues.  - Cross drainages are vegetated and functioning. - KP 5+590, perennial sow thistle; KP 6+220 to 6+250 Canada thistle observed; KP 6+300 bull thistle observed. Recommend herbicide application. July 17, 2016 - Intermittent herbicide application (KP 5+900 to 6+400) conducted to control perennial sow thistle, Canada thistle, and bull thistle. August 20, 2016 - No noxious weeds observed, issues resolved.","June 25, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, broadleaf shrubs willows, and alder throughout tract.  - Perennial sow thistle observed at KP 5+950; Canada thistle observed at KP 6+250; Bull thistle (2 plants) observed at KP 6+290. Recommend herbicide application. - Trench crown present in tract is stable and well vegetated. Cross drains are functioning well. - No subsidence or erosion observed in tract. July 18, 2017 – Intermittent herbicide application conducted to control perennial sow thistle (KP 5+950), Canada thistle (KP 6+250), and bull thistle (KP 6+290). September 11, 2017 – Intermittent herbicide application conducted to control perennial sow thistle (KP 5+950) and Canada thistle (1 plant at KP 6+250). Issues resolved. - No other noxious weeds observed, issues resolved.",,,
SW 15-66-3 W6M,Moderate Vegetation Establishment,"July 8, 2014 - ~ 90% vegetation establishment, compared to off ROW control. –Weeds comparable to off ROW adjacent pipeline.  - Depression or poor contour at KP 6+451. South side of ditchline. Vegetation establishing, monitor.  - Perennial sow thistle KP 6+615 and bull thistle also noted. - Cross drains well vegetated and functioning. July 19, 2014 - KP 6+400 to 7+000 Herbicide application conducted within intermittent sections of the ROW, to control perennial sow thistle and Canada thistle. August 10, 2014 – Positive results from July 19th spray application observed. - Patches of perennial sow thistle found on ditchline at KP 6+480, KP 6+580, north of ditchline KP 6+730, on ditchline at KP 6+800 and KP 6+850, monitor and control as required.","June 23, 2015- >95% vegetation establishment on ROW compared to off ROW control. Moderate vegetation cover noted in 2013 and poor contour/vegetation at KP 6+451 are no longer present, issues resolved. - Cross drains well vegetated and functioning. - KP 6+500 patch of perennial sow thistle on ditchline. - KP 6+600 sign missing on pipeline crossing. July 12, 2015 - KP 6+400 to 7+000; Herbicide application conducted along intermittent sections within ROW to control perennial sow thistle and Canada thistle. July 24, 2015 - Pipeline markers straightened and new pipeline sign installed at KP 6+600. Issue resolved. Aug 23, 2015 – Herbicide application appears successful. Although, patches of unaffected perennial sow thistle and Canada thistle were observed at KP 6+560 to KP 6+700. Fall herbicide spot spray application is recommended. Leaning and fallen pipeline marker posts at KP 6+800. Recommend re-set.  Sept. 23, 2015 – herbicide application conducted along intermittent sections within ROW to control perennial sow thistle. Oct. 3, 2015- Reset pipeline markers at KP 6+800. Issue resolved.","June 28, 2016- Vegetation is well established with desirable species throughout ROW. - Good establishment of wild flowers, grasses, clover and shrubs.  - No erosion or subsidence issues. - KP 6+800 – Canada thistle observed, recommend herbicide application  July 17, 2016 - Intermittent herbicide application (KP 6+400 to 7+000) conducted to control perennial sow thistle and Canada thistle. August 20, 2016 – Herbicide application conducted at KP 6+450 to control perennial sow thistle. Common tansy picked, bagged, and disposed of at KP 6+540. - Bull thistle is no longer present, issue resolved.","June 26, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, poplar, willow and broadleaf shrubs. - Bull Thistle plant observed at KP 6+660; Canada thistle (KP 6+800). Recommend herbicide application. - Trench crown present in tract and stable with good vegetation establishment. Cross drains are functioning well. - No subsidence or erosion issues evident in tract. July 18, 2017 – Intermittent herbicide application conducted to control bull thistle, (KP 6+600 to 6+680) perennial sow thistle, (KP 6+660) and Canada thistle (KP 6+800). September 11, 2017 – Herbicide application conducted to control perennial sow thistle (KP 6+600), issue resolved. - No other noxious weeds observed. Issues resolved.",,,
NW 15-66-3 W6M,Invasive Species,"July 8, 2014 - ~ 90% vegetation establishment, compared to off ROW control. – Some thin patches. Weeds comparable to off ROW. Cross drains well vegetated and functioning - Perennial sow thistle at KP 7+200 to 7+700.  July 19, 2014 - KP 7+000 to 7+700 – Herbicide application conducted within intermittent sections of the ROW, to control perennial sow thistle and Canada thistle. July 27, 2014- KP 7+000 to 7+700 – ineffective control observed from July 19th, Herbicide application conducted along intermittent sections within ROW to control perennial sow thistle and Canada thistle. August 10, 2014 – successful application of herbicide observed from July application. Aug 10, 2014 - Patch of perennial sow thistle found north of wetland at KP 7+320, on the east edge of ROW at KP 7+430 and to the east side of ROW at KP 7+465. September 11, 2014 – Herbicide application conducted within areas of active Canada thistle.","June 23, 2015 - >95% vegetation establishment on ROW compared to off ROW control. - KP 7+100 to 7+250 Canada thistle and perennial sow thistle on ditchline. - Cross drains well vegetated and functioning. July 12, 2015 - KP 7+000 to 7+700; Herbicide application conducted along intermittent sections within ROW to control perennial sow thistle and Canada thistle. Aug 23, 2015 – Herbicide application appears successful. Although, patches of unaffected perennial sow thistle and Canada thistle were observed intermittently throughout tract. Fall herbicide spot spray application is recommended. Sept. 23, 2015 – Herbicide application conducted along intermittent sections within ROW to control perennial sow thistle. Oct 3, 2015- Reset a pipeline marker, issue resolved, and mechanically controlled perennial sow thistle.","June 2- Vegetation is well established with desirable species throughout ROW. - Good establishment of wild flowers, grasses, clover and vetch.  - No erosion or subsidence issues. - Cross drainages are vegetated and functioning. - No issues with ponded water. - KP 7+260, KP 7+400 to 7+500, 7+550, and 7+620 to 7+660 – Perennial sow thistle observed, recommend herbicide application. July 17, 2016 - Intermittent herbicide application (KP 7+000 to 7+700) conducted to control perennial sow thistle. August 20, 2016 – Intermittent herbicide application conducted to control perennial sow thistle in lower density than noted in July 2016.","June 26, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, poplar, willow and broadleaf shrubs. - Perennial sow thistle observed from KP 7+220 – 7+280 and KP 7+515. Recommend herbicide application. - Trench crown present in tract and stable with good vegetation establishment. Cross drains are functioning well. - No subsidence or erosion issues evident in tract. July 19, 2017 – Intermittent herbicide application conducted to control perennial sow thistle. September 11, 2017 – Intermittent herbicide application conducted to control perennial sow thistle. Issue resolved. - No other noxious weeds observed. Issues resolved.",,,
NW 15-66-3 W6M,Open Water Pond,"July 8, 2014 - Open water pond KP 7+310. Emergent vegetation visible. Deciduous species establishing around perimeter. Silty soil observed around edges and within pond. Natural hydrology within wetland is maintained. Evidence of wildlife using pond. Wetland appears stable. Bear sign observed (tracks). Perennial Sow thistle North side of pond within 30m.  July 23, 2014 - Handpicked noxious weed, perennial sow thistle, on north bank within 30m buffer of wetland (open-water pond) (KP 7+340). July 30, 2014 Previously identified Perennial sow thistle within 30m of watercourse at KP 7+300 was controlled by weedwacking.","June 23, 2015 - perennial sow thistle around open water pond. June 25, 2015 - willows, common cattail, sedges, reed grasses, all present; very thick (>95% comparable to off ROW) vegetation throughout wetland area; Standing water because of old beaver dam west of ROW backing water up past ROW; the dam is well vegetated and no recent “damming” activity; from the tracks, the beaver use the water as a travel corridor; July 25, 2015 - Conducted mechanical weed control for perennial sow thistle. Aug 23, 2015- Open water pond at 7+300 requires further mechanical weed control to control perennial sow thistle.",,"June 26, 2017 - Vegetation establishment around perimeter of pond is 80-100% comparable to off ROW control. Good establishment of grasses, broadleaf shrubs and willows. Tree species exceeding 1m in height. - Both north and south banks leading into pond are stable. - Presence of submergent and emergent vegetation within shallow edges of pond indicates that substrate health has been maintained. - Uniform depth and movement of water on and off ROW indicate that hydrology has been maintained in wetland. Standing water in pond present year-round acting as good water source for wildlife.  - Wetland is stable and at pre-construction functionality; species diversity has successfully been achieved on both north and south banks leading to wetland. Pre-construction contours have been achieved. - No subsidence or erosion issues evident in wetland. - Perennial sow thistle no longer present, issue resolved.",,,
NW 15-66-3 W6M,Open Water Pond (Artificial),"July 8, 2014 - Open water pond KP 7+560. Submergent and emergent vegetation exist. Deciduous species establishing around perimeter. Soils appear dry on perimeter edge. Water clarity is good. Natural hydrology within wetland is maintained. Evidence of wildlife using pond. Wetland appears stable. Perennial Sow thistle and Canada thistle noted around pond.  July 23, 2014- Mechanically removed noxious weed, perennial sow thistle, within 30m of wetland (artificial open-water pond) at KP 7+550. July 30, 2014- Previously identified Perennial sow thistle within 30m of watercourse at KP 7+500 was controlled by weedwacking.","June 25, 2015 - willows, common cattail, sedges, reed grasses, submergent vegetation all present; very thick (>95% comparable to off ROW) vegetation throughout wetland area; “artificial ponded water”; this feature had high water levels contributing to wetlands development; it was back flooded into non-aquatic grass; migratory birds, amphibians and ungulates use the wetland. - <s>Noxious weeds no longer evident, issue resolved.</s>",,"June 26, 2017 - Vegetation establishment around perimeter of pond is 80-100% comparable to off ROW control. Good establishment of herbaceous graminoids. Emergent vegetation establishing in wetland. - Clay-based substrate around and into wetland acting as mineral lick for wildlife and also supporting vegetation growth; substrate health has been maintained. - Depth of water reaching ~0.5m in center of pond and clarity of water indicates that hydrology has been maintained. Standing water in pond present year-round acting as good water source for wildlife.  - Wetland is stable and at pre-construction functionality; off ROW deciduous species to encroach wetland perimeter with time. Pre-construction contours have been achieved. - No subsidence or erosion issues evident in wetland.",,,
NE 16-66-3 W6M,Invasive Species,"July 8, 2014 - ~90-95% vegetation establishment, compared to off ROW control. Native grasses, and native clover well established. - Cross drains functioning and well vegetated. Deciduous species establishing. July 27, 2014 - KP 7+700 to 7+900 - Perennial sow thistle and Canada thistle located and herbicide application conducted along intermittent sections within ROW to control.","June 23, 2015 - >95% vegetation establishment on ROW compared to off ROW control. Excellent grasses vetch and clover establishment on ROW.  -KP 7+700 - drain at road edge is poorly contoured allowing water to pond seasonally on ROW. Continue to monitor. - Cross drains well vegetated and functioning.  - Noxious weeds were not identified in this tract. Aug 23, 2015- Noxious weeds were not observed. Issue resolved.","June 28, 2016- Vegetation is well established with desirable species throughout ROW. - Excellent establishment of grasses, clover and Vetch. - No erosion or subsidence issues. - Issue at drain (KP 7+700) is no longer evident, issue resolved.","June 26, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, poplar, willow and broadleaf shrubs. - Perennial sow thistle observed at KP 7+835. Recommend herbicide application. - Trench crown present in tract and stable with good vegetation establishment. Cross drains are functioning well. - No subsidence or erosion issues evident in tract. July 19, 2017 – Intermittent herbicide application conducted to control perennial sow thistle. September 11, 2017 – Herbicide application conducted to control perennial sow thistle at KP 7+835. Issue resolved.",,,
SE 21-66-3 W6M,High Vegetation Establishment,"July 7, 2014 - 85 - 95% vegetation cover on ROW compared to off ROW control. Willow and deciduous species’ establishing within ROW. - Canada thistle and perennial sow thistle found throughout entire tract predominantly on east side of ROW from KP 7+900 to KP 8+900. - Bare spot evident along ditchline from KP 8+260 to KP 8+350. Continue to monitor. July 22, 2014- Implemented straw waddle erosion control material within erosion to the west of ditchline at KP 8+660.  - July 27, 2014 - KP 7+900 to 8+900 – Herbicide application conducted along intermittent sections within ROW to control perennial sow thistle and Canada thistle. August 10, 2014 – Positive results observed form July 27th spray application, although perennial sow thistle found across ROW at KP 7+980, 8+380, 8+140, 8+175, KP 8+460, 8+530, and 8+720, monitor and control as required. September 11, 2014 – Herbicide application conducted within areas of active Canada thistle identified","June 23, 2015 - Vegetative coverage approximately 95%, compared to off ROW control.  - Subsidence and erosion was not observed. Erosion repair at KP 8+660, issue resolved. - Canada thistle noted along the ditch line from KP 8+000 to 8+180 and 8+880 to 8+900, perennial sow thistle noted at 8+150, from 8+300 to 8+465, and 8+600 to 8+900. Recommend weed control measures. - Pipeline markers at KP 8+250 are out of the ground and/or leaning heavily. Recommend reinstallation. - Previously reported bare patch at KP 8+260 to 8+350 and 8+600 observed. Concentrated around ditch line. Area vegetated is approximately 40%. Continue to monitor. July 12, 2015 – KP 7+900 to 8+900; Herbicide application conducted along intermittent sections within ROW to control perennial sow thistle, Canada thistle, and bull thistle. July 24, 2015- Reset pipeline markers and signs, at KP 8+250, issue resolved. Aug 23, 2015- Herbicide application appears to be successful. Although, patches of unaffected perennial sow thistle were observed at KP 8+200, 8+400, 8+600 and 8+700 and Canada thistle was observed at KP 8+000. Fall herbicide spot spray application is recommended. Sept. 23, 2015 – Herbicide application conducted intermittent sections within ROW to control perennial sow thistle and Canada thistle.","June 28, 2016 - Vegetation is well established with desirable species throughout ROW. Good establishment of grasses, clover and vetch. Patch of reduced vegetation noted at 8+260 to 8+350 is no longer evident, issue resolved. - No erosion, subsidence, or ponding issues. - KP 8+300 to 8+400 and KP 8+700 – Perennial sow thistle observed. Recommend herbicide application. July 17, 2016 – Intermittent herbicide application (KP 7+900 to 8+900) conducted to control perennial sow thistle. August 20, 2016 - Intermittent herbicide application conducted to control perennial sow thistle in lower density than noted in July 2016","June 26, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, poplar, willow and broadleaf shrubs.  - Canada thistle observed from KP 7+980 to 8+070 and from KP 8+880 to 8+900; Tall buttercup observed from KP 7+980 to 8+350; Perennial sow thistle observed at KP 8+410, 8+520, 8+650 and from KP 8+800 to 8+880. - Trench crown present in tract and stable with good vegetation establishment. Cross drains are functioning well. - No subsidence or erosion issues evident in tract. July 19, 2017 – Intermittent herbicide application conducted to control perennial sow thistle, Canada thistle, and tall buttercup (KP 7+980 to 8+350). September 11, 2017 – Herbicide application conducted to control Canada thistle (KP 7+980 to 8+070 and 8+880 to 8+900) and perennial sow thistle (KP 8+350 and 8+650). Issues resolved. - No other noxious weeds observed. Issues resolved.",,,
SE 21-66-3 W6M,Treed Bog,"July 27, 2014 - Wetland (treed bog) at KP 8+220 to KP 8+270 Wetland dry with very little moisture content evident within soils / no standing water evident at time of assessment. Evidence of recent water flow through trench breaks. Some sphagnum moss, willow and deciduous species’ development throughout wetland. Areas exhibiting slow vegetation establishment. Peat depth minimal in some areas within wetland. Mulch appears to be in appropriate densities across ROW with vegetation establishing around. Amphibians present within wetland. Continue to monitor for enhancement of wetland conditions.","June 25, 2015 - willows, common cattail present; no standing water; has cross ditch in place; very thick (>95% comparable to off ROW) vegetation throughout wetland area; surrounded by upland vegetation (poplar, spruce);",,"June 26, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, broadleaf shrubs poplars and willows throughout wetland. Deciduous tree species exceeding 1m in height. - Trench crown present and stable through wetland with sufficient amount of cross drains for movement of hydrology. - Uniform growth of graminoid / broadleaf vegetation and mosses indicates that substrate health has been maintained. - Soils within wetland are semi-saturated on and off ROW. Wetland likely to significantly dry through seasonal succession. - Wetland is stable and at pre-construction functionality; deciduous tree species successfully encroached ROW resembling off ROW vegetation diversity. Pre-construction contours have been achieved. - No subsidence, erosion or weed issues observed in wetland.",,,
