Legal Location,Land Use,1st Year (2015) Issue(s),2nd Year (2016) PCRM Assessment and Work Completed,3rd Year (2017) PCRM Assessment and Work Completed,VEC,GIS,Topic
SE 09-095-02W6,Forested,Low Vegetation Establishment,"August 5, 2016 - Vegetation is establishing off ditch line of grasses, shrubs, vetch and clover. - No erosion or subsidence issues.","July 1, 2017 - Vegetation cover on the ROW is 65 - 80% compared to the off ROW control. Native grasses and willows establishing in low areas.  Low vegetation issue observed in 2015 resolved. - Trench crown present and appears to be stable with a moderate height through tract. - No weeds observed  October 3, 2017 - No noxious weeds were observed.",,,
SE 09-095-02W6,Forested,Line of Sight Break,"August 5, 2016 - Line of sight control at KP5+180 is intact and functioning.","July 1, 2017 – Repairs required at line of sight barrier.  Vegetation on sides functioning well with line of sight barrier August 25, 2017 – Repairs to line of sight barrier completed.  Issue resolved.",,,
SW 09-095-02W6,Forested,Low Vegetation Establishment,"August 5, 2016 - Vegetation is establishing off ditch line of grasses, shrubs, vetch and clover. - KP 5+990 – Herbicide application conducted to control perennial sow thistle. - No erosion or subsidence issues.","July 1, 2017 - Vegetation cover on the ROW is 65 - 80% compared to the off ROW control. Native grasses and willows establishing in low areas.  Low vegetation issue observed in 2015 resolved. - Trench crown present and appears to be stable with a moderate height through tract. - No weeds observed on tract  October 3, 2017 - No noxious weeds were observed.",,,
SE 08-095-02W6,Forested,Low Vegetation Establishment,"August 5, 2016 - -  Vegetation is establishing off ditch line of grasses, shrubs, vetch and clover. - No erosion or subsidence issues.","July 1, 2017 - Vegetation cover on the ROW is 65 - 80% compared to the off ROW control. Native grasses and willows establishing in low areas.  Low vegetation issue observed in 2015 resolved. - Trench crown present and appears to be stable with a moderate height through tract. - No weeds observed on tract  - KP 6+450 recent burn area off ROW. Lack of vegetation surrounding.  October 3, 2017 - No noxious weeds were observed.",,,
SE 08-095-02W6,Treed Swamp,Ponding water,"Repairs completed in the winter 2015/2016.  Ponding no longer evident within wetland, issue resolved.","- Treed swamp on ROW from KP 6+220 to 6+967 appears stable. - Vegetation establishment is 80-100% comparable to off ROW control. Excellent establishment of herbaceous graminoids and rushes with willows emerging onto ROW. - No noxious weeds observed in wetland. - Trench crown present and stable through wetland with sufficient amount of cross drains for hydrology to be maintained. - Uniform growth of graminoid vegetation indicates that substrate health has been maintained. Good peat depth on and off ROW supporting vegetation growth and diversity. - Soils within wetland are saturated on ROW. Upslope terrain in wetland showing lesser saturation compared to low lying areas. Intermittent localized pouches of surface water present on ROW allowing for microsite habitat. - Wetland is stable and at pre-construction functionality; deciduous tree species successfully encroached onto ROW. Coniferous species to emerge onto ROW as time progresses. Pre-construction contours have been achieved. - No subsidence, erosion or weed issues observed in wetland.",,,
NE 08-095-02W6,Treed Swamp,Ponding water,"Repairs completed in the winter 2015/2016.  Ponding no longer evident within wetland, issue resolved.","- Treed swamp on ROW from KP 6+220 to 6+967 appears stable. - Vegetation establishment is 80-100% comparable to off ROW control. Excellent establishment of herbaceous graminoids and rushes with willows emerging onto ROW. - No noxious weeds observed in wetland. - Trench crown present and stable through wetland with sufficient amount of cross drains for hydrology to be maintained. - Uniform growth of graminoid vegetation indicates that substrate health has been maintained. Good peat depth on and off ROW supporting vegetation growth and diversity. - Soils within wetland are saturated on ROW. Upslope terrain in wetland showing lesser saturation compared to low lying areas. Intermittent localized pouches of surface water present on ROW allowing for microsite habitat. - Wetland is stable and at pre-construction functionality; deciduous tree species successfully encroached onto ROW. Coniferous species to emerge onto ROW as time progresses. Pre-construction contours have been achieved. - No subsidence, erosion or weed issues observed in wetland.",,,
NE 08-095-02W6,Forested,Low Vegetation Establishment,"August 5, 2016 - -  Vegetation is establishing slowly because for excessive mulch, grasses, shrubs, vetch and clover. - KP 6+900 – Erosion observed, recommend repairs. - No subsidence issues.","July 1, 2017 - Vegetation cover on the ROW is 65 - 80% compared to the off-ROW control. Vegetation consists predominantly of alsike and yellow sweet clover within disturbed areas.  Low vegetation issue observed in 2015 resolved. - No noxious weeds were observed within this ¼. - Cross-drains appear to be functioning well.  - No subsidence observed within ¼ - KP 6+900, erosion noted in 2016 appears to be stable and well-vegetated. No work required. Issue resolved.October 3, 2017 - No noxious weeds were observed.",,,
NW 08-095-02W6,Forested,Low Vegetation Establishment,"August 5, 2016 - Vegetation is establishing, grasses, shrubs, vetch and clover. - No erosion or subsidence issues.","July 1, 2017 - Vegetation cover on the ROW is 65 - 80% compared to the off-ROW control. Vegetation consists predominantly of Alsike and yellow sweet clover within disturbed areas. - Intermittent areas with reduced vegetation cover (0-65%) of off-ROW control. Emerging desired vegetation beginning to establish with surrounding species infilling. - KP 7+830, 3rd party ATV use evident with tracks/ruts running through hill slope causing vegetation disturbance. Recommend access control. - Moderate height ditch line roach observed throughout ¼. Intermittent areas with considerate roach height.  - Cross-drains appear to be functioning well.  - No subsidence observed within ¼ July 22, 2017 – KP 7+120 – Herbicide application conducted to control scentless chamomile.  Issue resolved. August 25, 2017 – KP 7+830 – Deadfall utilized to block 3rd party access, issue resolved. October 3, 2017 - No noxious weeds were observed.  Effective control of scentless chamomile observed.",,,
NE 7-095-02W6,Forested,Low Vegetation Establishment,"August 5, 2016 - Vegetation is establishing, grasses, shrubs, vetch and clover.  - No erosion or subsidence issues.","July 1, 2017 - Vegetation cover on the ROW is 65 - 80% compared to the off-ROW control. Vegetation consists predominantly of alsike and yellow sweet clover within disturbed areas.   - Intermittent areas with reduced vegetation cover (0-65%) of off-ROW control. Emerging desired vegetation beginning to establish with surrounding species infilling.  - No noxious weeds were observed within this ¼. - Moderate height ditch line roach observed throughout ¼ - Cross-drains appear to be functioning well.  - No subsidence observed within ¼ October 3, 2017 - No noxious weeds were observed.",,,
SE 18-095-02W6,Forested,Low Vegetation Establishment,"August 5, 2016 - Vegetation is establishing, grasses, shrubs, vetch and clover.  - No erosion or subsidence issues.","July 1, 2017 - Vegetation cover on the ROW is 65 - 80% compared to the off-ROW control.  Vegetation consists predominantly of alsike and yellow sweet clover within disturbed areas.  Low vegetation issue observed in 2015 resolved. - No noxious weeds were observed within this ¼. - Moderate height ditch line roach observed throughout ¼ - Cross-drains appear to be functioning well.  - No subsidence observed within ¼ July 22, 2017 – KP 8+600 – Herbicide application conducted to control scentless chamomile.  Issue resolved. October 3, 2017 - No noxious weeds were observed.  Effective control of scentless chamomile observed.",,,
SW 18-095-02W6,Forested,Low/Moderate Vegetation Establishment,"August 5, 2016 - Vegetation is establishing, grasses, shrubs, vetch and clover.  - No erosion or subsidence issues","July 2, 2017- 65-80% vegetation establishment within this tract, consisting predominantly of alsike clover, with a considerable amount of sweet clover present as well.  Other species of vegetation establishing include timothy, brome, american vetch, wheatgrass, aspen and some willows.  Low vegetation issue observed in 2015 resolved - Cross drains appear to be accommodating migration of water appropriately - KP 8+980 –Canada thistle observed, recommend weed control. July 22, 2017 – KP 8+980 – Herbicide application conducted to control Canada thistle.  Issue resolved. October 3, 2017 – KP 9+010 to 9+130 – Intermittent herbicide application conducted to control Canada thistle, issue resolved.",,,
SW 18-095-02W6,Unnamed Tributary to Hotchkiss River (CH4),None,"August 5, 2016 - Unnamed Tributary to Hotchkiss River KP9+600. - Banks and riparian areas are stable","July 2, 2017 - Removed erosion control material (silt fence), issue resolved.  - Tributary to Meikle River – CH4 – banks, slopes and coir lifts are stable and well vegetated, minimal flow is present at this time.  Willow plugs present.",,,
,Treed Bog,None,,"- Treed bog on ROW from KP 9+602 to 9+708 appears stable. - Vegetation establishment is 80-100% comparable to off ROW control. Vegetation consisting of graminoids, rushes and clover. Willows and spruce trees observed emerging onto ROW. - No noxious weeds observed in wetland. - Trench crown present and stable through wetland with sufficient amount of cross drains for hydrology to be maintained. - Uniform growth of vegetation indicates that substrate health has been maintained. Minimal peat depth on and off ROW due to mature vegetation in area and down sloping terrain to watercourse. - Soils within wetland are semi-saturated on and off ROW nearing the watercourse. Upslope terrain in wetland showing lesser saturation due to natural movement of water to low-lying area. - Wetland is stable and at pre-construction functionality; deciduous and coniferous tree species successfully encroached onto ROW. Pre-construction contours have been achieved. - No subsidence, erosion or weed issues observed in wetland.",,,
NW 18-095-02W6,Shrubby Bog,Noxious weeds,,"- Shrubby bog on ROW from KP 9+806 to 9+915 appears stable. - Vegetation establishment is 65-80% comparable to off ROW control. Vegetation consisting of graminoids, rushes and clover. Some willows emerging onto ROW. - No noxious weeds observed in wetland.  2015 noxious weed issue resolved. - Trench crown present and stable through wetland with sufficient amount of cross drains for hydrology to be maintained. - Uniform growth of vegetation indicates that substrate health has been maintained. Good peat depth on and off ROW supporting vegetation growth and diversity. - Soils within wetland are saturated on and off ROW.  - Wetland is stable and at pre-construction functionality with the exception of vegetation cover; deciduous species successfully encroaching ROW. Pre-construction contours have been achieved. - No subsidence, erosion or weed issues observed in wetland. October 3, 2017 - No noxious weeds were observed.",,,
NE 13-095-03W6,Forested,Low Vegetation Establishment Noxious Weeds,"August 5, 2016 - Vegetation is slow establishing in some areas while others have grasses, shrubs, vetch and clover. Ditch line however remains lower with vegetation.  - Intermittent herbicide application conducted to control scentless chamomile (KP 10+250, 10+350, 10+375), Canada thistle (KP 10+300) and perennial sow thistle (KP 10+600).  Issue resolved. - No erosion or subsidence issues.","July 2, 2017 - 65-80% vegetation establishment within this tract, consisting predominantly of sweet clover and alsike clover, with timothy and brome within areas subject to disturbed soils.  Cattails, sedges, aspen and willow are establishing within areas not subject to disturbed soils.  Low vegetation issue observed in 2015 resolved - Cross drains appear to be accommodating migration of water appropriately - Canada thistle (KP 10+555) and scentless chamomile (KP 10+640) observed, recommend weed control. July 22, 2017 – Herbicide application conducted to control Canada thistle (KP 10+555) and scentless chamomile (KP 10+640).  Issue resolved. October 3, 2017 – KP 10+555 – Herbicide application conducted to control Canada thistle.  Effective control of scentless chamomile observed, all previous issues resolved.",,,
SE 24-095-03W6,Forested,Low Vegetation Establishment,"August 5, 2016 - Vegetation is establishing, grasses, shrubs, vetch and clover. - No erosion or subsidence issues.","July 2, 2017 - 65-80% vegetation establishment consisting of cattails, sedges, mosses, cottongrass and other wetland vegetation.  The majority of the tract exists within low lying, wet area.  Low vegetation issue observed in 2015 resolved October 3, 2017 - No noxious weeds were observed.",,,
,Treed Bog,None,,"- Treed bog on ROW from KP 11+041 to 10+164 appears stable. - Vegetation establishment is 80-100% with 65-80% on ditch line as compared to off ROW control. Vegetation consisting of graminoids and rushes. Poplars emerging onto ROW. - No noxious weeds observed in wetland. - Trench crown present and stable through wetland with sufficient amount of cross drains for hydrology to be maintained. - Uniform growth of vegetation indicates that substrate health has been maintained. Good peat depth on and off ROW supporting vegetation growth and diversity. - Soils within wetland are saturated on and off ROW with localized pouches of standing water. Intermittent localized pouches of surface water present on ROW allowing for microsite habitat. - Wetland is stable and at pre-construction functionality with the exception of vegetation cover; deciduous species successfully encroaching ROW. Pre-construction contours have been achieved.  - No subsidence, erosion or weed issues observed in wetland.",,,
SW 24-095-03W6,Forested,Low Vegetation Establishment,"August 5, 2016 - -  Vegetation is slow establishing.  - KP 11+520 – Herbicide application conducted to control perennial sow thistle.  Issue resolved. - No erosion or subsidence issues.","July 2, 2017 – 0 - 65% overall vegetation establishment within this tract consisting mostly of alsike clover, with some brome, willows and aspen establishing.  The west end of the tract exhibits vegetation in increased density consisting mostly of Brome - KP 11+440 – Scentless chamomile (6 plants) picked and disposed of. Issue resolved. July 22, 2017 – KP 11+850 – Herbicide application conducted to control scentless chamomile.  Issue resolved. October 3, 2017 - No noxious weeds were observed.  Effective control of scentless chamomile observed.",,,
SE 23-095-03W6,Forested,Low Vegetation Establishment,"August 5, 2016 - Vegetation is slow establishing. - No erosion or subsidence issues.","July 2, 2017 - 0-65% overall vegetation establishment within this tract consisting predominantly of alsike clover, with some sweet clover; cattails, willow and sedges establishing within low area July 22, 2017 – KP 12+800 – Scentless chamomile within tree plot, weeds were hand-picked and disposed of. Issue resolved October 3, 2017 - No noxious weeds were observed.  Effective control of scentless chamomile observed.",,,
NE 23-095-03W6,Forested,Low/Moderate Vegetation Establishment,"August 5, 2016 - Vegetation is slow establishing.  - No erosion or subsidence issues.","July 2, 2017 - Vegetation cover on the ROW is 65 - 80% compared to the off ROW control. Native grasses clover and willows establishing in low areas.  Low vegetation issue observed in 2015 resolved. October 3, 2017 - No noxious weeds were observed.",,,
NW 23-095-03W6,Forested,High Vegetation Establishment,"August 5, 2016 – KP 13+400 to 13+700 – Intermittent herbicide application conducted to control perennial sow thistle. - No erosion or subsidence issues.","July 2, 2017 - Vegetation cover on the ROW is 80 - 100% compared to the off ROW control. Native grasses and willows establishing in low areas.   - Willows have established very well on work side providing a naturel line of sight barrier - Noxious weeds on tract. - KP 13+820 - Canada thistle observed, recommend weed control. July 22, 2017 – KP 13+820 to 13+950 – Intermittent herbicide application conducted to control Canada thistle and perennial sow thistle.  Issue resolved. October 3, 2017 KP 13+050 – Herbicide application conducted to control Canada thistle.  Issue resolved.  Effective noxious weed control observed on remaining portions of quarter.",,,
NE 22-095-03W6,Forested,Low Vegetation Establishment,"August 5, 2016 - Vegetation is slow establishing. - No erosion or subsidence issues.","July 2, 2017 - Vegetation cover on the ROW is 65 - 80% compared to the off ROW control. Native grasses and willows establishing in low areas. Low vegetation issue observed in 2015 resolved. October 3, 2017 - No noxious weeds were observed.",,,
SE 27-095-03W6,Forested,Low Vegetation Establishment,"August 5, 2016 - Vegetation is slow establishing. - KP 14+350, 14+500, 14+550 – Intermittent herbicide application conducted to control scentless chamomile. Issue resolved. - Silt fence should be removed at KP14+400 and 14+450.  Vegetation is providing adequate sediment control. - No erosion or subsidence issues.","July 2, 2017 - Vegetation cover on the ROW is 65 - 80% compared to the off ROW control. Native grasses and willows establishing in low areas.  Low vegetation issue observed in 2015 resolved. - KP 14+400 and 14+450 – recommend removal of silt fence. - No weeds observed  August 25, 2017 – KP 14+400 and 14+450 – silt fencing removed. Issue resolved. October 3, 2017 - No noxious weeds were observed.",,,
SW 27-095-03W6,Forested,Low Vegetation Establishment,"August 5, 2016 - Vegetation is slow establishing in some areas while others have grasses, shrubs, vetch and clover. - Herbicide applications conducted to control scentless chamomile (KP 15+700) and perennial sow thistle (KP 15+600).  Issue resolved. - No erosion or subsidence issues.","July 2, 2017 - Vegetation cover on the ROW is 65 - 80% compared to the off ROW control. Native grasses and willows establishing in low areas. Consisting predominantly of clover aspen some brome.  Low vegetation issue observed in 2015 resolved. - No noxious weeds identified on track.  October 3, 2017 - No noxious weeds were observed.",,,
NW 27-095-03W6,Forested,Low Vegetation Establishment,"August 5, 2016 - Vegetation is slow establishing in some areas while others have grasses, shrubs, vetch and clover. - No erosion or subsidence issues.","July 2, 2017 - Vegetation cover on the ROW is 65 - 80% compared to the off ROW control. Native grasses and willows establishing in low areas.  Tract predominantly clover, raspberry’s.  Low vegetation issue observed in 2015 resolved - No weeds observed on tract  October 3, 2017 - No noxious weeds were observed.",,,
NE 28-095-03W6,Forested,High Vegetation Establishment,"August 6, 2016 - Vegetation is establishing off ditch line of grasses, shrubs, vetch and clover. - Herbicide application conducted to control scentless chamomile (KP 16+600), tall buttercup (KP 16+390, 16+400, and 16+495), perennial sow thistle (KP 16+490), and common tansy (KP 16+390). Issue resolved. - No erosion or subsidence issues.","July 2, 2017 - Vegetation cover on the ROW is 80-100% compared to the off-ROW control.  - Vegetation consists predominantly of alsike and yellow sweet clover within disturbed areas. Timothy, brome, and prickly rose were also identified within tract - KP 16+065 to 16+185 - Tall buttercup observed, recommend weed control. - Cross-drains appear to be functioning well.  - No subsidence observed within ¼ July 23, 2017 – KP 16+000 to 16+900 – Intermittent herbicide application conducted to control tall buttercup.  Issue resolved. October 3, 2017 - No noxious weeds were observed.  Effective control of tall buttercup observed.",,,
NE 28-095-03W6,Unnamed Tributary to Meikle River (CH6),"Diversion berm, Erosion and Silt Fence","Repairs completed in winter 2015/2016.  Issues resolved. August 6, 2016 - Unnamed Tributary to Meikle River KP16+960. - Banks and riparian areas are stable. - Silt fence at 16+900 and 17+010 should be removed.  Vegetation cover providing adequate sediment control.","July 2, 2017 - CH6 Unnamed Tributary to Meikle River - KP 16+960, banks are stable and well vegetated, minimal flow is present at this time. Willow live stakes showing minimal growth with low success rate.  - Vegetation cover on the ROW is 80-100% compared to the off-ROW control. Vegetation consists predominantly of Willows, sedges, timothy, and brome - KP 16+900 and 17+010 – Recommend removal of silt fencing.  Surrounding area is well-vegetated and stable. August 26, 2017 – KP 16+900 and 17+010 – Silt fence removed, issue resolved.",,,
NW 28-095-03W6,Forested,High Vegetation Establishment,"August 6, 2016 - Vegetation is establishing, grasses, shrubs, vetch and clover. - KP 17+075 – Herbicide application conducted to control scentless chamomile.  Issue resolved. - No erosion or subsidence issues.","July 2, 2017 - Vegetation cover on the ROW is 80-100% compared to the off-ROW control.  - Vegetation consists predominantly of alsike and yellow sweet clover within disturbed areas. Timothy and brome were also identified within tract - KP 17+150 - Perennial sow thistle and scentless chamomile observed, recommend weed control. - Moderate height ditch line roach observed throughout ¼. - Cross-drains appear to be functioning well.  - No subsidence observed within ¼ July 23. 2017 - KP 17+060 and 17+150 – Herbicide application conducted to control perennial sow thistle, scentless chamomile, and Canada thistle.  Issue resolved. October 3, 2017 – KP 17+130 – Herbicide application conducted to control Canada thistle.  Effective control of noxious weeds on remaining portions of quarter.",,,
NW 28-095-03W6,Forested,Rare Plants  (shaded cladonia)  KP 17+000,"August 6, 2016 - Vegetation is establishing, grasses, shrubs, vetch and clover. - KP 17+075 – Herbicide application conducted to control scentless chamomile.  Issue resolved. - No erosion or subsidence issues.","July 2, 2017 - Vegetation cover on the ROW is 80-100% compared to the off-ROW control.  - Vegetation consists predominantly of alsike and yellow sweet clover within disturbed areas. Timothy and brome were also identified within tract - KP 17+150 - Perennial sow thistle and scentless chamomile observed, recommend weed control. - Moderate height ditch line roach observed throughout ¼. - Cross-drains appear to be functioning well.  - No subsidence observed within ¼ July 23. 2017 - KP 17+060 and 17+150 – Herbicide application conducted to control perennial sow thistle, scentless chamomile, and Canada thistle.  Issue resolved. October 3, 2017 – KP 17+130 – Herbicide application conducted to control Canada thistle.  Effective control of noxious weeds on remaining portions of quarter.",,,
NW 28-095-03W6,Forested,"CU01 – Location, off right-of-way, identified and observed August 3, 2015; species located on along decayed tree.  Issue resolved, no further monitoring recommended","August 6, 2016 - Vegetation is establishing, grasses, shrubs, vetch and clover. - KP 17+075 – Herbicide application conducted to control scentless chamomile.  Issue resolved. - No erosion or subsidence issues.","July 2, 2017 - Vegetation cover on the ROW is 80-100% compared to the off-ROW control.  - Vegetation consists predominantly of alsike and yellow sweet clover within disturbed areas. Timothy and brome were also identified within tract - KP 17+150 - Perennial sow thistle and scentless chamomile observed, recommend weed control. - Moderate height ditch line roach observed throughout ¼. - Cross-drains appear to be functioning well.  - No subsidence observed within ¼ July 23. 2017 - KP 17+060 and 17+150 – Herbicide application conducted to control perennial sow thistle, scentless chamomile, and Canada thistle.  Issue resolved. October 3, 2017 – KP 17+130 – Herbicide application conducted to control Canada thistle.  Effective control of noxious weeds on remaining portions of quarter.",,,
NW 28-095-03W6,Forested,"CU04 – Location, off right-of-way, identified and observed and remains intact; species not found. August 3, 2015.  Issue resolved, no further monitoring recommended","August 6, 2016 - Vegetation is establishing, grasses, shrubs, vetch and clover. - KP 17+075 – Herbicide application conducted to control scentless chamomile.  Issue resolved. - No erosion or subsidence issues.","July 2, 2017 - Vegetation cover on the ROW is 80-100% compared to the off-ROW control.  - Vegetation consists predominantly of alsike and yellow sweet clover within disturbed areas. Timothy and brome were also identified within tract - KP 17+150 - Perennial sow thistle and scentless chamomile observed, recommend weed control. - Moderate height ditch line roach observed throughout ¼. - Cross-drains appear to be functioning well.  - No subsidence observed within ¼ July 23. 2017 - KP 17+060 and 17+150 – Herbicide application conducted to control perennial sow thistle, scentless chamomile, and Canada thistle.  Issue resolved. October 3, 2017 – KP 17+130 – Herbicide application conducted to control Canada thistle.  Effective control of noxious weeds on remaining portions of quarter.",,,
,,"CU05 - Location, off right-of-way, identified and observed August 3, 2015; species located on base of will shrub.  Issue resolved, no further monitoring recommended",,,,,
,,Rare Plants  (shaded cladonia)  KP 17+250,,,,,
,,"CU02 – Location identified and observed August 3, 2015; species located on base of stump. Issue resolved, no further monitoring recommended.",,,,,
,,"CU03 - Location identified and observed and remains intact; sun exposure now present; specimen not present. August 3, 2015.  Additional monitoring recommended","August 22, 2016 - Species not observed at the pre-disturbance location. - The tree stump that supported the target rare plant could not be identified.  - Post-construction habitat conditions on the ROW are not considered favorable for re-establishment of this species. - No further monitoring recommended, issue resolved.",,,,
