Land Description,KP,Land Use1,Issue,Recommendation(s),Schedule,VEC,GIS,Topic
a-34-E/94-I-14,47.60 to 47.70,peat accumulating marsh,Trench line subsidence,Recontour and centre the trench crown over trench line.  Wetland habitat and hydrological functions are anticipated to improve after additional growing seasons and final clean-up.,Final clean-up winter 2012/2013.,,,
b-22-E/94-I-14  to  c-11-E/94-I-14,49.30 to 50.30,treed fen,Track marks,Smooth track marks.  Wetland habitat and hydrological functions are anticipated to improve after additional growing seasons and final clean-up.,Final clean-up winter 2012/2013.,,,
a-11-E/94-I-14,50.93,forested,Track marks,Smooth track marks.,Final clean-up winter 2012/2013.,,,
a-11-E/94-I-14  to  d-10-F/94-I-14,51.00 to 51.63,treed fen,"Trench line subsidence, organics distribution",Recontour and centre the trench crown over trench line. Redistribute organics across the right-of-way.  Wetland habitat and hydrological functions are anticipated to improve after additional growing seasons and final clean-up.,Final clean-up winter 2012/2013.,,,
d-10-F/94-I-14,51.63 to 51.98,treed bog,Trench line subsidence,Recontour and centre the trench crown over trench line. Wetland habitat and hydrological functions are anticipated to improve after additional growing seasons and final clean-up.,Final clean-up winter 2012/2013.,,,
d-10-F/94-I-14  to  c-98-C/94-I-14,51.98 to 53.59,treed fen,"Trench line subsidence, organics distribution",Recontour and centre the trench crown over trench line. Redistribute organics across the right-of-way.  Wetland habitat and hydrological functions are anticipated to improve after additional growing seasons and final clean-up.,Final clean-up winter 2012/2013.,,,
a-98-C/94-I-14  to  a-87-C/94-I-14,54.05 to 55.20,treed fen,"Trench line subsidence, organics distribution",Recontour and centre the trench crown over trench line. Redistribute organics across the right-of-way.  Wetland habitat and hydrological functions are anticipated to improve after additional growing seasons and final clean-up.,Final clean-up winter 2012/2013.,,,
a-87-C/94-I-14,55.43,forested,Organics replacement,Redistribute the organics across the right-of-way.,Final clean-up winter 2012/2013.,,,
d-76-C/94-I-14  to  c-55-C/94-I-14,56.25 to 58.80,treed fen,Organics distribution,Redistribute the organics across the right-of-way.  Wetland habitat and hydrological functions are anticipated to improve after additional growing seasons and final clean-up.,Final clean-up winter 2012/2013.,,,
c-65-C/94-I-14,57.56,Unnamed Tributary to Metlandoa Creek (watercourse 17),Organics distribution,Redistribute organics on the north side of the watercourse across the right-of-way.,Final clean-up winter 2012/2013.,,,
d-84-K/94-I-11,65.10 to 65.40,treed bog,"Trench line subsidence, organics distribution",Recontour and centre the trench crown over trench line. Redistribute the organics across the right-of-way.  Wetland habitat and hydrological functions are anticipated to improve after additional growing seasons and final clean-up.,Final clean-up winter 2012/2013.,,,
d-74-K/94-I-11,66.13,forested,Cross drainage,Install openings in the trench crown.,Final clean-up winter 2012/2013.,,,
a-55-K/94-I-11,68.88,forested,Organics distribution,Redistribute the organics across the right-of-way.,Final clean-up winter 2012/2013.,,,
a-35-K/94-I-11,70.70,forested,Trench line subsidence,Recontour and centre the trench crown over trench line.,Final clean-up winter 2012/2013.,,,
c-25-K/94-I-11,71.65,forested,Cross drainage,Install openings in the trench crown.,Final clean-up winter 2012/2013.,,,
