Alignment Sheet#,Approx. KP,Legal Location,Land Use,Environmental Issues,"AMEC PCEM Observations, 2013","Enbridge Environmental Inspector (EI) Observations, 2013","AMEC PCEM Observations, 2014","Enbridge Environmental Inspector (EI) Observations, 2014",Repairs to date,Status                  (Resolved/            Unresolved),Recommended Mitigation Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
2,3+550,SE 10-4-5 W2,pasture,weeds,"July 2013: On-RoW noxious weeds: annual sow-thistle, scentless chamomile.",,No issue identified.,,None recommended,resolved,,,,
2,3+900,NW 2-4-5 W2,crop,silt fence,No issue identified.,Remove silt fence,,,"Silt fence removed, June 2013",resolved,,,,
2,4+800,NE 2-4-5 W2,crop,silt fence,No issue identified.,Remove silt fence,,,"Silt fence removed, June 2013",resolved,,,,
2,5+150,NE 2-4-5 W2,crop,silt fence,No issue identified.,Remove silt fence,,,"Silt fence removed, June 2013",resolved,,,,
2,5+300,NW 1-4-5 W2,pasture,silt fence,No issue identified.,Cattle have been here all spring - remove silt fence,,,"Silt fence removed, June 2013",resolved,,,,
2,5+600,NW 1-4-5 W2,pasture,silt fence,No issue identified.,Remove silt fence,,,"Silt fence removed, June 2013",resolved,,,,
2,5+900,NW 1-4-5 W2,pasture,weeds,No issue identified.,,August 2014: Weedy on- and off-RoW.  Noxious weeds: absinthe.  Area mown to landowner specifications.  Invasives appear to be moving in from pasture to south of RoW (off-RoW).,Mowed August 2014. flixweed and yellow sweet clover mostly. Desired species present below the weed cover,Mowed August 2014,unresolved,Monitor,,,
2,5+950,NW 1-4-5 W2,pasture,topsoil,No issue identified.,Topsoil replacement needed,,,,resolved,,,,
2,6+050,SW 1-4-5 W2,pasture,weeds,July 2013: Active grazing on- and off-RoW.  Off-RoW noxious weeds: narrow-leaved hawksbeard.  On-RoW noxious weeds: scentless chamomile.,Mowed in 2013,No issue identified.,Mowed August 2014. flixweed and yellow sweet clover mostly. Desired species present below the weed cover,Mowed in 2013 after AMEC review.  Will be monitored in 2015.,unresolved,Monitor,,,
2,6+200 to 7+000,SE 1-4-5 W2,crop,"stressed vegetation, compaction, admixing","July 2013: Corn field; Corn in RoW obviously has poorer growth than outside of RoW (0.6 m stalks in RoW vs. 1.35 m stalks outside RoW, chlorosis).    August 2013: Soil pit at 6+875. Compacted.  Corn growth impacted (rooting depth only 0.04 m, depth of topsoil), admixing.  Could not delineate RoW due to very tall plants.",,No issue identified.,,None recommended,resolved,,,,
2,6+300,SE 1-4-5 W2,pasture,silt fence,No issue identified.,Remove silt fence,,,Silt fence removed 2013,resolved,,,,
2,6+350,SE 1-4-5 W2,pasture,subsidence,No issue identified.,Subsidence,,,None recommended,resolved,,,,
2,6+550,SE 1-4-5 W2,pasture,subsidence,No issue identified.,Subsidence,,,None recommended,resolved,,,,
3,7+000 to 7+200,SE 1-4-5 W2 / SW 6-4-4 W2,crop,stressed vegetation,"July 2013: Crop on RoW looks nutrient deficient (chlorotic, low vigor compared to baseline)",,No issue identified.,,None recommended,resolved,,,,
3,7+850,SW 6-4-4 W2,crop,rutting,No issue identified.,Land owner drove harvest equipment across RoW - ruts,No issue identified.,No issues identified,None recommended,resolved,,,,
3,8+000,SE 6-4-4 W2,crop,silt fence,No issue identified.,Remove silt fence,,,"Silt fence removed, June 2013",resolved,,,,
3,8+140,SE 6-4-4 W2,crop,subsidence,July 2013: Subsidence (0.5 m x 0.7 m x 0.4 m),,"June 2014: Area under water, could not monitor. August 2014: No subsidence observed",,None recommended,resolved,,,,
3,8+400,SE 6-4-4 W2,crop,silt fence,No issue identified.,Remove silt fence,,,"Silt fence removed, June 2013",resolved,,,,
3,9+100,NW 32-3-4 W2,crop,3rd party issue,July 2013: Snow fencing needs to be re-installed,"3rd party line crossing hole - fenced off - July 2013. Topsoil replaced, fence removed July 2013",,"No issues identified,  August 2014",Snow fencing removed and soil backfilled  in July 2013,resolved,,,,
3,9+300,NW 32-3-4 W2,crop,silt fence,No issue identified.,Remove silt fence,,,"Silt fence removed, June 2013",resolved,,,,
3,9+900,NW 32-3-4 W2,crop,silt fence,No issue identified.,Remove silt fence,,,"Silt fence removed, June 2013",resolved,,,,
3,10+100,SE 32-3-4 W2,crop,subsidence,No issue identified.,Subsidence,,,None recommended,resolved,,,,
4,10+900,SE 32-3-4 W2,crop,silt fence,No issue identified.,Remove silt fence,,,"Silt fence removed, June 2013",resolved,,,,
4,11+050,SW 33-3-4 W2,crop,silt fence,No issue identified.,Remove silt fence,,,"Silt fence removed, June 2013",resolved,,,,
4,11+450,NW 28-3-4 W2,crop,rutting,No issue identified.,Land owner left ruts when seeding,,,None recommended,resolved,,,,
4,11+500,NW 28-3-4 W2,crop,silt fence,No issue identified.,Remove silt fence,,,"Silt fence removed, June 2013",resolved,,,,
4,11+800,NE 28-3-4 W2,crop,"subsidence, debris",No issue identified.,Subsidence and garbage,,,Cleaned up in June 2013; none recommended,resolved,,,,
4,11+950,NE 28-3-4 W2,crop,erosion,No issue identified.,Water erosion from road culvert,,,"Topsoil replaced, October 2013",resolved,,,,
4,12+050,NE 28-3-4 W2,crop,topsoil,No issue identified.,Topsoil replacement needed,No issue identified.,,Topsoil replaced October 2013,resolved,,,,
4,12+435,NE 28-3-4 W2,crop,subsidence,July 2013: Subsidence (2.6 m x 1.0 m x 0.4m),,No issue identified.,,None recommended,resolved,,,,
5,13+750,NE 27-3-4 W2,crop,topsoil,No issue identified.,Topsoil replacement needed,,,Topsoil replaced June 2013,resolved,,,,
5,13+975 to 14+015,NE 27-3-4 W2,crop,subsidence,July 2013: Subsidence from 13+975 through to Enbridge observations at 13+990 and 14+015.,Subsidence,No issue identified.,,"Topsoil replaced, October 2013",resolved,,,,
5,14+110,NE 27-3-4 W2,crop,subsidence,July 2013: Subsidence (4.7 m x 2.0 m x 0.4 m),,No issue identified.,,"Topsoil replaced, October 2012",resolved,,,,
5,14+400,NW 26-3-4 W2,crop,silt fence,No issue identified.,Remove silt fence,,,"Silt fence removed, June 2013",resolved,,,,
5,14+700,NW 26-3-4 W2,crop,silt fence,No issue identified.,Remove silt fence,,,"Silt fence removed, June 2013",resolved,,,,
5,14+900,NW 26-3-4 W2,crop,subsidence,No issue identified.,Subsidence,,,None recommended,resolved,,,,
5,14+950 to 15+000,NW 26-3-4 W2,crop,stressed vegetation,"July 2013: Wheat plants look stressed compared to baseline (decreased height by 0.15 m, chlorotic) -August 2013: Could not identify issue, as a new 3rd",,August 2014: No difference in crop expression observed.  No issue identified.,,None recommended,resolved,,,,
5,15+140 to 15+190,SW 35-3-4 W2,crop,"subsidence (2013), topsoil (2014)",July 2013: Subsidence (2 m x 0.4 m at widest and deepest points).,,"August 2014: Topsoil replaced, but is different texture and colour.",Walked into crop and could not identify area - August 2014,Topsoil replaced October 2013,unresolved,Monitor,,,
5,15+300,SE 35-3-4 W2,crop,ponding water,No issue identified.,Surface water on RoW,,,None recommended,resolved,,,,
5,16+050,SE 35-3-4 W2,crop,ponding water,No issue identified.,Surface water on RoW,,,None recommended,resolved,,,,
5,16+400,SW 36-3-4 W2,crop,"ponding water, silt fence removal",No issue identified.,Surface water on RoW and silt fence,,,Silt fence removed June 2013,resolved,,,,
5,16+500,SW 36-3-4 W2,crop,"ponding water, silt fence removal",No issue identified.,Surface water on RoW and silt fence,,,Silt fence removed June 2013,resolved,,,,
6,17+400,NE 36-3-4 W2,crop,silt fence,No issue identified.,Wetland - remove silt fence,,,"Silt fence removed, June 2013",resolved,,,,
6,17+975,NW 31-3-3 W2,road,daylighting hole,No issue identified.,Daylighting hole,,,Backfilled June 2013; none recommended,resolved,,,,
6,18+000,NW 31-3-3 W2,crop,silt fence,No issue identified.,Remove silt fence,,,"Silt fence removed, June 2013",resolved,,,,
6,18+000 to 18+725,NW 31-3-3 W2 / SW 6-4-3 W2,hayland,weeds,"July 2013: Hayland that has been swathed and baled, cannot identify desired species.  Noxious species include: thistle spp",,August 2014: Area sprayed by land owner for cultivation purposes.,Landowner sprayed hayland; to be cultivated,Mowed in 2013;  monitor for 2014,unresolved,Monitor,,,
6,18+100,NW 31-3-3 W2,hayland,rutting,No issue identified.,Tractor ruts from land owner,,,None recommended,resolved,,,,
6,18+125,NW 31-3-3 W2,hayland,weeds,No issue identified on shoofly,,,,None recommended,resolved,,,,
6,18+750,SW 6-4-3 W2,crop,subsidence,No issue identified.,Subsidence,,,None recommended,resolved,,,,
6,19+000 to 19+700,SE 6-4-3 W2,modified grass,vegetation establishment,"July 2013: Sparse vegetation, needs further investigation",,"August 2014: Desired species established, bare ground minimum.",,None recommended,resolved,,,,
6,19+350 /19+340 /19+675,SE 6-4-3 W2,modified grass,"topsoil, subsidence, debris",July 2013: Thin topsoil at location.,Subsidence and garbage at line crossing,"August 2014: Good vegetation establishment of desired species, no bare ground.  No issue identified.",,Topsoil replacement July 2013,resolved,,,,
6,19+750,SE 6-4-3 W2,modified grass,silt fence,No issue identified.,Remove silt fence,,,Silt fence removed 2013,resolved,,,,
6,20+230,NW 5-4-3 W2,crop,"vegetation establishment, stressed vegetation","July 2013: Patchy crop growth, decreased crop height on RoW vs. baseline (0.4 vs. 0.9 m).",,No issue identified.,,"Cultivated on October 10, 2013; 2014 none recommended",resolved,,,,
6,20+370,NW 5-4-3 W2,crop,subsidence,No issue identified.,Line crossing subsidence,No issue identified.,,None recommended,resolved,,,,
7,20+750,NW 5-4-3 W2,crop,silt fence,No issue identified.,Remove silt fence,,,"Silt fence removed, June 2013",resolved,,,,
7,20+850,NW 5-4-3 W2,crop,silt fence,No issue identified.,Remove silt fence,,,"Silt fence removed, June 2013",resolved,,,,
7,20+850 to 20+510,NW 5-4-3 W2 / NE 5-4-3 W2,hayland,weeds,"July 2013: Noxious weeds: scentless chamomile, Canada thistle, prickly lettuce.",,"August 2014: No longer hayland, now cropland.  No weeds present.",,Mowed in 2013,resolved,,,,
7,21+500,NE 5-4-3 W2,hayland,silt fence,No issue identified.,Remove silt fence,,,Silt fence removed 2013,resolved,,,,
7,21+775,SE-9-4-3-W2M,hayland,weeds,No issue identified at weed cleaning station,,,,None recommended,resolved,,,,
7,22+000,SW 9-4-3 W2,crop,topsoil,July 2013:  uneven topsoil (10 m x 2 m x 0.3 m),Rough topsoil replacement due to winter reclamation after final  hydrotest,No issue identified.,,Recontoured 2013,resolved,,,,
7,22+100,SW 9-4-3 W2,crop,silt fence,No issue identified.,Remove silt fence,,,"Silt fence removed, June 2013",resolved,,,,
7,22+450,SW 9-4-3 W2,wetland,silt fence,No issue identified.,Remove silt fence,,,Silt fence removed 2013,resolved,,,,
7,22+700,SW 9-4-3 W2,wetland,weeds,No issue identified at weed cleaning station,,,,None recommended,resolved,,,,
7,22+800,SE 9-4-3 W2,organic hay,weeds,"July 2013: Weedy RoW, however cannot compare at this time to baseline as field has been swathed and baled",,August 2014: Yellow sweet clover infestation.  Should mow and bag.,,Mowed 2013,unresolved,Monitor,,,
7,23+000,SE 9-4-3 W2,organic hay,subsidence,No issue identified.,Subsidence at line crossing,,,None recommended,resolved,,,,
7,23+150,SE 9-4-3 W2,organic hay,subsidence,July 2013: 3.0 m x 1.6 m x 0.3m subsidence,,,,Cultivated November 2013,unresolved,Monitor,,,
7,23+400,SE 9-4-3 W2,organic hay,debris,No issue identified.,Large rock on RoW,,,Removed rock Nov 2013,resolved,,,,
7,23+700,SW 10-4-3 W2,organic hay,weeds,"July 2013: Off- RoW has no noxious weeds.  On-RoW noxious weeds: absinthe, Canada thistle",,"August 2014: Hayed, no weed infestations observed.",,None recommended,resolved,,,,
8,23+870,NW 10-4-3 W2,hay land,weeds,July 2013: Weeds on RoW.,,"August 2014: Hayed, no weed infestations observed.",,None recommended,resolved,,,,
8,25+050,NW 11-4-3 W2,crop,subsidence,July 2013: Subsidence (1.5 m x 0.6 m x 0.3 m),,No issue identified.,,"Cultivated, October 2013",unresolved,Monitor,,,
8,25+980,NW 11-4-3 W2 / SW 14-4-3 W2,crop,daylighting hole,July 2013: Subsidence (1.0 m x 0.3 m x 0.4 m) at daylighting hole,,August 2014: Hole was observed.  Hole was reported and EI supervised backfilling.,Directed crew to head back and fill hole - August 2014,Hole filled in August 2014,unresolved,Monitor,,,
8,26+340 to 26+400,SW 14-4-3 W2 / SE 14-4-3 W2,modified grass,"vegetation establishment, compaction, admixing, weeds","July 2013: Patchy growth, moderate compaction, admixing",,August 2014: False ragweed infestation.,,Cultivated and reseeded October 2013,unresolved,"Mow and bag weeds, monitor",,,
9,27+640 to 27+370,SW 13-4-3 W2,wetland,"vegetation establishment, rutting","August 2013: Minor disturbances, including bare soils and rutting issues, but some vegetation has begun to establish within the disturbed areas.",,,,None recommended,unresolved,Continue wetland health and function monitoring,,,
9,28+300,NE 13-4-3 W2,crop,silt fence,No issue identified.,Remove silt fence,,,"Silt fence removed, June 2013",resolved,,,,
9,28+900,NE 13-4-3 W2,crop,subsidence,No issue identified.,Subsidence,,,Cultivated October 2013,resolved,,,,
9,29+250 to 30+570,NW 18-4-2 W2 / SW 19-4-2 W2,hayland,weeds,"July 2013: No noxious weeds at this location, nuisance species on- and off-RoW.",,August 2014: Mowed prior to monitoring.   Mowed in August 2014,,Mowed August 2013 ; 2014,unresolved,Monitor,,,
9,29+300,NW 18-4-2 W2,crop,topsoil,No issue identified.,Poor topsoil replacement,,,Topsoil replaced July 2013,resolved,,,,
9,29+775,NW 18-4-2 W2,hayland,"contouring, marker","July 2013: Sand placed or washed adjacent to roadway, ridge along RoW (uneven ground), signs missing from crossing",Third party power trench into well crossed RoW during the winter - open daylight holes and high ditchline. Broken marker,No issue identified.,,Recontoured fall 2013,resolved,,,,
10,30+825,SE 19-4-2 W2,hayland,subsidence,July 2013: subsidence (5 m x 5 m x 0.3 m),,No issue identified.,,Cultivated out in 2013,resolved,,,,
10,31+090,SW 20-4-2 W2,watercourse crossing (Alameda Reservoir West Arm: Shepherd Creek),"weeds, construction debris",August 2013: On- and off-RoW noxious weeds: Canada thistle.,,May 2014: Canada thistle on RoW.  Desired species also present. Construction debris on the west side.,Did not identify August 2014,,unresolved,"Remove debris, monitor, report weed issue to land owner",,,
10,31+200 to 32+800,SW 20-4-2 W2,hayland,weeds,"July 2013: On- and off-RoW noxious weeds: scentless chamomile, Canada thistle, annual sow-thistle.",,August 2014: Weedy RoW.,Some weeds on RoW but desired species under weed cover - September 2014,,unresolved,Mow - consult the landowner prior; monitor,,,
10,31+240,SW 20-4-2 W2,hayland,rare plant,Polygala senega  not detected,,Polygala senega  not detected,,None recommended,unresolved,Monitor,,,
10,31+360,SW 20-4-2 W2,watercourse crossing (tributary to Shepherd Creek),"channel profile, ESC required",August 2013: The channel profile at the crossing location has not been restored to a natural profile. The stream banks have been reconstructed such that it is now approximately 0.4 m above the natural (upstream and downstream) channel bed elevation. The channel width has been reduced due to infilling on both banks. Active erosion and downstream deposition. Exposed soil on RoW with very poor vegetation establishment at the pipeline crossing location. Sediment fence have failed (i.e. bowed over with sediment deposition). Rill erosion was observed within exposed soils of the approach slopes. Northern leopard frogs were observed within the vicinity of the tributary crossing.,"Intermittent watercourse - ditch has not settled out yet, some erosion from runoff - nothing major. Grass acted as a natural filter and stopped any sediment from travelling into shepherds ravine",May 2014: The channel profile at the crossing location has not been restored to a natural profile. The stream banks have been reconstructed such that it is now approximately 0.4 m above the natural (upstream and downstream) channel bed elevation. The channel width has been reduced due to infilling on both banks. Active erosion and downstream deposition. Exposed soil on RoW with very poor vegetation establishment at the pipeline crossing location. Sediment fence have failed (i.e. bowed over with sediment deposition). Rill erosion was observed within exposed soils of the approach slopes. Northern leopard frogs were observed within the vicinity of the tributary crossing.,Channel profile was still high. Work was completed in September 2014 to properly contour banks and topsoil was replaced using sod pieces for erosion control. Disturbed area was seeded and harrowed using Sandy Soils Native blend,Contour banks and topsoil was replaced using sod pieces for erosion control. Disturbed area was seeded and harrowed using Sandy Soils Native blend,unresolved,Monitor,,,
10,32+750,NE 20-4-2 W2,modified grass,weeds,"July 2013: No noxious weeds at this location, nuisance species on- and off-RoW.",,No issue observed,,None recommended,resolved,,,,
10,32+800,NE 20-4-2 W2,modified grass,"debris, daylighting hole, subsidence",No issue identified.,Gravel was pushed with snow removal onto topsoil - needs removed. Subsidence on power trench and daylight hole,,,Gravel was removed and subsidence and hole were backfilled July 2013,resolved,,,,
10,33+000 to 33+200,NW 21-4-2 W2,tame pasture,silt fence,No issue identified.,Remove silt fence,,,Silt fence removed 2013,resolved,,,,
11,34+225,SE 28-4-2 W2,tame pasture,weeds,July 2013: Off- RoW has no noxious weeds.  On-RoW noxious weeds: Canada thistle,,"August 2014: Heavy yellow sweet clover infestation, should mow and bag.  Absinthe also present (noxious).",Mowed area August 2014,Mowed August 2014,unresolved,Monitor,,,
11,34+364,SW 27-4-2 W2,watercourse crossing (Alameda Reservoir East Arm: Moose Mountain Creek),vegetation establishment,August 2013: Area of subsidence and poor vegetation reestablishment (5 m by 6 m) was observed. Poor re-vegetation establishment was observed on the top of the slope on the east side of the crossing where the reclaimed RoW has been disturbed by cattle.,,"May 2014: A small area of subsidence (1 m by 2 m, approximately by 0.5  lower than surrounding landscape) was noted.",,,unresolved,Monitoring of vegetation establishment,,,
11,34+382,SW 27-4-2 W2,watercourse crossing (Alameda Reservoir East Arm: Moose Mountain Creek),topsoil,August 2013: Small area (1.0 m x 2.0 m x 0.5 m) of subsidence.,,May 2014: Topsoil does not appear to have been replaced at this location; soil at the surface appeared to be subsoil (10 m by 8 m).,,,unresolved,Re-contour,,,
11,34+394,SW 27-4-2 W2,watercourse crossing (Alameda Reservoir East Arm: Moose Mountain Creek),"topsoil, vegetation establishment+E112",August 2013: Topsoil does not appear to have been replaced at this location; soil at the surface appeared to be subsoil (10 m x 8 m).,,May 2014: Area of subsidence and poor vegetation reestablishment (5 m by 6 m) was observed. Poor re-vegetation establishment was observed on the top of the slope on the east side of the crossing where the reclaimed RoW has been disturbed by cattle.,,,unresolved,Monitor,,,
11,34+400,SW 27-4-2 W2,tame pasture,weeds,"July 2013: Noxious weeds off-RoW (Canada thistle), but not currently affecting on-RoW.",,Heavy Sonchus  spp  infestation (noxious).   Weedy on and off RoW,,,unresolved,Notify landowner about weeds; monitor,,,
11,35+000,SW 27-4-2 W2,tame pasture,weeds,No issue identified.,,"June 2014: Weedy RoW, but desired species present (sandberg's bluegrass, western wheatgrass, meadow brome).  August: area has been mown.",Mowed August 2014,Mowed August 2014,unresolved,Monitor,,,
11,35+030,SW 27-4-2 W2,modified grass,"weeds, vegetation establishment",August 2013: High abundance of weeds was observed within the RoW on the east side of the crossing. Poor re-vegetation establishment was observed on the top of the slope on the east side of the crossing where the reclaimed RoW has been disturbed by cattle.,,August 2014: High abundance of weeds was observed within the RoW on the east side of the crossing. Poor re-vegetation establishment was observed on the top of the slope on the east side of the crossing where the reclaimed RoW has been disturbed by cattle.,Mowed weedy areas - August 2014 and broadcasted seed and harrowed area. Landowner contacted and cattle were kept off RoW for the rest of the growing season.,Mowed weedy areas - August 2014 and broadcasted seed and harrowed area. Landowner contacted and cattle were kept off RoW for the rest of the growing season.,unresolved,"Monitoring of vegetation establishment and re-seeding along the RoW should be considered where vegetation establishment continues to be poor, using applicable seed mix. Cattle should be excluded from this fenced area.",,,
11,35+100 to 35+200,SW 27-4-2 W2,tame pasture,"subsidence, debris, silt fence",July 2013: Very long area of subsidence.,Subsidence where test heads were. Dewatering area has some leftover debris. Silt fence along dewatering pathway along with sandbags,"August 2014: Subsidence resolved, but subsoil at surface (expressed as gravelly patch).  Gravelly patch resolved, sandbags removed.",,Silt fence resolved and recontoured area and reseeded November 2013,resolved,,,,
11,35+400,SW 27-4-2 W2,tame pasture,admixing,No issue identified.,Sandy subsoil on topsoil where snow was piled,,,Clean up and recontoured November 2013 resolved,,,,,
11,35+600,SE 27-4-2 W2,tame pasture,admixing,No issue identified.,Sandy subsoil on topsoil where snow was piled and landowner ruts across RoW,,,Clean up and recontoured November 2013 resolved,,,,,
11,35+640,SE 27-4-2 W2,tame pasture,weeds,July 2013: False ragweed infestation.  Desired species present.,,,EI commented that vegetation is well established,Mowed in 2013,unresolved,Monitor,,,
11,35+660,SE 27-4-2 W2,tame pasture,subsidence,July 2013: Three spots showing subsidence.  To south edge of RoW near copse of trees.,,No issue identified.,EI commented that vegetation is well established,None recommended,resolved,,,,
11,36+000,NE 27-4-2 W2,tame pasture,admixing,No issue identified.,Sandy subsoil on topsoil where snow was piled,,,Clean up and recontoured November 2013 resolved,,,,,
11,36+300,NE 27-4-2 W2,tame pasture,admixing,No issue identified.,Sandy subsoil on topsoil where snow was piled,,,Clean up and recontoured November 2013 resolved,,,,,
11,37+100,NW 26-4-2 W2,hayland,"topsoil, ponding water",No issue identified.,Topsoil pile on edge of wetland - water across RoW,,,Recontoured November 2013,resolved,,,,
11,37+100,NW 26-4-2 W2,hayland,weeds,"August 2013: Weedy, but alfalfa and brome present and competitive",,"August 2014: No longer hayland, now cultivated to barley.  Heavy yellow sweet clover present.",,Landowner changed; none recommended,unresolved,Monitor,,,
11,38+360,NW 26-4-2 W2,hayland,weeds,No issue identified on organic farm,,,,None recommended,resolved,,,,
12,38+900,SW 36-4-2 W2,tame pasture,"silt fence, ponding water",No issue identified.,Remove silt fence - water across RoW,,,Silt fence removed 2013,resolved,,,,
12,39+400,NE 36-4-2 W2,crop,silt fence,No issue identified.,Remove silt fence,,,"Silt fence removed, June 2013",resolved,,,,
12,39+500,NE 36-4-2 W2,crop,silt fence,No issue identified.,Remove silt fence,,,"Silt fence removed, June 2013",resolved,,,,
12,39+650 to 39+750,NE 36-4-2 W2,wetland,riparian woody vegetation,August 2013: Some woody riparian vegetation of wetland was has been removed on the pipeline RoW.,,,,Consider restoration of woody riparian vegetation if results of wetland health and function is not restored following 2016 assessment,unresolved,Continue wetland health and function monitoring,,,
12,40+235,NW 31-4-1 W2,organic crop,weeds,No issue identified on shoofly,,,,None recommended,resolved,,,,
12,40+300,NW 31-4-1 W2,organic crop,weeds,No issue identified on shoofly,,,,None recommended,resolved,,,,
12,40+550,NW 31-4-1 W2,organic crop,silt fence,No issue identified.,Remove silt fence,,,Silt fence removed 2013,resolved,,,,
12,40+575,NW 31-4-1 W2,organic crop,debris,August 2013: Woody debris on RoW in crop field.  Landowner voiced concerns to AMEC field crew regarding this issue.,,,,Woody debris removed in 2013,resolved,,,,
13,41+000,NW 31-4-1 W2,organic crop,debris,No issue identified.,Woody debris,,,Woody debris removed in 2013,resolved,,,,
13,41+060,NW 31-4-1 W2,organic crop,debris,August 2013: Woody debris on RoW in crop field.  Landowner voiced concerns to AMEC field crew regarding this issue.,,,,Woody debris removed in 2013,resolved,,,,
13,41+360 to 41+370,NE 31-4-1 W2,wetland,riparian woody vegetation,August 2013: Some woody riparian vegetation of wetland was has been removed on the pipeline RoW.,,,,Consider restoration of woody riparian vegetation if results of wetland health and function is not restored following 2016 assessment,unresolved,Continue wetland health and function monitoring,,,
13,41+450,NE 31-4-1 W2,organic crop,debris,No issue identified.,Woody debris,,,Woody debris removed in 2013,resolved,,,,
13,41+525,NE 31-4-1 W2,organic crop,silt fence,No issue identified.,Remove silt fence,,,Silt fence removed 2013,resolved,,,,
13,41+900,NE 31-4-1 W2,organic crop,"rutting, ponding water",No issue identified.,"Ruts from a truck, surface water on RoW",,,Landowner resolved 2013,resolved,,,,
13,42+690 to 42+890,NW 32-4-1 W2,wetland,riparian woody vegetation,August 2013: Some woody riparian vegetation of wetland was has been removed on the pipeline RoW.,n/a,,n/a,Consider restoration of woody riparian vegetation if results of wetland health and function is not restored following 2016 assessment,unresolved,Continue wetland health and function monitoring,,,
13,43+130 to 43+270,NE 32-4-1 W2,wetland,riparian woody vegetation,August 2013: Some woody riparian vegetation of wetland was has been removed on the pipeline RoW.,n/a,,n/a,Consider restoration of woody riparian vegetation if results of wetland health and function is not restored following 2016 assessment,unresolved,Continue wetland health and function monitoring,,,
13,43+200,NE 32-4-1 W2,crop,silt fence,No issue identified.,Remove silt fence,,,"Silt fence removed, June 2013",resolved,,,,
13,43+300,NE 32-4-1-W2,organic,weed cleaning station,,,"August 2014: Some weeds noted - sow thistles, volunteer canola, pigweed.  Weedslocated on/off-RoW",Bar-ditch area where weed cleaning station was located is comparable to background conditions. (organic land) September 2014,None recommended,unresolved,Monitor,,,
13,43+400,NE 32-4-1 W2,crop,silt fence,No issue identified.,Remove silt fence,,,"Silt fence removed, June 2013",resolved,,,,
