Potential Adverse Environmental Effect,Identified Issue,Location(s) (KL),2009 Post Construction Mitigation and/or Monitoring,Issue Resolution Status at End of 2009 Post-Construction Monitoring,"2010 Proposed Post-Construction Monitoring, Mitigation and Consultation",VEC,GIS,Topic
Alterations of natural flow patterns,Alteration of flow due to rock berm installation,362.0,No issues regarding flow were identified during the assessment of the rock berm as part of the Supplemental 2009 Post Construction Monitoring activity.,Resolved,DContinue post-construction monitoring for wetland function iscussions with Parks Canada are ongoing,WATER QUALITY AND QUANTITY,,
Disruption of stream flow Reduction of surface water quantity,Interruption of downstream flow due to seepage into ditchline,360.3 Snaring River side channel,No concerns identified during post-construction monitoring.,Resolved,,WATER QUALITY AND QUANTITY,,
Disruption of stream flow Reduction of surface water quantity,Interruption of downstream flow due to seepage into ditchline,409.1,Site visits in spring 2009 confirmed the channel was flowing freely.,Resolved,,WATER QUALITY AND QUANTITY,,
Increased water column suspended sediment concentrations,Potential sedimentation of a watercourse due to buffer zone clearing,458.1 Fraser River,No concerns identified during post-construction monitoring.,Resolved,,WATER QUALITY AND QUANTITY,,
Withdrawal and release of hydrostatic test water,'Rust' colour evident on vegetation due to unanticipated release of test water beyond discharge pits,339.3,'Rust' no longer evident.,Resolved,,WATER QUALITY AND QUANTITY,,
Riparian loss and/or alteration (including fish-bearing and nonfish-bearing watercourses),Insufficient establishing plants at watercourse riparian areas,332.0 [fish-bearing] Central segment of riparian area adjacent water body,Plants were installed in September 2009.,Unresolved,Additional material is being propagated for installation in 2010,FISH AND FISH HABITAT,,
Riparian loss and/or alteration (including fish-bearing and nonfish-bearing watercourses),Insufficient establishing plants at watercourse riparian areas,338.0 and 338.14 [fish-bearing] Unnamed Creeks,Additional plants were installed in September of 2009 following earthworks to repair sunken trench.,Resolved,Continue post-construction monitoring for vegetation establishment,FISH AND FISH HABITAT,,
Riparian loss and/or alteration (including fish-bearing and nonfish-bearing watercourses),Insufficient establishing plants at watercourse riparian areas,341.7 [fish-bearing] Devona Creek,Additional plants were installed in September of 2009. Additional material will also be installed in 2010.,Unresolved,Additional plants will be installed in spring 2010,FISH AND FISH HABITAT,,
Riparian loss and/or alteration (including fish-bearing and nonfish-bearing watercourses),Insufficient establishing plants at watercourse riparian areas,352.2 [fish-bearing] Pretty Creek,Monitoring identified the requirement for remedial planting in 2010.,Unresolved,Additional plants will be installed in spring 2010,FISH AND FISH HABITAT,,
Riparian loss and/or alteration (including fish-bearing and nonfish-bearing watercourses),Insufficient establishing plants at watercourse riparian areas,354.1 [fish-bearing] Snaring Reservoir Creek,Additional plants were installed in August of 2009 following remediation of the west watercourse bank.,Resolved,Continue post-construction monitoring for vegetation establishment,FISH AND FISH HABITAT,,
Riparian loss and/or alteration (including fish-bearing and nonfish-bearing watercourses),Insufficient establishing plants at watercourse riparian areas,366.5 [nonfish-bearing] east bank of Palisades Creek,Monitoring identified the requirement for remedial planting in 2010.,Unresolved,Additional plants will be installed in spring 2010,FISH AND FISH HABITAT,,
Riparian loss and/or alteration (including fish-bearing and nonfish-bearing watercourses),Insufficient establishing plants at watercourse riparian areas,375.0 [fish-bearing] east bank of Cottonwood Creek,Monitoring identified the requirement for remedial planting in 2010.,Unresolved,Additional plants will be installed in spring 2010,FISH AND FISH HABITAT,,
Riparian loss and/or alteration (including fish-bearing and nonfish-bearing watercourses),Insufficient establishing plants at watercourse riparian areas,379.1 [fish-bearing] Cabin Creek,Additional plants were installed in September of 2009.,Resolved,Continue post-construction monitoring for vegetation establishment,FISH AND FISH HABITAT,,
Riparian loss and/or alteration (including fish-bearing and nonfish-bearing watercourses) (cont'd),"Insufficient establishing plants at watercourse riparian areas (fish-bearing, nonfish-bearing) (cont'd)",382.7 [fish-bearing],Additional plants were installed in August of 2009 as per Parks Canada request.,Resolved,Continue post-construction monitoring for vegetation establishment,FISH AND FISH HABITAT,,
Riparian loss and/or alteration (including fish-bearing and nonfish-bearing watercourses) (cont'd),"Insufficient establishing plants at watercourse riparian areas (fish-bearing, nonfish-bearing) (cont'd)",383.2 [fish-bearing] Miette River #1,Monitoring identified the requirement for remedial planting in 2010.,Unresolved,Additional plants will be installed in spring 2010,FISH AND FISH HABITAT,,
Riparian loss and/or alteration (including fish-bearing and nonfish-bearing watercourses) (cont'd),"Insufficient establishing plants at watercourse riparian areas (fish-bearing, nonfish-bearing) (cont'd)",390.3 [fish-bearing] Meadow Creek,Monitoring identified the requirement for remedial planting in 2010.,Unresolved,Additional plants will be installed in spring 2010,FISH AND FISH HABITAT,,
Riparian loss and/or alteration (including fish-bearing and nonfish-bearing watercourses) (cont'd),"Insufficient establishing plants at watercourse riparian areas (fish-bearing, nonfish-bearing) (cont'd)",411.6 [fish-bearing] west bank of Rockingham Creek,Monitoring identified the requirement for remedial planting in 2010.,Unresolved,Additional plants will be installed in spring 2010,FISH AND FISH HABITAT,,
Riparian loss and/or alteration (including fish-bearing and nonfish-bearing watercourses) (cont'd),"Insufficient establishing plants at watercourse riparian areas (fish-bearing, nonfish-bearing) (cont'd)",414.4 [fish-bearing] Unnamed Watercourse/wetland,Monitoring identified the requirement for remedial planting in 2010.,Unresolved,Additional plants will be installed in spring 2010,FISH AND FISH HABITAT,,
Riparian loss and/or alteration (including fish-bearing and nonfish-bearing watercourses) (cont'd),"Insufficient establishing plants at watercourse riparian areas (fish-bearing, nonfish-bearing) (cont'd)",416.4 Yellowhead Creek,No concerns identified during post-construction monitoring.,Resolved,Continue post-construction monitoring for vegetation establishment,FISH AND FISH HABITAT,,
Riparian loss and/or alteration (including fish-bearing and nonfish-bearing watercourses) (cont'd),Overflowing banks during spring freshet,433.3 Moose River,Rock armouring on the east bank was adjusted and repositioned to provide better protection from overflow.,Resolved,,FISH AND FISH HABITAT,,
Riparian loss and/or alteration (including fish-bearing and nonfish-bearing watercourses) (cont'd),Clearing or grading within a watercourse buffer zone,360.3 Snaring River side channel,Riparian vegetation was installed and continues to establish.,Resolved,Continue post-construction monitoring for vegetation establishment,FISH AND FISH HABITAT,,
Riparian loss and/or alteration (including fish-bearing and nonfish-bearing watercourses) (cont'd),Clearing or grading within a watercourse <s>buffer zone</s>,366.2 Palisades Creek,Riparian vegetation continues to establish on the west bank. Monitoring identified the need for remedial planting on the east bank.,Unresolved,CAdditional plants will be installed in spring 2010 on the east bank ontinue post-construction monitoring for vegetation establishment,FISH AND FISH HABITAT,,
Riparian loss and/or alteration (including fish-bearing and nonfish-bearing watercourses) (cont'd),Clearing or grading within a watercourse <s>buffer zone</s>,390.3 Meadow Creek,Monitoring identified the need for remedial planting.,Unresolved,Additional plants will be installed in spring 2010,FISH AND FISH HABITAT,,
Riparian loss and/or alteration (including fish-bearing and nonfish-bearing watercourses) (cont'd),Clearing or grading within a watercourse <s>buffer zone</s>,405.4 Miette River,No concerns identified during post-construction monitoring.,Resolved,Continue post-construction monitoring for vegetation establishment,FISH AND FISH HABITAT,,
Riparian loss and/or alteration (including fish-bearing and nonfish-bearing watercourses) (cont'd),Clearing or grading within a watercourse <s>buffer zone</s>,409.1,Riparian planting was completed in summer 2009.,Resolved,Continue post-construction monitoring for vegetation establishment,FISH AND FISH HABITAT,,
Riparian loss and/or alteration (including fish-bearing and nonfish-bearing watercourses) (cont'd),Clearing or grading within a watercourse <s>buffer zone</s>,458.1 Fraser River,Riparian planting was completed in summer 2009.,Resolved,Continue post-construction monitoring for vegetation establishment,FISH AND FISH HABITAT,,
Instream habitat loss and alteration (including fish-bearing and nonfish-bearing watercourses),Potential for instream habitat loss due to lack of downstream flows,360.3 Snaring River side channel,No concerns identified during post-construction monitoring.,Resolved,Discussions with DFO and Parks Canada are ongoing,FISH AND FISH HABITAT,,
"Potential loss or reduction of wetland function (e.g., hydrology, habitat and vegetation)",Potential alteration of wetland function due to soil mixing,357.7,Monitoring by a wetland specialist conducted as per Parks Canada request. Mixing is evident although no remedial action to address soil mixing was recommended.,Unresolved,Discussions with Parks Canada are ongoing,WETLANDS,,
"Potential loss or reduction of wetland function (e.g., hydrology, habitat and vegetation)",Potential alternation of wetland function due to installation of a rock berm,362.0,No issues of concern were identified during the assessment of the rock berm in 2009.,Unresolved,Continue post-construction monitoring for wetland function Discussions with Parks Canada are ongoing,WETLANDS,,
"Potential loss or reduction of wetland function (e.g., hydrology, habitat and vegetation) (con'td)",Potential alteration of wetland function due to high trench crown,391.0 to 394.0,No concerns identified during post-construction monitoring.,Resolved,Continue post-construction monitoring for vegetation establishment and wetland function,WETLANDS,,
"Potential loss or reduction of wetland function (e.g., hydrology, habitat and vegetation) (con'td)",Potential alteration of wetland function due to high trench crown,413.3 to 413.9,No concerns identified during post-construction monitoring.,Resolved,Continue post-construction monitoring for vegetation establishment and wetland function,WETLANDS,,
"Potential loss or reduction of wetland function (e.g., hydrology, habitat and vegetation) (con'td)",Potential alteration of wetland function due to poor revegetation,332.0,Additional willow plugs were installed in September 2009 along the middle section of the wetland between the silt fence and ordinary high water mark. Upland areas were seeded with native grass seed where required.,Resolved,Continue post-construction monitoring for vegetation establishment and wetland function Discussions with Parks Canada and DFO are ongoing,WETLANDS,,
"Potential loss or reduction of wetland function (e.g., hydrology, habitat and vegetation) (con'td)",Potential alteration of wetland function due to poor revegetation,357.7,Monitoring by a wetland specialist conducted as per Parks Canada request. Additional vegetation needs will be assessed in 2010.,Unresolved,Continue post-construction monitoring for vegetation establishment and wetland function Discussions with Parks Canada are ongoing,WETLANDS,,
"Potential loss or reduction of wetland function (e.g., hydrology, habitat and vegetation) (con'td)",Potential alteration of wetland function due to poor revegetation,401.5 to 402.0,Additional sweetgrass was planted in September 2009.,Resolved,Continue post-construction monitoring for wetland function,WETLANDS,,
"Potential loss or reduction of wetland function (e.g., hydrology, habitat and vegetation) (con'td)",Potential alteration of wetland function due to poor revegetation,407.1 to 407.4,Monitoring by a wetland specialist conducted as per Parks Canada request.,Unresolved,Continue post-construction monitoring for vegetation establishment and wetland function Discussions with Parks Canada are ongoing,WETLANDS,,
"Potential loss or reduction of wetland function (e.g., hydrology, habitat and vegetation) (con'td)",Potential alteration of wetland function due to construction encroachment,332.0,Post-construction concern from DFO regarding encroachment into the wetland margin.,Unresolved,Continue post-construction monitoring for wetland function Discussions with Parks Canada and DFO are ongoing.,WETLANDS,,
"Potential loss or reduction of wetland function (e.g., hydrology, habitat and vegetation) (con'td)",Potential alteration of wetland function due to construction encroachment,334.0,Post-construction concern from DFO regarding encroachment into the wetland margin.,Unresolved,Continue post-construction monitoring for wetland function Discussions with Parks Canada and DFO are ongoing.,WETLANDS,,
"Potential loss or reduction of wetland function (e.g., hydrology, habitat and vegetation) (con'td)",Potential alteration of wetland function due to uneven surface,357.7,Monitoring by a wetland specialist conducted as per Parks Canada request. Surface flow connectivity was manually re-established in November 2009.,Resolved,Continue post-construction monitoring for wetland function,WETLANDS,,
Loss or alteration of wildlife habitat,Removal of wildlife trees,See Table C4 in Appendix C of TERA 2009a for locations,Replacement trees were installed in MRPP. Replacement trees in JNP showed evidence of use and over time are expected to further decay and provide additional habitat.,Resolved,Continue post-construction monitoring for wildlife habitat,WILDLIFE AND WILDLIFE HABITAT,,
Loss or alteration of wildlife habitat,Potential loss of Columbian ground squirrel colonies,366.6 to 366.9 372.4 to 372.6 373.05 to 373.1,Monitoring by a wildlife specialist was conducted in August 2009 and identified these colonies as inactive.,Resolved,Parks Canada indicates no further mitigation or assessment is required.,WILDLIFE AND WILDLIFE HABITAT,,
Loss or alteration of wildlife habitat (cont'd),Wildlife visual barriers,463.3 463.8 465.5,Wildlife visual barriers were not installed in MRPP as per direction from the Park Superintendent.,Resolved,,WILDLIFE AND WILDLIFE HABITAT,,
Disturbance to Haller's apple moss,"Bartramia halleriana, COSEWIC and SARA-listed species",407.5,Installation of additional woody plant material was conducted in July and September 2009.,Unresolved,Monitor maintenance and growth of the colony,SPECIES AT RISK,,
Visual linear disturbance,Visual linear disturbances along Decoigne Road. Parks Canada request for additional planting.,396.0,Live willow stakes and goldenrod planted on south side of causeway.,Resolved,Continue post-construction monitoring for vegetation establishment,VISUAL AESTHETICS,,
Visual linear disturbance,Visual linear disturbances along Decoigne Road. Parks Canada request for additional planting.,396.7 to 398.1,"1,700 plants (pine, silverberry, balsam poplar and aspen) were installed along the south side of the right-of-way.",Resolved,Continue post-construction monitoring for vegetation establishment,VISUAL AESTHETICS,,
Visual linear disturbance,Visual linear disturbances along Decoigne Road. Parks Canada request for additional planting.,402.0 to 404.0,Parks Canada no longer insists on planting this area as the department responsible for historic rail beds is satisfied with the current state of restoration.,Resolved,,VISUAL AESTHETICS,,
