Legal Location (W6),Land Use,1st Year (2013) Issue(s),KP,1st Year (2013) Discussion,2nd Year (2014) PCRM Assessment and Work Completed,2015 PCRM Assessment and Work Completed,VEC,GIS,Topic
NE 10-79-19,Forested Hayland,Moderate surface drainage (ponding) issue Moderate surface drainage (ponding) and microtopography (swale) issue,03+200 03+450,Temporary ponding Depressional area at bottom of slope with temporary ponding.,"August 21, 2014 - KP 3+080 to 3+100 – Subsidence in hay field, not impacting land use, monitor in 2015. - KP 3+150 to 3+350 – Subsidence cracking and low area noted, not impacting land use, monitor in 2015. - KP 3+450 – Swale/low area with signs of ponding water, not affecting land use and vegetation is establishing in swale. - KP 3+500 to 3+550 – Subsidence noted, not affecting land use, is re-vegetated and has no signs of erosion, monitor in 2015. - KP 3+600 to 3+650 – Subsidence noted, not affecting land use, is fully vegetated and has no signs of erosion, monitor in 2015. - KP 3+750 and 3+550 – Bare area noted in 2013 is fully vegetated, issue resolved.","June 20, 2015 - Vegetation 90-100%, compared to off ROW control. No weeds or erosion noted at time of assessment. Ponding no longer evident at KP 3+200, issue resolved. Vegetation concern noted in 2013 at KP 3+550 and 3+750, is resolved. - KP 3+080 to 3+100, 3+450, 3+500 to 3+550, and 3+600 to 3+650, subsidence remains, not impacting land use. Recommend continued monitoring.",,,
,Hayland,Moderate microtopography (subsidence) issue,03+550,Subsidence observed on trench.,"impacting land use, monitor in 2015. - KP 3+450 – Swale/low area with signs of ponding water, not affecting land use and vegetation is establishing in swale. - KP 3+500 to 3+550 – Subsidence noted, not affecting land use, is re-vegetated and has no signs of erosion, monitor in 2015. - KP 3+600 to 3+650 – Subsidence noted, not affecting land use, is fully vegetated and has no signs of erosion, monitor in 2015. - KP 3+750 and 3+550 – Bare area noted in 2013 is fully vegetated, issue resolved.","- KP 3+080 to 3+100, 3+450, 3+500 to 3+550, and 3+600 to 3+650, subsidence remains, not impacting land use. Recommend continued monitoring.",,,
,Hayland,Moderate vegetation issue,03+550,Bare patch of observed on the ROW. Vegetation cover is expected to improve in subsequent years.,"impacting land use, monitor in 2015. - KP 3+450 – Swale/low area with signs of ponding water, not affecting land use and vegetation is establishing in swale. - KP 3+500 to 3+550 – Subsidence noted, not affecting land use, is re-vegetated and has no signs of erosion, monitor in 2015. - KP 3+600 to 3+650 – Subsidence noted, not affecting land use, is fully vegetated and has no signs of erosion, monitor in 2015. - KP 3+750 and 3+550 – Bare area noted in 2013 is fully vegetated, issue resolved.","- KP 3+080 to 3+100, 3+450, 3+500 to 3+550, and 3+600 to 3+650, subsidence remains, not impacting land use. Recommend continued monitoring.",,,
,Hayland,Moderate vegetation issue,03+750,Bare patch observed on the trench.,"impacting land use, monitor in 2015. - KP 3+450 – Swale/low area with signs of ponding water, not affecting land use and vegetation is establishing in swale. - KP 3+500 to 3+550 – Subsidence noted, not affecting land use, is re-vegetated and has no signs of erosion, monitor in 2015. - KP 3+600 to 3+650 – Subsidence noted, not affecting land use, is fully vegetated and has no signs of erosion, monitor in 2015. - KP 3+750 and 3+550 – Bare area noted in 2013 is fully vegetated, issue resolved.","- KP 3+080 to 3+100, 3+450, 3+500 to 3+550, and 3+600 to 3+650, subsidence remains, not impacting land use. Recommend continued monitoring.",,,
SE 15-79-19,,,,,,"June 20, 2015 - Vegetation 90-100% of off ROW control. No weeds, subsidence or erosion noted at time of assessment.  - Signage and posts in place on both the south and west fence lines.",,,
SW 15-79-19,Hayland,No issues observed,04+150; 04+350; 04+550; 04+800,The ROW is revegetating well.,"August 22, 2014 – KP 4+000 – Minor erosion, straw waddles are in place. Area is fully vegetated, erosion is not affecting farming activities (land use) as it is located on the ¼ line. Monitor in 2015. – KP 4+250 – Minor rill erosion running to NW down slope across ROW, area is fully vegetated, erosion is not affecting farming activities/land use. Monitor in 2015. – KP 4+800 to 4+850 – Subsidence, not affecting farming activities, monitor in 2015.","June 11, 2015 – Vegetation cover is 100% of off ROW control. – No weeds observed at time of assessment  – KP 4+000 – Minor erosion observed, area is fully vegetated and erosion doesn’t appear to be affecting farming activities. Recommend continued monitoring. – KP 4+260 – Minor rill erosion noted in 2014 appears to have stabilized and farmed out. Recommend continued monitoring. – KP 4+800 to 4+850 – Minor subsidence remains, not affecting land use. Recommend continued monitoring.",,,
SW 15-79-19,Watercourse,No issues observed,04+600,The ROW is revegetating well.,"August 22, 2014– KP 4+620 – Watercourse in good condition, no signs of erosion and vegetation is establishing well. Silt fence located in drainage. Recommend removing silt fence. September 10, 2014 - KP 4+620 - removed silt fence.","June 11, 2015 – KP 4+620, Watercourse in good condition, no signs of erosion and vegetation is establishing well  – KP 4+620, Plastic waddles observed, recommend removal. September 11, 2015- Marker posts and sign are only on south side of creek. Recommend installing second set of posts and sign on north side of creek. October 1, 2015 – removed plastic waddles at KP 4+620.",,,
SE 16-79-19,Hayland,No issues observed Moderate microtopography (gully)  issue,05+200; 05+750 05+800,The ROW is revegetating well. Erosion gully across ROW and subsidence.,"August 22, 2014 - KP 5+100 & 5+140– Farm equipment ruts. Five large ruts across ditchline. Ruts are affecting farming activities and were worked around by landowner. Recommend repairs. – KP 5+300 and 5+580 – Subsidence noted, no signs of erosion or pooling water, not affecting land use, monitor in 2015. – KP 5+760 to 5+800 – Subsidence and erosion noted. Subsidence runs east to west, and erosion ditch runs south of ditchline to the north off ROW. Recommend repairs. – KP 5+825 to 5+840 – Subsidence noted on west edge of field at fence line, not impacting land use, and monitor in 2015. – Hay field was cut at time of assessment, vegetation is 80% of off ROW and establishing well. No weeds were observed at time of assessment. September 20, 2014 – Repairs completed, seeded and harrowed at: • Tire ruts at 5+100, 5+150, 5+175, 5+650, 5+675: • Minor Subsidence at 5+200, 5+225, 5+240, 5+280, 5+450 – 5+475, 5+550, 5+575, 5+750 – 5+800, and 5+820 – 5+840.  • Erosion at 5+550 and 5+775.","May 14, 2015 - KP 5+760 - 2014 Repair held up during spring melt and no further erosion was observed. Straw waddles are still in place and will have to remain in place until vegetation has established more. Vegetation has begun to sprout but still requires more time. Waddles will have to be removed prior to haying. - KP 5+720 - 2014 subsidence repair successful, but additional subsidence has continued to the east, additional repairs recommended. - KP 5+800 subsidence repair is doing well as no soils have eroded and vegetation is beginning to sprout. Issue noted in 2013 is resolved. June 11, 2015 – Vegetation cover is 80% of off ROW control. – Minor stinkweed observed in subsidence repair areas from 2014. Desirable vegetation likely to outcompete, recommend continued monitoring. – KP 5+300, subsidence observed, not affecting land use. Recommend continued monitoring. – KP 5+525, subsidence observed. Erosion and cracking evident, repairs recommended. June 30, 2015 – KP 5+760 to 5+800 – straw waddles removed. September 11, 2015• Landowner has cultivated entire hay field, September 23, 2015 - KP 5+525, KP 5+580, KP 5+625 to 5+650, KP 5+710, and KP 5+720  – subsidence repairs completed.",,,
SW 16-79-19,Forested,Moderate microtopography (subsidence) issue,05+850,Subsidence on ROW.,"July 21, 2014 – Herbicide application conducted, following landowner concerns. August 22, 2014 – KP 5+580 to 5+880 – Subsidence noted, area is well vegetated, no signs of erosion or pooling water, not impacting land use, monitor in 2015. – KP 5+975 – Low area noted on foreign pipeline ROW crossing, vegetation establishing. Continue to monitor. – KP 6+150 – Drainage crossing in good condition, vegetation well establishing and no signs of erosion. – KP 6+270 to 6+300, 6+400, and 6+575 – Subsidence, not currently affecting land use, areas are vegetated, monitor in 2015. – KP 6+620 to 6+665 and 6+700 – Erosion noted, minor and land use (farming operations) should alleviate the erosion, monitor in 2015 – KP 5+580 to 6+175 – Vegetation is 90% of off ROW and establishing well. – KP 6+175 to 7+000 – Weeds covering ROW, following herbicide application, monitor in 2015 and implement weed control as required.","June 11, 2015 - KP 5+580 to 6+175 – Vegetation is 90% of off ROW control. – KP 6+175 to 7+000 – Weeds (stinkweed, and hemp nettle) covering ROW. Landowner had concerns of weeds on ROW and requests they be controlled.  – KP 6+150, Drainage crossing appears to be in good condition, vegetation well establishing and no signs of erosion. – KP 5+850 to 5+880, KP 6+250 to 6+280, KP 6+400, and KP 6+575, Subsidence observed, not affecting land use, areas are well vegetated. Recommend continued monitoring. – KP 5+975, low area observed on Shell pipeline ROW crossing. Vegetation appears to be establishing. Recommend continued monitoring. – KP 6+665, Erosion observed under fence north of pipeline marker signs, repairs recommended. June 29 - July 3, 2015 - ROW worked (disked) and seeded to alleviate subsidence, erosion, and weed concerns, noted in the June 11 assessment, at landowner request. June 30, 2015 -KP 6+600, additional erosion noted, repairs recommended. August 17-18th - KP 6+600, erosion repairs completed. August 18, 2015 - Installed erosion control waddle at KP 6+665 at fence line. Requires removal prior to haying in 2016 August 26 and 27, 2015 – Additional erosion control measures (sand bags) placed along the fence line at KP 6+700 to help control the flow of water along the ditch and prevent erosion.",,,
SW 16-79-19,Hayland,Moderate weed (not noxious) issue,06+425,Hemp nettle and dandelion observed on the ROW.,"July 21, 2014 – Herbicide application conducted, following landowner concerns. August 22, 2014 – KP 5+580 to 5+880 – Subsidence noted, area is well vegetated, no signs of erosion or pooling water, not impacting land use, monitor in 2015. – KP 5+975 – Low area noted on foreign pipeline ROW crossing, vegetation establishing. Continue to monitor. – KP 6+150 – Drainage crossing in good condition, vegetation well establishing and no signs of erosion. – KP 6+270 to 6+300, 6+400, and 6+575 – Subsidence, not currently affecting land use, areas are vegetated, monitor in 2015. – KP 6+620 to 6+665 and 6+700 – Erosion noted, minor and land use (farming operations) should alleviate the erosion, monitor in 2015 – KP 5+580 to 6+175 – Vegetation is 90% of off ROW and establishing well. – KP 6+175 to 7+000 – Weeds covering ROW, following herbicide application, monitor in 2015 and implement weed control as required.","June 11, 2015 - KP 5+580 to 6+175 – Vegetation is 90% of off ROW control. – KP 6+175 to 7+000 – Weeds (stinkweed, and hemp nettle) covering ROW. Landowner had concerns of weeds on ROW and requests they be controlled.  – KP 6+150, Drainage crossing appears to be in good condition, vegetation well establishing and no signs of erosion. – KP 5+850 to 5+880, KP 6+250 to 6+280, KP 6+400, and KP 6+575, Subsidence observed, not affecting land use, areas are well vegetated. Recommend continued monitoring. – KP 5+975, low area observed on Shell pipeline ROW crossing. Vegetation appears to be establishing. Recommend continued monitoring. – KP 6+665, Erosion observed under fence north of pipeline marker signs, repairs recommended. June 29 - July 3, 2015 - ROW worked (disked) and seeded to alleviate subsidence, erosion, and weed concerns, noted in the June 11 assessment, at landowner request. June 30, 2015 -KP 6+600, additional erosion noted, repairs recommended. August 17-18th - KP 6+600, erosion repairs completed. August 18, 2015 - Installed erosion control waddle at KP 6+665 at fence line. Requires removal prior to haying in 2016 August 26 and 27, 2015 – Additional erosion control measures (sand bags) placed along the fence line at KP 6+700 to help control the flow of water along the ditch and prevent erosion.",,,
SW 16-79-19,Hayland,Moderate microtopography (erosion) issue,06+700,Gully erosion observed on the ROW.,"July 21, 2014 – Herbicide application conducted, following landowner concerns. August 22, 2014 – KP 5+580 to 5+880 – Subsidence noted, area is well vegetated, no signs of erosion or pooling water, not impacting land use, monitor in 2015. – KP 5+975 – Low area noted on foreign pipeline ROW crossing, vegetation establishing. Continue to monitor. – KP 6+150 – Drainage crossing in good condition, vegetation well establishing and no signs of erosion. – KP 6+270 to 6+300, 6+400, and 6+575 – Subsidence, not currently affecting land use, areas are vegetated, monitor in 2015. – KP 6+620 to 6+665 and 6+700 – Erosion noted, minor and land use (farming operations) should alleviate the erosion, monitor in 2015 – KP 5+580 to 6+175 – Vegetation is 90% of off ROW and establishing well. – KP 6+175 to 7+000 – Weeds covering ROW, following herbicide application, monitor in 2015 and implement weed control as required.","June 11, 2015 - KP 5+580 to 6+175 – Vegetation is 90% of off ROW control. – KP 6+175 to 7+000 – Weeds (stinkweed, and hemp nettle) covering ROW. Landowner had concerns of weeds on ROW and requests they be controlled.  – KP 6+150, Drainage crossing appears to be in good condition, vegetation well establishing and no signs of erosion. – KP 5+850 to 5+880, KP 6+250 to 6+280, KP 6+400, and KP 6+575, Subsidence observed, not affecting land use, areas are well vegetated. Recommend continued monitoring. – KP 5+975, low area observed on Shell pipeline ROW crossing. Vegetation appears to be establishing. Recommend continued monitoring. – KP 6+665, Erosion observed under fence north of pipeline marker signs, repairs recommended. June 29 - July 3, 2015 - ROW worked (disked) and seeded to alleviate subsidence, erosion, and weed concerns, noted in the June 11 assessment, at landowner request. June 30, 2015 -KP 6+600, additional erosion noted, repairs recommended. August 17-18th - KP 6+600, erosion repairs completed. August 18, 2015 - Installed erosion control waddle at KP 6+665 at fence line. Requires removal prior to haying in 2016 August 26 and 27, 2015 – Additional erosion control measures (sand bags) placed along the fence line at KP 6+700 to help control the flow of water along the ditch and prevent erosion.",,,
SW 16-79-19,Hayland,Moderate weed (not noxious) issue,06+700,Dandelion observed on the ROW. ROW was disked and reseeded in the fall of 2013.,"July 21, 2014 – Herbicide application conducted, following landowner concerns. August 22, 2014 – KP 5+580 to 5+880 – Subsidence noted, area is well vegetated, no signs of erosion or pooling water, not impacting land use, monitor in 2015. – KP 5+975 – Low area noted on foreign pipeline ROW crossing, vegetation establishing. Continue to monitor. – KP 6+150 – Drainage crossing in good condition, vegetation well establishing and no signs of erosion. – KP 6+270 to 6+300, 6+400, and 6+575 – Subsidence, not currently affecting land use, areas are vegetated, monitor in 2015. – KP 6+620 to 6+665 and 6+700 – Erosion noted, minor and land use (farming operations) should alleviate the erosion, monitor in 2015 – KP 5+580 to 6+175 – Vegetation is 90% of off ROW and establishing well. – KP 6+175 to 7+000 – Weeds covering ROW, following herbicide application, monitor in 2015 and implement weed control as required.","June 11, 2015 - KP 5+580 to 6+175 – Vegetation is 90% of off ROW control. – KP 6+175 to 7+000 – Weeds (stinkweed, and hemp nettle) covering ROW. Landowner had concerns of weeds on ROW and requests they be controlled.  – KP 6+150, Drainage crossing appears to be in good condition, vegetation well establishing and no signs of erosion. – KP 5+850 to 5+880, KP 6+250 to 6+280, KP 6+400, and KP 6+575, Subsidence observed, not affecting land use, areas are well vegetated. Recommend continued monitoring. – KP 5+975, low area observed on Shell pipeline ROW crossing. Vegetation appears to be establishing. Recommend continued monitoring. – KP 6+665, Erosion observed under fence north of pipeline marker signs, repairs recommended. June 29 - July 3, 2015 - ROW worked (disked) and seeded to alleviate subsidence, erosion, and weed concerns, noted in the June 11 assessment, at landowner request. June 30, 2015 -KP 6+600, additional erosion noted, repairs recommended. August 17-18th - KP 6+600, erosion repairs completed. August 18, 2015 - Installed erosion control waddle at KP 6+665 at fence line. Requires removal prior to haying in 2016 August 26 and 27, 2015 – Additional erosion control measures (sand bags) placed along the fence line at KP 6+700 to help control the flow of water along the ditch and prevent erosion.",,,
SE 17-79-19,Hayland,Moderate weed (not noxious) issue,06+800,Dandelion observed on the ROW. ROW was disked and reseeded in the fall of 2013.,"July 21, 2014 – Herbicide application conducted, following landowner concerns. August 22, 2014 – KP 6+990 – Subsidence noted, not affecting current land use, monitor in 2015. – KP 6+700 to 7+200 – Weeds covering ROW, following herbicide application, monitor in 2015 and implement weed control as required.","May 14, 2015 – Herbicide was applied in 2014 appears to be effective, there has been a reduction in weed cover. Seeding recommended. June 11, 2015 -– Weeds (stinkweed, and hemp nettle) covering ROW. Landowner had concerns of weeds on ROW and requests they be controlled. – KP 6+990, Subsidence with minor erosion rills observed. June 29 - July 3, 2015 - ROW worked (disked) and seeded to alleviate subsidence, erosion, and weed concerns, noted in the June 11 assessment, at landowner request.",,,
