Legal Location (W6M),Land Use,2013 Issue(s),2013 Notes,2013 CH2M Recommendation(s),2014 CH2M/Pembina Observations and Recommendations,Status of Landowner  Issues and Concerns 2014,Status of Landowner  Issues and Concerns -  2015,2015 CH2M  Observations and Comments,2015 Recommendations,VEC,GIS,Topic
NE 18-83-16,Forested,Landscape - Contouring,--,--,--,--,August 2015: Landowner indicated that they want the area to be re-contoured.  December 2015: The recontouring work is scheduled for spring 2015.,"Landowner informed CH2M of an area between KP 2.80 and KP 2.98 where a wetland now exists that did not exist prior to construction. Land is consistently too wet to farm. Wetland (approximately 15 x 25 m large) is located directly on the trench, near KP 2.87. Standing water was observed in the wetland at the time of the assessment.",Recontouring is recommended. The drainage of the general area should be considered during the repair planning process. Monitor re-contouring in 2016 and during the fifth year of the PCEM program in 2017.,,,
SE 18-83-16,Pasture,No issues observed,--,--,--,--,--,No existing issues. Quarter-section not assessed.,None.,,,
SW 17-83-16,Pasture,Vegetation - Establishment,Establishment issue observed from KP 2.98 to KP 3.86. Vegetation parameters on right-of-way not equal to vegetation parameters off right-of-way.,Reseed impacted area and monitor vegetation establishment in 2014.,Low vegetation establishment was observed in this area. Seed area and monitor during the third year PCEM to ensure that vegetation establishment improves.,Met with landowner in November to discuss outstanding concerns.,AOSpring 2015: Unable to contact landowner by phone. Notification email sent to landowner to advise of upcoming inspection. Asked landowner to respond if there are any issues. No response received.  ugust 2015: Landowner requested an aerial image of the area of concern and to discuss next steps for dealing with vegetation concerns.  ctober 2015: Landowner received aerial imagery of area of concern and details on vegetation observations.,Vegetation density not equal to off right-of-way. Numerous bare soil areas and areas with low vegetation density.,"Additional seeding is recommended along the trench line in this quarter-section, however, to achieve optimal results, the horses should be excluded from the seeded area if possible. Monitor any reseeding efforts in 2016 and during the fifth year of the PCEM program in 2017.",,,
SW 17-83-16 (cont’d),See above,Vegetation - Weeds,"Weed issue observed along entire quarter-section. Low densities of Bicknell’s geranium, annual hawk’s-beard, dandelion, common horsetail, ball mustard and spear-leaved goosefoot were observed. Moderate densities of wild buckwheat and lamb’s-quarters were observed. A high density of stinkweed was observed.",Control weeds and monitor in 2014.,--,RLandowner compensated to control weeds. e-assess during the third year PCEM program in 2015.,AUnable to contact landowner by phone. Notification email sent to landowner to advise of upcoming inspection. Asked landowner to respond if there are any issues. No response received.  ugust/October 2015: see comments above.,Weeds observed at low densities similar to off right-of-way. No weed issues identified.,Issue resolved. No recommendations.,,,
SE 17-83-16,Pasture,Vegetation - Establishment,Establishment issue observed at KP 4.08. Vegetation parameters on right-of-way not equal to vegetation parameters off right-of-way. No soil issues observed.,Reseed impacted area and monitor vegetation establishment in 2014.,PLow vegetation establishment was observed in this area. Seed area and monitor during the third year PCEM to ensure that vegetation establishment improves. oor regrowth and little evidence of topsoil on surface; predominantly subsoil; identified during 2014 NEB inspection.,Re-assess during the third year PCEM program in 2015 in coordination/cooperation with landowner.,AOUnable to contact landowner by phone. Notification email sent to landowner to advise of upcoming inspection. Asked landowner to respond if there are any issues. No response received.  ugust 2015: Landowner requested an aerial image of the areas of concern and to discuss erosion repair work. ctober 2015: Landowner received aerial imagery of area of concern and details on vegetation and erosion observations.,"Some small patches were observed where vegetation density was less than off the right-of-way, however, overall vegetation densities are comparable on and off the right-of-way.",Issue resolved. No recommendations.,,,
SE 17-83-16,Pasture,Soil - Erosion,"Erosion issue observed from KP 4.46 to KP 4.48 (30 cm wide, 20 cm deep).",Repair eroded area and monitor in 2014.,No erosion observed from helicopter. Continue to monitor vegetation establishment during the third year PCEM to ensure that soils have stabilized and that the potential for soil erosion is minimized.,Re-assess during the third year PCEM program in 2015 in coordination/cooperation with landowner.,AUnable to contact landowner by phone. Notification email sent to landowner to advise of upcoming inspection. Asked landowner to respond if there are any issues. No response received.  ugust/October 2015: see comments above.,"Erosion issue observed. A gully 50 cm wide, up to 60 cm deep, and 40 m long was observed.","Repair erosion, reseed and monitor the area for stability and vegetation establishment in 2016 and during the fifth year of the PCEM program in 2017.",,,
SE 17-83-16,Pasture,Soil - Erosion,"Erosion issue observed from KP 4.70 to KP 4.71 (30 cm wide, 20 cm deep).",Repair eroded area and monitor in 2014.,No erosion observed from helicopter. Continue to monitor vegetation establishment during the third year PCEM to ensure that soils have stabilized and that the potential for soil erosion is minimized.,Re-assess during the third year PCEM program in 2015 in coordination/cooperation with landowner.,AUnable to contact landowner by phone. Notification email sent to landowner to advise of upcoming inspection. Asked landowner to respond if there are any issues. No response received.  ugust/October 2015: see comments above.,Erosion issue observed at KP 4.70. A gully (40 cm wide x 30 cm deep x 15 m long) crosses the right-of-way.,"Repair erosion, reseed and monitor the area for stability and vegetation establishment in 2016 and during the fifth year of the PCEM program in 2017.",,,
SE 17-83-16,Pasture,Soil - Erosion,--,--,Soil erosion channel approximately 20 cm deep and 30 cm wide across length of the right-of-way (approximately 20 m); identified during 2014 NEB inspection.,Will monitor in 2015 during the third year PCEM program. Landowner available to meet in November to discuss any outstanding concerns and to address remediation to this erosion,AUnable to contact landowner by phone. Notification email sent to landowner to advise of upcoming inspection. Asked landowner to respond if there are any issues. No response received.  ugust/October 2015: see comments above.,Erosion issue observed. A gully (30 cm wide x 40 cm deep x 15 m long) crosses the right-of-way at KP 4.92. Issue is located just north of where the right-of-way bends directly east towards KP 5.00.,"Repair erosion, reseed and monitor the area for stability and vegetation establishment in 2016 and during the fifth year of the PCEM program in 2017.",,,
SW 16-83-16,Pasture,Vegetation - Weeds,"Weed issue observed from KP 4.93 to KP 5.40. Low densities of Bicknell’s geranium, wild buckwheat and dandelion observed. A high density of stinkweed was observed.",Control weeds and monitor in 2014.,--,WLandowner compensated to control weeds. ill monitor in 2015 during the third year PCEM program.,AOUnable to contact landowner by phone. Notification email sent to landowner to advise of upcoming inspection. Asked landowner to respond if there are any issues. No response received.  ugust 2015: Landowner requested an aerial image of the area of concern and to discuss next steps for dealing with vegetation concerns.  ctober 2015: Landowner received aerial imagery of area of concern and details on vegetation observations.,"Weeds observed at low densities similar to off right-of-way. Vegetation densities are not comparable to those observed off the right-of-way. The weed issue will be resolved and the newly observed vegetation issue will be tracked as a separate issue, noted below.",Issue resolved. No recommendations.,,,
SW 16-83-16,Pasture,Vegetation - Establishment,--,--,--,--,August/October 2015: see comments above.,Low vegetation density was observed within the entire length of pasture from KP 4.93 to KP 5.40.,Additional seeding is recommended along the right-of-way in this quarter-section. Monitor any reseeding efforts in 2016 and during the fifth year of the PCEM program in 2017.,,,
SE 16-83-16,Forested,No issues observed,--,--,--,--,JJune 8 - Pembina advised landowner that these lands will need to be used for access purposes to adjacent lands to complete PCEM. Contacted landowner and obtained permission to access lands. une 4 - Pembina advised that there will be no inspections taking place on the quarter-sections where no issues were observed in 2013.,No existing issues. Quarter-section not assessed.,None.,,,
NE 16-83-16 (west/south side of Beatton River),Pasture,Vegetation - Weeds,"Weed issue observed from KP 6.45 to KP 6.80. Low densities of dandelion, Bicknell’s geranium, lamb’s-quarters, Canada thistle, shepherd’s-purse and common plantain observed.",Monitor in 2014.,--,RLandowner compensated to control weeds. e-assess during the third year PCEM program in 2015.,"LJContacted landowner in the spring to discuss the upcoming right-of--way inspection by CH2M.  une 9, 2015 – Landowner contacted Pembina regarding compensation for access to inspect some monitoring equipment on his land.  andowner comments: No concerns.",Crew was unable to assess this quarter-section due to unsafe access. The steep slope heading east down to the river (starting near KP 5.40) is covered in a high amount of rollback.,Assess during the fifth year of the PCEM program in 2017.,,,
NE 16-83-16 (west/south side of Beatton River),Pasture,Soil – Heaving,--,--,--,--,PMay 10 - Landowner contacted Pembina to notify of erosion issue within NE 16. embina indicated that a site topographical survey and site repair will be completed in 2016 as per Montane observations and recommendations.,Field crews did not assess area due to safety concerns. Montane observed exposure of a ditch plug due to a surface heave and an area of ponded water west of the ditch plug near the access road.,"Repair ditch plug and surface/sub-surface drainage, reseed and monitor area until stable. The ditch plug should be fully exposed and replaced in whole or part. Monitor any reseeding efforts in 2016 and during the fifth year of the PCEM program in 2017.",,,
NE 16-83-16 (east/north side of Beatton River),Pasture,Vegetation - Weeds,"Moderate densities of stinkweed, annual hawk’s-beard and flixweed observed. Grasses at this location are beginning to establish well and will likely out-compete weeds.",Monitor in 2014.,--,WLandowner compensated to control weeds. ill monitor in 2015 during the third year PCEM program.,Landowner comments: No concerns.,This weed issue was a result of the lack of vegetation established in previous years. Vegetation establishment is now high and weeds are no longer a concern.,Issue resolved. No recommendations.,,,
NE 16-83-16 (east/north side of Beatton River),Pasture,Vegetation - Weeds,Weed issue observed from KP 7.3 to KP 7.4 (west edge of trees adjacent to the river to the toe of the slope). High density of stinkweed observed.,Control weeds and monitor in 2014.,--,WLandowner compensated to control weeds. ill monitor in 2015 during the third year PCEM program.,Landowner comments: No concerns.,This weed issue was a result of the lack of vegetation established in previous years. Vegetation establishment is now high and weeds are no longer a concern.,Issue resolved. No recommendations.,,,
NE 16-83-16 (east/north side of Beatton River) (cont’d),See above,Vegetation - Establishment,Establishment issue observed from KP 7.3 to KP 7.4. Vegetation parameters on right-of-way not equal to vegetation parameters off right-of-way. A high amount of bare soil observed. No soil issues observed.,Reseed and monitor in 2014.,Unable to determine if vegetation observed from the helicopter was desirable or weed species. Continue to monitor vegetation establishment during the third year PCEM.,RRight-of-way was mowed and reseeded in August 2014 as per landowner request. Landowner was compensated to conduct work.  e-assess during the third year PCEM program in 2015.,Landowner comments: No concerns.,Vegetation establishment similar to off right-of-way. No bare soils observed or weed issues.,Issue resolved. No recommendations.,,,
SE 21-83-16 (eastern slope),Pasture/ Forested,Vegetation - Weeds,"Weed issue observed from KP 8.11 to KP 8.41. Moderate densities of flixweed and annual hawk’s-beard observed. High densities of stinkweed, lamb’s-quarters and wild buckwheat observed.",Control weeds and monitor in 2014.,--,RLandowner compensated to control weeds. Landowner is certified organic. e-assess during the third year PCEM program in 2015.,LAContacted landowner in the spring to discuss upcoming the right-of-way inspection by CH2M.  andowner comments: No concerns or issues. ugust 2015: Landowner requested copy of environmental report. Report was received in October 2015.,"No weeds observed. Vegetation is very well-established (high density observed, with small patches of moderate density) along the entire slope. Excellent canopy cover observed and slopes appear very stable.",Issue resolved. No recommendations.,,,
NE 21-83-16,Cultivated/Forested,Vegetation - Weeds,"Weed issue observed along entire quarter-section. Low densities of dandelion and annual hawk’s-beard observed. Moderate densities of stinkweed, wild buckwheat and lamb’s-quarters observed.",Control weeds and monitor in 2014.,--,RLandowner compensated to control weeds. Landowner is certified organic.  e-assess during the third year PCEM program in 2015.,LAContacted landowner in the spring to discuss the upcoming right-of-way inspection by CH2M.  andowner comments: No concerns or issues. ugust 2015: Landowner requested copy of environmental report. Report was received in October 2015.,This area has been cultivated and seeded to a cereal species. No weed issues were observed.,Issue resolved. No recommendations.,,,
NE 21-83-16,Cultivated/Forested,Vegetation - Establishment,Establishment issue observed along entire quarter-section. Vegetation parameters on right-of-way not equal to vegetation parameters off right-of-way. Quarter-section has been recently disturbed. No reseeding evident.,Reseed and monitor in 2014.,The land use is now cultivated. No issues with crop establishment. Continue to monitor crop growth during the third year PCEM to ensure that it is comparable to off right-of-way crop growth.,RLandowner compensated to control weeds. Landowner is certified organic.  e-assess during the third year PCEM program in 2015.,LAContacted landowner in the spring to discuss the upcoming right-of-way inspection by CH2M.  andowner comments: No concerns or issues. ugust/October 2015: see comments above.,This area has been cultivated and seeded to a cereal species. No crop issues were observed.,Issue resolved. No recommendations.,,,
NW 22-83-16,Cultivated/ Forested,Vegetation - Weeds,"Weed issue observed along entire quarter-section. Low densities of hemp nettle, dandelion and bluebur observed. Moderate densities of wild buckwheat and stinkweed observed.",Control weeds and monitor in 2014.,--,RLandowner compensated to control weeds. Landowner is certified organic.  e-assess during the third year PCEM program in 2015.,"CLAJune 4, 2015 – Landowner contacted Pembina to request clean-up of land.  ontacted landowner in the spring to discuss the upcoming right-of-way inspection by CH2M.  andowner comments: Landowner is okay with everything except where Pembina cleared bush (see NE 22 and NW 21 for additional comments). ugust 2015: Landowner requested copy of environmental report. Report was received in October 2015.",This area has been cultivated and seeded to a cereal species. No weed issues were observed.,Issue resolved. No recommendations.,,,
NW 22-83-16,Cultivated/ Forested,Vegetation - Establishment,Establishment issue observed along entire quarter-section. Vegetation parameters on right-of-way not equal to vegetation parameters off right-of-way. Quarter-section has been recently disturbed. No reseeding evident.,Reseed and monitor in 2014.,The land use is now cultivated. No issues with crop establishment. Continue to monitor crop growth during the third year PCEM to ensure that it is comparable to off right-of-way crop growth.,Re-assess during the third year PCEM program in 2015.,See above.,This area has been cultivated and seeded to a cereal species. No crop issues were observed.,Issue resolved. No recommendations.,,,
NW 22-83-16 (cont’d),See above,Soil - Topsoil depth,Admixing issue observed at KP 9.18. Subsoil is present with no topsoil cover. Affected area is approximately 30 m x 30 m x 20 m.,Source and add clean topsoil or redistribute topsoil more evenly in the area. Monitor in 2014.,Crop growth was not observed to be an issue; soils were not assessed. Continue to monitor crop growth during the third year PCEM.,Re-assess during the third year PCEM program in 2015.,See above.,"One small area (20 m x 20 m) was observed where topsoil depth was not equal to off right-of-way, however, the growth stage and height of the crop was observed as being equal both on and off the right-of-way (i.e., crop not affected).",Issue resolved. No recommendations.,,,
NE 22-83-16,Pasture/ Forested,Vegetation - Weeds,"Weed issue observed along entire quarter-section. Low densities of flixweed, dandelion, hemp nettle, common horsetail, Canada thistle, maple-leaved goosefoot, annual sow-thistle, perennial sow-thistle, Bicknell’s geranium and common plantain observed. Moderate densities of lamb’s-quarters, annual hawk’s-beard and stinkweed observed.",Control weeds and monitor in 2014.,--,RLandowner compensated to control weeds. Landowner is certified organic. e-assess during the third year PCEM program in 2015.,"CLAJune 4, 2015 – Landowner contacted Pembina to request clean-up of land.  ontacted landowner in the spring to discuss the upcoming right-of-way inspection by CH2M.  andowner comments: Landowner is okay with everything except where Pembina cleared bush. The roots were not cleaned up on the right-of-way and the landowner is not able to work or seed crop. Would like Pembina to address possible clean-up. Issue exists from approximately KP 9.90 to KP 11.00 (in NE 22 and NW 23). ugust 2015: Landowner requested copy of environmental report. Report was received in October 2015. Clean-up of woody debris was completed by Pembina crews.","The weed issues identified in this quarter-section are caused by the low vegetation density. As such, the weed issue will be resolved and the issue tracked as a single issue under Vegetation – Establishment below.",None.,,,
NE 22-83-16,Pasture/ Forested,Vegetation - Establishment,Establishment issue observed along entire quarter-section. Vegetation parameters on right-of-way not equal to vegetation parameters off right-of-way. Quarter-section has been recently disturbed. No reseeding evident.,Reseed and monitor in 2014.,A low level of natural revegetation was observed and is not comparable to off right-of-way conditions. Seed right-of-way and monitor during the third year PCEM.,RLandowner compensated to control weeds. Landowner is certified organic.  e-assess during the third year PCEM program in 2015.,"CLAJune 4, 2015 – Landowner contacted Pembina to request clean-up of land.  ontacted landowner in the spring to discuss the upcoming right-of-way inspection by CH2M.  andowner comments: Landowner is okay with everything except where Pembina cleared bush. The roots were not cleaned up on the right-of-way and the landowner is not able to work or seed crop. Would like Pembina to address possible clean-up. Issue exists from approximately KP 9.90 to KP 11.00 (in NE 22 and NW 23). ugust 2015: Landowner requested copy of environmental report. Report was received in October 2015. Clean-up of woody debris was completed by Pembina crews.","This quarter-section has not been seeded, therefore, no vegetation (with the exception of a high density of weeds) has established. The landowner identified that the reason the area has not been seeded is due to an excessive amount of woody debris which does not allow for mechanical seeding. The landowner has requested that the topsoil be cleaned up (woody debris picked).",Discuss a plan for the resolution of this issue with the landowner. Monitor any reseeding efforts in 2016 and during the fifth year of the PCEM program in 2017.,,,
NE 22-83-16,Pasture/ Forested,Soil - Topsoil Depth,Admixing issue observed at KP 10.03. Several small patches where subsoil is present at the surface with no topsoil cover.,Source and add clean topsoil or redistribute topsoil more evenly in the area. Monitor in 2014.,Soils were not assessed. Continue to monitor crop growth during the third year PCEM.,Re-assess during the third year PCEM program in 2015.,"CLAJune 4, 2015 – Landowner contacted Pembina to request clean-up of land.  ontacted landowner in the spring to discuss the upcoming right-of-way inspection by CH2M.  andowner comments: Landowner is okay with everything except where Pembina cleared bush. The roots were not cleaned up on the right-of-way and the landowner is not able to work or seed crop. Would like Pembina to address possible clean-up. Issue exists from approximately KP 9.90 to KP 11.00 (in NE 22 and NW 23). ugust 2015: Landowner requested copy of environmental report. Report was received in October 2015. Clean-up of woody debris was completed by Pembina crews.",Several small areas (approximately 5 m in diameter) were observed where subsoil was encountered at the surface along the right-of-way.,Redistribute or import additional clean topsoil or amend soil with locally available manure/compost at these locations. Monitor any seeding efforts in 2016 and during the fifth year of the PCEM program in 2017.,,,
NW 23-83-16,Pasture/ Forested,Vegetation - Weeds,"Weed issue observed along entire quarter-section. Low densities of shepherd’s-purse, bluebur, prickly lettuce, pineappleweed, flixweed, dandelion, hemp nettle, common horsetail, Canada thistle, maple-leaved goosefoot and ball mustard observed. Moderate densities of lamb’s-quarters, annual hawk’s-beard and stinkweed observed.",Control weeds and monitor in 2014.,--,RLandowner compensated to control weeds. Landowner is certified organic.  e-assess during the third year PCEM program in 2015.,"CLAJune 4, 2015 – Landowner contacted Pembina to request clean-up of land.  ontacted landowner in the spring to discuss the upcoming right-of-way inspection by CH2M.  andowner comments: Landowner is okay with everything except where Pembina cleared bush. The roots were not cleaned up on the right-of-way and the landowner is not able to work or seed crop. Would like Pembina to address possible clean up. Issue exists from approximately KP 9.90 to KP 11.00 (in NE 22 and NW 23). ugust 2015: Landowner requested copy of environmental report. Report was received in October 2015. Clean-up of woody debris was completed by Pembina crews.","Weeds were identified at this location. The weed issues identified in this quarter-section are caused by the low vegetation density. As such, the weed issue will be resolved and the issue will be tracked as a single issue under Vegetation - Establishment below.",None.,,,
NW 23-83-16 (cont’d),See above,Vegetation - Establishment,Establishment issue observed along entire quarter-section. Vegetation parameters on right-of-way not equal to vegetation parameters off right-of-way. Quarter-section has been recently disturbed. No reseeding evident.,Reseed and monitor in 2014.,A low level of natural revegetation was observed and is not comparable to off right-of-way conditions. Seed right-of-way and monitor during the third year PCEM.,RLandowner compensated to control weeds. Landowner is certified organic.  e-assess during the third year PCEM program in 2015.,See above.,"This quarter-section has not been seeded, therefore, no vegetation (with the exception of a high density of weeds) has established. The landowner identified that the reason the area has not been seeded as due to an excessive amount of woody debris, which does not allow for mechanical seeding. The landowner has requested that the topsoil be cleaned up (woody debris picked).",Discuss a plan for the resolution of this issue with the landowner. Monitor any reseeding efforts in 2016 and during the fifth year of the PCEM program in 2017.,,,
NW 23-83-16 (cont’d),See above,Soil - Topsoil depth,Admixing issue observed at KP 10.94. Several small patches where subsoil is present at the surface with no topsoil cover.,Source and add clean topsoil or redistribute topsoil more evenly in the area. Monitor in 2014.,Topsoil depth could not be assessed during this survey and vegetation establishment was low. Recommend monitoring during the third year PCEM.,Re-assess during the third year PCEM program in 2015.,See above.,Several small areas (approximately 5 m in diameter) were observed where subsoil was encountered at the surface along the right-of-way.,Redistribute or import additional clean topsoil or amend soil with locally available manure/compost at these locations. Monitor any seeding efforts in 2016 and during the fifth year of the PCEM program in 2017.,,,
NW 23-83-16 (cont’d),See above,Soil - Erosion,"Erosion issue observed from KP 10.64 to KP 10.84 (50 cm wide, 20 cm deep).",Repair eroded area and monitor in 2014.,No erosion observed from helicopter. Continue to monitor vegetation establishment during the third year PCEM to ensure that soils have stabilized and that the potential for soil erosion is minimized.,Re-assess during the third year PCEM program in 2015.,See above.,Erosion issues observed at KP 10.64 (30 cm wide x 15 cm deep 15 m long) and KP 10.85 (40 cm wide x 15 cm deep x 20 m long).,"Repair erosion, reseed and monitor area for stability and vegetation establishment in 2016 and during the fifth year of the PCEM program in 2017.",,,
SW 26-83-16,Pasture,Vegetation - Establishment,Establishment issue observed from KP 11.00 to KP 11.49 along entire quarter-section. Vegetation parameters on right-of-way not equal to vegetation parameters off right-of-way. Area has been recently disturbed. No reseeding evident.,Reseed and monitor in 2014.,The right-of-way has not been seeded; vegetation establishment issue remains.,RLandowner compensated to control weeds. Landowner is certified organic. e-assess during the third year PCEM program in 2015.,LAContacted landowner in the spring to discuss the upcoming right-of-way inspection by CH2M. andowner comments: No concerns or issues. ugust 2015: Landowner requested copy of environmental report. Report was received in October 2015.,Vegetation density was not similar to off right-of-way. The low vegetation density is causing some minor erosion issues (see below).,"Repair erosion, reseed and monitor area for stability and vegetation establishment in 2016 and during the fifth year of the PCEM program in 2017. Livestock may need to be excluded from the area to achieve positive results.",,,
SW 26-83-16,Pasture,Soil - Erosion,--,--,--,--,--,"Erosion issues were observed. Gullies have formed caused by the unvegetated land draining into the dugout, located at KP 11.30 (1 m wide x 15 cm deep x 40 m long) and KP 11.22 (50 cm wide x 50 cm deep x 30 m long).","Repair erosion, reseed and monitor area for stability and vegetation establishment in 2016 and during the fifth year of the PCEM program in 2017. Livestock may need to be excluded from the area to achieve positive results.",,,
SE 26-83-16,Pasture,Vegetation - Establishment,Establishment issue observed from KP 11.49 to KP 12.10. Vegetation parameters on right-of-way not equal to vegetation parameters off right-of-way. Area has been recently disturbed. No reseeding evident.,Reseed and monitor in 2014.,The right-of-way has not been seeded; vegetation establishment issue remains.,RLandowner compensated to reseed. Landowner is certified organic.  e-assess during the third year PCEM program in 2015.,LAContacted landowner in the spring to discuss the upcoming right-of-way inspection by CH2M. andowner comments: No concerns or issues. ugust 2015: Landowner requested copy of environmental report. Report was received in October 2015.,A high density of weeds covering the right-of-way has established due to the right-of-way not being seeded.,Control weeds and seed right-of-way. Monitor establishment in 2016 and during the fifth year of the PCEM program in 2017.,,,
