Approximate KP [Legal Location],1st Year Issue/ Condition,1st Year (2014) Issue(s),2nd Year (2015) PCRM Assessment and Work Completed,3rd Year (2016) PCRM Assessment and Work Completed,VEC,GIS,Topic
,Near a watercourse crossing (KP 1+630),Bare ground patches (approximately 5% of the ROW) were observed. These areas were not associated with soils issues (as confirmed by the soil inspection) and are due to natural spring flooding. . The area surrounding the watercourse had effective erosion control and no terrain instability was noted. Recommendations: None,,"June 9, 2016 - Watercourse 8 appears stable with good vegetation establishment on both banks. Non-native vegetation (wild carrot) noted in 2014 is no longer evident, issue resolved. High water level observed, no flow occurring. Rutting noted in 2014 at KP 1+710 is no longer evident, issue resolved. - 90-95% vegetation establishment on ROW within riparian area located at KP 1+521 along watercourse #8. Bare ground patches noted in 2014 (KP 1+630) are no longer evident, issue resolved.",,,
,(KP 1+620 to 1+720) Noxious weed issue (high),"The presence of noxious weeds (common ragweed, wild carrot perennial sow thistle, and bull thistle) was noted on the ROW. Percentage of noxious weed cover was noted to be higher on ROW than off ROW. Recommendations: Monitor in 2015, implement weed control as required.","November 25, 2015 - Weeds noted throughout area (KP 1+620 to 1+720). Weeds also observed along field edges off ROW throughout immediate area. - Recommend assessment during early growing season 2016 to determine if control measures are required","June 9, 2016 - Watercourse 8 appears stable with good vegetation establishment on both banks. Non-native vegetation (wild carrot) noted in 2014 is no longer evident, issue resolved. High water level observed, no flow occurring. Rutting noted in 2014 at KP 1+710 is no longer evident, issue resolved. - 90-95% vegetation establishment on ROW within riparian area located at KP 1+521 along watercourse #8. Bare ground patches noted in 2014 (KP 1+630) are no longer evident, issue resolved.",,,
,Watercourse [8] (KP 1+650) Non-native species (moderate),"Non-native species (wild carrot) are established at the watercourse crossing. Recommendations: Monitor in 2015 for establishment of native species in the riparian zone. If native species do not establish in riparian zone, develop a plan to remove non-native species and reseed with native species.","November 25, 2015 - Removed silt fence from north and south banks of watercourse crossing. ""T"" posts, silt fence and bales were removed, issue resolved.","June 9, 2016 - Watercourse 8 appears stable with good vegetation establishment on both banks. Non-native vegetation (wild carrot) noted in 2014 is no longer evident, issue resolved. High water level observed, no flow occurring. Rutting noted in 2014 at KP 1+710 is no longer evident, issue resolved. - 90-95% vegetation establishment on ROW within riparian area located at KP 1+521 along watercourse #8. Bare ground patches noted in 2014 (KP 1+630) are no longer evident, issue resolved.",,,
,Near a watercourse crossing (KP 1+710),Minor third party rutting was observed. The area surrounding the watercourse had effective erosion control and no terrain instability was noted. Recommendations: Monitor in 2015.,,"June 9, 2016 - Watercourse 8 appears stable with good vegetation establishment on both banks. Non-native vegetation (wild carrot) noted in 2014 is no longer evident, issue resolved. High water level observed, no flow occurring. Rutting noted in 2014 at KP 1+710 is no longer evident, issue resolved. - 90-95% vegetation establishment on ROW within riparian area located at KP 1+521 along watercourse #8. Bare ground patches noted in 2014 (KP 1+630) are no longer evident, issue resolved.",,,
,"Crop – soybeans (KP 1+720 to 1+850) Intermittent, localized vegetation and admixing issues (moderate)",Decreased crop height and density is intermittent and found in localized areas along the trenchline of the ROW in the identified area. Admixing was 20% or less of the topsoil in areas of poor vegetation growth. Admixing is localized to small areas (approximately 5 m by 5 m) sporadically along the ROW and encompassed less than 20% of the total listed area. Recommendations: Monitor in 2015 and implement remedial actions if necessary.,,"June 9, 2016 - Cultivated, sprout height on ROW appears to be similar to off ROW. There was no difference evident in crop height or density, as noted in 2014 from KP 1+720 to 1+850. Admixing noted does not appear to affecting land use or equivalent land capability, issue resolved.",,,
KP 1+930 - 2+660 [East Half of LT 11 CON 5 WHS],Crop – soybeans (KP 1+960) No issues observed,Open area left unseeded because of third party rutting. Rutting is in an area approximately 10 m2) No issues. Crop is comparable to the Control outside the rutted areas. Recommendations: None,,"June 9, 2016 - Winter wheat planted within cultivated area; crops approximately ½ m in height and conditions within ROW are comparable to off the ROW.",,,
KP 1+930 - 2+660 [East Half of LT 11 CON 5 WHS],Watercourse [7] (KP 2+100) Non-native species (moderate),"Non-native species (wild carrot) are established at the watercourse crossing. Recommendations: Monitor in 2015 for establishment of native species in the riparian zone. If native species do not establish in riparian zone, develop a plan to remove non-native species and reseed with native species.","August 27 and 28, 2015 - mechanical weed control completed in area near watercourse 7 (KP 2+098) to control non native species.  - removed silt fence and hay bales from watercourse 7 (KP 2+098), issue resolved. August 28, 2015 - Approximately from KP 2+000 to watercourse 7 (2+098), 70-75% of the trees that were planted are showing foliage establishment at this time. Approximately from 2+098 to 2+200, 85-90% of the trees that were planted are showing foliage establishment at this time. good conifer saplings flourishing within these areas as well","June 9, 2016 - Watercourse #7 appears stable with vegetation establishing well consisting of native grasses and broadleaf vegetation. Non-native species (wild carrot) noted in 2014 is no longer evident, issue resolved. The watercourse was dry at the time of assessment. Gravel distribution appears uniform. - Tall buttercup and Canada thistle observed on South bank of the watercourse; conditions within ROW are comparable to off ROW.  - Tree was observed to be cut down and left within the ROW. Recommend removal of woody debris at KP 2+098. - No subsidence or erosion evident within tract. June 23, 2016 - Intermittent mechanical weed control completed along watercourse 7 (KP 2+098) to control tall buttercup and Canada thistle. - Removal of woody debris at KP 2+098.",,,
KP 1+930 - 2+660 [East Half of LT 11 CON 5 WHS],Woodland / Near a watercourse crossing (KP 2+130) No issues observed,The area surrounding the watercourse had effective erosion control and no terrain instability was noted. Recommendations: None,"August 27 and 28, 2015 - mowing woodlot 3 (KP 1+930 - 2+200) to control noxious weeds.","June 9, 2016 - Watercourse #7 appears stable with vegetation establishing well consisting of native grasses and broadleaf vegetation. Non-native species (wild carrot) noted in 2014 is no longer evident, issue resolved. The watercourse was dry at the time of assessment. Gravel distribution appears uniform. - Tall buttercup and Canada thistle observed on South bank of the watercourse; conditions within ROW are comparable to off ROW.  - Tree was observed to be cut down and left within the ROW. Recommend removal of woody debris at KP 2+098. - No subsidence or erosion evident within tract. June 23, 2016 - Intermittent mechanical weed control completed along watercourse 7 (KP 2+098) to control tall buttercup and Canada thistle. - Removal of woody debris at KP 2+098.",,,
,Woodland (KP 2+130 to 2+220) Noxious weed issues (moderate),"The presence of noxious weeds (Canada thistle, common ragweed, perennial sow thistle and wild carrot) was noted on the ROW. Recommendations: Monitor in 2015, implement weed control as required.","August 27 and 28, 2015 - mowing woodlot 3 (KP 1+930 - 2+200) to control noxious weeds.",,,,
,"Crop – soybeans (KP 2+220 to 2+670) Intermittent, localized vegetation and admixing issues (moderate)",Decreased crop height and density is intermittent and found in localized areas along the trenchline of the ROW in the identified area.  Admixing was 20% or less of the topsoil in areas of poor vegetation growth. Admixing is localized to small areas (approximately 5 m by 5 m) sporadically along the ROW and encompasses less than 20% of the total listed area. Recommendations: Monitor in 2015 and implement remedial actions if necessary.,,"June 9, 2016 - Winter wheat planted within cultivated area; crops approximately ½ m in height and conditions within ROW are comparable to off the ROW. - Decrease in crop height and density, KP 2+220 to 2+670, is no longer evident. Admixing noted does not appear to affecting land use or inhibiting the ROW from attaining equivalent land capability, issue resolved. June 23, 2016 - Intermittent mechanical weed control near Bovaird Drive.",,,
,Crop - headlands (KP 2+670) Noxious weed issues (low),"The presence of noxious weeds (perennial sow thistle, wild carrot and common ragweed) was noted on the ROW. Noxious weeds observed are located inside the fence next to Bovaird drive. The crop area does not exhibit the noxious weeds. The noxious weeds along the fence continue off ROW. Recommendations: None",,"June 9, 2016 - Winter wheat planted within cultivated area; crops approximately ½ m in height and conditions within ROW are comparable to off the ROW. - Decrease in crop height and density, KP 2+220 to 2+670, is no longer evident. Admixing noted does not appear to affecting land use or inhibiting the ROW from attaining equivalent land capability, issue resolved. June 23, 2016 - Intermittent mechanical weed control near Bovaird Drive.",,,
KP 2+700 - 3+000 [East Half of LT 10 CON 5 WHS],Old industrial access road (KP 2+730 to 2+750) Noxious weed issues (moderate),"The presence of noxious weeds (common ragweed, wild carrot, and perennial sow thistle) was noted on the ROW. Recommendations: Monitor in 2015, implement weed control as required.","August 19, 2015 - Mechanical weed control completed along construction approaches at Bovaird Drive (KP 2+750) for weed control.","June 9, 2016 - Ox-eye daisy, dandelion and bull thistle observed along northern border of cropland at KP 2+693. Recommend implementation of control measures. June 23, 2016 - Mechanical weed control along the fence line and border of the crops within the ROW from KP 2+700 – KP 3+000.",,,
KP 2+730 - 3+440 [West Half of LT 10 CON 5 WHS],Crop - fence line (KP 2+750 to 2+950) Noxious weed issues (moderate),"The presence of noxious weeds (common ragweed, wild carrot and perennial sow thistle) was noted along the fence line on the ROW (percent cover was higher than the adjacent crop) Recommendations: Monitor in 2015, implement weed control as required.","August 19, 2015 - Mechanical weed control completed along property fence line from KP 2+730 to 3+000 for weed control.","June 9, 2016 - Corn planted within cultivated area; tract has recently been worked and seeded.  - Sprout height on ROW appears to be similar to off ROW. Crop conditions within ROW are comparable to off the ROW. - Ox-eye daisy, dandelion and bull thistle observed along northern border of cropland at KP 2+693. Recommend implementation of control measures. -  Canada thistle, ox-eye daisy and milk vetch were observed at KP 3+418. Recommend implementation of control measures. June 23, 2016 - Mechanical weed control along the fence line and border of the crops within the ROW from KP 2+700 – KP 3+000. - No subsidence or erosion evident within tract.",,,
KP 2+730 - 3+440 [West Half of LT 10 CON 5 WHS],Crop – soybeans (KP 3+150) No issues observed,No issues. Crop is comparable to the Control. Recommendations: None,,"June 9, 2016 - Corn planted within cultivated area; tract has recently been worked and seeded.  - Sprout height on ROW appears to be similar to off ROW. Crop conditions within ROW are comparable to off the ROW. - Ox-eye daisy, dandelion and bull thistle observed along northern border of cropland at KP 2+693. Recommend implementation of control measures. -  Canada thistle, ox-eye daisy and milk vetch were observed at KP 3+418. Recommend implementation of control measures. June 23, 2016 - Mechanical weed control along the fence line and border of the crops within the ROW from KP 2+700 – KP 3+000. - No subsidence or erosion evident within tract.",,,
KP 2+730 - 3+440 [West Half of LT 10 CON 5 WHS],Watercourse [6] (KP 3+350) Non-native species (moderate),"Non-native species (red clover) have become established at the watercourse crossing. Recommendations: Monitor in 2015 for establishment of native species in the riparian zone. If native species do not establish in riparian zone, develop a plan to remove non-native species and reseed with native species.","August 19, 2015 - mechanical weed control completed in area near watercourse 6 (KP 3+350) to control non-native species. August 27, 2015 – Completed removal of silt fence and hay bales, issue resolved, as well as additional mechanical weed control at watercourse 6 (KP 3+350).","June 9, 2016 - Watercourse #6 vegetation was observed to be establishing well; native grasses and cattails established and conditions within ROW are comparable to off the ROW. Previously noted non-native species are no longer evident, issue resolved. No standing water observed at this time. June 23, 2016 - Intermittent mechanical weed control along fence line only and hand picking weeds near Watercourse 6 within the ROW. - Ponding and third party rutting issues noted in 2014 are no longer evident, issues resolved.",,,
KP 2+730 - 3+440 [West Half of LT 10 CON 5 WHS],Near a watercourse crossing (KP 3+415 to 3+445) Temporary ponding issue (moderate) Noxious weed issues (moderate),"Evidence of spring temporary ponding was observed that has decreased the establishment of desirable vegetation growth. Third Party Rutting was observed. The presence of noxious weeds (common ragweed, wild carrot and perennial sow thistle) was noted on the ROW. Recommendations: Monitor in 2015 for desirable vegetation establishment. Monitor in 2015, implement weed control as required.",,"June 9, 2016 - Watercourse #6 vegetation was observed to be establishing well; native grasses and cattails established and conditions within ROW are comparable to off the ROW. Previously noted non-native species are no longer evident, issue resolved. No standing water observed at this time. June 23, 2016 - Intermittent mechanical weed control along fence line only and hand picking weeds near Watercourse 6 within the ROW. - Ponding and third party rutting issues noted in 2014 are no longer evident, issues resolved.",,,
KP 3+440 - 4+050 [East Half of LT 9 CON 5 WHS],"Crop - soybeans (KP 3+500 to 3+740) Intermittent, localized vegetation and admixing issues (moderate)","Decreased crop height and density is intermittent and found in localized areas along the trenchline of the ROW in the identified area. Admixing was 10% or less of the topsoil in areas of the poorest vegetation growth. Admixing is localized to small areas (approximately 2 m by 7 m) sporadically along the ROW and encompassed less than 20% of the total listed area. Shale was admixed (generally < 20%, with isolated areas exceeding 20% [5 m2]) in topsoil observed. Recommendations: Monitor in 2015 and implement remedial actions if necessary.",,"June 9, 2016 - Tract has recently been worked and seeded. Soybean crop beginning to emerge. - Sprout height on ROW appears to be similar to off ROW. Decrease in crop height and density noted in 2014 is no longer evident, Admixing noted does not appear to affecting land use or inhibiting the ROW from attaining equivalent land capability, issue resolved. - Canada thistle observed at KP 3+418. Recommend implementation of control measures. - No subsidence or erosion issued evident at this time. June 23, 2016 – Intermittent mechanical weed control implemented to control Canada thistle.",,,
KP 3+440 - 4+050 [East Half of LT 9 CON 5 WHS],Crop – soybeans (KP 3+945) No issues observed,No issues. Crop is comparable to the Control. Recommendations: None,,"June 9, 2016 - Tract has recently been worked and seeded. Soybean crop beginning to emerge. - Sprout height on ROW appears to be similar to off ROW. Decrease in crop height and density noted in 2014 is no longer evident, Admixing noted does not appear to affecting land use or inhibiting the ROW from attaining equivalent land capability, issue resolved. - Canada thistle observed at KP 3+418. Recommend implementation of control measures. - No subsidence or erosion issued evident at this time. June 23, 2016 – Intermittent mechanical weed control implemented to control Canada thistle.",,,
KP 4+070 - 4+530 [East Half of LT 9 CON 6 WHS],Orchard - sod grass (KP 4+165) No issues observed,No issues. Crop is comparable to the Control. Recommendations: None,,"June 15, 2016 - Grass establishment on ROW appears to be similar to off ROW. - Uneven ground and subsidence on ROW, noted by landowner at KP 4+400. Recommend repairs. - Drainage 3 was observed to be dry during the time of assessment, grasses along embankments appear to be in good health. - 2014 Canada thistle issue (KP 4+290 to 4+500) was not evident, issue resolved. - No erosion evident throughout tract. June 30, 2016 – Uneven ground and subsidence were mowed to improve visibility for repairs at KP 4+400.  Repairs completed and reseeded.  Issue resolved, also includes soil cracking and subsidence, noted in 2014, therefore those issues are resolved.",,,
KP 4+070 - 4+530 [East Half of LT 9 CON 6 WHS],Orchard - sod grass (KP 4+290 to 4+500) Noxious weed issues (moderate),"The presence of noxious weeds (Canada thistle) was noted on the ROW. A Minor amount of invasive weeds were observed. Percentages were similar to off ROW. Recommendations: Monitor in 2015, implement weed control as required.",,"June 15, 2016 - Grass establishment on ROW appears to be similar to off ROW. - Uneven ground and subsidence on ROW, noted by landowner at KP 4+400. Recommend repairs. - Drainage 3 was observed to be dry during the time of assessment, grasses along embankments appear to be in good health. - 2014 Canada thistle issue (KP 4+290 to 4+500) was not evident, issue resolved. - No erosion evident throughout tract. June 30, 2016 – Uneven ground and subsidence were mowed to improve visibility for repairs at KP 4+400.  Repairs completed and reseeded.  Issue resolved, also includes soil cracking and subsidence, noted in 2014, therefore those issues are resolved.",,,
KP 4+070 - 4+530 [East Half of LT 9 CON 6 WHS],Orchard - sod grass (KP 4+440 to 4+500) Cracking of topsoil issue (high),Cracking (5 to 10 cm wide and greater than 30 cm deep) is found in approximately 20 m length and is surrounded by smaller cracking. The smaller cracking (usually less than 10 cm deep). There is evidence of minor subsidence (approximately 3 cm) on the ROW. Recommendations: Monitor in 2015 and implement remedial action as required.,,"June 15, 2016 - Grass establishment on ROW appears to be similar to off ROW. - Uneven ground and subsidence on ROW, noted by landowner at KP 4+400. Recommend repairs. - Drainage 3 was observed to be dry during the time of assessment, grasses along embankments appear to be in good health. - 2014 Canada thistle issue (KP 4+290 to 4+500) was not evident, issue resolved. - No erosion evident throughout tract. June 30, 2016 – Uneven ground and subsidence were mowed to improve visibility for repairs at KP 4+400.  Repairs completed and reseeded.  Issue resolved, also includes soil cracking and subsidence, noted in 2014, therefore those issues are resolved.",,,
KP 4+530 - 5+280 [East Half of LT 8 CON 6 WHS],Orchard - sod grass (KP 4+740) No issues observed,No issues. Vegetation is healthy and establishing well. Recommendations: None,,"June 15, 2016 - 90-95% vegetation establishment on ROW compared to off ROW control.  - Canada thistle, ox-eye daisy, scentless chamomile, bull thistle evident throughout the tract. Recommend implementation of control measures. - No subsidence or erosion evident in tract. June 23, 2016 - Mechanical weed control conducted to control weeds noted in previous assessments.",,,
KP 4+530 - 5+280 [East Half of LT 8 CON 6 WHS],Woodland (KP 5+000 to 5+500) Noxious weed issue (moderate),"The presence of noxious weeds (wild carrot and perennial sow thistle) was noted on the ROW. Recommendations: Monitor in 2015, implement weed control as required.",,"June 15, 2016 - 90-95% vegetation establishment on ROW compared to off ROW control.  - Canada thistle, ox-eye daisy, scentless chamomile, bull thistle evident throughout the tract. Recommend implementation of control measures. - No subsidence or erosion evident in tract. June 23, 2016 - Mechanical weed control conducted to control weeds noted in previous assessments.",,,
KP 4+950,Watercourse [5 – Credit River] / Wetland (KP 4+950) No issues observed,No issues. The slope to the south of the Credit River had effective erosion control and no terrain instability was noted. Recommendations: None,,"June 15, 2016 - Watercourse 5 - Credit River located at KP 4+950; water level is medium to high with moderate flow. Vegetation on the north bank is well established consisting of native grasses.",,,
KP 4+950 to 5+175 [East Half of LT 8 CON 6 WHS],Woodland (KP 5+000 to 5+500) Noxious weed issue (moderate),"The presence of noxious weeds (wild carrot and perennial sow thistle) was noted on the ROW. Recommendations: Monitor in 2015, implement weed control as required.",,"June 15, 2016 - 90-95% vegetation establishment on ROW compared to off ROW control.  - Drainage D2 located at KP 5+033 is showing healthy vegetation establishment. Common weeds consisting of vetch. Canada thistle evident within drainage area.  - Canada thistle, ox-eye daisy, scentless chamomile, bull thistle evident throughout the tract.  Recommend implementation of control measures. - No subsidence or erosion evident in tract. June 23, 2016 - Mechanical weed control conducted to control weeds noted in previous assessments. July 27, 2016 - Silt fence located at drainage area and areas adjacent to Credit River. Recommend removal of silt fence. October 15, 2016 - Conducted removal of silt fence material from within ROW at KP 4+990 (approx.). Issue resolved.",,,
5+280 - 5+500 [East Half of LT 7 CON 6 WHS],Woodland (KP 5+000 to 5+500) Noxious weed issue (moderate),"The presence of noxious weeds (wild carrot and perennial sow thistle) was noted on the ROW. Monitor in 2015, implement weed control as required.",,"June 15, 2016 - Land appears to be used for vehicular activity, appears that unauthorized work (levelling) may have been completed by landowner. - Recommend removal of erosion control materials (Filtrex berms). - No subsidence or erosion evident in tract. October 15, 2016 - Removed silt fence and erosion control material from within ROW, between KP 5+200 – KP 5+405 (approx.).  Issue resolved. - Species at Risk monitored by Stantec, details provided in Section 3.3.2.",,,
5+280 - 5+500 [East Half of LT 7 CON 6 WHS],Woodland (off ROW) (KP 5+200) Species at risk (moderate),No issues were observed concerning the Butternuts. Recommendations: None,,"June 15, 2016 - Land appears to be used for vehicular activity, appears that unauthorized work (levelling) may have been completed by landowner. - Recommend removal of erosion control materials (Filtrex berms). - No subsidence or erosion evident in tract. October 15, 2016 - Removed silt fence and erosion control material from within ROW, between KP 5+200 – KP 5+405 (approx.).  Issue resolved. - Species at Risk monitored by Stantec, details provided in Section 3.3.2.",,,
