Legal Location,1<s>st</s> Year (2013) Issue/Condition,1<s>st</s> Year (2013) PCMP Recommendation(s),2<s>nd</s> Year (2014) PCRM Assessment and Work Completed,2015 PCRM Assessment and Work Completed,VEC,GIS,Topic
94P-4-H100,Low vegetation establishment,Monitor vegetation establishment in 2014.,"September 17, 2014 - 70-80% vegetation established compared to off RoW. • Cross drains installed along ditchline are fully functional and are allowing water to drain across RoW.","June 18, 2015  - Vegetation on RoW appears to be 75-85% comparable to off RoW.  - Courvoiser Creek at KP 8+200 appears to be stable at this time. Banks are well vegetated with willows establishing. Bed is stable with good cobble distribution. Revetment posts appear to be functioning well retaining banks. Diversion berms leading to creek are functioning well with good vegetation establishment at this time. High water flow at time of assessment. Recommend removal of silt fences on both banks. - Creek at KP 9+030 appears stable at this time. Banks are showing good vegetation growth and bed appears stable with good cobble distribution. Revetment posts are functioning well at this time. Moderate flow apparent at time of assessment. Recommend removal of silt fences on both banks and cutting out exposed plastic fabric on south bank. - Roach appears to be stable showing good vegetation growth with cross drains functioning well. - No subsidence or erosional issues evident in tract. July 14, 2015  - Patch of scentless chamomile plants was handpicked, bagged and removed from RoW at KP 8+060. - Silt fences and pegs within waddles were removed from both banks of Courvoiser Creek at KP 8+200. - Silt fences and pegs within waddles were removed and plastic matting was cut out on both banks of creek crossing at KP 9+020. September 22, 2015  - Vegetation continues to establish along the RoW with numerous willows and small trees growing throughout the RoW at time of assessment. - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - Courvoisier Creek crossing appeared to be stable at time of assessment.   - Banks of creek were well vegetated and no erosion or slumping was observed at time of assessment. - No integrity concerns were noted at the time of assessment.  - No weed concerns were observed at the time of assessment.",,,
,Treed fen,Monitor vegetation establishment in 2014.,"September 17, 2014 - Wetland located at KP 8+700 is holding water and contains emergent riparian vegetation at time of assessment.","June 18, 2015   - 70-80% vegetation established compared to off RoW.  - Treed Fen located between kp 8+400 and kp 9+000 has standing water on east side of RoW and contains emergent riparian vegetation.  - Wetland functional at time of assessment.  - Bare patches of peat and mulch present along RoW.  - Cross drains installed along ditchline are fully functional and are allowing water to drain across RoW.",,,
94P-4-H90,Low vegetation establishment,Monitor in 2014 for vegetation establishment and erosion.,"September 18, 2014 - Vegetation showing healthy re-establishment, no issues (50% cover ditchline, 70% ROW)","June 18, 2015  - Vegetation on RoW appears to be 75-85% comparable to off RoW.  - Roach appears to be stable showing good vegetation growth with cross drains functioning well. - No subsidence or erosional issues evident in tract. September 22, 2015  - Vegetation continues to establish along the RoW with numerous willows and small trees growing throughout the RoW at time of assessment.  - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted at the time of assessment.  - No weed concerns were observed at the time of assessment.",,,
94P-4-H90,Treed fen,Monitor vegetation establishment in 2014.,"September 18, 2014 - Wetland located from KP 9+100 to KP 10+250 is holding water, contains emergent riparian vegetation and appears functional at time of assessment. • Cross-drains installed along ditchline are fully functional and are allowing water to drain across RoW.","June 18, 2015   - Treed Fen located between kp 9+100 and kp 10+250 has standing water on east side of RoW and contains emergent riparian vegetation.  - Wetland functional at time of assessment.  - Cross-drains installed along ditchline are fully functional and are allowing water to drain across RoW.",,,
94P-4-H90,Erosion,Monitor in 2014 for vegetation establishment and erosion. Implement further erosion control measures if conditions do not improve in 2014.,,"June 18, 2015  - No erosion noted; no further work required.",,,
94P-4-H80,Low vegetation establishment,Monitor vegetation establishment in 2014.,"September 18, 2014 - Vegetation showing healthy re-establishment, mostly wetland species, no issues (30% cover ditchline, 80% ROW)","June 18, 2015  - Vegetation on RoW appears to be 60-65% comparable to off RoW. - Patch of perennial sow thistle south of road crossing at KP 10+570. Patch of scentless chamomile at KP 10+760. Recommend herbicide application. - Roach appears to be stable showing good vegetation growth with cross drains functioning well. - No subsidence or erosional issues evident in tract. July 15, 2015 -Herbicide application conducted from KP 10+570 and 10+760 to control perennial sow thistle and scentless chamomile. September 22, 2015  - Vegetation continues to establish along the RoW with numerous willows and small trees growing throughout the RoW at time of assessment.  - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted at the time of assessment.   - No weed concerns were observed at the time of assessment.",,,
94P-4-H80,Treed fen,Monitor vegetation establishment in 2014.,"September 18, 2014 - Wetland located from KP 9+100 to KP 10+250 is holding water, contains emergent riparian vegetation and appears functional at time of assessment. • Cross-drains installed along ditchline are fully functional and are allowing water to drain across RoW.","June 18, 2015  - Treed Fen located between kp 9+100 and kp 10+250 has standing water on east side of RoW and contains emergent riparian vegetation.  - Wetland functional at time of assessment.  - Cross-drains installed along ditchline are fully functional and are allowing water to drain across RoW.",,,
94P-4-H70,High vegetation establishment,None.,"September 18, 2014 - Predominate species  is sweet clover (85% cover over ROW)","June 18, 2015  - Vegetation on RoW appears to be 90-95% comparable to off RoW. - Roach appears stable with some areas exhibiting thinner vegetation cover with cross drains functioning well. - No subsidence or erosional issues evident in tract. September 22, 2015  - Vegetation continues to establish along the RoW with numerous willows and small trees growing throughout the RoW at time of assessment.",,,
94P-4-H60,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 18, 2014 - Tributary at KP 12+500 in good condition, well vegetated, no issues. Silt fence can be removed. October 2, 2014 – silt fencing removed.","June 18, 2015  - Vegetation on RoW appears to be 75-85% comparable to off RoW. - Scentless chamomile found at KP 12+210. Recommend herbicide application. - Roach appears to be stable showing good vegetation growth with cross drains functioning well. - Tributary at KP 12+500 appears stable at this time with vegetation establishing well on both banks. Bed appears stable with good cobble distribution. Marker posts were fixed on south bank. Recommend removal of exposed plastic matting and silt fences on both banks. - Rollback within tract is functioning well as no foreign activity is evident. - No subsidence or erosional issues evident in tract. July 15, 2015  - Herbicide application conducted at KP 10+570 and 12+210 to control scentless chamomile. - Silt fence was removed and exposed plastic matting was cut out at creek crossing at KP 12+500 September 22, 2015  - Vegetation continues to establish along the RoW with numerous willows and small trees growing throughout the RoW at time of assessment.  - No integrity concerns were noted at the time of assessment.  - Tributary appeared to be stable at time of assessment. Banks appeared to be well vegetated and did not show any evidence of slumping or erosion.  - Flow did not appear to be affected by construction activities as it appeared to be consistent throughout the RoW   - Heavy concentrations of sweet clover was observed throughout the RoW, recommend assessment and possible control next growing season.  - Previous herbicide application appears successful, no noxious weeds were observed.",,,
94P-4-H50,Moderate vegetation establishment,Monitor vegetation establishment and in 2014.,"September 18, 2014 - Predominate species  is sweet clover (85% cover over ROW) •  Sow Thistle observed at KP 13+750 approximately 20x20m area of large plants no other issues","June 19, 2015  - Vegetation on RoW appears to be 90-95% comparable to off RoW control.  - Patch of perennial sow thistle present at KP 13+750. Recommend herbicide application. - Patches along roach exhibit thinner vegetation cover compared to RoW but appears to be stable with cross drains functioning well. - Excessive rollback is exhibiting thin vegetation development. Continue to monitor. - No subsidence or erosional issues evident in tract. July 15, 2015  - Herbicide application conducted from KP 13+730 to 13+830 to control perennial sow thistle. September 22, 2015  - Vegetation continues to establish along the RoW with numerous willows and small trees and shrubs growing throughout at time of assessment. - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted at the time of assessment.  - Previous herbicide application appears successful, no noxious or prohibited noxious weeds were observed.",,,
94P-4-H40,Shrubby fen,Monitor vegetation establishment in 2014.,"September 18, 2014 - Wetland located from KP 13+910 to KP 13+970 is holding water, contains emergent and submergent riparian vegetation and appears functional at time of assessment. Banks of riparian area appear stable and water depth is approximately 1.0 m at time of assessment. • Cross-drains installed along ditchline are fully functional and are allowing water to drain across RoW. Silt fence can be removed at KP 13+900 October 2, 2014 – silt fencing removed.","June 19, 2015  - Vegetation on RoW appears to be 90-95% comparable to off RoW control with some areas exhibiting thinner vegetation cover likely attributed to heavier density of mulch.  - Roach is well vegetated with sweet clover with intermittent patches exhibiting thinner vegetation cover compared to RoW but appears to be stable with cross drains functioning well. - Rollback leading to watercourse at KP 13+950 is functioning well with vegetation establishing within. - Watercourse crossing at KP 13+950 appears to be stable with banks exhibiting 75-80% vegetation cover compared to RoW. Bed appears stable with slow flow at time of assessment. Revetment posts are functioning well at this time. Continue to monitor vegetation growth on banks. - No subsidence or erosional issues evident in tract. September 23, 2015  - Vegetation continues to establish along the RoW with numerous willows and small trees and shrubs growing throughout at time of assessment.  - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted at the time of assessment.  - Tributary appeared to be stable at time of assessment. Banks were well vegetated and did not show signs of erosion or subsidence.  - High concentrations of sweet clover were noted along the tract.",,,
94P-4-H40 94P-4-H30,Low vegetation establishment,Monitor vegetation establishment in 2014.,"September 18, 2014 - Predominate species  is sweet clover (85% cover over ROW)","June 19, 2015  - Vegetation appears thin in areas with higher densities of mulch. Continue to monitor for vegetation growth in these areas.",,,
,Low vegetation establishment,Monitor vegetation establishment in 2014.,"September 18, 2014 - Vegetation showing healthy re-establishment, small rill at KP 15+450 and silt fence can be removed, no issues 85% cover over ditchline and ROW October 3, 2014 – silt fencing removed.","June 19, 2015  - Vegetation on RoW appears to be 90% comparable to off RoW control.  -  One scentless chamomile plant found at KP 14+970. Recommend herbicide application. - Patches along roach exhibit thinner vegetation cover compared to RoW but appears to be stable with cross drains functioning well. - Fixed marker posts at KP 15+410. - Rollback leading to creek crossing at KP 15+450 is functioning well. - Creek crossing at KP 15+450 appears stable. Both banks exhibiting approximately 50% vegetation cover compared to RoW through straw matting. Bed appears stable with moderate flow at time of assessment. Revetment posts are functioning well. Rill erosion evident on south bank; no sediment inflow to stream is evident at this time. Recommend installation of erosion control materials and to continue to monitor vegetation growth. July 15, 2015  - Herbicide application conducted at KP 14+970 to control scentless chamomile. July 16, 2015  - Implemented straw waddle erosion control within rill erosion on south bank of creek crossing at KP 15+450. September 23, 2015  - Vegetation continues to establish along the RoW with numerous willows and small trees and shrubs growing throughout at time of assessment.  - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted at the time of assessment.  - Tributary appeared to be stable at time of assessment. Banks were well vegetated and no signs of erosion or subsidence were visible.  Previously installed erosion control devices appeared to be stable at time of assessment.  Vegetation was observed establishing throughout the previous eroded feature further stabilizing the area. - High concentrations of sweet clover were noted along the tract.  Perennial sow thistle were observed, recommend assessment and control next growing season.",,,
94P-4-H20,Low vegetation establishment,Monitor vegetation establishment in 2014.,"September 18, 2014 - No issues, good cover across entire ROW","June 19, 2015  - Vegetation on RoW appears to be 70-75% comparable to off RoW control. - Patches of perennial sow thistle at KP 15+840 to KP 16+000 and KP 16+360. Recommend herbicide application. - Patches along roach exhibit thinner vegetation cover compared to RoW but appears to be stable with cross drains functioning well. - No subsidence or erosional issues evident in tract. July 15, 2015  - All perennial sow thistle patches found within wetland area at KP 15+840, 16+000 and 16+630 were handpicked; no herbicide application was applied. - Herbicide application conducted at KP 16+540 to control perennial sow thistle. September 23, 2015  - Vegetation continues to establish along the RoW with numerous willows and small trees growing throughout at time of assessment. Small conifers were also noted throughout the RoW at intervals. - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted at the time of assessment. - Previous weed control appears successful, no noxious or prohibited noxious weeds were observed.",,,
94P-4-H20 94P-4-H19,Treed fen,Monitor vegetation establishment in 2014.,"September 18, 2014 - Wetland located from KP 15+670 to KP 16+230 is holding water, contains emergent riparian vegetation and appears functional at time of assessment. • Margins of the wetland are dry at time of assessment, likely due to the small size of wetland complexes and time of year.  • Cross-drains installed along ditchline are fully functional and are allowing water to drain across RoW.","June 19, 2015  - 70-80% vegetation established compared to off RoW.  - Treed Bog located between kp 15+670 and kp 16+230 has standing water on east side of RoW and contains emergent riparian vegetation.  - Cross drains installed along ditchline are fully functional and are allowing water to drain across RoW.  - Bare patches of peat and mulch present along RoW.",,,
94P-4-H20 94P-4-H19,Low vegetation establishment,Monitor vegetation establishment in 2014.,"September 18, 2014 - Poor cover over ditchline, however good cover over the rest of the ROW consisting of grass species as well as forbs and woody species","June 19, 2015  - Vegetation on RoW appears to be 85-90% comparable to off RoW control.  - Patch of perennial sow thistle on RoW at KP 16+480. Recommend herbicide application. - Roach appears to be well vegetated and stable with cross drains functioning well. - Fixed marker sign at KP 16+660. - No subsidence or erosional issues evident in tract. July 15, 2015  - All perennial sow thistle plants found within wetland area at KP 16+480 were handpicked; no herbicide application was applied. September 23, 2015  - Vegetation continues to establish along the RoW with numerous willows and small trees growing throughout at time of assessment. Small conifers were also noted throughout the RoW at intervals.  - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted at the time of assessment.",,,
94P-4-H19 94P-4-H9,Treed fen,Monitor vegetation establishment in 2014.,"September 18, 2014 - Wetland located from KP 16+300 to KP 16+520 is holding water, contains emergent riparian vegetation and appears functional at time of assessment. • Margins of the wetland are dry at time of assessment, likely due to the small size of wetland complexes and time of year.  • Cross-drains installed along ditchline are fully functional and are allowing water to drain across RoW.","June 19, 2015  - 70-80% vegetation established compared to off RoW.  - Treed Bog located between kp 16+300 and kp 16+520 has standing water on east side of RoW and contains emergent riparian vegetation.  - Wetland functional at time of assessment.",,,
94P-4-H19 94P-4-H9,Low vegetation establishment,Monitor vegetation establishment in 2014. Implement further erosion control measures if conditions do not improve in 2014.,"September 18, 2014 - Predominate species  is sweet clover (85% cover over ROW),","June 19, 2015  - Vegetation on RoW appears to be 80-85% comparable to off RoW control. - Patch of perennial sow thistle on RoW at KP 17+200. Recommend herbicide application. - Roach appears stable and is well vegetated predominantly with sweet clover; cross drains are functioning well. - No subsidence or erosional issues evident in tract. July 15, 2015  - Herbicide application conducted at KP 17+200 and 17+500 to control perennial sow thistle.  September 23, 2015  - Vegetation continues to establish along the RoW with numerous willows and small trees growing throughout at time of assessment. Small conifers were also noted throughout the RoW at intervals.  - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted at the time of assessment.",,,
