Biophysical  Element,Specific Element/ Location,Information / Comments,Outstanding Issue / Incident,Potential Adverse Environmental Effects,Proposed Action & Schedule,VEC,GIS,Topic
Wildlife and wildlife habitat,Killdeer,"Several nests were found in the workspace throughout the span of the project. Nest locations were communicated to crew members. Nests were staked to allow for a 5-10 m setback from work placements. Where possible, work was delayed until nests became inactive. The Environmental Inspector was on site during work around nests to assist crew with locating and avoiding nests.",No outstanding issues.,Harm and/or disturbance to wildlife.,,,,
,American Robin,Nests were identified in trees at the edge of the RoW. Locations were communicated to the crew. General nest locations were flagged to provide a safe setback from ongoing work.,No outstanding issues.,Harm and/or disturbance to wildlife.,,,,
,Gray Catbird,One nest was found in a tree on the edge of the RoW. The location was communicated to the crew and flagged providing a 5 m setback. The Environmental Inspector was on site during work around the nest to assist the crew with locating and avoiding the nest.,No outstanding issues.,Harm and/or disturbance to wildlife.,N/A,,,
,Song Sparrow,"Several nests were found throughout the span of the Project. Nest locations were communicated to crew members. Nests were staked to allow for a 5-10 m setback from work placements. Where possible, work was delayed until nests became inactive. The Environmental Inspector was on site during work around nests to assist the crew with locating and avoiding nests.",No outstanding issues.,Harm and/or disturbance to wildlife.,N/A,,,
,Canadian Goose,Several geese were sighted within the workspace but none were directly encountered. No nests were located on or near the easement.,No outstanding issues.,Harm and/or disturbance to wildlife.,N/A,,,
,Wild Turkey,Two wild turkey nests were observed in the temporary workspace. Nest locations were communicated to the crew and staked to provide a safe setback. Nests were located conspicuously in long grass at the edge of workspaces and were found by chance.,No outstanding issues. Each hen had fledged its nest and failed to return. Chicks failed to hatch.,Harm and/or disturbance to wildlife.,N/A,,,
,Painted Turtle,Several Painted Turtles were observed in the workspace. The turtles were allowed to disperse from the workspace unharmed. Exclusion fencing was inspected and maintained on a daily basis to prevent species from entering the workspace. One Painted Turtle fatality occurred during the project within the temporary workspace. The incident and environmental mitigation protocols were reviewed with the crew during the following day’s safety meeting.,LNo outstanding issues. oss of a painted turtle.,Harm and/or disturbance to wildlife.,N/A,,,
,Eastern Gartersnake,"Several Eastern Gartersnakes were observed in the workspace. Snake exclusion fencing was installed prior to construction to prevent snakes from entering the workspace. All sightings were reported to the Environmental Inspector. Where necessary, work was delayed until the snake was able to leave the work space on its own (i.e.: exclusion fencing was cut to allow the snake to leave).  Three Eastern Gartersnake fatalities occurred during the project. Exclusion fencing was inspected and maintained on a daily basis to prevent species from entering the workspace. Two fatalities occurred due to vehicle traffic on the RoW. One fatality occurred during the removal of snake exclusion fencing. Fatalities were reported to the MNR.",LNo outstanding issues oss of three Eastern Gartersnakes.,Harm and/or disturbance to wildlife.,N/A,,,
,Red Belly Northern Snake,"Several Red Belly Northern Snakes were observed in the temporary workspace during the project. Snake exclusion fencing was installed prior to construction to prevent snakes from entering the workspace. All sightings were reported to the Environmental Inspector. Where necessary, work was delayed until the snake was able to leave the work space on its own (i.e.: exclusion fencing was cut to allow the snake to leave).  One fatality occurred in the workspace due to vehicle traffic. Exclusion fencing was inspected and maintained on a daily basis to prevent species from entering the workspace. The fatality was reported to the MNR.",LNo outstanding issues. oss of one red belly northern snake.,Harm and/or disturbance to wildlife.,N/A,,,
Species at Risk,Butler’s Gartersnake,Several suspected Butler’s Gartersnakes were observed in the workspace during the project. Snake exclusion fencing was installed prior to construction to prevent snakes from entering the workspace. All sightings were reported to the Environmental Inspector. All work within 30 m of a suspected Butler’s Gartersnake was temporarily stopped. Snake exclusion fence was cut to allow the snake to travel out of the workspace prior to work continuing.  Suspected Butler’s Gartersnake sightings were reported to the MNR.,No outstanding issues.,Harm and/or disturbance to wildlife.,N/A,,,
,Snapping Turtle,One Snapping Turtle was observed in the workspace and reported to the Environmental Inspector. The turtle was removed by the Environmental Inspector (qualified for species removal) to an appropriate location away from the RoW. Exclusion fencing was installed prior to construction and inspected daily to prevent turtles from entering the workspace.  The Snapping Turtle sighting was reported to the MNR.,No outstanding issues.,Harm and/or disturbance to wildlife.,N/A,,,
Air Quality,,"Main impact to air quality was exhaust from construction equipment, machinery and pickup trucks. Impact was minimal.",N/A,Minimal contribution of greenhouse gases to the atmosphere.,N/A,,,
Acoustic Environment,,"The Project was mainly in a rural and industrial area. Where residences were adjacent to construction, acoustic panels were installed to dampen the sound generated by pipeline activities.",No outstanding issues.,N/A,N/A,,,
Heritage Resources,,N/A: a complete archeological assessment was performed prior to construction and no sites were identified.,N/A,N/A,N/A,,,
