Legal Location (W4),1<s>st</s> Year Issue/ Condition,1<s>st</s> Year (2014) Issue(s),3<s>rd</s> Year (2016) PCRM Assessment and Work Completed,4th Year (2017) PCRM Assessment and Work Completed,5th Year (2018) PCRM Assessment and Work Completed,VEC,GIS,Topic
NE-23-80-13,Treed Wetland/ Disturbed Low vegetation cover,Low vegetation cover. Monitor in 2015.,"June 20, 2016 - Low vegetation 20 to 30% is not causing any secondary (eg. erosion) environmental issues. Recommend continued monitoring. July 14, 2016 -- Vegetation is well established with desirable species throughout tract - Good establishment of grasses, shrubs and aquatic vegetation.  - Wetland functioning well. - Herbicide application conducted to control Scentless Chamomile at KP 5+250. - Monitor vegetation control. - No erosion or subsidence issues.","Aug 15, 2017 - Vegetation established at 65-80% of off ROW. Low vegetation issue resolved. - KP 5+250 - Scentless chamomile observed, recommend weed control. Sept 15, 2017 - Mounding on ROW at KP 5+700 providing effective access control in area.","July 9, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Willows, poplar, birch, elder and black spruce continue to establish, comparable density to off ROW - No noxious weeds were identified. - Cross drains are vegetated and functioning. No erosion or subsidence issues.",,,
NW-24-80-13,,,"July 14, 2016 - Vegetation continues to establish with desirable species throughout ROW. - Good establishment of grasses and willows. Common horse tail is the dominant species. - No erosion or subsidence issues.","Aug 15, 2017 - Vegetation established at 80-100% of off ROW - No erosion or subsidence issues","July 9, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Willows, poplar, birch, elder and black spruce continue to establish, comparable density to off ROW. - No noxious weeds were identified. - Cross drains are vegetated and functioning. No erosion or subsidence issues.",,,
NE-24-80-13,,,,"Aug 15, 2017 - Vegetation established at 80-100% of off ROW - No erosion or subsidence issues. - KP 7+500 - Common tansy observed, recommend weed control.","July 9, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Willows, poplar, birch, elder and black spruce continue to establish, comparable density to off ROW. - Mounding appears to be functioning. - Cross drains are vegetated and functioning. No erosion or subsidence issues. July 31, 2018 – KP 7+000 – Herbicide application conducted to control perennial sow thistle.",,,
NW-19-80-12,Forested Listed plant occurrence,Listed plant site TLEK05– Sitka clubmoss (Diphasiastrum sitchense). Area of plant observation was undisturbed by construction. Listed plant issue resolved,"July 14, 2016 -- Vegetation continues to establish with desirable species throughout ROW. - Low vegetation on roach. - No noxious weeds identified. - No erosion or subsidence issues. - Roll back on both sides off access road crossing.","Aug 15, 2017 - Vegetation established at 65-80% of off ROW - No erosion or subsidence issues - Rollback / Mounding access control is present and effective - KP 8+635 - Marker/Sign posts down, recommend repairs. Sept 19, 2017 - KP 8+635– Marker/sign posts repaired, issue resolved. - KP 8+675 – Removed skid. Issue resolved.","July 9, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Willows, poplar, birch, elder and black spruce continue to establish, comparable density to off ROW. - Mounding appears to be functioning as access control across ROW. - No noxious weeds were identified. - Cross drains are vegetated and functioning. No erosion or subsidence issues.",,,
NW-19-80-12,Forested Listed plant occurrence,Listed plant site TLEK04/ TKMS001 – Sitka clubmoss (Diphasiastrum sitchense). Area of plant observation was undisturbed by construction. Listed plant issue resolved,"July 14, 2016 -- Vegetation continues to establish with desirable species throughout ROW. - Low vegetation on roach. - No noxious weeds identified. - No erosion or subsidence issues. - Roll back on both sides off access road crossing.","Aug 15, 2017 - Vegetation established at 65-80% of off ROW - No erosion or subsidence issues - Rollback / Mounding access control is present and effective - KP 8+635 - Marker/Sign posts down, recommend repairs. Sept 19, 2017 - KP 8+635– Marker/sign posts repaired, issue resolved. - KP 8+675 – Removed skid. Issue resolved.","July 9, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Willows, poplar, birch, elder and black spruce continue to establish, comparable density to off ROW. - Mounding appears to be functioning as access control across ROW. - No noxious weeds were identified. - Cross drains are vegetated and functioning. No erosion or subsidence issues.",,,
NE-19-80-12,Treed Wetland / Forested Low vegetation cover,Low vegetation cover. Monitor in 2015,"July 14, 2016 -- Vegetation continues to establish with desirable species throughout ROW. 2014 low vegetation issue is resolved. - No noxious weeds identified. - No erosion or subsidence issues.","Aug 15, 2017 - Vegetation established at 65-80% of off ROW.  - Hillslope at 9+100 has reduced vegetation, vegetation is encroaching from edges. - No erosion or subsidence issues. - Skids observed at 9+400 – Collect and dispose - Mounding at 9+500 intact and effective - KP 9+500 - Perennial sow thistle, recommend weed control. Aug 22, 2017 – Intermittent herbicide application conducted to control common tansy (KP 9+240) and perennial sow thistle (KP 9+060 and 9+500). Sept 19, 2017 - KP 9+400 – Removed skids. Issue resolved.","July 9, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. Reduced vegetation issue at KP 9+100 resolved. ROW displays similar vegetation composition to off ROW. Willows, poplar, birch, elder and black spruce continue to establish, comparable density to off ROW. - Cross drains are vegetated and functioning. No erosion or subsidence issues. July 31, 2018 – KP 9+140 – Herbicide application conducted to control perennial sow thistle.",,,
NE-19-80-12,Forested Listed plant occurrence,Listed plant site TLEK06 – Sitka clubmoss (Diphasiastrum sitchense). Area of plant observation was undisturbed by construction. Listed plant issue resolved,"July 14, 2016 -- Vegetation continues to establish with desirable species throughout ROW. 2014 low vegetation issue is resolved. - No noxious weeds identified. - No erosion or subsidence issues.","Aug 15, 2017 - Vegetation established at 65-80% of off ROW.  - Hillslope at 9+100 has reduced vegetation, vegetation is encroaching from edges. - No erosion or subsidence issues. - Skids observed at 9+400 – Collect and dispose - Mounding at 9+500 intact and effective - KP 9+500 - Perennial sow thistle, recommend weed control. Aug 22, 2017 – Intermittent herbicide application conducted to control common tansy (KP 9+240) and perennial sow thistle (KP 9+060 and 9+500). Sept 19, 2017 - KP 9+400 – Removed skids. Issue resolved.","July 9, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. Reduced vegetation issue at KP 9+100 resolved. ROW displays similar vegetation composition to off ROW. Willows, poplar, birch, elder and black spruce continue to establish, comparable density to off ROW. - Cross drains are vegetated and functioning. No erosion or subsidence issues. July 31, 2018 – KP 9+140 – Herbicide application conducted to control perennial sow thistle.",,,
NE-19-80-12,Forested Listed plant occurrence,Listed plant site TLEK06 – goldthread (Coptis trifolia). Area of plant observation was undisturbed by construction. Listed plant issue resolved,"July 14, 2016 -- Vegetation continues to establish with desirable species throughout ROW. 2014 low vegetation issue is resolved. - No noxious weeds identified. - No erosion or subsidence issues.","Aug 15, 2017 - Vegetation established at 65-80% of off ROW.  - Hillslope at 9+100 has reduced vegetation, vegetation is encroaching from edges. - No erosion or subsidence issues. - Skids observed at 9+400 – Collect and dispose - Mounding at 9+500 intact and effective - KP 9+500 - Perennial sow thistle, recommend weed control. Aug 22, 2017 – Intermittent herbicide application conducted to control common tansy (KP 9+240) and perennial sow thistle (KP 9+060 and 9+500). Sept 19, 2017 - KP 9+400 – Removed skids. Issue resolved.","July 9, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. Reduced vegetation issue at KP 9+100 resolved. ROW displays similar vegetation composition to off ROW. Willows, poplar, birch, elder and black spruce continue to establish, comparable density to off ROW. - Cross drains are vegetated and functioning. No erosion or subsidence issues. July 31, 2018 – KP 9+140 – Herbicide application conducted to control perennial sow thistle.",,,
NW-20-80-12,,,"July 14, 2016 - Vegetation continues to establish with desirable species throughout ROW. - Good establishment of grass, willows and poplars. Excellent vegetation cover. - No noxious weeds identified. - No erosion or subsidence issues. - Mounding and roll back in this quarter.","Aug 15, 2017 - Vegetation established at 80 - 100% of off ROW  - No erosion or subsidence issues - Mounding at 9+600 is intact and effective Aug 22, 2017 – Intermittent herbicide application conducted to control common tansy (KP 10+050 to 10+100) and perennial sow thistle (KP 9+970). Sept 14, 2017 - Treed swamp on ROW from KP 9+396 to 9+468 appears to be at full functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids with sporadic emergence of alder, willow and broadleaf shrubs. - No noxious weeds were identified in wetland.  - Trench crown present through wetland with sufficient breaks for hydrology to be maintained. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy through uniform vegetation growth. Humification occurring throughout wetland through decomposing vegetation litter. - Substrate exhibiting semi-dry conditions comparing with off ROW conditions. - Wetland providing good habitat opportunity through good vegetation cover and sufficient snags. - Wetland has achieved pre-construction contours. Off ROW species successfully emerging onto ROW. Overall, no net loss of wetland function was observed. Sept 15, 2017 - Mounding on ROW at KP 9+900 providing effective access control in area.","July 9, 2018 Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Willows, poplar, birch, elder and black spruce continue to establish, comparable density to off ROW. Trees observed at heights up to 3m tall throughout ROW. - Cross drains are vegetated and functioning. No erosion or subsidence issues.  August 27, 2018 -Treed swamp on ROW from KP 9+396 to 9+468 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained.  - Vegetation establishment within wetland appears to be at 80-100% cover compared with off ROW control. - Vegetation throughout wetland on ROW consisting of herbaceous graminoids, willow, alder, Labrador tea and mosses. - No noxious weeds were identified within wetland. - Trench crown present throughout wetland with sufficient breaks for hydrology to be maintained across ROW; no issues of hydrologic connectivity were observed. - Substrate within wetland appears healthy with uniform vegetation cover and hydrology throughout. Peat accumulation expected to be present within substrate. - Wetland exhibiting semi-saturated conditions with no surface water emergence present throughout wetland. - Wetland providing good habitat opportunities through the presence of snags and good vegetation cover. - Wetland has achieved pre-construction contours.",,,
NE-20-80-12,Forested Ditch erosion,Silt fence and stub berm placement in summer 2013 has stopped active erosion and will divert water off ROW. The area was re-contoured in December 2014.  Monitor in 2015.,"July 14, 2016 -- Vegetation continues to establish with desirable species throughout ROW. - Excellent vegetation cover. - No noxious weeds identified. - No erosion or subsidence issues. Erosion noted in 2014 is no longer present, issue resolved.","Aug 15, 2017 - Vegetation established at 65-80% of off ROW control. - No erosion or subsidence issues - Common Tansy observed in small quantity, recommend weed control. Aug 22, 2017 – KP 10+530 to 10+700 – Intermittent herbicide application conducted to control perennial sow thistle.","July 9, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good natural recovery of native mix forest vegetation including broadleaves, grasses, willows, poplars, green alders, birch, pine and black spruce found throughout ROW.  - No noxious weeds were identified. - Cross drains are vegetated and functioning. No erosion or subsidence issues.",,,
SE-20-80-12,Forested Listed plant occurrence,"Listed plant site TKRS032 – goldthread (Coptis trifolia). Minimal disturbance to ROW, moderate to high vegetation regrowth observed. Listed plant issue resolved","July 14, 2016 -- Vegetation continues to establish with desirable species throughout ROW. - No noxious weeds identified. - No erosion or subsidence issues. - Muskeg areas in this quarter.","Aug 15, 2017 - Vegetation established at 80 - 100% of off ROW.  - No erosion or subsidence issues.","July 9, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Willows, poplar, birch, and elder continue to establish.  - No noxious weeds were identified. - Cross drains are vegetated and functioning. No erosion or subsidence issues.",,,
SE-20-80-12,Forested Listed plant occurrence,"Listed plant site TKRS032 – Sitka clubmoss (Diphasiastrum sitchense). Minimal disturbance to area, moderate to high vegetation regrowth observed. Listed plant issue resolved","July 14, 2016 -- Vegetation continues to establish with desirable species throughout ROW. - No noxious weeds identified. - No erosion or subsidence issues. - Muskeg areas in this quarter.","Aug 15, 2017 - Vegetation established at 80 - 100% of off ROW.  - No erosion or subsidence issues.","July 9, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Willows, poplar, birch, and elder continue to establish.  - No noxious weeds were identified. - Cross drains are vegetated and functioning. No erosion or subsidence issues.",,,
SW-21-80-12,,,"June 20, 2016 - Marker post down 11+700 July 14, 2016 -- Vegetation continues to establish with desirable species throughout ROW. - No noxious weeds identified. - No erosion or subsidence issues. - KP 11+700 marker posts down. Sept 20, 2016 - Stood up marker posts and TC sign that had fallen over at KP 11+700, issue resolved.","Aug 15, 2017 - Vegetation established at 65-80% of off ROW.  - No erosion or subsidence issues","July 9, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good natural recovery of native mix forest vegetation including broadleaves, grasses, willows, poplars, green alders, birch, pine and black spruce found throughout ROW.  - No noxious weeds were identified. - Cross drains are vegetated and functioning. No erosion or subsidence issues.",,,
SE-21-80-12,,,"July 14, 2016 -- Vegetation continues to establish with desirable species throughout ROW. - No erosion or subsidence issues. - KP 12+800 – herbicide application conducted to control scentless camomile found around valve site.","Aug 15, 2017 - Vegetation established at 65-80% of off ROW  - No erosion or subsidence issues - Scentless Chamomile identified at 12+800 in 2016 - Herbicide application recommended - Bare area on hill slope at 12+700, but shows establishment encroaching from edges. Continue to monitor.","July 9, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. KP 12+700, bare area noted in 2017, issue resolved. Good natural recovery of native mix forest vegetation including broadleaves, grasses, willows, poplars, green alders, birch, pine and black spruce found throughout ROW.  - No noxious weeds were identified. Issue resolved. - No erosion or subsidence issues.  - KP 12+470 and 12+630 – skids observed and removed, issue resolved.",,,
SW-22-80-12,,,"July 14, 2016 - Vegetation continues to establish with desirable species throughout ROW. - Excellent vegetation cover. - No noxious weeds identified. - No erosion or subsidence issues. - Wetlands stable.","Aug 15, 2017 - Vegetation established at 65-80% of off ROW.  - No erosion or subsidence issues - Mounding at 13+600 is intact and effective - Producer access trail parallels along North of ROW through this tract - Marker/Sign posts down at 13+900 – Repairs recommended. - Bare area on ROW 13+300 shows establishment encroaching from edges, continue to monitor. Sept 19, 2017 - KP 13+900 – Reset marker posts and install new sign. Issue resolved.","July 9, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. KP 13+300, bare area noted in 2017, issue resolved. ROW displays similar vegetation composition to off ROW. Good natural recovery of native mix forest vegetation including broadleaves, grasses, willows, poplars, green alders, birch, pine and black spruce found throughout ROW. - Cross drains are vegetated and functioning. No erosion or subsidence issues. July 31, 2018 – KP 13+500 – Herbicide application conducted to control perennial sow thistle.",,,
SE-22-80-12,Forested Listed plant occurrence,"Listed plant site TKRS011 – cup lichen (Cladonia cyanipes). Minimal disturbance to area, moderate to high vegetation regrowth observed. Listed plant issue resolved","June 20, 2016 - Marker post down 14+100","Aug 15, 2017 - Vegetation established at 80 - 100% of off ROW  - No erosion or subsidence issues - Mounding at 13+600 is intact and effective - Producer access trail parallels along North of ROW through this tract - Marker/Sign posts down at 14+100 – Recommend repairs - Skids observed at 14+500 – Collect and dispose Aug 22, 2017 – Intermittent herbicide application conducted to control perennial sow thistle (KP 14+170) and common tansy (KP 13+970). Sept 15, 2017 - Mounding on ROW at KP 14+000 providing effective access control in area. Path to the north by facility providing alternate access in area. Sept 19, 2017 - KP 14+100 – Reset markers and posts. Issue resolved. - 14+500 – Removed skid Issue Resolved.","July 9, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good natural recovery of native mix forest vegetation including broadleaves, grasses, willows, poplars, green alders, birch, pine and black spruce found throughout ROW.  - No noxious weeds were identified. Issue resolved. - Mounding appears to be functional as access control across ROW. - Cross drains are vegetated and functioning. No erosion or subsidence issues.  - KP 14+400– 2 skids observed and removed, issues resolved.",,,
SW-23-80-12,,,,"Aug 15, 2017 - Vegetation established at 65 - 80% of off ROW.  - Bare area on ROW at 14+600 shows establishment encroaching from edges. Continue to monitor. Aug 22, 2017 – Intermittent herbicide application conducted at KP 14+800 and 15+280 to control perennial sow thistle. Sept 15, 2017 - Mounding on ROW from KP 18+450 to 18+700 providing effective access control in area.","July 10, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. KP 14+600, bare area noted in 2017, issue resolved. ROW displays similar vegetation composition to off ROW. Good natural recovery of native mix forest vegetation including broadleaves, grasses, willows, poplars, green alders, birch, pine and black spruce found throughout ROW.  - KP 15+250 – Handpicked perennial sow thistle patch, continue to monitor. - Cross drains are vegetated and functioning. No erosion or subsidence issues. Aug 2, 2018 – KP 14+800 and 15+280 – Herbicide application conducted to control perennial sow thistle.",,,
SE-23-80-12,,,,"Aug 15, 2017 - Vegetation established at 80 - 100% of off ROW  - Sign/ marker posts required at 15+900 – Recommend repairs Sept 19, 2017 - KP 15+900 – Reset marker signs and posts. Issue Resolved. - KP 15+000 and 15+200 – Removed skid.","July 9, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Sedge, willows, lily, tamarack, poplar, white birch, and green elder continue to establish.  - No noxious weeds were identified. - Cross drains are vegetated and functioning. No erosion or subsidence issues.",,,
SE-23-80-12,,Unnamed Watercourse (12-WC-01),,,"July 9, 2018 - Watercourse – (12-WC-01)  - Banks are fully vegetated and stable. - Water level is high carrying a small current.",,,
