tableId,rowIndex,landUse_nrcan_description_Barren land,landUse_nrcan_description_Cropland,landUse_nrcan_description_Mixed Forest,landUse_nrcan_description_Sub-polar taiga needleleaf forest,landUse_nrcan_description_Temperate or sub-polar broadleaf deciduous forest,landUse_nrcan_description_Temperate or sub-polar grassland,landUse_nrcan_description_Temperate or sub-polar needleleaf forest,landUse_nrcan_description_Temperate or sub-polar shrubland,landUse_nrcan_description_Urban and Built-up,landUse_nrcan_description_Water,landUse_nrcan_description_Wetland
02db9f91-572a-44af-9858-4add101353c1,6,0,0,0,0,0,1,1,1,0,0,0
02db9f91-572a-44af-9858-4add101353c1,7,0,0,0,0,0,1,1,1,0,0,0
02db9f91-572a-44af-9858-4add101353c1,8,0,0,0,0,0,1,1,1,0,0,0
02db9f91-572a-44af-9858-4add101353c1,9,0,0,0,0,0,1,1,1,0,0,0
02db9f91-572a-44af-9858-4add101353c1,10,0,0,0,0,0,1,1,1,0,0,0
02db9f91-572a-44af-9858-4add101353c1,11,0,0,0,0,0,1,1,1,0,0,0
02db9f91-572a-44af-9858-4add101353c1,12,0,0,1,0,1,1,1,1,0,0,0
02db9f91-572a-44af-9858-4add101353c1,13,0,0,1,0,1,1,0,1,0,0,0
02db9f91-572a-44af-9858-4add101353c1,14,0,0,1,0,1,1,0,1,0,0,0
02db9f91-572a-44af-9858-4add101353c1,15,0,0,1,0,1,1,0,1,0,0,0
02db9f91-572a-44af-9858-4add101353c1,16,0,0,1,0,1,1,0,1,0,0,0
02db9f91-572a-44af-9858-4add101353c1,17,0,0,0,0,1,1,1,1,0,0,0
02db9f91-572a-44af-9858-4add101353c1,18,0,0,0,0,1,1,1,1,0,0,0
02db9f91-572a-44af-9858-4add101353c1,19,0,0,0,0,1,1,1,1,0,0,0
02db9f91-572a-44af-9858-4add101353c1,20,0,0,0,0,1,1,1,1,0,0,0
02db9f91-572a-44af-9858-4add101353c1,21,0,0,0,0,1,1,1,1,0,0,0
02db9f91-572a-44af-9858-4add101353c1,22,0,0,0,0,1,1,1,1,0,0,0
02db9f91-572a-44af-9858-4add101353c1,23,0,0,0,0,0,1,1,1,0,0,0
02db9f91-572a-44af-9858-4add101353c1,24,0,0,0,0,0,1,1,1,0,0,0
02db9f91-572a-44af-9858-4add101353c1,25,0,0,0,0,0,1,1,1,0,0,0
02db9f91-572a-44af-9858-4add101353c1,26,0,0,0,0,0,1,1,1,0,0,0
02db9f91-572a-44af-9858-4add101353c1,27,0,0,0,0,0,1,1,1,0,0,0
02db9f91-572a-44af-9858-4add101353c1,28,0,0,1,0,1,1,1,1,0,0,0
03bfc26a-c6d0-4761-b8f5-47acf2290d02,1,0,0,0,0,1,1,0,1,1,0,0
03bfc26a-c6d0-4761-b8f5-47acf2290d02,2,0,0,1,0,1,0,0,0,1,0,0
03bfc26a-c6d0-4761-b8f5-47acf2290d02,3,0,0,1,0,1,0,0,0,1,0,0
03bfc26a-c6d0-4761-b8f5-47acf2290d02,4,0,0,1,0,1,0,1,1,0,0,0
03bfc26a-c6d0-4761-b8f5-47acf2290d02,5,0,0,1,0,1,0,1,1,0,0,0
03bfc26a-c6d0-4761-b8f5-47acf2290d02,6,0,0,1,0,1,1,1,1,1,0,0
03bfc26a-c6d0-4761-b8f5-47acf2290d02,7,0,0,0,0,1,1,0,1,0,0,0
03bfc26a-c6d0-4761-b8f5-47acf2290d02,8,1,0,1,0,1,1,1,1,0,0,0
03bfc26a-c6d0-4761-b8f5-47acf2290d02,9,1,0,1,0,0,1,1,1,0,0,0
03bfc26a-c6d0-4761-b8f5-47acf2290d02,10,0,0,0,0,0,1,1,1,0,0,0
03bfc26a-c6d0-4761-b8f5-47acf2290d02,11,0,0,1,0,1,1,1,1,0,0,0
03bfc26a-c6d0-4761-b8f5-47acf2290d02,12,1,0,0,0,1,1,1,1,0,0,0
03bfc26a-c6d0-4761-b8f5-47acf2290d02,13,0,0,0,0,1,0,1,1,0,0,0
03bfc26a-c6d0-4761-b8f5-47acf2290d02,14,0,0,0,0,1,1,1,1,0,0,0
03bfc26a-c6d0-4761-b8f5-47acf2290d02,15,1,0,1,0,1,1,1,0,0,0,0
03bfc26a-c6d0-4761-b8f5-47acf2290d02,16,1,0,1,0,1,1,1,0,0,0,0
03bfc26a-c6d0-4761-b8f5-47acf2290d02,17,1,0,0,0,0,0,1,1,0,0,0
03bfc26a-c6d0-4761-b8f5-47acf2290d02,18,1,0,0,0,0,0,1,1,0,0,0
03bfc26a-c6d0-4761-b8f5-47acf2290d02,19,0,0,0,0,1,1,1,1,0,0,0
03bfc26a-c6d0-4761-b8f5-47acf2290d02,20,0,0,0,0,1,1,1,1,0,0,0
03bfc26a-c6d0-4761-b8f5-47acf2290d02,21,0,0,0,0,1,1,1,1,0,0,0
03bfc26a-c6d0-4761-b8f5-47acf2290d02,22,1,0,1,0,1,1,1,1,1,0,0
03bfc26a-c6d0-4761-b8f5-47acf2290d02,23,1,0,1,0,1,1,1,0,1,0,0
03bfc26a-c6d0-4761-b8f5-47acf2290d02,24,0,0,0,0,1,0,1,0,1,0,0
03bfc26a-c6d0-4761-b8f5-47acf2290d02,25,0,0,1,0,1,0,1,1,1,0,0
03bfc26a-c6d0-4761-b8f5-47acf2290d02,26,0,0,1,0,1,0,1,1,1,0,0
03bfc26a-c6d0-4761-b8f5-47acf2290d02,27,0,0,0,0,1,0,1,1,1,0,0
03bfc26a-c6d0-4761-b8f5-47acf2290d02,28,0,0,0,0,1,0,1,1,1,0,0
082134c0-6a4b-425b-a4ae-e79acd7316cb,1,0,0,0,0,0,0,0,0,0,0,0
082134c0-6a4b-425b-a4ae-e79acd7316cb,2,0,0,0,0,0,0,0,0,0,0,0
082134c0-6a4b-425b-a4ae-e79acd7316cb,3,0,0,0,0,0,0,0,0,0,0,0
082134c0-6a4b-425b-a4ae-e79acd7316cb,4,0,0,0,0,0,0,0,0,0,0,0
082134c0-6a4b-425b-a4ae-e79acd7316cb,5,0,0,0,0,0,0,0,0,0,0,0
082134c0-6a4b-425b-a4ae-e79acd7316cb,6,0,0,0,0,0,0,0,0,0,0,0
082134c0-6a4b-425b-a4ae-e79acd7316cb,7,0,0,0,0,0,0,0,0,0,0,0
093f120b-9df7-480b-8ae3-2854a3b33c84,1,0,0,0,0,0,0,0,0,0,0,0
093f120b-9df7-480b-8ae3-2854a3b33c84,2,0,0,0,0,0,0,0,0,0,0,0
093f120b-9df7-480b-8ae3-2854a3b33c84,3,0,0,0,0,0,0,0,0,0,0,0
093f120b-9df7-480b-8ae3-2854a3b33c84,4,0,0,0,0,0,0,0,0,0,0,0
093f120b-9df7-480b-8ae3-2854a3b33c84,5,0,0,0,0,0,0,0,0,0,0,0
093f120b-9df7-480b-8ae3-2854a3b33c84,6,0,0,0,0,0,0,0,0,0,0,0
093f120b-9df7-480b-8ae3-2854a3b33c84,7,0,0,0,0,0,0,0,0,0,0,0
093f120b-9df7-480b-8ae3-2854a3b33c84,8,0,0,0,0,0,0,0,0,0,0,0
093f120b-9df7-480b-8ae3-2854a3b33c84,9,0,0,0,0,0,0,0,0,0,0,0
093f120b-9df7-480b-8ae3-2854a3b33c84,10,0,0,0,0,0,0,0,0,0,0,0
093f120b-9df7-480b-8ae3-2854a3b33c84,11,0,0,0,0,0,0,0,0,0,0,0
093f120b-9df7-480b-8ae3-2854a3b33c84,12,0,0,0,0,0,0,0,0,0,0,0
093f120b-9df7-480b-8ae3-2854a3b33c84,13,0,0,0,0,0,0,0,0,0,0,0
093f120b-9df7-480b-8ae3-2854a3b33c84,14,0,0,0,0,0,0,0,0,0,0,0
093f120b-9df7-480b-8ae3-2854a3b33c84,15,0,0,0,0,0,0,0,0,0,0,0
093f120b-9df7-480b-8ae3-2854a3b33c84,16,0,0,0,0,0,0,0,0,0,0,0
093f120b-9df7-480b-8ae3-2854a3b33c84,17,0,0,0,0,0,0,0,0,0,0,0
093f120b-9df7-480b-8ae3-2854a3b33c84,18,0,0,0,0,0,0,0,0,0,0,0
093f120b-9df7-480b-8ae3-2854a3b33c84,19,0,0,0,0,0,0,0,0,0,0,0
093f120b-9df7-480b-8ae3-2854a3b33c84,20,0,0,0,0,0,0,0,0,0,0,0
093f120b-9df7-480b-8ae3-2854a3b33c84,21,0,0,0,0,0,0,0,0,0,0,0
093f120b-9df7-480b-8ae3-2854a3b33c84,22,0,0,0,0,0,0,0,0,0,0,0
09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,1,1,0,0,0,0,2,0,0,1,0,0
09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,2,1,1,0,0,0,1,0,0,0,1,0
09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,3,0,0,0,0,0,1,0,0,0,0,0
09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,4,0,0,0,0,0,1,0,0,0,0,0
09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,5,0,1,0,0,0,1,0,0,1,1,0
09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,6,0,0,0,0,0,0,0,0,0,0,0
09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,7,0,0,0,0,0,0,0,0,0,0,0
09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,8,0,0,0,0,0,0,0,0,0,0,0
09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,9,0,0,0,0,0,0,0,0,0,0,0
09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,10,0,0,0,0,0,0,0,0,0,0,0
09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,11,0,0,0,0,0,0,0,0,0,0,0
09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,12,0,0,0,0,1,1,0,1,0,0,0
09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,13,0,0,0,0,1,1,0,0,0,0,0
09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,14,0,1,0,0,1,1,0,1,0,1,0
09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,15,0,1,0,0,0,0,0,0,1,1,0
09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,16,0,1,0,0,0,1,0,0,0,1,0
09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,17,0,0,0,0,0,1,0,0,0,1,0
09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,18,0,1,0,0,0,1,0,0,1,0,0
09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,19,0,1,0,0,0,1,0,0,0,1,0
09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,20,0,0,0,0,0,1,0,0,0,0,0
0b24b1e6-1428-446f-9122-5ba1633aff15,1,0,0,0,0,0,0,0,0,0,0,0
0b24b1e6-1428-446f-9122-5ba1633aff15,2,0,0,0,0,0,0,0,0,0,0,0
0b24b1e6-1428-446f-9122-5ba1633aff15,3,0,0,0,0,0,0,0,0,0,0,0
0b24b1e6-1428-446f-9122-5ba1633aff15,4,0,0,0,0,0,0,0,0,0,0,0
0b24b1e6-1428-446f-9122-5ba1633aff15,5,0,0,0,0,0,0,0,0,0,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,1,0,0,0,0,0,0,0,0,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,2,1,1,0,0,0,0,0,1,1,0,1
0c200808-9563-467f-b74f-2d4b73c53fc4,3,1,1,0,0,1,0,0,1,1,0,1
0c200808-9563-467f-b74f-2d4b73c53fc4,4,0,1,0,0,1,0,0,1,1,0,1
0c200808-9563-467f-b74f-2d4b73c53fc4,5,0,1,0,0,0,1,0,0,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,6,1,1,0,0,1,1,1,1,1,0,1
0c200808-9563-467f-b74f-2d4b73c53fc4,7,0,1,0,0,0,1,0,1,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,8,0,1,0,0,0,1,0,1,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,9,0,1,0,0,0,1,0,1,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,10,1,1,0,0,1,1,0,1,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,11,1,1,0,0,1,1,0,1,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,12,1,1,0,0,1,1,0,1,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,13,1,1,0,0,0,1,0,1,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,14,1,1,0,0,0,1,0,1,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,15,0,1,0,0,0,0,0,1,1,0,1
0c200808-9563-467f-b74f-2d4b73c53fc4,16,0,1,0,0,1,0,0,0,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,17,0,1,0,0,1,0,0,0,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,18,0,1,0,0,0,0,0,0,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,19,0,2,0,0,1,0,0,0,0,2,0
0c200808-9563-467f-b74f-2d4b73c53fc4,20,0,2,0,0,1,0,0,0,0,2,0
0c200808-9563-467f-b74f-2d4b73c53fc4,21,0,2,0,0,1,0,0,0,0,2,0
0c200808-9563-467f-b74f-2d4b73c53fc4,22,0,1,0,0,0,0,0,0,0,1,0
0c200808-9563-467f-b74f-2d4b73c53fc4,23,0,1,0,0,0,0,0,0,0,1,0
0c200808-9563-467f-b74f-2d4b73c53fc4,24,0,1,0,0,1,0,0,1,1,0,1
0c200808-9563-467f-b74f-2d4b73c53fc4,25,0,1,0,0,0,0,0,0,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,26,0,1,0,0,0,1,0,1,1,0,1
0c200808-9563-467f-b74f-2d4b73c53fc4,27,0,1,0,0,1,0,0,0,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,28,0,1,0,0,0,0,0,0,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,29,0,1,0,0,0,0,0,0,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,30,0,1,0,0,0,0,0,0,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,31,0,1,0,0,0,0,0,0,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,32,0,1,0,0,0,0,0,0,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,33,0,1,0,0,0,0,0,0,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,34,0,1,1,0,1,0,0,1,0,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,35,0,1,1,0,1,0,0,1,0,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,36,0,1,1,0,1,0,0,1,0,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,37,0,0,0,0,0,0,0,0,0,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,38,0,1,0,0,0,0,0,0,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,39,0,1,0,0,0,0,0,0,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,40,0,1,0,0,0,0,0,0,1,1,0
0c200808-9563-467f-b74f-2d4b73c53fc4,41,0,1,0,0,0,0,0,0,1,1,0
0c200808-9563-467f-b74f-2d4b73c53fc4,42,0,1,0,0,0,0,0,0,1,1,0
0c200808-9563-467f-b74f-2d4b73c53fc4,43,0,1,0,0,0,0,0,0,1,1,0
0c200808-9563-467f-b74f-2d4b73c53fc4,44,0,1,0,0,0,0,0,0,1,1,0
0c200808-9563-467f-b74f-2d4b73c53fc4,45,0,1,0,0,0,0,0,0,1,1,0
0c200808-9563-467f-b74f-2d4b73c53fc4,46,0,1,0,0,0,0,0,0,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,47,0,1,0,0,0,0,0,0,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,48,0,1,0,0,0,0,0,0,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,49,0,1,0,0,0,0,0,1,0,1,0
0c200808-9563-467f-b74f-2d4b73c53fc4,50,0,1,1,0,1,0,0,1,1,1,0
0c200808-9563-467f-b74f-2d4b73c53fc4,51,0,1,1,0,1,0,0,1,1,1,0
0c200808-9563-467f-b74f-2d4b73c53fc4,52,0,1,1,0,1,0,0,1,1,1,0
0c200808-9563-467f-b74f-2d4b73c53fc4,53,0,1,1,0,1,0,0,1,1,1,0
0c200808-9563-467f-b74f-2d4b73c53fc4,54,0,1,1,0,1,0,0,1,1,1,0
0c200808-9563-467f-b74f-2d4b73c53fc4,55,0,1,0,0,0,0,0,1,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,56,0,1,0,0,0,0,0,1,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,57,0,1,0,0,0,0,0,1,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,58,0,1,0,0,0,0,0,1,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,59,0,1,1,0,1,0,0,1,1,1,0
0c200808-9563-467f-b74f-2d4b73c53fc4,60,0,1,1,0,1,0,0,1,1,1,0
0c200808-9563-467f-b74f-2d4b73c53fc4,61,0,0,1,0,1,0,0,1,1,1,0
0c200808-9563-467f-b74f-2d4b73c53fc4,62,0,0,1,0,1,0,0,1,1,1,0
0c200808-9563-467f-b74f-2d4b73c53fc4,63,0,0,1,0,1,0,0,1,1,1,0
0c200808-9563-467f-b74f-2d4b73c53fc4,64,0,1,0,0,0,0,0,1,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,65,0,1,0,0,0,0,0,1,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,66,0,1,0,0,0,0,0,0,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,67,0,1,0,0,1,0,0,1,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,68,0,1,0,0,1,0,0,1,0,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,69,0,1,0,0,1,0,0,1,0,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,70,0,1,0,0,1,0,0,1,0,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,71,0,1,0,0,1,0,0,1,0,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,72,0,1,0,0,0,0,0,0,0,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,73,0,1,0,0,1,0,0,1,1,1,0
0c200808-9563-467f-b74f-2d4b73c53fc4,74,0,1,0,0,1,0,0,1,1,1,0
0c200808-9563-467f-b74f-2d4b73c53fc4,75,0,1,0,0,1,0,0,1,1,1,0
0c200808-9563-467f-b74f-2d4b73c53fc4,76,0,1,0,0,1,0,0,1,1,1,0
0c200808-9563-467f-b74f-2d4b73c53fc4,77,0,1,0,0,1,0,0,1,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,78,0,1,0,0,1,0,0,1,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,79,0,1,0,0,1,0,0,1,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,80,0,1,0,0,1,0,0,1,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,81,0,1,0,0,0,0,0,0,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,82,0,1,0,0,0,0,0,0,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,83,0,1,0,0,0,0,0,0,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,84,0,1,0,0,0,0,0,0,0,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,85,0,1,0,0,0,0,0,0,0,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,86,0,1,0,0,0,0,0,1,0,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,87,1,1,0,0,1,0,1,1,0,1,1
0c200808-9563-467f-b74f-2d4b73c53fc4,88,1,1,0,0,1,0,1,1,0,1,1
0c200808-9563-467f-b74f-2d4b73c53fc4,89,1,1,0,0,1,0,1,1,0,1,1
0c200808-9563-467f-b74f-2d4b73c53fc4,90,1,1,0,0,1,0,1,1,0,1,1
0c200808-9563-467f-b74f-2d4b73c53fc4,91,0,1,0,0,1,0,0,1,0,1,0
0c200808-9563-467f-b74f-2d4b73c53fc4,92,0,1,0,0,1,0,0,1,1,1,0
0c200808-9563-467f-b74f-2d4b73c53fc4,93,0,1,0,0,1,0,0,1,1,1,0
0c200808-9563-467f-b74f-2d4b73c53fc4,94,0,1,0,0,1,0,0,1,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,95,0,1,0,0,1,0,0,1,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,96,1,1,0,0,1,0,0,1,0,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,97,1,1,0,0,1,0,0,1,0,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,98,1,0,0,0,1,0,0,1,0,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,99,1,0,0,0,1,0,0,1,0,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,100,1,0,0,0,1,0,0,1,0,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,101,1,0,0,0,1,0,0,1,0,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,102,0,1,0,0,1,0,0,1,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,103,0,1,0,0,0,0,0,0,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,104,0,0,0,0,0,0,0,0,0,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,105,0,0,0,0,0,0,0,0,0,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,106,0,0,0,0,0,0,0,0,0,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,107,0,0,0,0,0,0,0,0,0,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,108,0,1,0,0,1,0,0,1,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,109,0,1,0,0,1,0,0,1,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,110,0,1,0,0,0,0,0,1,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,111,0,1,0,0,0,0,0,1,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,112,0,1,0,0,0,0,0,1,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,113,0,2,0,0,1,0,0,0,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,114,0,2,0,0,1,0,0,0,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,115,0,2,0,0,1,0,0,0,1,0,0
0c200808-9563-467f-b74f-2d4b73c53fc4,116,0,2,0,0,1,0,0,0,1,0,0
