,physical_environment,soil,vegetation,water,fish,wetland,wildlife,species,air,air_quality,acoustic_environment,heritage,heritage_resource,access,erosion,coarse_fragment,subsidence,compaction,watercourse,invasive,plant,weed,rare,stream,riparian
10,"('gully', 0.4739122688770294)","('resistance', 0.498786985874176)","('comparable', 0.5329684019088745)","('body', 0.45458462834358215)","('brook_stickleback', 0.5383381247520447)","('maintain_hydrology', 0.5078123807907104)","('deer', 0.49364304542541504)","('ssp', 0.5082037448883057)","('prior_entry', 0.44784533977508545)","('construct', 0.49535948038101196)","('historical_resource', 0.4617656469345093)","('canada_goose', 0.45540285110473633)","('administration', 0.4847905933856964)","('footprint_avoidance', 0.44811052083969116)","('rut', 0.5628560781478882)","('etc', 0.5354927778244019)","('rutting', 0.557366132736206)","('discing', 0.5801051259040833)","('applicationand_planning', 0.4752567410469055)","('prevent_spread', 0.5031449794769287)","('community', 0.4646278917789459)","('andor_esc', 0.5199123024940491)","('community', 0.5095019936561584)","('downstream', 0.5085819959640503)","('alteration', 0.4313106834888458)"
11,"('datum_collection', 0.4652414321899414)","('texture', 0.49029576778411865)","('expect_improve', 0.5318204164505005)","('cap_function', 0.4538693428039551)","('aquatic', 0.5379633903503418)","('sufficient_amount', 0.5072628259658813)","('mitig_ation', 0.48619717359542847)","('population', 0.5043001770973206)","('density_hard', 0.443914532661438)","('traditional', 0.46639367938041687)","('habitat', 0.45170772075653076)","('conservation_data', 0.45308977365493774)","('paleontological', 0.4665790796279907)","('rd_party', 0.4476546347141266)","('gully', 0.5621346831321716)","('point_horizon', 0.5349512696266174)","('contour', 0.5442849397659302)","('pellet_inject', 0.5700041055679321)","('goldbar_creek', 0.47334644198417664)","('introduce', 0.5009960532188416)","('occurrence', 0.4633668065071106)","('thistle', 0.5184124112129211)","('unsuccessful', 0.5008996725082397)","('trenched', 0.506320595741272)","('instream', 0.43109196424484253)"
12,"('coarse_fragment', 0.4606136083602905)","('productivity', 0.47800299525260925)","('moderate', 0.5318078398704529)","('erosion', 0.4531547427177429)","('dam_pump', 0.5305837392807007)","('sufficient_break', 0.5025970935821533)","('draw_scale', 0.48544299602508545)","('invasive', 0.5039198398590088)","('enter', 0.44226136803627014)","('initial_secondary', 0.4456655979156494)","('contribution', 0.45057862997055054)","('property', 0.4530658423900604)","('special_status', 0.46552127599716187)","('temporary', 0.44290536642074585)","('stunted_crop', 0.5605247020721436)","('drainage', 0.5294784903526306)","('slump', 0.5402807593345642)","('shovel_resistance', 0.5577875375747681)","('gainsborough_creek', 0.4725525379180908)","('management', 0.49909546971321106)","('mature', 0.4617295563220978)","('downy_brome', 0.5181982517242432)","('vascular_plant', 0.4947506785392761)","('angusmac_creek', 0.5058091878890991)","('fully_vegetate', 0.42339998483657837)"
13,"('recontour', 0.460215300321579)","('subsoil', 0.4746543765068054)","('patch', 0.5294582843780518)","('saturation', 0.44207483530044556)","('white_sucker', 0.5291158556938171)","('healthy_uniform', 0.48851490020751953)","('heritage_traditional', 0.48459547758102417)","('poa_pratensis', 0.5032958388328552)","('farm', 0.4374459385871887)","('heritage_resource', 0.44501638412475586)","('traditional', 0.4371693730354309)","('loreburn', 0.4466227889060974)","('acoustic_environment', 0.4631918966770172)","('traffic', 0.43971699476242065)","('sediment', 0.548134446144104)","('cattle_exclusion', 0.5232624411582947)","('roughness', 0.5389324426651001)","('para_till', 0.5576605796813965)","('unnamed_tributary', 0.4687730073928833)","('invasion', 0.4965374767780304)","('appropriate_situation', 0.4602225422859192)","('erosion', 0.515183687210083)","('rare_vascular', 0.4943714737892151)","('tributary', 0.5021170377731323)","('thimbleberry', 0.41544243693351746)"
14,"('nolf', 0.45254528522491455)","('differentiate_subsoil', 0.46706485748291016)","('observe', 0.5287356376647949)","('well_aesrd', 0.43014955520629883)","('aar', 0.5284436941146851)","('proper_functional', 0.4815634489059448)","('edure', 0.48183542490005493)","('tansy', 0.5003607869148254)","('wash_station', 0.43628647923469543)","('impact', 0.44362562894821167)","('construct', 0.43105828762054443)","('branch', 0.441863477230072)","('discovery', 0.4552968144416809)","('website', 0.4327932298183441)","('wind', 0.5462207794189453)","('excess_coarse', 0.5214291214942932)","('admix', 0.5374348163604736)","('testing', 0.5415303111076355)","('facility_eh', 0.4683395326137543)","('undesirable', 0.4883470833301544)","('btnn_btnn', 0.45819219946861267)","('mowed', 0.5150905847549438)","('ecological', 0.49297377467155457)","('dennis_stream', 0.4958096146583557)","('bed_bank', 0.4104836881160736)"
15,"('special_status', 0.44847571849823)","('obo', 0.46301645040512085)","('issue', 0.5244945287704468)","('ppm', 0.42920029163360596)","('dfo', 0.5258047580718994)","('pre', 0.4808283746242523)","('mammal', 0.4746469557285309)","('acims', 0.4997304379940033)","('arrive', 0.43372321128845215)","('special_conservation', 0.44233202934265137)","('instability_fill', 0.4244081974029541)","('smith', 0.4389688968658447)","('air_quality', 0.44501641392707825)","('landowner_via', 0.43173474073410034)","('control', 0.5448701977729797)","('restriction_restr', 0.5077637434005737)","('subsided', 0.5331034064292908)","('reduce', 0.537787914276123)","('sa_ska', 0.46772927045822144)","('forbs_shrub', 0.48599982261657715)","('wd_woody', 0.4563092589378357)","('false_ragweed', 0.5141782164573669)","('rare_plant', 0.4840356409549713)","('fish', 0.495363712310791)","('sandy_droughty', 0.4097444415092468)"
16,"('daylighte_hole', 0.44801145792007446)","('notation', 0.45929351449012756)","('crop_performance', 0.5214217901229858)","('cm_mottling', 0.4265764653682709)","('overhang', 0.5235655903816223)","('full_functionality', 0.47970205545425415)","('ag_er', 0.4660443663597107)","('hesperostipa_comata', 0.49968522787094116)","('penetration', 0.43285486102104187)","('variance_minor', 0.4383432865142822)","('addition', 0.42437082529067993)","('craik', 0.4373619556427002)","('fwfw', 0.4278308153152466)","('archaeological', 0.4313943386077881)","('wind_water_', 0.5437523722648621)","('debris_markers', 0.4946586489677429)","('daylighte_hole', 0.5320159196853638)","('penetration', 0.5369911193847656)","('creek', 0.4659765958786011)","('recognize', 0.4834769368171692)","('per_square', 0.45274117588996887)","('density_distribution', 0.5076383352279663)","('acims', 0.4816681146621704)","('river', 0.4932394325733185)","('channel', 0.40935468673706055)"
17,"('recommendation', 0.44421306252479553)","('gentle_slope', 0.4455357789993286)","('functional', 0.5112428069114685)","('semi_saturate', 0.4261865019798279)","('downstream', 0.5146669149398804)","('time_tertiary', 0.4766170084476471)","('risk', 0.4648539125919342)","('fern', 0.49811938405036926)","('travel', 0.4295015037059784)","('dust', 0.4381541609764099)","('special_conservation', 0.4212273955345154)","('po_box', 0.43400001525878906)","('road', 0.4263829290866852)","('build_eh', 0.4300123453140259)","('minor', 0.5423774123191833)","('microtopography_describe', 0.4805454611778259)","('cm_deep', 0.5315176844596863)","('cultivate_varying', 0.5287107825279236)","('wetland', 0.464458703994751)","('treatment', 0.48265546560287476)","('goldthread_coptis', 0.4499974250793457)","('invasive', 0.5070700645446777)","('long_term', 0.47161900997161865)","('dry', 0.49263328313827515)","('red_osi', 0.40841275453567505)"
18,"('trench_crown', 0.4311947524547577)","('nearly_level', 0.44521409273147583)","('good', 0.5062201023101807)","('groundwater', 0.42571720480918884)","('amphibian', 0.5119425058364868)","('hydrology_maintain', 0.47638997435569763)","('mea_sure', 0.4640157222747803)","('blue', 0.49402713775634766)","('organic_farm', 0.42228224873542786)","('follow_subsection', 0.4374557137489319)","('variance_minor', 0.41989096999168396)","('winnipeg_manitoba', 0.432934045791626)","('location', 0.4259380102157593)","('contact_tenant', 0.4283767342567444)","('silt_fencing', 0.5344746112823486)","('contour_restoration', 0.47697585821151733)","('repeat_standard', 0.5300413966178894)","('subsoil', 0.5151115655899048)","('waterbodie', 0.46021464467048645)","('manual_mechanical', 0.47884345054626465)","('list', 0.4475833773612976)","('mow', 0.5063320398330688)","('threat', 0.4699987769126892)","('nvc', 0.48875272274017334)","('bank_approach', 0.40697067975997925)"
19,"('cumulative_nolf', 0.42791926860809326)","('productivity_lower', 0.4424872100353241)","('exhibit_excellent', 0.5060467720031738)","('submergent', 0.42244821786880493)","('restored', 0.49944257736206055)","('health_ranking', 0.4697447419166565)","('potential', 0.4639475345611572)","('colt', 0.49215778708457947)","('shovel_sweep', 0.4207104444503784)","('respect', 0.43400460481643677)","('review_relevant', 0.41860097646713257)","('ministry', 0.42774340510368347)","('corporation_saskatchewan', 0.42305809259414673)","('trail', 0.42561179399490356)","('daaa', 0.5291736125946045)","('slope_aspect', 0.4686429500579834)","('weed', 0.5246188640594482)","('stunted_crop', 0.5145376920700073)","('terrain_instability', 0.45606034994125366)","('threat', 0.4783748686313629)","('vascular_plant', 0.4454852044582367)","('wild_carrot', 0.5035570859909058)","('research', 0.46436983346939087)","('lepreau_river', 0.4885316789150238)","('specify_sm', 0.4047764837741852)"
20,"('cho', 0.42628154158592224)","('description_apprev', 0.44232887029647827)","('low', 0.5053917765617371)","('exhibit_fully', 0.419802725315094)","('stream', 0.495363712310791)","('shrubby_fen', 0.46571728587150574)","('os_aic', 0.463761568069458)","('plant', 0.49130281805992126)","('kill', 0.41822192072868347)","('warrant_alleviate', 0.4339311122894287)","('course_fragment', 0.4181540608406067)","('albert', 0.42521047592163086)","('facility_eh', 0.42178523540496826)","('function_appropriately', 0.4218856394290924)","('repair', 0.5285223722457886)","('rv_channel', 0.46526628732681274)","('screw_anchor', 0.5235204696655273)","('rut', 0.5098151564598083)","('slumping', 0.45554953813552856)","('nuisance', 0.4705771803855896)","('composition', 0.4419950842857361)","('noxious_prohibit', 0.5018319487571716)","('consider', 0.46405482292175293)","('scour', 0.4851234555244446)","('stream', 0.4038500189781189)"
21,"('pc_pc', 0.42469242215156555)","('shovel_resistance', 0.4408310055732727)","('row', 0.5031307935714722)","('submergent_riparian', 0.4176499843597412)","('flow', 0.49454307556152344)","('treed_fen', 0.4655354619026184)","('status_endanger', 0.45986998081207275)","('awnless_brome', 0.48833131790161133)","('shoofly', 0.4142516553401947)","('contribution', 0.4282897412776947)","('impact', 0.41768914461135864)","('st_clair', 0.4218801259994507)","('fw_fwtwl', 0.4173821806907654)","('break', 0.42149418592453003)","('stunt_crop', 0.5230066776275635)","('physical_environment', 0.4606136083602905)","('crowning', 0.522063136100769)","('minor', 0.5005741119384766)","('bank', 0.45426759123802185)","('sweet_clover', 0.4688870906829834)","('fruit', 0.44055214524269104)","('absinthe', 0.4977946877479553)","('golden_saxifrage', 0.4560679495334625)","('spawning', 0.48484307527542114)","('willow', 0.40357375144958496)"
22,"('aio', 0.423686683177948)","('organic_carbon', 0.43378761410713196)","('weed', 0.49526888132095337)","('exhibit_semi', 0.41674360632896423)","('beaver_dam', 0.4871455430984497)","('condition', 0.4651777148246765)","('appr_tera', 0.4582480788230896)","('slender', 0.487606018781662)","('visitor', 0.4086076021194458)","('fish_fish', 0.4281504154205322)","('initial_secondary', 0.4155535399913788)","('notation', 0.421017050743103)","('slope_extreme', 0.4165087640285492)","('railway', 0.4203205108642578)","('slumping', 0.519782543182373)","('weeds_rd', 0.4592069983482361)","('disk', 0.5208339691162109)","('rutting', 0.4925480782985687)","('christina_river', 0.45290565490722656)","('manage', 0.46280840039253235)","('enhancement_avoid', 0.43997108936309814)","('vegetation', 0.49526888132095337)","('special_conservation', 0.4532317519187927)","('culvert', 0.479203999042511)","('dogwood', 0.39844730496406555)"
23,"('action', 0.4232247769832611)","('altalis_township', 0.4320943355560303)","('desirable_specie', 0.49213719367980957)","('fully_saturate', 0.4118264317512512)","('fish_bearing', 0.4862062335014343)","('watercourse', 0.464458703994751)","('trench_bedrock', 0.4573895335197449)","('neb_submissions', 0.4868641793727875)","('operate', 0.40824493765830994)","('esa', 0.42570143938064575)","('amendment_specify', 0.4067627787590027)","('cultural', 0.420928418636322)","('variance_minor', 0.4148779511451721)","('doc', 0.41501080989837646)","('seed_catch', 0.5197635889053345)","('profile_rv', 0.45910435914993286)","('crop_growth', 0.5168336629867554)","('alleviate', 0.49172067642211914)","('cross_shoofly', 0.45263516902923584)","('desirable', 0.4617929458618164)","('debris_seedle', 0.4391457438468933)","('scentless_chamomile', 0.49377763271331787)","('liverwort', 0.45280176401138306)","('bridge', 0.47664618492126465)","('grassland', 0.39780306816101074)"
24,"('reassess', 0.42075225710868835)","('unit', 0.43053215742111206)","('throughout', 0.491883784532547)","('presence_snag', 0.411554217338562)","('capture', 0.4804442226886749)","('deep_marsh', 0.4641242027282715)","('utilization', 0.45576170086860657)","('sna_exotic', 0.48684123158454895)","('entrance', 0.4056107997894287)","('affect', 0.4253641366958618)","('warrant_alleviate', 0.40601661801338196)","('shoo_fly', 0.41880500316619873)","('footprint_avoidance', 0.4130187928676605)","('environment', 0.4131287634372711)","('monitor', 0.5181156396865845)","('rp_riparian', 0.4533357322216034)","('gully', 0.5155060887336731)","('productivity', 0.4914352297782898)","('topsoil_salvageproc', 0.45207929611206055)","('composition', 0.4593067467212677)","('shift_ditchline', 0.43593958020210266)","('white_cockle', 0.49210482835769653)","('potentially', 0.45124852657318115)","('pocologan_river', 0.4687018096446991)","('partially', 0.39671653509140015)"
