,tableId,rowIndex,rowCounter,issue_parsed,word2vec_vec
22,02db9f91-572a-44af-9858-4add101353c1,2,10,"Sept 17, 2016 - 65-75% vegetation established compared to off ROW.",vegetation
23,02db9f91-572a-44af-9858-4add101353c1,2,11,"Sept 17, 2016  - Installed TC sign and marker posts at KP 0+040.",
24,02db9f91-572a-44af-9858-4add101353c1,2,12,"Sept 17, 2016  - Re-installed marker posts at KP 0+300, issue resolved.",
25,02db9f91-572a-44af-9858-4add101353c1,2,13,"Sept 17, 2016  - Intermittent herbicide application conducted to control perennial sow thistle.",vegetation
26,02db9f91-572a-44af-9858-4add101353c1,3,1,.,
27,02db9f91-572a-44af-9858-4add101353c1,4,1,"Aug 23, 2016 - Species not observed at the pre-disturbance location. Habitat was altered by the construction of an adjacent foreign pipeline to the south of the ROW over the winter of 2014/2015.",
28,02db9f91-572a-44af-9858-4add101353c1,4,2,"Aug 23, 2016  - Species re-establishment is not considered likely, as conditions are no longer favorable to the presence of Reindeer lichen both on and off ROW. Issue resolved.",species
29,02db9f91-572a-44af-9858-4add101353c1,5,1,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures.",vegetation
30,02db9f91-572a-44af-9858-4add101353c1,5,2,"July 13, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed.",vegetation
31,02db9f91-572a-44af-9858-4add101353c1,5,3,"July 13, 2016  - Cross drains are vegetated and functioning.",wetlands
32,02db9f91-572a-44af-9858-4add101353c1,5,4,"July 13, 2016   - Wetlands stable and consistent with previous assessments.",wetlands
33,02db9f91-572a-44af-9858-4add101353c1,5,5,"July 13, 2016  - No erosion or subsidence issues.",physical
34,02db9f91-572a-44af-9858-4add101353c1,5,6,"July 13, 2016  - Intermittent herbicide application to control scentless chamomile and perennial sow thistle.",vegetation
35,02db9f91-572a-44af-9858-4add101353c1,5,7,"July 13, 2016   - Herbicide application conducted on valve pad and 2m perimeter.",
36,02db9f91-572a-44af-9858-4add101353c1,5,8,"Sept 17, 2016 - 65-75% vegetation established compared to off ROW.",vegetation
37,02db9f91-572a-44af-9858-4add101353c1,5,9,"Sept 17, 2016  - Intermittent herbicide application conducted to control perennial sow thistle.",vegetation
38,02db9f91-572a-44af-9858-4add101353c1,6,1,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures.",vegetation
39,02db9f91-572a-44af-9858-4add101353c1,6,2,"July 13, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed.",vegetation
40,02db9f91-572a-44af-9858-4add101353c1,6,3,"July 13, 2016  - Cross drains are vegetated and functioning.",wetlands
41,02db9f91-572a-44af-9858-4add101353c1,6,4,"July 13, 2016   - Wetlands stable and consistent with previous assessments.",wetlands
42,02db9f91-572a-44af-9858-4add101353c1,6,5,"July 13, 2016  - No erosion or subsidence issues.",physical
43,02db9f91-572a-44af-9858-4add101353c1,6,6,"July 13, 2016  - Intermittent herbicide application conducted to control scentless chamomile and perennial sow thistle.",vegetation
44,02db9f91-572a-44af-9858-4add101353c1,6,7,"July 13, 2016  - Dalmatian toadflax was not identified, 2015 issue resolved.",
45,02db9f91-572a-44af-9858-4add101353c1,6,8,"Sept 17, 2016 - 65-75% vegetation established compared to off ROW.",vegetation
46,02db9f91-572a-44af-9858-4add101353c1,6,9,"Sept 17, 2016  - Intermittent herbicide application conducted to control perennial sow thistle.",vegetation
47,02db9f91-572a-44af-9858-4add101353c1,7,1,"July 13, 2016 - Watercourse is dammed up down-stream. Riparian area is stable.",wetlands
48,02db9f91-572a-44af-9858-4add101353c1,7,2,"July 13, 2016  - No erosion or subsidence issues.",physical
49,02db9f91-572a-44af-9858-4add101353c1,7,3,"July 13, 2016  - marker posts required for WC1 Sept 17, 2016 - Replaced marker posts at KP 0+900 and 1+000, west and east sides of watercourse crossing. Issue resolved.",wetlands
50,02db9f91-572a-44af-9858-4add101353c1,8,1,"July 13, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed. Limited vegetation issue noted in 2015 (KP 1+050 to 1+280), issue resolved.",vegetation
51,02db9f91-572a-44af-9858-4add101353c1,8,2,"July 13, 2016  - Cross drains are vegetated and functioning.",wetlands
52,02db9f91-572a-44af-9858-4add101353c1,8,3,"July 13, 2016   - No erosion or subsidence issues.",physical
53,02db9f91-572a-44af-9858-4add101353c1,8,4,"July 13, 2016  - Intermittent herbicide application conducted to control scentless chamomile and perennial sow thistle.",vegetation
54,02db9f91-572a-44af-9858-4add101353c1,8,5,"July 13, 2016  - Dalmatian toadflax was not identified, 2015 issue resolved.",
55,02db9f91-572a-44af-9858-4add101353c1,8,6,"Sept 17, 2016 - 65-75% vegetation established compared to off ROW.",vegetation
56,02db9f91-572a-44af-9858-4add101353c1,8,7,"Sept 17, 2016  - Intermittent herbicide application conducted to control perennial sow thistle.",vegetation
57,02db9f91-572a-44af-9858-4add101353c1,9,1,"Aug 23, 2016 - Species not observed at the pre-disturbance location. Habitat was altered by the construction of an adjacent foreign pipeline to the south of the ROW over the winter of 2014/2015.",
58,02db9f91-572a-44af-9858-4add101353c1,9,2,"Aug 23, 2016  - Species re-establishment is not considered likely, as conditions are no longer favorable to the presence of Reindeer lichen both on and off ROW. Issue resolved.",species
59,02db9f91-572a-44af-9858-4add101353c1,10,1,"July 13, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed.",vegetation
60,02db9f91-572a-44af-9858-4add101353c1,10,2,"July 13, 2016  - Cross drains are vegetated and functioning.",wetlands
61,02db9f91-572a-44af-9858-4add101353c1,10,3,"July 13, 2016   - Wetlands stable and consistent with previous assessments.",wetlands
62,02db9f91-572a-44af-9858-4add101353c1,10,4,"July 13, 2016  - No erosion or subsidence issues.",physical
63,02db9f91-572a-44af-9858-4add101353c1,10,5,"July 13, 2016  - Intermittent herbicide application conducted to control scentless chamomile and perennial sow thistle.",vegetation
64,02db9f91-572a-44af-9858-4add101353c1,10,6,"July 13, 2016  - Annual hawksbeard or strawberry blite were not identified, 2015 issues resolved.",
65,02db9f91-572a-44af-9858-4add101353c1,10,7,"Sept 17, 2016 - 65-75% vegetation established compared to off ROW.",vegetation
66,02db9f91-572a-44af-9858-4add101353c1,10,8,"Sept 17, 2016  - Intermittent herbicide application conducted to control perennial sow thistle.",vegetation
67,02db9f91-572a-44af-9858-4add101353c1,11,1,"July 13, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed.",vegetation
68,02db9f91-572a-44af-9858-4add101353c1,11,2,"July 13, 2016  - Cross drains are vegetated and functioning.",wetlands
69,02db9f91-572a-44af-9858-4add101353c1,11,3,"July 13, 2016   - Wetlands stable and consistent with previous assessments.",wetlands
70,02db9f91-572a-44af-9858-4add101353c1,11,4,"July 13, 2016  - No erosion or subsidence issues.",physical
71,02db9f91-572a-44af-9858-4add101353c1,11,5,"July 13, 2016  - Intermittent herbicide application conducted to control scentless chamomile and perennial sow thistle.",vegetation
72,02db9f91-572a-44af-9858-4add101353c1,11,6,"July 13, 2016  - Annual hawksbeard or strawberry blite were not identified, 2015 issues resolved.",
73,02db9f91-572a-44af-9858-4add101353c1,11,7,"Sept 17, 2016 - 65-75% vegetation established compared to off ROW.",vegetation
74,02db9f91-572a-44af-9858-4add101353c1,11,8,"Sept 17, 2016  - Intermittent herbicide application conducted to control perennial sow thistle.",vegetation
75,02db9f91-572a-44af-9858-4add101353c1,12,1,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures.",vegetation
76,02db9f91-572a-44af-9858-4add101353c1,12,2,"July 13, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed.",vegetation
77,02db9f91-572a-44af-9858-4add101353c1,12,3,"July 13, 2016  - Cross drains are vegetated and functioning.",wetlands
78,02db9f91-572a-44af-9858-4add101353c1,12,4,"July 13, 2016   - No erosion or subsidence issues.",physical
79,02db9f91-572a-44af-9858-4add101353c1,12,5,"July 13, 2016  - Intermittent herbicide application conducted to control perennial sow thistle.",vegetation
80,02db9f91-572a-44af-9858-4add101353c1,12,6,"July 13, 2016  - Annual hawksbeard or strawberry blite were not identified, 2015 issues resolved.",
81,02db9f91-572a-44af-9858-4add101353c1,12,7,"Sept 17, 2016 - 65-75% vegetation established compared to off ROW.",vegetation
82,02db9f91-572a-44af-9858-4add101353c1,12,8,"Sept 17, 2016  - Intermittent herbicide application conducted to control perennial sow thistle.",vegetation
83,02db9f91-572a-44af-9858-4add101353c1,13,1,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures.",vegetation
84,02db9f91-572a-44af-9858-4add101353c1,13,2,"July 13, 2016 -- Vegetation is filling in well with desirable species throughout tract. Good establishment of grasses and shrubs. Vegetation cover issue noted in 2015 is no longer evident, issue resolved.",vegetation
85,02db9f91-572a-44af-9858-4add101353c1,13,3,"July 13, 2016  - Intermittent herbicide application conducted to control perennial sow thistle.",vegetation
86,02db9f91-572a-44af-9858-4add101353c1,13,4,"July 13, 2016  - Annual hawksbeard, strawberry blite, Russian pigweed, and lamb’s quarters were not identified, 2015 issues resolved.",
87,02db9f91-572a-44af-9858-4add101353c1,13,5,"July 13, 2016  - No erosion or subsidence evident. Subsidence and erosion noted in 2015 has not inhibited the recovery of the ROW and is no longer evident, issues resolved.",physical
88,02db9f91-572a-44af-9858-4add101353c1,13,6,"Sept 17, 2016 - 65-75% vegetation established compared to off ROW.",vegetation
89,02db9f91-572a-44af-9858-4add101353c1,13,7,"Sept 17, 2016  - Intermittent herbicide application conducted to control perennial sow thistle.",vegetation
90,02db9f91-572a-44af-9858-4add101353c1,14,1,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures.",vegetation
91,02db9f91-572a-44af-9858-4add101353c1,14,2,"July 13, 2016 -- Vegetation is filling in well with desirable species throughout tract. Good establishment of grasses and shrubs. Vegetation cover issue noted in 2015 is no longer evident, issue resolved.",vegetation
92,02db9f91-572a-44af-9858-4add101353c1,14,3,"July 13, 2016  - Intermittent herbicide application conducted to control perennial sow thistle.",vegetation
93,02db9f91-572a-44af-9858-4add101353c1,14,4,"July 13, 2016  - Annual hawksbeard, strawberry blite, Russian pigweed, and lamb’s quarters were not identified, 2015 issues resolved.",
94,02db9f91-572a-44af-9858-4add101353c1,14,5,"July 13, 2016  - No erosion or subsidence evident. Subsidence and erosion noted in 2015 has not inhibited the recovery of the ROW and is no longer evident, issues resolved.",physical
95,02db9f91-572a-44af-9858-4add101353c1,14,6,"Sept 17, 2016 - 65-75% vegetation established compared to off ROW.",vegetation
96,02db9f91-572a-44af-9858-4add101353c1,14,7,"Sept 17, 2016  - Intermittent herbicide application conducted to control perennial sow thistle.",vegetation
97,02db9f91-572a-44af-9858-4add101353c1,15,1,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures.",vegetation
98,02db9f91-572a-44af-9858-4add101353c1,15,2,"July 13, 2016 -- Vegetation is filling in well with desirable species throughout tract. Good establishment of grasses and shrubs. Vegetation cover issue noted in 2015 is no longer evident, issue resolved.",vegetation
99,02db9f91-572a-44af-9858-4add101353c1,15,3,"July 13, 2016  - Intermittent herbicide application conducted to control perennial sow thistle.",vegetation
100,02db9f91-572a-44af-9858-4add101353c1,15,4,"July 13, 2016  - Annual hawksbeard, strawberry blite, Russian pigweed, and lamb’s quarters were not identified, 2015 issues resolved.",
101,02db9f91-572a-44af-9858-4add101353c1,15,5,"July 13, 2016  - No erosion or subsidence evident. Subsidence and erosion noted in 2015 has not inhibited the recovery of the ROW and is no longer evident, issues resolved.",physical
102,02db9f91-572a-44af-9858-4add101353c1,15,6,"Sept 17, 2016 - 65-75% vegetation established compared to off ROW.",vegetation
103,02db9f91-572a-44af-9858-4add101353c1,15,7,"Sept 17, 2016  - Intermittent herbicide application conducted to control perennial sow thistle.",vegetation
104,02db9f91-572a-44af-9858-4add101353c1,16,1,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures.",vegetation
105,02db9f91-572a-44af-9858-4add101353c1,16,2,"July 13, 2016 -- Vegetation is filling in well with desirable species throughout tract. Good establishment of grasses and shrubs. Vegetation cover issue noted in 2015 is no longer evident, issue resolved.",vegetation
106,02db9f91-572a-44af-9858-4add101353c1,16,3,"July 13, 2016  - Intermittent herbicide application conducted to control perennial sow thistle.",vegetation
107,02db9f91-572a-44af-9858-4add101353c1,16,4,"July 13, 2016  - Annual hawksbeard, strawberry blite, Russian pigweed, and lamb’s quarters were not identified, 2015 issues resolved.",
108,02db9f91-572a-44af-9858-4add101353c1,16,5,"July 13, 2016  - No erosion or subsidence evident. Subsidence and erosion noted in 2015 has not inhibited the recovery of the ROW and is no longer evident, issues resolved.",physical
109,02db9f91-572a-44af-9858-4add101353c1,16,6,"Sept 17, 2016 - 65-75% vegetation established compared to off ROW.",vegetation
110,02db9f91-572a-44af-9858-4add101353c1,16,7,"Sept 17, 2016  - Intermittent herbicide application conducted to control perennial sow thistle.",vegetation
111,02db9f91-572a-44af-9858-4add101353c1,17,1,"June 22, 2016 - Wetland observed to be on an acceptable trajectory of reaching pre-construction functional conditions. Indicators noted on the right-of-way include: -·pre-construction contours restored; -·absence of excessive ponded water or impeded flow due to the construction right-of-way.",water
112,02db9f91-572a-44af-9858-4add101353c1,17,1,"June 22, 2016 - Wetland observed to be on an acceptable trajectory of reaching pre-construction functional conditions. Indicators noted on the right-of-way include: -·pre-construction contours restored; -·absence of excessive ponded water or impeded flow due to the construction right-of-way.",physical
113,02db9f91-572a-44af-9858-4add101353c1,17,1,"June 22, 2016 - Wetland observed to be on an acceptable trajectory of reaching pre-construction functional conditions. Indicators noted on the right-of-way include: -·pre-construction contours restored; -·absence of excessive ponded water or impeded flow due to the construction right-of-way.",wetlands
114,02db9f91-572a-44af-9858-4add101353c1,18,1,"July 13, 2016 – KP 3+300 - Watercourse is flowing. No issues. Erosion noted in 2015 is no longer evident, issue resolved.",water
115,02db9f91-572a-44af-9858-4add101353c1,18,1,"July 13, 2016 – KP 3+300 - Watercourse is flowing. No issues. Erosion noted in 2015 is no longer evident, issue resolved.",physical
116,02db9f91-572a-44af-9858-4add101353c1,18,1,"July 13, 2016 – KP 3+300 - Watercourse is flowing. No issues. Erosion noted in 2015 is no longer evident, issue resolved.",wetlands
117,02db9f91-572a-44af-9858-4add101353c1,18,2,"July 13, 2016  - Recommend silt fence removal and repairs to marker posts.",physical
118,02db9f91-572a-44af-9858-4add101353c1,18,3,"July 13, 2016  - No erosion or subsidence issues.",physical
119,02db9f91-572a-44af-9858-4add101353c1,18,4,"Sept 17, 2016 – Removed and disposed of silt fencing. Issue resolved.",physical
120,02db9f91-572a-44af-9858-4add101353c1,18,5,"Sept 17, 2016  - Repaired marker posts and signs. Issue resolved.",physical
121,02db9f91-572a-44af-9858-4add101353c1,19,1,"July 13, 2016 -- Vegetation is filling in well with desirable species throughout tract. Good establishment of grasses, shrubs and aquatic vegetation.",vegetation
122,02db9f91-572a-44af-9858-4add101353c1,19,1,"July 13, 2016 -- Vegetation is filling in well with desirable species throughout tract. Good establishment of grasses, shrubs and aquatic vegetation.",fish
123,02db9f91-572a-44af-9858-4add101353c1,19,2,"July 13, 2016  - Intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile.",vegetation
124,02db9f91-572a-44af-9858-4add101353c1,19,3,"July 13, 2016  - Dalmatian toadflax was not identified, 2015 issues resolved.",
125,02db9f91-572a-44af-9858-4add101353c1,19,4,"July 13, 2016  - No erosion or subsidence issues.",physical
126,02db9f91-572a-44af-9858-4add101353c1,19,5,"Sept 17, 2016 - 65-75% vegetation established compared to off ROW. Intermittent herbicide application conducted to control perennial sow thistle.",vegetation
127,02db9f91-572a-44af-9858-4add101353c1,20,1,.,
128,02db9f91-572a-44af-9858-4add101353c1,21,1,.,
129,02db9f91-572a-44af-9858-4add101353c1,22,1,.,
130,02db9f91-572a-44af-9858-4add101353c1,23,1,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures.",vegetation
131,02db9f91-572a-44af-9858-4add101353c1,23,2,"July 13, 2016 -- Vegetation is filling in well with desirable species throughout tract. Good establishment of grasses and shrubs.",vegetation
132,02db9f91-572a-44af-9858-4add101353c1,23,3,"July 13, 2016   - Intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile.",vegetation
133,02db9f91-572a-44af-9858-4add101353c1,23,4,"July 13, 2016  - Dalmatian toadflax was not identified, 2015 issues resolved.",
134,02db9f91-572a-44af-9858-4add101353c1,23,5,"July 13, 2016  - No erosion or subsidence issues.",physical
135,02db9f91-572a-44af-9858-4add101353c1,23,6,"Sept 17, 2016 - 65-75% vegetation established compared to off ROW.",vegetation
136,02db9f91-572a-44af-9858-4add101353c1,23,7,"Sept 17, 2016  - Installed TC sign and marker posts at KP 4+800.",
137,02db9f91-572a-44af-9858-4add101353c1,23,8,"Sept 17, 2016  - Intermittent herbicide application conducted to control perennial sow thistle.",vegetation
138,02db9f91-572a-44af-9858-4add101353c1,24,1,.,
139,02db9f91-572a-44af-9858-4add101353c1,25,1,.,
140,02db9f91-572a-44af-9858-4add101353c1,26,1,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures.",vegetation
141,02db9f91-572a-44af-9858-4add101353c1,26,2,"July 13, 2016 -- Vegetation is filling in well with desirable species throughout tract. Good establishment of grasses, shrubs and wetland vegetation.",vegetation
142,02db9f91-572a-44af-9858-4add101353c1,26,2,"July 13, 2016 -- Vegetation is filling in well with desirable species throughout tract. Good establishment of grasses, shrubs and wetland vegetation.",wetlands
143,02db9f91-572a-44af-9858-4add101353c1,26,3,"July 13, 2016   - Wetland functioning well, consistent with previous assessments.",wetlands
144,02db9f91-572a-44af-9858-4add101353c1,26,4,"July 13, 2016  - Intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile  - No erosion or subsidence issues.",vegetation
145,02db9f91-572a-44af-9858-4add101353c1,26,4,"July 13, 2016  - Intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile  - No erosion or subsidence issues.",physical
146,02db9f91-572a-44af-9858-4add101353c1,26,5,"Sept 17, 2016 - 65-75% vegetation established compared to off ROW.",vegetation
147,02db9f91-572a-44af-9858-4add101353c1,26,6,"Sept 17, 2016  - Intermittent herbicide application conducted to control perennial sow thistle.",vegetation
148,02db9f91-572a-44af-9858-4add101353c1,27,1,"Aug 23, 2016 - Species not observed at the pre-disturbance location. Habitat was altered by the construction of an adjacent foreign pipeline to the south of the ROW over the winter of 2014/2015.",
149,02db9f91-572a-44af-9858-4add101353c1,27,2,"Aug 23, 2016  - Species re-establishment is not considered likely, as conditions are no longer favorable to the presence of Reindeer lichen both on and off ROW. Issue resolved.",species
150,02db9f91-572a-44af-9858-4add101353c1,28,1,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures.",vegetation
151,02db9f91-572a-44af-9858-4add101353c1,28,2,"July 13, 2016 - Vegetation is filling in well with desirable species throughout tract. Good establishment of grasses and shrubs.",vegetation
152,02db9f91-572a-44af-9858-4add101353c1,28,3,"July 13, 2016  - Intermittent herbicide application conducted to control perennial sow thistle.",vegetation
153,02db9f91-572a-44af-9858-4add101353c1,28,4,"July 13, 2016  - Dalmatian toadflax was not identified, 2015 issues resolved.",
154,02db9f91-572a-44af-9858-4add101353c1,28,5,"July 13, 2016  - No erosion or subsidence issues.",physical
155,02db9f91-572a-44af-9858-4add101353c1,28,6,"July 13, 2016  - Marker post down at KP 5+000 Sept 17, 2016 - Repaired marker posts at KP 5+000 foreign pipeline crossing.",physical
156,02db9f91-572a-44af-9858-4add101353c1,28,6,"July 13, 2016  - Marker post down at KP 5+000 Sept 17, 2016 - Repaired marker posts at KP 5+000 foreign pipeline crossing.",wetlands
157,03bfc26a-c6d0-4761-b8f5-47acf2290d02,1,1,"August 2, 2017 - Vegetation cover on the ROW is 80 - 100% compared to off-ROW control. Good establishment of grasses and shrubs.",vegetation
158,03bfc26a-c6d0-4761-b8f5-47acf2290d02,1,2,"August 2, 2017  - Straightened marker posts at KP0+120 and 0+160, issue resolved.",
159,03bfc26a-c6d0-4761-b8f5-47acf2290d02,1,3,"August 2, 2017  - No subsidence or erosion issues were observed.",physical
160,03bfc26a-c6d0-4761-b8f5-47acf2290d02,1,4,"August 2, 2017   - KP 0+025 to 0+120 - Perennial sow thistle observed, recommend weed control.",vegetation
161,03bfc26a-c6d0-4761-b8f5-47acf2290d02,1,5,"August 12, 2017 – KP 0+025 to 0+120 – Intermittent herbicide application conducted to control perennial sow thistle and Canada thistle. Issue resolved.",vegetation
162,03bfc26a-c6d0-4761-b8f5-47acf2290d02,1,6,"September 11, 2017 - Shrubby swamp on ROW from KP 0+140 to 0+300 appears to be at full functionality in comparison with off-ROW conditions.",wetlands
163,03bfc26a-c6d0-4761-b8f5-47acf2290d02,1,7,"September 11, 2017  - Vegetation establishment throughout wetland is at 80-100% cover compared to off-ROW control. Vegetation consisting of herbaceous graminoids with sporadic emergence of broadleaf shrubs.",vegetation
164,03bfc26a-c6d0-4761-b8f5-47acf2290d02,1,7,"September 11, 2017  - Vegetation establishment throughout wetland is at 80-100% cover compared to off-ROW control. Vegetation consisting of herbaceous graminoids with sporadic emergence of broadleaf shrubs.",wetlands
165,03bfc26a-c6d0-4761-b8f5-47acf2290d02,1,8,"September 11, 2017  - No noxious weeds were identified in wetland.",vegetation
166,03bfc26a-c6d0-4761-b8f5-47acf2290d02,1,8,"September 11, 2017  - No noxious weeds were identified in wetland.",wetlands
167,03bfc26a-c6d0-4761-b8f5-47acf2290d02,1,9,"September 11, 2017   - Trench crown present through wetland but has settled. Sufficient breaks present for hydrology to be maintained. No subsidence or erosional issues identified in wetland.",physical
168,03bfc26a-c6d0-4761-b8f5-47acf2290d02,1,9,"September 11, 2017   - Trench crown present through wetland but has settled. Sufficient breaks present for hydrology to be maintained. No subsidence or erosional issues identified in wetland.",wetlands
169,03bfc26a-c6d0-4761-b8f5-47acf2290d02,1,10,"September 11, 2017  - Substrate in wetland appears healthy through uniform vegetation growth. Humification occurring throughout wetland through large amounts of decomposing vegetation litter.",vegetation
170,03bfc26a-c6d0-4761-b8f5-47acf2290d02,1,10,"September 11, 2017  - Substrate in wetland appears healthy through uniform vegetation growth. Humification occurring throughout wetland through large amounts of decomposing vegetation litter.",wetlands
171,03bfc26a-c6d0-4761-b8f5-47acf2290d02,1,11,"September 11, 2017  - Substrate exhibiting dry substrate with a low organic content in the topsoil layer, comparing with off-ROW conditions. Dry substrate attributed to down sloping terrain to access road at KP 0+120.",soil
172,03bfc26a-c6d0-4761-b8f5-47acf2290d02,1,11,"September 11, 2017  - Substrate exhibiting dry substrate with a low organic content in the topsoil layer, comparing with off-ROW conditions. Dry substrate attributed to down sloping terrain to access road at KP 0+120.",physical
173,03bfc26a-c6d0-4761-b8f5-47acf2290d02,1,11,"September 11, 2017  - Substrate exhibiting dry substrate with a low organic content in the topsoil layer, comparing with off-ROW conditions. Dry substrate attributed to down sloping terrain to access road at KP 0+120.",wetlands
174,03bfc26a-c6d0-4761-b8f5-47acf2290d02,1,11,"September 11, 2017  - Substrate exhibiting dry substrate with a low organic content in the topsoil layer, comparing with off-ROW conditions. Dry substrate attributed to down sloping terrain to access road at KP 0+120.",navigation
175,03bfc26a-c6d0-4761-b8f5-47acf2290d02,1,12,"September 11, 2017  - Wetland providing good habitat opportunity through good vegetation cover and sufficient snags.",vegetation
176,03bfc26a-c6d0-4761-b8f5-47acf2290d02,1,12,"September 11, 2017  - Wetland providing good habitat opportunity through good vegetation cover and sufficient snags.",wetlands
177,03bfc26a-c6d0-4761-b8f5-47acf2290d02,1,13,"September 11, 2017  - Wetland has achieved pre-construction contours. off-ROW species successfully emerging onto ROW. Overall, no net loss of wetland function was observed.",wetlands
178,03bfc26a-c6d0-4761-b8f5-47acf2290d02,2,1,"August 2, 2017 - Vegetation cover on the ROW is 80 - 100% compared to off-ROW control. Good establishment of grasses, shrubs, and aquatic vegetation.",vegetation
179,03bfc26a-c6d0-4761-b8f5-47acf2290d02,2,1,"August 2, 2017 - Vegetation cover on the ROW is 80 - 100% compared to off-ROW control. Good establishment of grasses, shrubs, and aquatic vegetation.",fish
180,03bfc26a-c6d0-4761-b8f5-47acf2290d02,2,2,"August 2, 2017  - No subsidence or erosion issues were observed.",physical
181,03bfc26a-c6d0-4761-b8f5-47acf2290d02,2,3,"August 2, 2017   - Perennial sow thistle (KP 0+300 to 0+975) and scentless chamomile (KP 0+400 to 0+475) observed, recommend weed control.",vegetation
182,03bfc26a-c6d0-4761-b8f5-47acf2290d02,2,4,"August 12, 2017 – KP 0+300 to 0+975 – Intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile. Issue resolved.",vegetation
183,03bfc26a-c6d0-4761-b8f5-47acf2290d02,3,1,"September 11, 2017 - Woody swamp on ROW from KP 0+430 to 0+710 appears to be at full functionality.",wetlands
