,tableId,rowIndex,vec_pri,vec_sec,soil,vegetation,water,fish,wildlife,species,air,heritage,physical,wetlands,acoustic,navigation,threshold,VECs
13,0114daa6-c048-4081-b4cf-7a9d7461fa44,14,<s>Watercourse </s>–Tributary of Rainbow Creek – Erosion (Moderate),,0,0,0,0,0,0,0,0,1,2,0,0,0,wetlands
14,0114daa6-c048-4081-b4cf-7a9d7461fa44,15,Weeds (Moderate),,0,1,0,0,0,0,0,0,0,0,0,0,0,vegetation
15,0114daa6-c048-4081-b4cf-7a9d7461fa44,16,<s>Watercourse </s>–Tributary of Rainbow Creek – Erosion (Moderate),,0,0,0,0,0,0,0,0,1,2,0,0,0,physical
15,0114daa6-c048-4081-b4cf-7a9d7461fa44,16,<s>Watercourse </s>–Tributary of Rainbow Creek – Erosion (Moderate),,0,0,0,0,0,0,0,0,1,2,0,0,0,wetlands
16,0114daa6-c048-4081-b4cf-7a9d7461fa44,17,Topsoil Thickness and Subsidence (Moderate),,1,0,0,0,0,0,0,0,1,0,0,0,0,soil
16,0114daa6-c048-4081-b4cf-7a9d7461fa44,17,Topsoil Thickness and Subsidence (Moderate),,1,0,0,0,0,0,0,0,1,0,0,0,0,physical
17,0114daa6-c048-4081-b4cf-7a9d7461fa44,18,Surface Drainage (Low),,0,0,1,0,0,0,0,0,0,0,0,0,0,water
18,0114daa6-c048-4081-b4cf-7a9d7461fa44,19,Weeds (High),,0,1,0,0,0,0,0,0,0,0,0,0,0,vegetation
19,0114daa6-c048-4081-b4cf-7a9d7461fa44,20,Erosion (High),,0,0,0,0,0,0,0,0,1,0,0,0,0,physical
20,0114daa6-c048-4081-b4cf-7a9d7461fa44,21,Wetland (NA),,0,0,0,0,0,0,0,0,0,1,0,0,0,wetlands
21,0114daa6-c048-4081-b4cf-7a9d7461fa44,22,Compaction (Low),,1,0,0,0,0,0,0,0,0,0,0,0,0,soil
22,0114daa6-c048-4081-b4cf-7a9d7461fa44,23,<s>Watercourse </s>–Tributary of Rainbow Creek – Erosion (High),,0,0,0,0,0,0,0,0,1,2,0,0,0,physical
22,0114daa6-c048-4081-b4cf-7a9d7461fa44,23,<s>Watercourse </s>–Tributary of Rainbow Creek – Erosion (High),,0,0,0,0,0,0,0,0,1,2,0,0,0,wetlands
23,0114daa6-c048-4081-b4cf-7a9d7461fa44,24,Plant Growth (Moderate),,0,2,0,0,0,0,0,0,0,0,0,0,0,vegetation
24,0114daa6-c048-4081-b4cf-7a9d7461fa44,25,<s>Watercourse </s>–Tributary of Rainbow Creek – Erosion (Moderate),,0,0,0,0,0,0,0,0,1,2,0,0,0,physical
24,0114daa6-c048-4081-b4cf-7a9d7461fa44,25,<s>Watercourse </s>–Tributary of Rainbow Creek – Erosion (Moderate),,0,0,0,0,0,0,0,0,1,2,0,0,0,wetlands
25,0114daa6-c048-4081-b4cf-7a9d7461fa44,26,Weeds (Low),,0,1,0,0,0,0,0,0,0,0,0,0,0,vegetation
26,0114daa6-c048-4081-b4cf-7a9d7461fa44,27,Weeds (Moderate),,0,1,0,0,0,0,0,0,0,0,0,0,0,vegetation
27,0114daa6-c048-4081-b4cf-7a9d7461fa44,28,Surface Drainage (Low),,0,0,1,0,0,0,0,0,0,0,0,0,0,water
28,0114daa6-c048-4081-b4cf-7a9d7461fa44,29,Wetland (NA),,0,0,0,0,0,0,0,0,0,1,0,0,0,wetlands
29,0114daa6-c048-4081-b4cf-7a9d7461fa44,30,Weeds (Moderate),,0,1,0,0,0,0,0,0,0,0,0,0,0,vegetation
30,0114daa6-c048-4081-b4cf-7a9d7461fa44,31,Erosion and Subsidence (Moderate),,0,0,0,0,0,0,0,0,2,0,0,0,0,physical
31,0114daa6-c048-4081-b4cf-7a9d7461fa44,32,Wetland (NA),,0,0,0,0,0,0,0,0,0,1,0,0,0,wetlands
32,0114daa6-c048-4081-b4cf-7a9d7461fa44,33,Wetland (NA),,0,0,0,0,0,0,0,0,0,1,0,0,0,wetlands
33,0114daa6-c048-4081-b4cf-7a9d7461fa44,34,Wetland – Weeds (Moderate),,0,1,0,0,0,0,0,0,0,1,0,0,0,vegetation
33,0114daa6-c048-4081-b4cf-7a9d7461fa44,34,Wetland – Weeds (Moderate),,0,1,0,0,0,0,0,0,0,1,0,0,0,wetlands
34,0114daa6-c048-4081-b4cf-7a9d7461fa44,35,Weeds (Low),,0,1,0,0,0,0,0,0,0,0,0,0,0,vegetation
35,0114daa6-c048-4081-b4cf-7a9d7461fa44,36,Erosion (Moderate),,0,0,0,0,0,0,0,0,1,0,0,0,0,physical
36,0114daa6-c048-4081-b4cf-7a9d7461fa44,37,Wetland,,0,0,0,0,0,0,0,0,0,1,0,0,0,wetlands
37,0114daa6-c048-4081-b4cf-7a9d7461fa44,38,Subsidence (High) and Weeds (Moderate),,0,1,0,0,0,0,0,0,1,0,0,0,0,vegetation
37,0114daa6-c048-4081-b4cf-7a9d7461fa44,38,Subsidence (High) and Weeds (Moderate),,0,1,0,0,0,0,0,0,1,0,0,0,0,physical
38,0114daa6-c048-4081-b4cf-7a9d7461fa44,39,Subsidence and Erosion (Moderate),,0,0,0,0,0,0,0,0,2,0,0,0,0,physical
39,0114daa6-c048-4081-b4cf-7a9d7461fa44,40,Weeds (Low),,0,1,0,0,0,0,0,0,0,0,0,0,0,vegetation
40,0114daa6-c048-4081-b4cf-7a9d7461fa44,41,Subsidence (High),,0,0,0,0,0,0,0,0,1,0,0,0,0,physical
41,0114daa6-c048-4081-b4cf-7a9d7461fa44,42,Erosion (Low),,0,0,0,0,0,0,0,0,1,0,0,0,0,physical
42,093f120b-9df7-480b-8ae3-2854a3b33c84,1,No issues noted.,,0,0,0,0,0,0,0,0,0,0,0,0,0,
43,093f120b-9df7-480b-8ae3-2854a3b33c84,2,"Approximately 100m north of Polymoore Rd, noted that there was a depression on the easement. The re-seeded vegetation has been flooded out and died. This area requires grading, and/or addition of topsoil to fill in the depression and then re-seeded with a standard Ministry of Transportation (MTO) seed mixture.",,1,1,0,0,0,0,0,0,0,0,0,0,0,soil
43,093f120b-9df7-480b-8ae3-2854a3b33c84,2,"Approximately 100m north of Polymoore Rd, noted that there was a depression on the easement. The re-seeded vegetation has been flooded out and died. This area requires grading, and/or addition of topsoil to fill in the depression and then re-seeded with a standard Ministry of Transportation (MTO) seed mixture.",,1,1,0,0,0,0,0,0,0,0,0,0,0,vegetation
44,093f120b-9df7-480b-8ae3-2854a3b33c84,3,"Approximately 50m west of the Hwy 40 fence, water was noticed bubbling out of the ground at a high spot in the topography. Bill Taylor (NOVA Chemicals) contacted other personnel at NOVA Chemicals and this water issue was going to be investigated immediately. Once this issue is resolved, the soil should be levelled and re-seeded with a standard MTO seed mixture.",,1,1,1,0,0,0,0,0,0,0,0,0,0,soil
44,093f120b-9df7-480b-8ae3-2854a3b33c84,3,"Approximately 50m west of the Hwy 40 fence, water was noticed bubbling out of the ground at a high spot in the topography. Bill Taylor (NOVA Chemicals) contacted other personnel at NOVA Chemicals and this water issue was going to be investigated immediately. Once this issue is resolved, the soil should be levelled and re-seeded with a standard MTO seed mixture.",,1,1,1,0,0,0,0,0,0,0,0,0,0,vegetation
44,093f120b-9df7-480b-8ae3-2854a3b33c84,3,"Approximately 50m west of the Hwy 40 fence, water was noticed bubbling out of the ground at a high spot in the topography. Bill Taylor (NOVA Chemicals) contacted other personnel at NOVA Chemicals and this water issue was going to be investigated immediately. Once this issue is resolved, the soil should be levelled and re-seeded with a standard MTO seed mixture.",,1,1,1,0,0,0,0,0,0,0,0,0,0,water
45,093f120b-9df7-480b-8ae3-2854a3b33c84,4,"The remainder of this area, including the Hill St. bore pipe laydown area, was graded properly and the seeded vegetation had germinated and is growing well.",,0,1,0,0,0,0,0,0,0,0,0,0,0,vegetation
46,093f120b-9df7-480b-8ae3-2854a3b33c84,5,Land is graded properly and the seeded vegetation had germinated and was growing well.,,0,1,0,0,0,0,0,0,0,0,0,0,0,vegetation
47,093f120b-9df7-480b-8ae3-2854a3b33c84,6,Land is graded properly and the seeded vegetation had germinated and was growing well.,,0,1,0,0,0,0,0,0,0,0,0,0,0,vegetation
48,093f120b-9df7-480b-8ae3-2854a3b33c84,7,"Immediately west of the gravel lane, vehicle traffic has left the lane and rutted the edge of the small portion of land between the lane and the RR line. This strip of land requires grading and/or addition of topsoil and re-seeding with a standard MTO seed mixture.",,2,0,0,0,0,0,0,0,1,0,0,0,0,soil
48,093f120b-9df7-480b-8ae3-2854a3b33c84,7,"Immediately west of the gravel lane, vehicle traffic has left the lane and rutted the edge of the small portion of land between the lane and the RR line. This strip of land requires grading and/or addition of topsoil and re-seeding with a standard MTO seed mixture.",,2,0,0,0,0,0,0,0,1,0,0,0,0,physical
49,093f120b-9df7-480b-8ae3-2854a3b33c84,8,The soil immediately west of the fibre optic connector box has depression and needs to be leveled and/or addition of topsoil to fill in the depression.,,2,0,0,0,0,0,0,0,0,0,0,0,0,soil
50,093f120b-9df7-480b-8ae3-2854a3b33c84,9,"The cultivated portion of this area, both the east/west and north/south portions are well graded and the planted agricultural crop has germinated and appears to be growing well.",,0,1,0,0,0,0,0,0,0,0,0,0,0,vegetation
51,093f120b-9df7-480b-8ae3-2854a3b33c84,10,The cultivated portion of this area is well graded and the planted agricultural crop has germinated and appears to be growing well.,,0,1,0,0,0,0,0,0,0,0,0,0,0,vegetation
52,093f120b-9df7-480b-8ae3-2854a3b33c84,11,An area of standing water was observed in the middle of the field west of the pipeline construction area.,,0,0,1,0,0,0,0,0,0,0,0,0,0,water
53,093f120b-9df7-480b-8ae3-2854a3b33c84,12,Land is graded properly and the seeded vegetation had germinated and was growing well.,,0,1,0,0,0,0,0,0,0,0,0,0,0,vegetation
54,093f120b-9df7-480b-8ae3-2854a3b33c84,13,"Banks are suitable, no erosion noted.",,0,0,0,0,0,0,0,0,1,1,0,0,0,physical
54,093f120b-9df7-480b-8ae3-2854a3b33c84,13,"Banks are suitable, no erosion noted.",,0,0,0,0,0,0,0,0,1,1,0,0,0,wetlands
55,093f120b-9df7-480b-8ae3-2854a3b33c84,14,Land is graded properly and the seeded vegetation had germinated and was growing well.,,0,1,0,0,0,0,0,0,0,0,0,0,0,vegetation
56,093f120b-9df7-480b-8ae3-2854a3b33c84,15,"Banks are suitable, no erosion noted.",,0,0,0,0,0,0,0,0,1,1,0,0,0,physical
56,093f120b-9df7-480b-8ae3-2854a3b33c84,15,"Banks are suitable, no erosion noted.",,0,0,0,0,0,0,0,0,1,1,0,0,0,wetlands
57,093f120b-9df7-480b-8ae3-2854a3b33c84,16,Land in the St. Clair River Sub-station site was vegetated before construction. This area should be re-seeded with a standard MTO seed mixture.,,0,0,0,0,0,0,0,0,0,0,0,0,0,
58,093f120b-9df7-480b-8ae3-2854a3b33c84,17,Land north of “A” St. is graded properly and the seeded vegetation had germinated and was growing well.,,0,1,0,0,0,0,0,0,0,0,0,0,0,vegetation
59,093f120b-9df7-480b-8ae3-2854a3b33c84,18,Most of this land is graded properly but some soil ruts were observed. NOVA Chemicals should decide whether they will re-grade and re-seed with a standard MTO seed mixture.,,1,1,0,0,0,0,0,0,1,0,0,0,0,soil
59,093f120b-9df7-480b-8ae3-2854a3b33c84,18,Most of this land is graded properly but some soil ruts were observed. NOVA Chemicals should decide whether they will re-grade and re-seed with a standard MTO seed mixture.,,1,1,0,0,0,0,0,0,1,0,0,0,0,vegetation
59,093f120b-9df7-480b-8ae3-2854a3b33c84,18,Most of this land is graded properly but some soil ruts were observed. NOVA Chemicals should decide whether they will re-grade and re-seed with a standard MTO seed mixture.,,1,1,0,0,0,0,0,0,1,0,0,0,0,physical
60,093f120b-9df7-480b-8ae3-2854a3b33c84,19,Land is graded properly and the seeded vegetation had germinated and was growing well. It was noted that an integrity dig was occurring north of the CSX Spur line at the time of Line Tour.,,0,1,0,0,0,0,0,0,0,0,0,0,0,vegetation
61,093f120b-9df7-480b-8ae3-2854a3b33c84,20,"Land is graded properly and the seeded vegetation had germinated and was growing well. No remedial action is required. It was noted that portions of the line along the fencing west of Shell’s western gate had soil ruts. This was due to Shell security doing perimeter tours with quads as observed by LamSar personnel. Since the soil damage was caused by Shell, remedial action is not required.",,1,1,0,0,0,0,0,0,1,0,0,0,0,soil
61,093f120b-9df7-480b-8ae3-2854a3b33c84,20,"Land is graded properly and the seeded vegetation had germinated and was growing well. No remedial action is required. It was noted that portions of the line along the fencing west of Shell’s western gate had soil ruts. This was due to Shell security doing perimeter tours with quads as observed by LamSar personnel. Since the soil damage was caused by Shell, remedial action is not required.",,1,1,0,0,0,0,0,0,1,0,0,0,0,vegetation
61,093f120b-9df7-480b-8ae3-2854a3b33c84,20,"Land is graded properly and the seeded vegetation had germinated and was growing well. No remedial action is required. It was noted that portions of the line along the fencing west of Shell’s western gate had soil ruts. This was due to Shell security doing perimeter tours with quads as observed by LamSar personnel. Since the soil damage was caused by Shell, remedial action is not required.",,1,1,0,0,0,0,0,0,1,0,0,0,0,physical
62,093f120b-9df7-480b-8ae3-2854a3b33c84,21,"Banks are suitable, no erosion noted.",,0,0,0,0,0,0,0,0,1,1,0,0,0,physical
62,093f120b-9df7-480b-8ae3-2854a3b33c84,21,"Banks are suitable, no erosion noted.",,0,0,0,0,0,0,0,0,1,1,0,0,0,wetlands
63,093f120b-9df7-480b-8ae3-2854a3b33c84,22,"There is a depression in the soil at the HDD exit pit. Addition of topsoil, levelling and reseeding with a standard MTO seed mix is required.  The land between the Enbridge valve and the Union Gas valve requires re-grading and reseeding.  It appears that vehicle traffic has rutted the soil west of the NOVA Chemicals river crossing valve. This area between the two gravel lanes should be levelled and re-seeded. It is suggested that an orange safety fence be installed to exclude vehicle traffic until the seed has germinated and established.",,3,1,0,0,0,0,0,0,1,1,0,0,0,soil
63,093f120b-9df7-480b-8ae3-2854a3b33c84,22,"There is a depression in the soil at the HDD exit pit. Addition of topsoil, levelling and reseeding with a standard MTO seed mix is required.  The land between the Enbridge valve and the Union Gas valve requires re-grading and reseeding.  It appears that vehicle traffic has rutted the soil west of the NOVA Chemicals river crossing valve. This area between the two gravel lanes should be levelled and re-seeded. It is suggested that an orange safety fence be installed to exclude vehicle traffic until the seed has germinated and established.",,3,1,0,0,0,0,0,0,1,1,0,0,0,vegetation
63,093f120b-9df7-480b-8ae3-2854a3b33c84,22,"There is a depression in the soil at the HDD exit pit. Addition of topsoil, levelling and reseeding with a standard MTO seed mix is required.  The land between the Enbridge valve and the Union Gas valve requires re-grading and reseeding.  It appears that vehicle traffic has rutted the soil west of the NOVA Chemicals river crossing valve. This area between the two gravel lanes should be levelled and re-seeded. It is suggested that an orange safety fence be installed to exclude vehicle traffic until the seed has germinated and established.",,3,1,0,0,0,0,0,0,1,1,0,0,0,physical
63,093f120b-9df7-480b-8ae3-2854a3b33c84,22,"There is a depression in the soil at the HDD exit pit. Addition of topsoil, levelling and reseeding with a standard MTO seed mix is required.  The land between the Enbridge valve and the Union Gas valve requires re-grading and reseeding.  It appears that vehicle traffic has rutted the soil west of the NOVA Chemicals river crossing valve. This area between the two gravel lanes should be levelled and re-seeded. It is suggested that an orange safety fence be installed to exclude vehicle traffic until the seed has germinated and established.",,3,1,0,0,0,0,0,0,1,1,0,0,0,wetlands
64,09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,1,Revegetation,• Results of the 2017 assessment indicated that the Awned Wheatgrass seeded in 2016 was not successful. The assessment also noted that there was no observable increase in Prairie Sandreed grass. This location and related information will be transferred to Keystone Regional Operations for continued engagement with the Occupant and Special Areas Board members and to create a path forward if there are continued concerns regarding the site.  •  Issue resolved.,0,0,0,0,0,0,0,0,0,0,0,0,0,
65,09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,2,(Erosion  topsoil pile),"• Assessed site in July.  Picked and bagged Russian thistle, narrow-leaved hawksbeard and downy brome.  • The topsoil pile was raked and approved seed mix (50% Slender wheatgrass, 30% western wheatgrass and 20% Fultus alkali grass) was broadcasted. • The location will be passed to Keystone Regional Operations for inclusion in operational monitoring and further weed control, if required.  • Issue resolved",1,0,0,0,0,0,0,0,1,0,0,0,0,soil
65,09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,2,(Erosion  topsoil pile),"• Assessed site in July.  Picked and bagged Russian thistle, narrow-leaved hawksbeard and downy brome.  • The topsoil pile was raked and approved seed mix (50% Slender wheatgrass, 30% western wheatgrass and 20% Fultus alkali grass) was broadcasted. • The location will be passed to Keystone Regional Operations for inclusion in operational monitoring and further weed control, if required.  • Issue resolved",1,0,0,0,0,0,0,0,1,0,0,0,0,physical
66,09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,3,Erosion Weeds,• Site was raked to provide for good seed to soil contact. The area then had an approved seed (Fults alkalis grass) broadcast and raked in. The seed was then top-dressed with Biotic Earth and covered with a biodegradable erosion blanket.  • The location will be passed to Keystone Regional Operations for inclusion in operational monitoring.  • Issue resolved,0,1,0,0,0,0,0,0,1,0,0,0,0,vegetation
66,09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,3,Erosion Weeds,• Site was raked to provide for good seed to soil contact. The area then had an approved seed (Fults alkalis grass) broadcast and raked in. The seed was then top-dressed with Biotic Earth and covered with a biodegradable erosion blanket.  • The location will be passed to Keystone Regional Operations for inclusion in operational monitoring.  • Issue resolved,0,1,0,0,0,0,0,0,1,0,0,0,0,physical
67,09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,4,Erosion Revegetation,"• Site assessed in June.  Area is stable with good vegetation growth.  Minor weed presence (annuals, Canada thistle).  • Site assessed in July.  Canada thistle spot sprayed. • Site assessed in September.  Flixweed, stink weed and Canada thistle were present in a limited area. Manual weed control was conducted. • The location will be passed to Keystone Regional Operations for inclusion in operational monitoring and further weed control, if required.  • Issue resolved",0,0,0,0,0,0,0,0,1,0,0,0,0,physical
68,09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,5,Erosion,• Stabilized area is well vegetated with native riparian grasses.  • Issue resolved,0,0,0,0,0,0,0,0,1,0,0,0,0,physical
69,09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,6,Subsidence (Site contours),Dig 52  •  Soil contours blend in from disturbed and undisturbed areas.  No further subsidence was observed. • Landowner has area seeded to peas. Crop is consistent in color and height on and off the RoW. •  Minimal weeds observed. Any weeds that were visible exist on and off RoW. Landowner will manage weeds during normal farming practices. •  Soil color similar on and off RoW. •  No issues or work required. • Issue resolved.,0,0,0,0,0,0,0,0,2,0,0,0,0,physical
70,09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,7,Subsidence  (Site contours),•  Soil contours blend in from disturbed and undisturbed areas.  No further subsidence was observed.  • Landowner has area seeded to lentils. Crop is consistent in color and height on and off the work area. Yellowing color on and off the RoW. •  Minimal weeds observed. Any weeds that were visible exist on and off RoW. Landowner will manage weeds during normal farming practices. •  Soil colour similar on and off RoW. •  No issues or work required. • Issue resolved.,0,0,0,0,0,0,0,0,2,0,0,0,0,physical
71,09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,8,Subsidence  (Site contours),•  Soil contours blend in from disturbed and undisturbed areas.  No further subsidence was observed. • Landowner has area seeded to canola. Crop is consistent in color and height on and off the RoW. •  Minimal weeds observed. Any weeds that were visible exist on and off RoW. Landowner will manage weeds during normal farming practices. •  No issues or work required. • Issue resolved.,0,0,0,0,0,0,0,0,2,0,0,0,0,physical
72,09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,9,Subsidence  (Site contours),•  Soil contours blend in from disturbed and undisturbed areas.  No further subsidence was observed. • Landowner has area seeded to barley. Crop is consistent in color and height on and off the RoW. Crop is starting to turn in various locations across the field. •  Minimal weeds observed. Any weeds that were visible exist on and off RoW. Landowner will manage weeds during normal farming practices. •  No issues or work required. • Issue resolved.,0,0,0,0,0,0,0,0,2,0,0,0,0,physical
73,09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,10,Weeds,"•  Assessed site in June.  Weeds observed comparable on/offsite •  Assessed site in September.  Canada thistle and perennial sow thistle were spot sprayed.  • The location will be passed to Keystone Regional Operations for inclusion in operational monitoring and further weed control, if required.  • Issue resolved",0,1,0,0,0,0,0,0,0,0,0,0,0,vegetation
74,09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,11,Weeds,"• Landowner expressed concern with site. •  Site visit conducted in September; Canada thistle and perennial sow thistle were spot sprayed.  • The location will be passed to Keystone Regional Operations for inclusion in operational monitoring and further weed control, if required.  • Issue resolved",0,1,0,0,0,0,0,0,0,0,0,0,0,vegetation
75,09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,12,Weeds,"•  Assessed site in May.  Weeds were comparable on and off-site, except for one patch of Canada thistle. •  Canada thistle was spot sprayed in July and September.  • The location will be passed to Keystone Regional Operations for inclusion in operational monitoring and further weed control, if required.  • Issue resolved",0,1,0,0,0,0,0,0,0,0,0,0,0,vegetation
76,09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,13,Weeds,"•  Assessed site in May.  Weeds were comparable on and off-site. •  Assessed site in July.  Canada thistle was spot sprayed. • The location will be passed to Keystone Regional Operations for inclusion in operational monitoring and further weed control, if required.  • Issue resolved",0,1,0,0,0,0,0,0,0,0,0,0,0,vegetation
77,09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,14,Weeds,"•  While travelling through this quarter section to access another location, it was noted that Canada thistle was an issue.  The weeds were spot sprayed in September.  • The location will be passed to Keystone Regional Operations for inclusion in operational monitoring and further weed control, if required.  • Issue resolved",0,1,0,0,0,0,0,0,0,0,0,0,0,vegetation
78,09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,15,Weeds,•  Assessed site in June.  Weeds observed comparable on/offsite. • Issue resolved.,0,1,0,0,0,0,0,0,0,0,0,0,0,vegetation
79,09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,16,Weeds,•  Assessed site in June.  Weeds observed comparable on/offsite. • Issue resolved.,0,1,0,0,0,0,0,0,0,0,0,0,0,vegetation
80,09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,17,Weeds,•  Assessed site in June.  Weeds observed comparable on/offsite. • Issue resolved.,0,1,0,0,0,0,0,0,0,0,0,0,0,vegetation
81,09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,18,Weeds,•  Assessed site in June.  Weeds observed comparable on/offsite. • Issue resolved.,0,1,0,0,0,0,0,0,0,0,0,0,0,vegetation
82,09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,19,Weeds,"•  Weeds observed in June were comparable on/offsite, except for Canada thistle. •  Canada thistle was spot sprayed in July and September.  • The location will be passed to Keystone Regional Operations for inclusion in operational monitoring and further weed control, if required.  • Issue resolved",0,1,0,0,0,0,0,0,0,0,0,0,0,vegetation
83,09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,20,Weeds,"•  Assessed site in June.  Weeds comparable on/offsite except for Canada thistle. •  Assessed in July; spot sprayed Canada thistle. •  Assessed site in September.  Weeds observed were comparable on/offsite, except for Canada thistle and perennial sow thistle.  Canada thistle observed throughout the tract; one patch of sow thistle.   Canada thistle and perennial sow thistle were spot sprayed in September.  • The location will be passed to Keystone Regional Operations for inclusion in operational monitoring and further weed control, if required.  • Issue resolved",0,1,0,0,0,0,0,0,0,0,0,0,0,vegetation
84,0b24b1e6-1428-446f-9122-5ba1633aff15,1,1.  Maintenance of Agricultural Capability a) weed proliferation  b) reduction in quality of upper subsoil  c) poor grass catch on non-cultivated lands  d) crop yield suppression on cultivated lands,,1,1,1,0,0,0,0,0,0,0,0,0,0,soil
84,0b24b1e6-1428-446f-9122-5ba1633aff15,1,1.  Maintenance of Agricultural Capability a) weed proliferation  b) reduction in quality of upper subsoil  c) poor grass catch on non-cultivated lands  d) crop yield suppression on cultivated lands,,1,1,1,0,0,0,0,0,0,0,0,0,0,vegetation
84,0b24b1e6-1428-446f-9122-5ba1633aff15,1,1.  Maintenance of Agricultural Capability a) weed proliferation  b) reduction in quality of upper subsoil  c) poor grass catch on non-cultivated lands  d) crop yield suppression on cultivated lands,,1,1,1,0,0,0,0,0,0,0,0,0,0,water
85,0b24b1e6-1428-446f-9122-5ba1633aff15,2,2.  Soil Erosion a) wind erosion on sandy soils  b) wind erosion on saline and sodic soils difficult to revegetate,,1,0,0,0,0,0,0,0,1,0,0,0,0,soil
85,0b24b1e6-1428-446f-9122-5ba1633aff15,2,2.  Soil Erosion a) wind erosion on sandy soils  b) wind erosion on saline and sodic soils difficult to revegetate,,1,0,0,0,0,0,0,0,1,0,0,0,0,physical
86,0b24b1e6-1428-446f-9122-5ba1633aff15,3,2         .  Soil Erosion Cont'd  c) water erosion on moderately steep slopes,,1,0,1,0,0,0,0,0,2,0,0,0,0,soil
86,0b24b1e6-1428-446f-9122-5ba1633aff15,3,2         .  Soil Erosion Cont'd  c) water erosion on moderately steep slopes,,1,0,1,0,0,0,0,0,2,0,0,0,0,water
86,0b24b1e6-1428-446f-9122-5ba1633aff15,3,2         .  Soil Erosion Cont'd  c) water erosion on moderately steep slopes,,1,0,1,0,0,0,0,0,2,0,0,0,0,physical
87,0b24b1e6-1428-446f-9122-5ba1633aff15,4,3      .  Water Crossings a) disturbance of waterbody substrate and banks  b) approach slope erosion,,0,0,1,0,0,0,0,0,2,3,0,0,0,water
87,0b24b1e6-1428-446f-9122-5ba1633aff15,4,3      .  Water Crossings a) disturbance of waterbody substrate and banks  b) approach slope erosion,,0,0,1,0,0,0,0,0,2,3,0,0,0,physical
