,physical,physical_environment,soil,soil_productivity,vegetation,water,water_quantity,water_quality,fish,fish_habitat,wetland,wildlife,wildlife_habitat,specie,specie_risk,air,air_quality,acoustic_environment,acoustic,heritage,heritage_resource,access,navigation,navigation_safety,erosion,coarse_fragments,subsidence,topsoil_admixing,compaction,topsoil_loss,watercourse,vegetation_establishment,invasive,plants,weeds,rare,stream,stream_channel,stream_bank,riparian,riparian_vegetation,riparian_vegetation_establishment
10,"('relate', 0.6787506341934204)",The word is not in vocabulary,"('tilling', 0.6766072511672974)",The word is not in vocabulary,"('stressed', 0.7821187973022461)","('replenish', 0.7091791033744812)",The word is not in vocabulary,The word is not in vocabulary,"('tcwc', 0.643572211265564)",The word is not in vocabulary,"('wfmp', 0.6930113434791565)","('amphibians', 0.6155589818954468)",The word is not in vocabulary,"('replanting', 0.743860125541687)",The word is not in vocabulary,"('ambient', 0.6848366856575012)","('datagraphic', 0.7821106910705566)",The word is not in vocabulary,"('dissipation', 0.659019947052002)","('archaeology', 0.646104633808136)",The word is not in vocabulary,"('plowing', 0.6852885484695435)","('fishing', 0.6218588352203369)",The word is not in vocabulary,"('rilling', 0.7681818008422852)",The word is not in vocabulary,"('abo', 0.7831152677536011)",The word is not in vocabulary,"('subsoiler', 0.7105764150619507)",The word is not in vocabulary,"('tributary', 0.7092956304550171)",The word is not in vocabulary,"('infestation', 0.6885439157485962)","('licks', 0.6498033404350281)","('spray', 0.6997820138931274)","('rerouting', 0.6765537261962891)","('invert', 0.6355353593826294)",The word is not in vocabulary,The word is not in vocabulary,"('establishing', 0.660317063331604)",The word is not in vocabulary,The word is not in vocabulary
11,"('magnify', 0.6778489351272583)",The word is not in vocabulary,"('investigation', 0.6756940484046936)",The word is not in vocabulary,"('proliferation', 0.7803181409835815)","('throughflow', 0.7077531218528748)",The word is not in vocabulary,The word is not in vocabulary,"('tcfd', 0.6420127749443054)",The word is not in vocabulary,"('trajectory', 0.6915187835693359)","('potential', 0.6148468255996704)",The word is not in vocabulary,"('establishing', 0.7422910332679749)",The word is not in vocabulary,"('ghgs', 0.6827535629272461)","('teine', 0.7797093987464905)",The word is not in vocabulary,"('physics', 0.6580603122711182)","('shrb', 0.6434136629104614)",The word is not in vocabulary,"('ramps', 0.6844264268875122)","('aesthetics', 0.6211807131767273)",The word is not in vocabulary,"('contoured', 0.7668497562408447)",The word is not in vocabulary,"('disking', 0.7827043533325195)",The word is not in vocabulary,"('paratiller', 0.7095397710800171)",The word is not in vocabulary,"('rockingham', 0.7062039375305176)",The word is not in vocabulary,"('weedy', 0.6870236396789551)","('gentfre', 0.649630606174469)","('disce', 0.6995354890823364)","('pinesap', 0.6741420030593872)","('channelize', 0.6306784152984619)",The word is not in vocabulary,The word is not in vocabulary,"('sapling', 0.6597027778625488)",The word is not in vocabulary,The word is not in vocabulary
12,"('warranteda', 0.6740143895149231)",The word is not in vocabulary,"('multishank', 0.6755106449127197)",The word is not in vocabulary,"('pug', 0.7800036668777466)","('channelize', 0.7073704600334167)",The word is not in vocabulary,The word is not in vocabulary,"('crossings', 0.6391666531562805)",The word is not in vocabulary,"('accumulating', 0.6890817284584045)","('songbird', 0.6145308613777161)",The word is not in vocabulary,"('proliferation', 0.7399232387542725)",The word is not in vocabulary,"('idling', 0.6707241535186768)","('quicksilver', 0.7793970108032227)",The word is not in vocabulary,"('shielding', 0.6579551696777344)","('paleontology', 0.6429113149642944)",The word is not in vocabulary,"('upgrading', 0.6842299103736877)","('kayaking', 0.6195241808891296)",The word is not in vocabulary,"('crimping', 0.7663041353225708)",The word is not in vocabulary,"('issue', 0.7819542288780212)",The word is not in vocabulary,"('admix', 0.7095299959182739)",The word is not in vocabulary,"('humber', 0.7004216909408569)",The word is not in vocabulary,"('eradicate', 0.6842226386070251)","('ccm', 0.6470776796340942)","('reseed', 0.6974667906761169)","('leather', 0.6685290336608887)","('drilled', 0.6291300058364868)",The word is not in vocabulary,The word is not in vocabulary,"('destabilize', 0.6559450626373291)",The word is not in vocabulary,The word is not in vocabulary
13,"('causing', 0.672934889793396)",The word is not in vocabulary,"('distinctness', 0.6752612590789795)",The word is not in vocabulary,"('arrante', 0.7781127095222473)","('overwhelm', 0.7069814205169678)",The word is not in vocabulary,The word is not in vocabulary,"('geomarine', 0.6367601156234741)",The word is not in vocabulary,"('peatland', 0.686038613319397)","('ungulate', 0.6141071319580078)",The word is not in vocabulary,"('attractiveness', 0.7360080480575562)",The word is not in vocabulary,"('compress', 0.6617716550827026)","('amerada', 0.7773023843765259)",The word is not in vocabulary,"('underwater', 0.6576095819473267)","('historical', 0.6417942047119141)",The word is not in vocabulary,"('traveler', 0.6841130256652832)","('waterway', 0.6161602735519409)",The word is not in vocabulary,"('slat', 0.7654331922531128)",The word is not in vocabulary,"('cjo', 0.7798914313316345)",The word is not in vocabulary,"('harrowing', 0.7078495025634766)",The word is not in vocabulary,"('constructed', 0.699546217918396)",The word is not in vocabulary,"('colonizer', 0.6801517605781555)","('crownmixedcrown', 0.6452931761741638)","('bagging', 0.6959168910980225)","('ecccs', 0.6683187484741211)","('aggradation', 0.6288759708404541)",The word is not in vocabulary,The word is not in vocabulary,"('twss', 0.6544901132583618)",The word is not in vocabulary,The word is not in vocabulary
14,"('unfavorable', 0.6705424785614014)",The word is not in vocabulary,"('pulverize', 0.672638475894928)",The word is not in vocabulary,"('spay', 0.7752071619033813)","('aeration', 0.7060608863830566)",The word is not in vocabulary,The word is not in vocabulary,"('bearingspawning', 0.6344342827796936)",The word is not in vocabulary,"('railbed', 0.6848628520965576)","('archeological', 0.6129944920539856)",The word is not in vocabulary,"('propagule', 0.7358502745628357)",The word is not in vocabulary,"('greenhouse', 0.6611815690994263)","('geographics', 0.7739258408546448)",The word is not in vocabulary,"('insubstantial', 0.6574652194976807)","('sureswildlife', 0.6393646001815796)",The word is not in vocabulary,"('vegetating', 0.6824666261672974)","('kayaks', 0.6147647500038147)",The word is not in vocabulary,"('dekawe', 0.7645609378814697)",The word is not in vocabulary,"('ponde', 0.7781355977058411)",The word is not in vocabulary,"('trafficability', 0.7023589611053467)",The word is not in vocabulary,"('werniuk', 0.6985359191894531)",The word is not in vocabulary,"('specie', 0.675683856010437)","('replanted', 0.644910454750061)","('dbo', 0.6859151721000671)","('definitively', 0.6655098795890808)","('dennis', 0.6274577379226685)",The word is not in vocabulary,The word is not in vocabulary,"('watercrossing', 0.6541293859481812)",The word is not in vocabulary,The word is not in vocabulary
15,"('dissimilar', 0.6688470840454102)",The word is not in vocabulary,"('salinization', 0.6707471609115601)",The word is not in vocabulary,"('overtake', 0.774860680103302)","('discharging', 0.7049282789230347)",The word is not in vocabulary,The word is not in vocabulary,"('fbd', 0.6336890459060669)",The word is not in vocabulary,"('drological', 0.6848187446594238)","('requirements', 0.6125249266624451)",The word is not in vocabulary,"('lowgrowe', 0.7356418967247009)",The word is not in vocabulary,"('emitting', 0.6526300311088562)","('enercapita', 0.7684153318405151)",The word is not in vocabulary,"('jasco', 0.6549850106239319)","('clearance', 0.6381521224975586)",The word is not in vocabulary,"('waiver', 0.6817412376403809)","('fsc', 0.6130173206329346)",The word is not in vocabulary,"('water_', 0.7603259086608887)",The word is not in vocabulary,"('reseeded', 0.7730629444122314)",The word is not in vocabulary,"('subsoile', 0.6926599144935608)",The word is not in vocabulary,"('tcfd', 0.6951939463615417)",The word is not in vocabulary,"('horticultural', 0.6709150075912476)","('nad__utm_zone_n', 0.6444661617279053)","('handpicking', 0.6849411725997925)","('misidentifie', 0.6647940874099731)","('hwm', 0.6236560344696045)",The word is not in vocabulary,The word is not in vocabulary,"('replanting', 0.6540365219116211)",The word is not in vocabulary,The word is not in vocabulary
16,"('onrow', 0.6667630672454834)",The word is not in vocabulary,"('unfavorable', 0.6686511635780334)",The word is not in vocabulary,"('soybeans', 0.7738404273986816)","('redirection', 0.7037332057952881)",The word is not in vocabulary,The word is not in vocabulary,"('whelen', 0.6322511434555054)",The word is not in vocabulary,"('establishing', 0.680279552936554)","('westland', 0.6099891662597656)",The word is not in vocabulary,"('jnps', 0.7303686738014221)",The word is not in vocabulary,"('atmospheric', 0.6499956846237183)","('jnb', 0.7667656540870667)",The word is not in vocabulary,"('vibration', 0.6526662707328796)","('hrb', 0.6363076567649841)",The word is not in vocabulary,"('turnaround', 0.6812077760696411)","('boat', 0.6107460856437683)",The word is not in vocabulary,"('eral', 0.7567645907402039)",The word is not in vocabulary,"('monitor', 0.772693395614624)",The word is not in vocabulary,"('unstabletrench', 0.6879522800445557)",The word is not in vocabulary,"('stabile', 0.6937448978424072)",The word is not in vocabulary,"('crumblin', 0.6700234413146973)","('prematurely', 0.6420164108276367)","('mow', 0.6848718523979187)","('goldthread', 0.6638675928115845)","('kuluarpak', 0.6229437589645386)",The word is not in vocabulary,The word is not in vocabulary,"('expedite', 0.653840184211731)",The word is not in vocabulary,The word is not in vocabulary
17,"('environment', 0.6663011312484741)",The word is not in vocabulary,"('admixing', 0.6668707132339478)",The word is not in vocabulary,"('causing', 0.7719602584838867)","('destabilization', 0.7034895420074463)",The word is not in vocabulary,The word is not in vocabulary,"('fishery', 0.631566047668457)",The word is not in vocabulary,"('condition', 0.6763467192649841)","('herpetile', 0.6095192432403564)",The word is not in vocabulary,"('nonnative', 0.7289091944694519)",The word is not in vocabulary,"('emit', 0.6385272145271301)","('amecamec', 0.7663041353225708)",The word is not in vocabulary,"('masking', 0.6511476039886475)","('mechantable', 0.6356641054153442)",The word is not in vocabulary,"('reinstall', 0.6792651414871216)","('golfing', 0.6078848242759705)",The word is not in vocabulary,"('crimped', 0.7561354637145996)",The word is not in vocabulary,"('reseed', 0.770831823348999)",The word is not in vocabulary,"('relieve', 0.6866390705108643)",The word is not in vocabulary,"('uphill', 0.689164400100708)",The word is not in vocabulary,"('nonchemical', 0.667332112789154)","('desiccate', 0.6413966417312622)","('repairs', 0.6819251179695129)","('chrysosplenium', 0.6638123989105225)","('freeboard', 0.6229232549667358)",The word is not in vocabulary,The word is not in vocabulary,"('willows', 0.6527928113937378)",The word is not in vocabulary,The word is not in vocabulary
18,"('interrelated', 0.6625276803970337)",The word is not in vocabulary,"('compaction', 0.6661719679832458)",The word is not in vocabulary,"('establish', 0.7693864703178406)","('worley', 0.7021320462226868)",The word is not in vocabulary,The word is not in vocabulary,"('ffhiat', 0.6303796768188477)",The word is not in vocabulary,"('dii', 0.676150381565094)","('browsing', 0.6086982488632202)",The word is not in vocabulary,"('alternately', 0.7249276638031006)",The word is not in vocabulary,"('pollutant', 0.6369084119796753)","('aft', 0.766239583492279)",The word is not in vocabulary,"('pty', 0.6487531661987305)","('hrm', 0.6348373889923096)",The word is not in vocabulary,"('instate', 0.6770246624946594)","('occupancy', 0.6068689227104187)",The word is not in vocabulary,"('waddle', 0.7547986507415771)",The word is not in vocabulary,"('revegetating', 0.7667200565338135)",The word is not in vocabulary,"('alleviation', 0.6847128868103027)",The word is not in vocabulary,"('wc', 0.6848905682563782)",The word is not in vocabulary,"('bagging', 0.6642311811447144)","('nvcwc', 0.6404427289962769)","('abo', 0.6771975755691528)","('porelloide', 0.6599962711334229)","('armorflex', 0.6222072839736938)",The word is not in vocabulary,The word is not in vocabulary,"('railbe', 0.6509302854537964)",The word is not in vocabulary,The word is not in vocabulary
19,"('irrelevant', 0.6598995923995972)",The word is not in vocabulary,"('subsoiler', 0.6617577075958252)",The word is not in vocabulary,"('overseede', 0.7685076594352722)","('flow', 0.701535701751709)",The word is not in vocabulary,The word is not in vocabulary,"('egative', 0.6285256743431091)",The word is not in vocabulary,"('unhealthy', 0.6742429733276367)","('traditional', 0.6054562330245972)",The word is not in vocabulary,"('palatable', 0.7221312522888184)",The word is not in vocabulary,"('airborne', 0.6314045190811157)","('statoil', 0.7658013105392456)",The word is not in vocabulary,"('fdi', 0.6436830759048462)","('urc', 0.6335450410842896)",The word is not in vocabulary,"('twss', 0.6766842007637024)","('recreational', 0.6052457690238953)",The word is not in vocabulary,"('abov', 0.7526114583015442)",The word is not in vocabulary,"('dbo', 0.7647963762283325)",The word is not in vocabulary,"('wind', 0.6831655502319336)",The word is not in vocabulary,"('fills', 0.6822625398635864)",The word is not in vocabulary,"('iapp', 0.6617465019226074)","('sbwc', 0.640235185623169)","('regrading', 0.6753556728363037)","('translocate', 0.6593817472457886)","('bed', 0.6217241287231445)",The word is not in vocabulary,The word is not in vocabulary,"('lowlying', 0.6494240760803223)",The word is not in vocabulary,The word is not in vocabulary
20,"('landscape', 0.6596722602844238)",The word is not in vocabulary,"('harrowing', 0.6610993146896362)",The word is not in vocabulary,"('unseede', 0.7647100687026978)","('potability', 0.7010433673858643)",The word is not in vocabulary,The word is not in vocabulary,"('watters', 0.6269364356994629)",The word is not in vocabulary,"('overtake', 0.6710218787193298)","('restrictionssee', 0.6051377058029175)",The word is not in vocabulary,"('naturalize', 0.7164798974990845)",The word is not in vocabulary,"('quantity', 0.6258739829063416)","('landal', 0.7650231719017029)",The word is not in vocabulary,"('cumulative', 0.6394190788269043)","('mchscp', 0.6330634355545044)",The word is not in vocabulary,"('agreements', 0.6744716167449951)","('navigational', 0.6038557291030884)",The word is not in vocabulary,"('nicely', 0.750499963760376)",The word is not in vocabulary,"('subsided', 0.7607964277267456)",The word is not in vocabulary,"('instability', 0.6763969659805298)",The word is not in vocabulary,"('dropoff', 0.6813193559646606)",The word is not in vocabulary,"('unregulated', 0.6580541133880615)","('rkrkrkrk', 0.6392894983291626)","('subsidence', 0.6721651554107666)","('clubmoss', 0.6589424014091492)","('footing', 0.6204109787940979)",The word is not in vocabulary,The word is not in vocabulary,"('replant', 0.6482824683189392)",The word is not in vocabulary,The word is not in vocabulary
21,"('works', 0.6595679521560669)",The word is not in vocabulary,"('expe', 0.6593188643455505)",The word is not in vocabulary,"('cbo', 0.7623240947723389)","('impedance', 0.6949601173400879)",The word is not in vocabulary,The word is not in vocabulary,"('counterbalance', 0.6239688396453857)",The word is not in vocabulary,"('reclassify', 0.6700984835624695)","('ffhiat', 0.605036199092865)",The word is not in vocabulary,"('preferentially', 0.7128839492797852)",The word is not in vocabulary,"('remoteness', 0.6254686117172241)","('kelt', 0.7631881833076477)",The word is not in vocabulary,"('ghgs', 0.6359063386917114)","('mhrb', 0.6310824155807495)",The word is not in vocabulary,"('eventual', 0.6735563278198242)","('subheading', 0.6027736663818359)",The word is not in vocabulary,"('riling', 0.7484486699104309)",The word is not in vocabulary,"('disce', 0.7592442035675049)",The word is not in vocabulary,"('susceptible', 0.6737523674964905)",The word is not in vocabulary,"('geotechnically', 0.6798725128173828)",The word is not in vocabulary,"('invade', 0.6576199531555176)","('amph', 0.6392885446548462)","('markers', 0.6708084344863892)","('ramping', 0.6550672054290771)","('watershed', 0.6196792125701904)",The word is not in vocabulary,The word is not in vocabulary,"('regenerate', 0.6482425928115845)",The word is not in vocabulary,The word is not in vocabulary
