,physical,physical_environment,soil,soil_productivity,vegetation,water,water_quantity,water_quality,fish,fish_habitat,wetland,wildlife,wildlife_habitat,specie,specie_risk,air,air_quality,acoustic_environment,acoustic,heritage,heritage_resource,access,navigation,navigation_safety,erosion,coarse_fragments,subsidence,topsoil_admixing,compaction,topsoil_loss,watercourse,vegetation_establishment,invasive,plants,weeds,rare,stream,stream_channel,stream_bank,riparian,riparian_vegetation,riparian_vegetation_establishment
10,"('act_combination', 0.6733867526054382)",The word is not in vocabulary,"('attachment_av', 0.6342247724533081)",The word is not in vocabulary,"('positive_trajectory', 0.7267392873764038)","('vegetation', 0.6241759657859802)",The word is not in vocabulary,The word is not in vocabulary,"('movement_migration', 0.6679108738899231)",The word is not in vocabulary,"('seedbank', 0.6703447103500366)","('archaeology_palaeontology', 0.623600959777832)",The word is not in vocabulary,"('become_established', 0.701426088809967)",The word is not in vocabulary,"('light_pollution', 0.622368335723877)","('facility_instalment', 0.7133669853210449)","('abbreviation_glossary', 0.7012609243392944)","('underwater', 0.7312813997268677)","('archaeological', 0.646132230758667)","('hro', 0.6645505428314209)","('via_alternate', 0.6556792259216309)","('act_nwpa', 0.6635235548019409)","('compliant_applicable', 0.8647055625915527)","('stenlog', 0.7787643671035767)",The word is not in vocabulary,"('heaving', 0.7950785160064697)",The word is not in vocabulary,"('rutting', 0.7310279607772827)",The word is not in vocabulary,"('fish_bearing', 0.679366946220398)","('cji_forested', 0.7341849207878113)","('must_destroy', 0.7146117091178894)","('lor_des', 0.7511968612670898)","('acris', 0.8114287853240967)","('acims', 0.6846873164176941)","('braid_stream', 0.6208736896514893)",The word is not in vocabulary,The word is not in vocabulary,"('mixed_wood', 0.670071542263031)",The word is not in vocabulary,The word is not in vocabulary
11,"('ameliorate', 0.6724686622619629)",The word is not in vocabulary,"('investigation', 0.6276006698608398)",The word is not in vocabulary,"('manure_spread', 0.7250677943229675)","('dewater_onto', 0.6237017512321472)",The word is not in vocabulary,The word is not in vocabulary,"('province_ata', 0.6658036708831787)",The word is not in vocabulary,"('graminoid', 0.667976975440979)","('western_toad', 0.6185310482978821)",The word is not in vocabulary,"('revegetate_successfully', 0.698066771030426)",The word is not in vocabulary,"('technology_economically', 0.6213507652282715)","('dispersion_modelling', 0.7121530175209045)","('visual_aesthetic', 0.6965846419334412)","('jasco_research', 0.7232992053031921)","('use_footprintexiste', 0.6435332894325256)","('hrias', 0.6633643507957458)","('signage_discourage', 0.6547238826751709)","('boat', 0.6621902585029602)","('watercrossing', 0.864141583442688)","('rill', 0.7783324122428894)",The word is not in vocabulary,"('continue_monitor', 0.7945013046264648)",The word is not in vocabulary,"('help_ameliorate', 0.7300930023193359)",The word is not in vocabulary,"('horizontal_directionally', 0.6766923666000366)","('unresolved_reseed', 0.7332968711853027)","('nonnative', 0.7107516527175903)","('manutention_particuliere', 0.74875408411026)","('babys_breath', 0.8104360103607178)","('vulnerable_extirpation', 0.6818064451217651)","('watercourses', 0.6200953722000122)",The word is not in vocabulary,The word is not in vocabulary,"('unembedde_riparian', 0.6635292172431946)",The word is not in vocabulary,The word is not in vocabulary
12,"('accompany_discussion', 0.6672840118408203)",The word is not in vocabulary,"('productivity', 0.6254156827926636)",The word is not in vocabulary,"('uneven_tie', 0.7236742973327637)","('aji_bji', 0.6224657297134399)",The word is not in vocabulary,The word is not in vocabulary,"('lgth_mm', 0.6651119589805603)",The word is not in vocabulary,"('walk_prior', 0.6667773127555847)","('wetland', 0.6144462823867798)",The word is not in vocabulary,"('outcompete', 0.6973128318786621)",The word is not in vocabulary,"('plume_rise', 0.6204866170883179)","('ghg', 0.7059879302978516)","('greenhouse_gas', 0.6926435232162476)","('enm', 0.7229275107383728)","('hrmb', 0.6405340433120728)","('route_mile', 0.6594451665878296)","('shoo_fly', 0.652687668800354)","('aids', 0.6605446338653564)","('temporarily_obstruct', 0.8621941804885864)","('hillslope', 0.7743657827377319)",The word is not in vocabulary,"('aio', 0.7943379878997803)",The word is not in vocabulary,"('observe_para', 0.728335976600647)",The word is not in vocabulary,"('humber_river', 0.6760314106941223)","('aji_forested', 0.7330737709999084)","('colonizer', 0.7079835534095764)","('aucune', 0.7466928362846375)","('poverty_weed', 0.8101887702941895)","('especially_periphery', 0.6805749535560608)","('watermark', 0.6190136075019836)",The word is not in vocabulary,The word is not in vocabulary,"('preferably_native', 0.6626511216163635)",The word is not in vocabulary,The word is not in vocabulary
13,"('mechanism_whereby', 0.6668107509613037)",The word is not in vocabulary,"('capability', 0.6209560632705688)",The word is not in vocabulary,"('patch_scentless', 0.7227925062179565)","('saturated_soggy', 0.6224154829978943)",The word is not in vocabulary,The word is not in vocabulary,"('contribute_indirectly', 0.6632183194160461)",The word is not in vocabulary,"('peatland', 0.6626195907592773)","('browsing_grazing', 0.6138643622398376)",The word is not in vocabulary,"('lowgrowe_shrub', 0.6949858069419861)",The word is not in vocabulary,"('strategic_alliance', 0.6202683448791504)","('airborne_emission', 0.7055931091308594)","('evaluation_significance', 0.6924111247062683)","('behavioural_response', 0.7199791669845581)","('culture_tourism', 0.6347396969795227)","('pipelineproject', 0.644212543964386)","('guideline_vehicular', 0.6526018381118774)","('recreational_boater', 0.6582004427909851)","('although_guarantee', 0.8604486584663391)","('seeded_tackifie', 0.77430659532547)",The word is not in vocabulary,"('longer_evident', 0.7937482595443726)",The word is not in vocabulary,"('subsoile_dry', 0.7256422638893127)",The word is not in vocabulary,"('silt_fencing', 0.6752118468284607)","('patchy_growth', 0.7318413853645325)","('eradication', 0.707054078578949)","('genetic_diversity', 0.7442735433578491)","('night_flower', 0.809272289276123)","('acim', 0.6778696179389954)","('floodplain', 0.6162745356559753)",The word is not in vocabulary,The word is not in vocabulary,"('marked', 0.6624367237091064)",The word is not in vocabulary,The word is not in vocabulary
14,"('endpoints_rationale', 0.6661943197250366)",The word is not in vocabulary,"('shdvs_legend', 0.6182952523231506)",The word is not in vocabulary,"('patch_reduced', 0.7227602005004883)","('backfille_lift', 0.6214362978935242)",The word is not in vocabulary,The word is not in vocabulary,"('eare_type', 0.656833291053772)",The word is not in vocabulary,"('trajectory_towards', 0.6576709747314453)","('westland_resource', 0.6137141585350037)",The word is not in vocabulary,"('undetermined_source', 0.6945162415504456)",The word is not in vocabulary,"('build_downwash', 0.6181356906890869)","('airshed', 0.7029646635055542)","('cumulative', 0.6884321570396423)","('popper_hastings', 0.7175683975219727)","('cht', 0.6339711546897888)","('chance_discovery', 0.6423976421356201)","('tws_vegetationa', 0.6507608294487)","('recreational_fishing', 0.6581204533576965)","('temporarily_disrupt', 0.8589127659797668)","('cho_dho', 0.7731696367263794)",The word is not in vocabulary,"('gully_erosion', 0.7870098352432251)",The word is not in vocabulary,"('shovel_penetration', 0.7248051166534424)",The word is not in vocabulary,"('tributary_comeau', 0.6741670370101929)","('aei_forest', 0.7318279147148132)","('noxious_weed', 0.7067070603370667)","('reproductive_mechanism', 0.7374985814094543)","('mow_bag', 0.8087364435195923)","('rare_nonvascular', 0.6767326593399048)","('trib_dennis', 0.6125761270523071)",The word is not in vocabulary,The word is not in vocabulary,"('placement_abutment', 0.6619431972503662)",The word is not in vocabulary,The word is not in vocabulary
15,"('cho_dho', 0.6649309992790222)",The word is not in vocabulary,"('topsoil_topography', 0.6171586513519287)",The word is not in vocabulary,"('recently_rework', 0.7183843851089478)","('contain_submergent', 0.6213819980621338)",The word is not in vocabulary,The word is not in vocabulary,"('wildlife', 0.6554870009422302)",The word is not in vocabulary,"('water', 0.6573988199234009)","('amend_incorporate', 0.6125134825706482)",The word is not in vocabulary,"('cover', 0.6944636702537537)",The word is not in vocabulary,"('processor', 0.617724597454071)","('ambient', 0.6970758438110352)","('socioeconomic_element', 0.6867233514785767)","('tanker_standby', 0.7169300317764282)","('rtmp', 0.6330885291099548)","('hrmb', 0.6388376355171204)","('whenever_feasible', 0.6506584882736206)","('scheduled', 0.6471326947212219)","('mitigable', 0.8559388518333435)","('wattle', 0.7722363471984863)",The word is not in vocabulary,"('seeded_harrow', 0.7821568250656128)",The word is not in vocabulary,"('till_pellet', 0.7245981097221375)",The word is not in vocabulary,"('tsinhia_creek', 0.673271656036377)","('raspberry_popular', 0.7314848899841309)","('invasion', 0.7064818143844604)","('ete_confirmee', 0.7368190288543701)","('wild_mustard', 0.8074015974998474)","('typically_occurrence', 0.6734553575515747)","('downstream', 0.6092662811279297)",The word is not in vocabulary,The word is not in vocabulary,"('shrubbery', 0.6603413820266724)",The word is not in vocabulary,The word is not in vocabulary
16,"('unmitigated', 0.6631096005439758)",The word is not in vocabulary,"('reconstructed', 0.6159965395927429)",The word is not in vocabulary,"('attain_equivalent', 0.7177214622497559)","('moisture_holding', 0.6206755638122559)",The word is not in vocabulary,The word is not in vocabulary,"('ing_physiography', 0.6553493142127991)",The word is not in vocabulary,"('dysfunction', 0.6563256978988647)","('bird', 0.6115630865097046)",The word is not in vocabulary,"('recolonization', 0.6939241886138916)",The word is not in vocabulary,"('inlet_silencer', 0.6171069145202637)","('ghg_emission', 0.6964459419250488)","('slight_rise', 0.6839660406112671)","('spectral', 0.7162982821464539)","('accs', 0.6315397620201111)","('accs', 0.6382548809051514)","('atvs', 0.6501862406730652)","('nwpa', 0.6471064686775208)","('approvals_grant', 0.8554909825325012)","('trench_crowning', 0.7719342708587646)",The word is not in vocabulary,"('hav', 0.779241681098938)",The word is not in vocabulary,"('warrant_alleviate', 0.7241385579109192)",The word is not in vocabulary,"('sign_miss', 0.6720993518829346)","('appear_outcompete', 0.729730486869812)","('communitie', 0.7055402994155884)","('purposeful_meander', 0.7359740138053894)","('quackgrass_elymus', 0.8036183714866638)","('common_widespread', 0.669480562210083)","('watercourse', 0.6091703772544861)",The word is not in vocabulary,The word is not in vocabulary,"('native_blend', 0.6596701741218567)",The word is not in vocabulary,The word is not in vocabulary
17,"('magnify', 0.6620472073554993)",The word is not in vocabulary,"('bed_padding', 0.615685224533081)",The word is not in vocabulary,"('establishment', 0.7172991037368774)","('hard_soft', 0.6197259426116943)",The word is not in vocabulary,The word is not in vocabulary,"('sensitivity_abitat', 0.6553117632865906)",The word is not in vocabulary,"('row', 0.6552166938781738)","('allow_pet', 0.6103988289833069)",The word is not in vocabulary,"('display_similar', 0.6915919184684753)",The word is not in vocabulary,"('solar_radiation', 0.6169304251670837)","('abbreviation_glossary', 0.6937829256057739)","('prescribe_aer', 0.6811959147453308)","('communication_mask', 0.7151086330413818)","('archaeologist', 0.6314558386802673)","('precontact_archaeological', 0.6378303170204163)","('discourage_unauthorized', 0.6496232151985168)","('vessel', 0.6430263519287109)","('wawa_permit', 0.8552244305610657)","('silt_fencing', 0.7699308395385742)",The word is not in vocabulary,"('dbo', 0.7774361371994019)",The word is not in vocabulary,"('expe', 0.7139970660209656)",The word is not in vocabulary,"('reposition', 0.6716744899749756)","('dii_forested', 0.7296810150146484)","('reproductive_mechanism', 0.7052961587905884)","('la_bande', 0.7355730533599854)","('absinthe_artemisia', 0.8036002516746521)","('critically_imperil', 0.6689127683639526)","('channel_width', 0.6063574552536011)",The word is not in vocabulary,The word is not in vocabulary,"('shape_adequately', 0.6591212749481201)",The word is not in vocabulary,The word is not in vocabulary
18,"('mechanism', 0.6619467735290527)",The word is not in vocabulary,"('penetrometer', 0.6153796911239624)",The word is not in vocabulary,"('crew_rework', 0.715973973274231)","('recharge_discharge', 0.6188303828239441)",The word is not in vocabulary,The word is not in vocabulary,"('tributary_etsho', 0.654578685760498)",The word is not in vocabulary,"('dii', 0.6547877788543701)","('deon', 0.6058748960494995)",The word is not in vocabulary,"('salix_spp', 0.6910037994384766)",The word is not in vocabulary,"('overpressure', 0.6163696646690369)","('dust_smoke', 0.6927345991134644)","('airborne_emission', 0.6807990670204163)","('international_organization', 0.7129175662994385)","('historic', 0.6309510469436646)","('historical', 0.6339834928512573)","('except_specifically', 0.6479716300964355)","('commercial_recreational', 0.6423720121383667)","('tenured_land', 0.8535019755363464)","('gully_erosion', 0.7657598257064819)",The word is not in vocabulary,"('cjo', 0.7770223021507263)",The word is not in vocabulary,"('shovel_resistance', 0.7110095024108887)",The word is not in vocabulary,"('tributary_purpleville', 0.6713993549346924)","('subsidence', 0.7294187545776367)","('agronomic', 0.7035648226737976)","('dobservation', 0.7351952791213989)","('oxeye_daisy', 0.8033527135848999)","('usually_widespread', 0.6682852506637573)","('watershed', 0.6052204370498657)",The word is not in vocabulary,The word is not in vocabulary,"('woody', 0.6587733030319214)",The word is not in vocabulary,The word is not in vocabulary
19,"('alteration', 0.66037917137146)",The word is not in vocabulary,"('site', 0.6129580736160278)",The word is not in vocabulary,"('comparable_row', 0.7154836654663086)","('crew_rework', 0.6168076992034912)",The word is not in vocabulary,The word is not in vocabulary,"('rmf_rating', 0.6533297300338745)",The word is not in vocabulary,"('natural_recovery', 0.654495358467102)","('browse_evident', 0.6053794622421265)",The word is not in vocabulary,"('naturally_regenerate', 0.6892120838165283)",The word is not in vocabulary,"('calpuff_dispersion', 0.6163110136985779)","('dispersion_modeling', 0.6883262395858765)","('navigation_navigation', 0.6806077361106873)","('tts_pts', 0.7119362950325012)","('mcht', 0.6307826638221741)","('traditional', 0.633701503276825)","('vicinity_flagged', 0.6418676376342773)","('navigational_aids', 0.6400152444839478)","('relocate_redesign', 0.8517831563949585)","('recontoure_preconstruction', 0.7648592591285706)",The word is not in vocabulary,"('minor_rill', 0.7764644622802734)",The word is not in vocabulary,"('scalping', 0.7103345394134521)",The word is not in vocabulary,"('rollback_mounding', 0.6710079908370972)","('rill_erosion', 0.7250096797943115)","('eradicate', 0.7003185749053955)","('horticultural', 0.7341839075088501)","('sonchus_arvensis', 0.8032240867614746)","('relative_rarity', 0.6678574681282043)","('crossings', 0.6049983501434326)",The word is not in vocabulary,The word is not in vocabulary,"('shrub_staking', 0.6584890484809875)",The word is not in vocabulary,The word is not in vocabulary
